symbol,series,date,announcement_type,text_snippet
MOTHERSON,EQ,2026-03-27,DIVIDEND,Interim Dividend - Re 0.35 Per Share
MOTILALOFS,EQ,2026-01-31,DIVIDEND,Interim Dividend - Rs 6 Per Share
MRF,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 3 Per Share
MRPL,EQ,2026-03-11,DIVIDEND,Interim Dividend - Rs 4 Per Share
MSTCLTD,EQ,2026-02-18,DIVIDEND,Interim Dividend - Rs 7.60 Per Share
MUTHOOTFIN,EQ,2026-04-17,DIVIDEND,Interim Dividend - Rs 30 Per Share
NAM-INDIA,EQ,2026-06-26,DIVIDEND,Dividend - Rs 12.50 Per Share
NATCOPHARM,EQ,2026-02-18,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
NATIONALUM,EQ,2026-05-08,DIVIDEND,Interim Dividend - Rs 2 Per Share
NATIONALUM,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 4.50 Per Share
NAUKRI,EQ,2026-02-20,DIVIDEND,Interim Dividend - Rs 2.40 Per Share
NAVINFLUOR,EQ,2026-06-12,DIVIDEND,Dividend - Rs 8.60 Per Share
NAVNETEDUL,EQ,2026-06-03,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
NBCC,EQ,2026-02-25,DIVIDEND,Interim Dividend - Re 0.12 Per Share
NCLIND,EQ,2026-02-21,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
NELCO,EQ,2026-06-09,DIVIDEND,Dividend - Rs 1 Per Share
NESTLEIND,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 7 Per Share
NHPC,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 1.40 Per Share
NLCINDIA,EQ,2026-01-20,DIVIDEND,Interim Dividend - Rs 3.60 Per Share
NMDC,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
NRBBEARING,EQ,2026-05-13,DIVIDEND,Interim Dividend - Rs 2.25 Per Share
NRBBEARING,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 3.20 Per Share
NTPC,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 2.75 Per Share
NUVAMA,EQ,2026-05-15,DIVIDEND,Interim Dividend - Rs 14 Per Share
OBEROIRLTY,EQ,2026-05-14,DIVIDEND,Interim Dividend - Rs 2 Per Share
OBEROIRLTY,EQ,2026-01-23,DIVIDEND,Interim Dividend - Rs 2 Per Share
OFSS,EQ,2026-05-07,DIVIDEND,Interim Dividend - Rs 270 Per Share
OIL,EQ,2026-02-18,DIVIDEND,Interim Dividend - Rs 7 Per Share
OMAXAUTO,EQ,2026-05-08,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
ONELIFECAP,EQ,2026-02-16,FUNDRAISE,Rights 300:167 @ Premium Rs 5/-
ONGC,EQ,2026-02-18,DIVIDEND,Interim Dividend - Rs 6.25 Per Share
ONWARDTEC,EQ,2026-05-18,BUYBACK,Buy Back
ORIENTCEM,EQ,2026-06-12,DIVIDEND,Dividend - Rs 0.50 Per Share
ORIENTELEC,EQ,2026-01-29,DIVIDEND,Interim Dividend - Re 0.75 Per Share
ORIENTTECH,EQ,2026-01-05,BONUS,Bonus 1:10
PAGEIND,EQ,2026-05-27,DIVIDEND,Interim Dividend - Rs 150 Per Share
PAGEIND,EQ,2026-02-11,DIVIDEND,Interim Dividend - Rs 125 Per Share
PASHUPATI,EQ,2026-04-17,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
PATANJALI,EQ,2026-04-25,DIVIDEND,Interim Dividend - Rs 1.75 Per Share
PATINTLOG,EQ,2026-06-30,BUYBACK,Buy Back
PERSISTENT,EQ,2026-01-27,DIVIDEND,Interim Dividend - Rs 22 Per Share
PETRONET,EQ,2026-06-12,DIVIDEND,Dividend - Rs 3 Per Share
PFC,EQ,2026-03-23,DIVIDEND,Interim Dividend - Rs 3.25 Per Share
PFC,EQ,2026-02-20,DIVIDEND,Interim Dividend - Rs 4 Per Share
PGHH,EQ,2026-02-05,DIVIDEND,Interim Dividend - Rs 170 Per Share/ Special Dividend - Rs 25 Per Share
PGHL,EQ,2026-02-12,DIVIDEND,Interim Dividend - Rs 110 Per Share & Special Dividend Rs 50 Per Share
PGIL,EQ,2026-05-21,DIVIDEND,Interim Dividend - Rs 8.50 Per Share
PIIND,EQ,2026-02-23,DIVIDEND,Interim Dividend - Rs 5 Per Share
PIRAMALFIN,EQ,2026-06-12,DIVIDEND,Dividend - Rs 11 Per Share
PNB,EQ,2026-06-13,DIVIDEND,Dividend - Rs 3 Per Share
POLYCAB,EQ,2026-06-19,DIVIDEND,Dividend - Rs 47 Per Share
PONNIERODE,EQ,2026-06-05,DIVIDEND,Dividend - Rs 5 Per Share
POWERGRID,EQ,2026-02-09,DIVIDEND,Interim Dividend - Rs 3.25 Per Share
PRABHA,EQ,2026-03-11,FUNDRAISE,Rights 5:14 @ Premium Rs 143/-
PRECWIRE,EQ,2026-02-19,DIVIDEND,Interim Dividend - Re 0.35 Per Share
PREMIERENE,EQ,2026-05-09,DIVIDEND,Interim Dividend - Re 0.75 Per Share
PTC,EQ,2026-02-20,DIVIDEND,Interim Dividend - Rs 3 Per Share
PTL,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
QUESS,EQ,2026-05-08,DIVIDEND,Special Dividend - Rs 3 Per Share
QUESS,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 5 Per Share
RACLGEAR,EQ,2026-02-20,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
RAILTEL,EQ,2026-03-13,DIVIDEND,Interim Dividend - Re 1 Per Share
RALLIS,EQ,2026-06-04,DIVIDEND,Dividend - Rs 3 Per Share
RAYMONDLSL,EQ,2026-06-29,DIVIDEND,Dividend - Re 1 Per Share
RCF,EQ,2026-02-20,DIVIDEND,Interim Dividend - Re 1 Per Sh
RECLTD,EQ,2026-03-20,DIVIDEND,Interim Dividend - Rs 3.20 Per Share
RECLTD,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 4.60 Per Share
RELIANCE,EQ,2026-06-05,DIVIDEND,Dividend - Rs 6 Per Share
RELTD,EQ,2026-06-08,FUNDRAISE,Rights 1:9 @ Premium 91
REMSONSIND,EQ,2026-06-03,DIVIDEND,Interim Dividend - Re 0.20 Per Share
REPCOHOME,EQ,2026-02-12,DIVIDEND,Interim Dividend - Rs 2 Per Share
RIIL,EQ,2026-06-12,DIVIDEND,Dividend - Rs 3.50 Per Share
RITES,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 1.90 Per Share
RKFORGE,EQ,2026-05-08,DIVIDEND,Interim Dividend - Re 1 Per Share
RMDRIP,EQ,2026-04-10,BONUS,Bonus 5:7
RNBDENIMS,EQ,2026-04-03,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
RNBDENIMS,EQ,2026-04-03,BONUS,Bonus 1:2
ROUTE,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 3 Per Share
RPEL,EQ,2026-06-19,DIVIDEND,Dividend - Re 1 Per Share
RRKABEL,EQ,2026-06-16,DIVIDEND,Dividend - Rs 5.50 Per Share
RSYSTEMS,EQ,2026-03-12,DIVIDEND,Interim Dividend - Rs 6 Per Share
RVNL,EQ,2026-02-11,DIVIDEND,Interim Dividend - Re 1 Per Share
SADHNANIQ,EQ,2026-02-19,FUNDRAISE,Rights 8:1 @ Premium Rs 0/-
SANGAMIND,EQ,2026-06-22,DIVIDEND,Dividend - Rs 2 Per Share
SANOFI,EQ,2026-04-22,DIVIDEND,Dividend - Rs 48 Per Share
SANOFICONR,EQ,2026-06-19,DIVIDEND,Dividend - Rs 75 Per Share
SARLAPOLY,EQ,2026-05-15,BUYBACK,Buy Back
SBCL,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 2 Per Share
SBICARD,EQ,2026-03-11,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
SBILIFE,EQ,2026-03-06,DIVIDEND,Interim Dividend - Rs 2.70 Per Share
SBIN,EQ,2026-05-16,DIVIDEND,Dividend - Rs 17.35 Per Share
SCHAEFFLER,EQ,2026-04-23,DIVIDEND,Dividend - Rs 35 Per Share
SCHAND,EQ,2026-05-29,DIVIDEND,Interim Dividend - Rs 4 Per Share
SCI,EQ,2026-02-17,DIVIDEND,Interim Dividend - Rs 3.50 Per Share
SENCO,EQ,2026-02-20,DIVIDEND,Interim Dividend - Re 0.75 Per Share
SESHAPAPER,EQ,2026-06-10,DIVIDEND,Dividend - Rs 2 Per Share
SETCO,EQ,2026-06-02,DIVIDEND,Interim Dividend - Rs 13 Per Share
SHAH,EQ,2026-05-27,FUNDRAISE,Rights 36:311 @ Premium Rs 3.86
SHANTIGEAR,EQ,2026-01-29,DIVIDEND,Interim Dividend - Rs 3 Per Share
SHARDACROP,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 6 Per Share
SHAREINDIA,EQ,2026-02-02,DIVIDEND,Interim Dividend - Re 0.40 Per Share
SHK,EQ,2026-02-13,DIVIDEND,Interim Dividend - Re 1 Per Share
SHREEJISPG,EQ,2026-02-28,DIVIDEND,Interim Dividend - Re 1 Per Share
SHRIPISTON,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 5 Per Share
SICALLOG,EQ,2026-02-18,FUNDRAISE,Rights 11:5 @ Premium Rs 54/-
SIL,EQ,2026-02-20,DIVIDEND,Interim Dividend - Re 0.55 Per Share
SILGO,EQ,2026-01-05,FUNDRAISE,Rights 3:10 @ Premium Rs 50/-
SILVERTUC,EQ,2026-03-06,BONUS,Bonus 1:1
SILVERTUC,EQ,2026-03-06,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
SIS,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 7 Per Share
SIYSIL,EQ,2026-05-25,DIVIDEND,Special Dividend - Rs 4 Per Share
SIYSIL,EQ,2026-02-02,DIVIDEND,Interim Dividend - Rs 3 Per Share
SJS,EQ,2026-06-26,DIVIDEND,Dividend - Rs 3.50 Per Share
SJVN,EQ,2026-02-20,DIVIDEND,Interim Dividend - Rs 1.15 Per Share
SKMEGGPROD,EQ,2026-01-12,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
SMCGLOBAL,EQ,2026-06-15,DIVIDEND,Dividend - Re 0.60 Per Share
SMCGLOBAL,EQ,2026-02-06,DIVIDEND,Interim Dividend - Re 0.60 Per Share
SNOWMAN,EQ,2026-02-12,DIVIDEND,Interim Dividend - Re 0.50 Per Share
SOMANYCERA,EQ,2026-05-08,DIVIDEND,Interim Dividend - Rs 4 Per Share
SONACOMS,EQ,2026-06-26,DIVIDEND,Dividend - Rs 1.80 Per Share
SONACOMS,EQ,2026-01-30,DIVIDEND,Interim Dividend - Rs 1.60 Per Share
SONATSOFTW,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 1.25 Per Share
SPCENET,EQ,2026-06-05,DIVIDEND,Interim Dividend - Rs. 0.01 Per Sh
SREEL,EQ,2026-02-13,DIVIDEND,Interim Dividend - Re 1 Per Share
SRF,EQ,2026-01-27,DIVIDEND,Interim Dividend - Rs 5 Per Share
STALLION,EQ,2026-02-11,FUNDRAISE,Rights 19:41 @ Premium Rs 89/-
STARCEMENT,EQ,2026-02-12,DIVIDEND,Interim Dividend - Re 1 Per Share
STEELCAS,EQ,2026-02-06,DIVIDEND,Interim Dividend - Re 0.45 Per Share
STEELCITY,EQ,2026-06-16,DIVIDEND,Dividend - Re 1 Per Share
STEELCITY,EQ,2026-03-06,DIVIDEND,Interim Dividend - Re 1 Per Share
STYRENIX,EQ,2026-02-05,DIVIDEND,Interim Dividend - Rs 23 Per Share
SULA,EQ,2026-05-22,DIVIDEND,Dividend - Rs 2 Per Share
SUMEETINDS,EQ,2026-06-12,FUNDRAISE,Rights 8:25 @ Premium Rs 9.86/-
SUNCLAY,EQ,2026-04-03,DIVIDEND,Interim Dividend - Rs  4.50 Per Share
SUNDARMFIN,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 16 Per Share
SUNDRMFAST,EQ,2026-05-08,DIVIDEND,Interim Dividend - Rs 4.25 Per Share
SUNPHARMA,EQ,2026-02-05,DIVIDEND,Interim Dividend - Rs 11 Per Share
SUNTV,EQ,2026-03-12,DIVIDEND,Interim Dividend - Rs 1.25 Per Share
SUNTV,EQ,2026-02-12,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
SUPRAJIT,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
SUPREMEIND,EQ,2026-06-26,DIVIDEND,Dividend - Rs 25 Per Share
SURAJLTD,EQ,2026-01-23,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
SYMPHONY,EQ,2026-02-03,DIVIDEND,Interim Dividend - Rs 2 Per Share
SYNGENE,EQ,2026-06-26,DIVIDEND,Dividend - Rs 1.25 Per Share
TANLA,EQ,2026-04-30,DIVIDEND,Interim Dividend - Rs 6 Per Share
TATACHEM,EQ,2026-06-10,DIVIDEND,Dividend - Rs 11 Per Share
TATACOMM,EQ,2026-06-19,DIVIDEND,Dividend - Rs 17.50 Per Share
TATACONSUM,EQ,2026-05-25,DIVIDEND,Dividend - Rs 10 Per Share
TATAELXSI,EQ,2026-06-10,DIVIDEND,Dividend - Rs 75 Per Share
TATAINVEST,EQ,2026-06-10,DIVIDEND,Dividend - Rs 3.40 Per Share
TATAPOWER,EQ,2026-06-23,DIVIDEND,Dividend - Rs 2.50 Per Share
TATASTEEL,EQ,2026-06-12,DIVIDEND,Dividend - Rs 4 Per Share
TATATECH,EQ,2026-06-18,DIVIDEND,Dividend - Rs 8.35 Per Share & Special Dividend - Rs 3.35 Per Share
TCI,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 9 Per Share
TCIEXP,EQ,2026-02-07,DIVIDEND,Interim Dividend - Rs 7 Per Share
TCS,EQ,2026-05-25,DIVIDEND,Dividend - Rs 31 Per Share
TCS,EQ,2026-01-17,DIVIDEND,Interim Dividend Rs 11 Per Share/ Special Dividend Rs 46 Per Share
TEMBO,EQ,2026-01-16,DIVIDEND,Interim Dividend - Re 1 Per Share
THYROCARE,EQ,2026-06-23,DIVIDEND,Dividend - Rs 7 Per Share
TIIL,EQ,2026-06-04,DIVIDEND,Interim Dividend - Rs 20 Per Share
TIINDIA,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 2 Per Share
TIL,EQ,2026-03-23,FUNDRAISE,Rights 11:64 @ Premium Rs 155/-
TIPSMUSIC,EQ,2026-01-23,DIVIDEND,Interim Dividend - Rs 5 Per Share
TMB,EQ,2026-06-12,DIVIDEND,Dividend - Rs 12.50 Per Share
TMCV,EQ,2026-06-12,DIVIDEND,Dividend - Rs 4 Per Share
TMPV,EQ,2026-06-19,DIVIDEND,Dividend - Rs 3 Per Share
TORNTPHARM,EQ,2026-05-29,DIVIDEND,Dividend - Rs 9 Per Share
TORNTPHARM,EQ,2026-02-19,DIVIDEND,Interim Dividend - Rs 29 Per Share
TORNTPOWER,EQ,2026-06-19,DIVIDEND,Dividend - Rs 5 Per Share
TORNTPOWER,EQ,2026-02-16,DIVIDEND,Interim Dividend - Rs 15 Per Share
TRENT,EQ,2026-06-12,DIVIDEND,Dividend - Rs 4 Per Share
TRENT,EQ,2026-06-04,BONUS,Bonus 1:2
TRIDENT,EQ,2026-05-23,DIVIDEND,Interim Dividend - Rs  0.50 Per Share
TRITURBINE,EQ,2026-02-09,DIVIDEND,Interim Dividend - Rs 2.25 Per Share
TRIVENI,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
TSFINV,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 6.70 Per Share
TVSHLTD,EQ,2026-04-02,DIVIDEND,Interim Dividend - Rs 86 Per Share
TVSMOTOR,EQ,2026-03-31,DIVIDEND,Interim Dividend - Rs 12 Per Share
UCOBANK,EQ,2026-05-04,DIVIDEND,Dividend - Re 0.44 Per Share
UFLEX,EQ,2026-06-26,DIVIDEND,Dividend - Rs 3 Per Share
UNIDT,EQ,2026-02-20,DIVIDEND,Interim Dividend - Re 0.60 Per Share
UNIPARTS,EQ,2026-02-16,DIVIDEND,Interim Dividend - Rs 7 Per Share
UNITDSPR,EQ,2026-01-27,DIVIDEND,Interim Dividend - Rs 6 Per Share
UNITEDTEA,EQ,2026-02-18,DIVIDEND,Interim Dividend - Re 1 Per Share
UNOMINDA,EQ,2026-05-29,DIVIDEND,Dividend - Rs 1.75 Per Share
UNOMINDA,EQ,2026-02-11,DIVIDEND,Interim Dividend - Re 0.90 Per Share
V2RETAIL,EQ,2026-03-26,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
VAIBHAVGBL,EQ,2026-06-26,DIVIDEND,Dividend - Rs 1.50 Per Share
VAIBHAVGBL,EQ,2026-02-03,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
VBL,EQ,2026-05-01,DIVIDEND,Interim Dividend - Re 0.50 Per Share
VBL,EQ,2026-04-08,DIVIDEND,Dividend - Re 0.50 Per Share
VEDL,EQ,2026-05-01,ACQUISITION,Demerger
VEDL,EQ,2026-03-28,DIVIDEND,Interim Dividend - Rs 11 Per Share
VEEDOL,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 14 Per Share
VERTOZ,EQ,2026-06-05,DIVIDEND,Interim Dividend - Rs 0.10 Per Share
VESUVIUS,EQ,2026-04-30,DIVIDEND,Dividend - Rs 1.50 Per Share
VGL,EQ,2026-03-02,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
VIMTALABS,EQ,2026-06-18,DIVIDEND,Dividend - Rs 2 Per Share
VINYLINDIA,EQ,2026-05-22,DIVIDEND,Dividend - Rs 7 Per Share
VISAKAIND,EQ,2026-06-26,DIVIDEND,Dividend - Rs 1.20 Per Share
VOLTAS,EQ,2026-06-12,DIVIDEND,Dividend - Rs 4 Per Share
VRLLOG,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 5 Per Share
WEALTH,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 4 Per Share
WEL,EQ,2026-02-20,DIVIDEND,Interim Dividend - Re 0.10 Per Share
WELCORP,EQ,2026-06-30,DIVIDEND,Dividend - Rs 5 Per Share
WELSPUNLIV,EQ,2026-05-22,BUYBACK,Buy Back
WENDT,EQ,2026-01-28,DIVIDEND,Interim Dividend - Rs 20 Per Share
WHEELS,EQ,2026-06-24,DIVIDEND,Dividend - Rs 9.14 Per Share
WHEELS,EQ,2026-02-05,DIVIDEND,Interim Dividend - Rs 5.30 Per Share
WINDLAS,EQ,2026-04-24,BUYBACK,Buy Back
WIPRO,EQ,2026-06-05,BUYBACK,Buy Back
WIPRO,EQ,2026-01-27,DIVIDEND,Interim Dividend - Rs 6 Per Share
ZENSARTECH,EQ,2026-01-29,DIVIDEND,Interim Dividend - Rs 2.40 Per Share
ZFCVINDIA,EQ,2026-06-24,BONUS,Bonus 5:1
ZYDUSLIFE,EQ,2026-05-29,BUYBACK,Buy Back
