symbol,period,quarter_end_date,promoter_pct,fii_pct,dii_pct,public_pct,promoter_delta,fii_delta,dii_delta,conviction_signal,as_of_date,source,submission_date
FRACTAL,Q4FY26,13-FEB-2026,16.97,40.62,12.83,83.03,,,,STABLE,2026-07-08,nse_xbrl,16-FEB-2026
FSL,Q1FY25,30-JUN-2024,53.66,9.36,19.52,45.03,,,,STABLE,2026-07-08,nse_xbrl,08-JUL-2024
FSL,Q2FY25,30-SEP-2024,53.66,11.63,18.6,45.22,0.0,2.27,-0.92,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,07-OCT-2024
FSL,Q3FY25,31-DEC-2024,53.66,11.01,20.88,45.25,0.0,-0.62,2.28,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,07-JAN-2025
FSL,Q4FY25,31-MAR-2025,53.66,10.08,22.9,45.23,0.0,-0.93,2.02,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,09-APR-2025
FSL,Q1FY26,30-JUN-2025,53.66,9.58,23.94,45.45,0.0,-0.5,1.04,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,14-JUL-2025
FSL,Q2FY26,30-SEP-2025,53.66,9.25,24.62,45.46,0.0,-0.33,0.68,DII_ACCUMULATION,2026-07-08,nse_xbrl,16-OCT-2025
FSL,Q3FY26,31-DEC-2025,53.66,9.19,25.2,45.51,0.0,-0.06,0.58,DII_ACCUMULATION,2026-07-08,nse_xbrl,08-JAN-2026
FSL,Q4FY26,31-MAR-2026,53.66,8.86,25.49,45.39,0.0,-0.33,0.29,STABLE,2026-07-08,nse_xbrl,16-APR-2026
FUSION,Q1FY25,30-JUN-2024,57.71,3.96,22.79,41.92,,,,STABLE,2026-07-08,nse_xbrl,20-JUL-2024
FUSION,Q2FY25,30-SEP-2024,57.71,2.83,19.19,41.92,0.0,-1.13,-3.6,STABLE,2026-07-08,nse_xbrl,19-OCT-2024
FUSION,Q3FY25,31-DEC-2024,57.71,0.56,18.13,41.92,0.0,-2.27,-1.06,STABLE,2026-07-08,nse_xbrl,13-JAN-2025
FUSION,Q4FY25,31-MAR-2025,57.71,1.69,16.91,41.92,0.0,1.13,-1.22,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,16-APR-2025
FUSION,Q1FY26,02-MAY-2025,55.2,2.58,16.15,44.57,-2.51,0.89,-0.76,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,08-MAY-2025
FUSION,Q2FY26,30-SEP-2025,54.95,3.93,11.88,44.82,-0.25,1.35,-4.27,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,21-OCT-2025
FUSION,Q3FY26,31-DEC-2025,54.92,4.89,11.93,44.85,-0.03,0.96,0.05,FII_ACCUMULATION,2026-07-08,nse_xbrl,20-JAN-2026
FUSION,Q4FY26,31-MAR-2026,54.55,4.74,14.42,45.23,-0.37,-0.15,2.49,DII_ACCUMULATION,2026-07-08,nse_xbrl,20-APR-2026
GABRIEL,Q2FY25,30-SEP-2024,55.0,5.51,12.89,45.0,,,,STABLE,2026-07-08,nse_xbrl,04-OCT-2024
GABRIEL,Q3FY25,31-DEC-2024,55.0,5.33,13.46,45.0,0.0,-0.18,0.57,DII_ACCUMULATION,2026-07-08,nse_xbrl,16-JAN-2025
GABRIEL,Q4FY25,31-MAR-2025,55.0,5.23,14.68,45.0,0.0,-0.1,1.22,DII_ACCUMULATION,2026-07-08,nse_xbrl,11-APR-2025
GABRIEL,Q1FY26,30-JUN-2025,55.0,5.98,15.02,45.0,0.0,0.75,0.34,FII_ACCUMULATION,2026-07-08,nse_xbrl,17-JUL-2025
GABRIEL,Q2FY26,30-SEP-2025,55.00000000000001,6.49,15.740000000000002,45.0,0.0,0.51,0.72,FII_DII_ACCUMULATION,2026-07-08,nse_xbrl,16-OCT-2025
GABRIEL,Q3FY26,31-DEC-2025,55.00000000000001,6.49,16.21,45.0,0.0,0.0,0.47,STABLE,2026-07-08,nse_xbrl,20-JAN-2026
GABRIEL,Q4FY26,31-MAR-2026,55.03,6.58,16.28,44.97,0.03,0.09,0.07,STABLE,2026-07-08,nse_xbrl,21-APR-2026
GABRIEL,Q1FY27,09-JUN-2026,63.55,6.510000000000001,12.79,36.45,8.52,-0.07,-3.49,STRONG_PROMOTER_BUY,2026-07-08,nse_xbrl,18-JUN-2026
GAEL,Q2FY23,30-SEP-2022,63.84,5.07,0.15,36.16,,,,STABLE,2026-07-08,nse_xbrl,12-OCT-2022
GAEL,Q1FY25,30-JUN-2024,63.84,4.24,1.39,36.16,,,,STABLE,2026-07-08,nse_xbrl,10-JUL-2024
GAEL,Q3FY25,31-DEC-2024,63.84,1.88,0.39,36.16,,,,STABLE,2026-07-08,nse_xbrl,07-JAN-2025
GAEL,Q4FY25,31-MAR-2025,63.84,2.03,0.51,36.16,0.0,0.15,0.12,STABLE,2026-07-08,nse_xbrl,12-APR-2025
GAEL,Q1FY26,30-JUN-2025,63.84,2.17,0.19,36.16,0.0,0.14,-0.32,STABLE,2026-07-08,nse_xbrl,07-JUL-2025
GAEL,Q2FY26,30-SEP-2025,63.84,2.04,0.61,36.16,0.0,-0.13,0.42,STABLE,2026-07-08,nse_xbrl,17-OCT-2025
GAEL,Q3FY26,31-DEC-2025,63.84,1.6,0.58,36.16,0.0,-0.44,-0.03,STABLE,2026-07-08,nse_xbrl,08-JAN-2026
GAEL,Q4FY26,31-MAR-2026,63.84,2.19,0.83,36.16,0.0,0.59,0.25,FII_ACCUMULATION,2026-07-08,nse_xbrl,17-APR-2026
GAIL,Q1FY25,30-JUN-2024,51.92,15.19,18.25,48.08,,,,STABLE,2026-07-08,nse_xbrl,10-JUL-2024
GAIL,Q2FY25,30-SEP-2024,51.92,16.79,17.02,48.08,0.0,1.6,-1.23,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,10-OCT-2024
GAIL,Q3FY25,31-DEC-2024,51.9,16.05,17.7,48.1,-0.02,-0.74,0.68,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,07-JAN-2025
GAIL,Q4FY25,31-MAR-2025,51.88,14.79,19.13,48.12,-0.02,-1.26,1.43,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,08-APR-2025
GAIL,Q1FY26,30-JUN-2025,51.88,14.91,19.04,48.12,0.0,0.12,-0.09,STABLE,2026-07-08,nse_xbrl,16-JUL-2025
GAIL,Q2FY26,30-SEP-2025,51.88,13.72,19.98,48.120000000000005,0.0,-1.19,0.94,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,15-OCT-2025
GAIL,Q3FY26,31-DEC-2025,51.88,14.07,19.86,48.120000000000005,0.0,0.35,-0.12,STABLE,2026-07-08,nse_xbrl,14-JAN-2026
GAIL,Q4FY26,31-MAR-2026,51.88,13.04,20.6,48.120000000000005,0.0,-1.03,0.74,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,10-APR-2026
GALAPREC,Q2FY25,05-SEP-2024,55.44,3.22,9.29,44.56,,,,STABLE,2026-07-08,nse_xbrl,10-SEP-2024
GALAPREC,Q3FY25,31-DEC-2024,55.44,2.03,5.39,44.56,0.0,-1.19,-3.9,STABLE,2026-07-08,nse_xbrl,13-JAN-2025
GALAPREC,Q4FY25,31-MAR-2025,55.32,1.32,4.84,44.68,-0.12,-0.71,-0.55,STABLE,2026-07-08,nse_xbrl,17-APR-2025
GALAPREC,Q1FY26,30-JUN-2025,55.34,1.13,4.69,44.66,0.02,-0.19,-0.15,STABLE,2026-07-08,nse_xbrl,21-JUL-2025
GALAPREC,Q2FY26,30-SEP-2025,55.2,1.12,4.8,44.8,-0.14,-0.01,0.11,STABLE,2026-07-08,nse_xbrl,20-OCT-2025
GALAPREC,Q3FY26,31-DEC-2025,55.2,1.3299999999999998,4.98,44.8,0.0,0.21,0.18,STABLE,2026-07-08,nse_xbrl,16-JAN-2026
GALAPREC,Q4FY26,31-MAR-2026,54.99000000000001,1.3,5.46,45.01,-0.21,-0.03,0.48,STABLE,2026-07-08,nse_xbrl,21-APR-2026
GALAXYSURF,Q1FY25,30-JUN-2024,70.91,3.87,12.71,29.09,,,,STABLE,2026-07-08,nse_xbrl,17-JUL-2024
GALAXYSURF,Q2FY25,30-SEP-2024,70.91,4.08,12.99,29.09,0.0,0.21,0.28,STABLE,2026-07-08,nse_xbrl,11-OCT-2024
GALAXYSURF,Q3FY25,31-DEC-2024,70.91,4.19,12.98,29.09,0.0,0.11,-0.01,STABLE,2026-07-08,nse_xbrl,09-JAN-2025
GALAXYSURF,Q4FY25,31-MAR-2025,70.91,4.09,12.95,29.09,0.0,-0.1,-0.03,STABLE,2026-07-08,nse_xbrl,16-APR-2025
GALAXYSURF,Q1FY26,30-JUN-2025,70.91,4.29,12.7,29.09,0.0,0.2,-0.25,STABLE,2026-07-08,nse_xbrl,18-JUL-2025
GALAXYSURF,Q2FY26,30-SEP-2025,70.91,4.22,12.9,29.09,0.0,-0.07,0.2,STABLE,2026-07-08,nse_xbrl,17-OCT-2025
GALAXYSURF,Q3FY26,31-DEC-2025,70.91,4.09,13.05,29.09,0.0,-0.13,0.15,STABLE,2026-07-08,nse_xbrl,19-JAN-2026
GALAXYSURF,Q4FY26,31-MAR-2026,70.89999999999999,3.99,13.1,29.1,-0.01,-0.1,0.05,STABLE,2026-07-08,nse_xbrl,06-APR-2026
GALLANTT,Q1FY25,30-JUN-2024,68.93,0.16,0.0,31.07,,,,STABLE,2026-07-08,nse_xbrl,17-JUL-2024
GALLANTT,Q2FY25,30-SEP-2024,68.93,0.09,0.0,31.07,0.0,-0.07,0.0,STABLE,2026-07-08,nse_xbrl,19-OCT-2024
GALLANTT,Q3FY25,31-DEC-2024,68.93,0.07,0.0,31.07,0.0,-0.02,0.0,STABLE,2026-07-08,nse_xbrl,20-JAN-2025
GALLANTT,Q4FY25,31-MAR-2025,68.93,0.04,0.0,31.07,0.0,-0.03,0.0,STABLE,2026-07-08,nse_xbrl,18-APR-2025
GALLANTT,Q1FY26,30-JUN-2025,68.93,0.06,,31.07,0.0,0.02,,STABLE,2026-07-08,nse_xbrl,19-JUL-2025
GALLANTT,Q2FY26,30-SEP-2025,68.93,0.19,0.06,31.07,0.0,0.13,,STABLE,2026-07-08,nse_xbrl,20-OCT-2025
GALLANTT,Q3FY26,31-DEC-2025,69.83,0.15,0.05,30.17,0.9,-0.04,-0.01,STABLE,2026-07-08,nse_xbrl,19-JAN-2026
GALLANTT,Q4FY26,31-MAR-2026,70.0,0.09,0.08,30.0,0.17,-0.06,0.03,STABLE,2026-07-08,nse_xbrl,21-APR-2026
GANDHAR,Q1FY25,30-JUN-2024,64.63,0.18,2.64,35.37,,,,STABLE,2026-07-08,nse_xbrl,09-JUL-2024
GANDHAR,Q2FY25,30-SEP-2024,64.63,0.02,1.84,35.37,0.0,-0.16,-0.8,STABLE,2026-07-08,nse_xbrl,17-OCT-2024
GANDHAR,Q3FY25,31-DEC-2024,64.63,0.62,1.7,35.37,0.0,0.6,-0.14,FII_ACCUMULATION,2026-07-08,nse_xbrl,16-JAN-2025
GANDHAR,Q4FY25,31-MAR-2025,65.01,0.18,1.78,34.99,0.38,-0.44,0.08,STABLE,2026-07-08,nse_xbrl,11-APR-2025
GANDHAR,Q1FY26,30-JUN-2025,65.01,0.24,1.96,34.99,0.0,0.06,0.18,STABLE,2026-07-08,nse_xbrl,21-JUL-2025
GANDHAR,Q2FY26,30-SEP-2025,65.01,0.1699999999999999,2.0500000000000003,34.99,0.0,-0.07,0.09,STABLE,2026-07-08,nse_xbrl,17-OCT-2025
GANDHAR,Q3FY26,31-DEC-2025,66.18,0.35,0.43,33.82,1.17,0.18,-1.62,STRONG_PROMOTER_BUY,2026-07-08,nse_xbrl,20-JAN-2026
GANDHAR,Q4FY26,31-MAR-2026,66.47,0.1399999999999999,0.09,33.53,0.29,-0.21,-0.34,STABLE,2026-07-08,nse_xbrl,20-APR-2026
GANDHITUBE,Q1FY25,30-JUN-2024,73.53,1.43,0.0,26.47,,,,STABLE,2026-07-08,nse_xbrl,15-JUL-2024
GANDHITUBE,Q2FY25,30-SEP-2024,73.53,1.42,0.0,26.47,0.0,-0.01,0.0,STABLE,2026-07-08,nse_xbrl,08-OCT-2024
GANDHITUBE,Q3FY25,31-DEC-2024,73.53,1.42,0.04,26.47,0.0,0.0,0.04,STABLE,2026-07-08,nse_xbrl,13-JAN-2025
GANDHITUBE,Q4FY25,31-MAR-2025,73.53,1.41,0.04,26.47,0.0,-0.01,0.0,STABLE,2026-07-08,nse_xbrl,08-APR-2025
GANDHITUBE,Q1FY26,30-JUN-2025,73.53,1.4,0.05,26.47,0.0,-0.01,0.01,STABLE,2026-07-08,nse_xbrl,15-JUL-2025
GANDHITUBE,Q2FY26,30-SEP-2025,73.53,1.23,0.05,26.47,0.0,-0.17,0.0,STABLE,2026-07-08,nse_xbrl,13-OCT-2025
GANDHITUBE,Q3FY26,31-DEC-2025,73.53,1.23,0.08,26.47,0.0,0.0,0.03,STABLE,2026-07-08,nse_xbrl,19-JAN-2026
GANDHITUBE,Q4FY26,31-MAR-2026,73.53,1.23,0.06,26.47,0.0,0.0,-0.02,STABLE,2026-07-08,nse_xbrl,14-APR-2026
GANECOS,Q1FY25,30-JUN-2024,36.44,9.79,21.62,63.4,,,,STABLE,2026-07-08,nse_xbrl,17-JUL-2024
GANECOS,Q2FY25,30-SEP-2024,35.86,10.26,22.68,63.98,-0.58,0.47,1.06,DII_ACCUMULATION,2026-07-08,nse_xbrl,21-OCT-2024
GANECOS,Q3FY25,31-DEC-2024,35.86,12.14,21.93,63.98,0.0,1.88,-0.75,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,17-JAN-2025
GANECOS,Q4FY25,31-MAR-2025,36.14,10.36,22.15,63.71,0.28,-1.78,0.22,STABLE,2026-07-08,nse_xbrl,09-APR-2025
GANECOS,Q1FY26,30-JUN-2025,36.14,9.19,22.89,63.75,0.0,-1.17,0.74,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,21-JUL-2025
GANECOS,Q2FY26,17-JUL-2025,39.33,8.61,22.25,60.56,3.19,-0.58,-0.64,STRONG_PROMOTER_BUY,2026-07-08,nse_xbrl,29-JUL-2025
GANECOS,Q3FY26,31-DEC-2025,39.33,7.199999999999999,21.88,60.55,0.0,-1.41,-0.37,STABLE,2026-07-08,nse_xbrl,21-JAN-2026
GANECOS,Q4FY26,31-MAR-2026,39.33,8.89,19.42,60.46,0.0,1.69,-2.46,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,21-APR-2026
GANESHBE,Q1FY25,30-JUN-2024,39.02,5.24,0.01,60.98,,,,STABLE,2026-07-08,nse_xbrl,17-JUL-2024
GANESHBE,Q2FY25,30-SEP-2024,39.02,5.08,0.0,60.98,0.0,-0.16,-0.01,STABLE,2026-07-08,nse_xbrl,17-OCT-2024
GANESHBE,Q3FY25,31-DEC-2024,39.02,5.1,0.0,60.98,0.0,0.02,0.0,STABLE,2026-07-08,nse_xbrl,16-JAN-2025
GANESHBE,Q4FY25,31-MAR-2025,39.02,5.07,0.0,60.98,0.0,-0.03,0.0,STABLE,2026-07-08,nse_xbrl,16-APR-2025
GANESHBE,Q1FY26,30-JUN-2025,39.02,5.62,0.33,60.98,0.0,0.55,0.33,FII_ACCUMULATION,2026-07-08,nse_xbrl,16-JUL-2025
GANESHBE,Q2FY26,30-SEP-2025,39.02,3.96,0.52,60.98,0.0,-1.66,0.19,STABLE,2026-07-08,nse_xbrl,16-OCT-2025
GANESHBE,Q3FY26,31-DEC-2025,39.02,3.45,0.76,60.98,0.0,-0.51,0.24,STABLE,2026-07-08,nse_xbrl,16-JAN-2026
GANESHBE,Q4FY26,31-MAR-2026,39.02,0.73,0.76,60.98,0.0,-2.72,0.0,STABLE,2026-07-08,nse_xbrl,17-APR-2026
GANESHCP,Q2FY26,28-SEP-2025,64.08,8.21,9.8,35.92,,,,STABLE,2026-07-08,nse_xbrl,30-SEP-2025
GANESHCP,Q3FY26,31-DEC-2025,64.08,5.36,5.48,35.92,0.0,-2.85,-4.32,STABLE,2026-07-08,nse_xbrl,09-JAN-2026
GANESHCP,Q4FY26,31-MAR-2026,64.08,2.78,5.63,35.92,0.0,-2.58,0.15,STABLE,2026-07-08,nse_xbrl,10-APR-2026
GANESHHOU,Q1FY25,30-JUN-2024,73.06,1.08,0.05,26.94,,,,STABLE,2026-07-08,nse_xbrl,15-JUL-2024
GANESHHOU,Q2FY25,30-SEP-2024,73.06,0.97,0.06,26.94,0.0,-0.11,0.01,STABLE,2026-07-08,nse_xbrl,17-OCT-2024
GANESHHOU,Q3FY25,31-DEC-2024,73.06,0.75,0.33,26.94,0.0,-0.22,0.27,STABLE,2026-07-08,nse_xbrl,07-JAN-2025
GANESHHOU,Q4FY25,31-MAR-2025,73.06,0.95,0.14,26.94,0.0,0.2,-0.19,STABLE,2026-07-08,nse_xbrl,17-APR-2025
GANESHHOU,Q1FY26,30-JUN-2025,73.06,0.47,0.54,26.94,0.0,-0.48,0.4,STABLE,2026-07-08,nse_xbrl,19-JUL-2025
GANESHHOU,Q2FY26,30-SEP-2025,73.06,0.43,0.4499999999999999,26.94,0.0,-0.04,-0.09,STABLE,2026-07-08,nse_xbrl,10-OCT-2025
GANESHHOU,Q3FY26,31-DEC-2025,73.06,0.5700000000000001,0.42,26.94,0.0,0.14,-0.03,STABLE,2026-07-08,nse_xbrl,16-JAN-2026
GANESHHOU,Q4FY26,31-MAR-2026,73.06,0.7000000000000001,0.32,26.94,0.0,0.13,-0.1,STABLE,2026-07-08,nse_xbrl,21-APR-2026
GANGAFORGE,Q2FY23,30-SEP-2022,67.63,0.0,0.0,32.37,,,,STABLE,2026-07-08,nse_xbrl,21-OCT-2022
GANGAFORGE,Q1FY25,30-JUN-2024,40.63,0.0,0.11,59.37,,,,STABLE,2026-07-08,nse_xbrl,15-JUL-2024
GANGAFORGE,Q2FY25,30-SEP-2024,40.11,0.0,0.0,59.89,-0.52,0.0,-0.11,STABLE,2026-07-08,nse_xbrl,12-OCT-2024
GANGAFORGE,Q3FY25,31-DEC-2024,39.21,3.71,0.0,60.79,-0.9,3.71,0.0,FII_ACCUMULATION,2026-07-08,nse_xbrl,11-JAN-2025
GANGAFORGE,Q4FY25,31-MAR-2025,39.21,3.71,0.0,60.79,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,08-APR-2025
GANGAFORGE,Q1FY26,30-JUN-2025,39.21,2.6,,60.79,0.0,-1.11,,STABLE,2026-07-08,nse_xbrl,18-JUL-2025
GANGAFORGE,Q2FY26,30-SEP-2025,39.21,2.23,,60.79,0.0,-0.37,,STABLE,2026-07-08,nse_xbrl,08-OCT-2025
GANGESSECU,Q1FY25,30-JUN-2024,66.64,0.0,0.01,33.36,,,,STABLE,2026-07-08,nse_xbrl,17-JUL-2024
GANGESSECU,Q2FY25,30-SEP-2024,66.64,0.01,0.01,33.36,0.0,0.01,0.0,STABLE,2026-07-08,nse_xbrl,14-OCT-2024
GANGESSECU,Q3FY25,31-DEC-2024,66.64,0.08,0.01,33.36,0.0,0.07,0.0,STABLE,2026-07-08,nse_xbrl,10-JAN-2025
GANGESSECU,Q4FY25,31-MAR-2025,66.64,0.03,0.01,33.36,0.0,-0.05,0.0,STABLE,2026-07-08,nse_xbrl,16-APR-2025
GANGESSECU,Q1FY26,30-JUN-2025,66.64,0.03,0.01,33.36,0.0,0.0,0.0,STABLE,2026-07-08,screener,03-JUL-2025
GANGESSECU,Q2FY26,30-SEP-2025,66.64,0.03,0.01,33.36,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,19-OCT-2025
GANGESSECU,Q3FY26,31-DEC-2025,66.64,0.03,0.01,33.36,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,21-JAN-2026
GANGESSECU,Q4FY26,31-MAR-2026,66.64,0.03,0.01,33.36,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,13-APR-2026
GARFIBRES,Q1FY25,25-APR-2024,53.0,9.25,10.2,47.0,,,,STABLE,2026-07-08,nse_xbrl,30-APR-2024
GARFIBRES,Q2FY25,30-SEP-2024,53.0,9.82,10.44,47.0,0.0,0.57,0.24,FII_ACCUMULATION,2026-07-08,nse_xbrl,16-OCT-2024
GARFIBRES,Q3FY25,31-DEC-2024,53.0,10.15,10.37,47.0,0.0,0.33,-0.07,STABLE,2026-07-08,nse_xbrl,08-JAN-2025
GARFIBRES,Q4FY25,06-JAN-2025,53.0,10.15,10.24,47.0,0.0,0.0,-0.13,STABLE,2026-07-08,nse_xbrl,08-JAN-2025
GARFIBRES,Q1FY26,30-JUN-2025,53.0,9.89,10.97,47.0,0.0,-0.26,0.73,DII_ACCUMULATION,2026-07-08,nse_xbrl,16-JUL-2025
GARFIBRES,Q2FY26,30-SEP-2025,53.0,10.05,10.99,47.0,0.0,0.16,0.02,STABLE,2026-07-08,nse_xbrl,17-OCT-2025
GARFIBRES,Q3FY26,31-DEC-2025,53.36,9.07,10.45,46.64,0.36,-0.98,-0.54,STABLE,2026-07-08,nse_xbrl,20-JAN-2026
GARFIBRES,Q4FY26,31-MAR-2026,53.36,9.12,10.29,46.64,0.0,0.05,-0.16,STABLE,2026-07-08,nse_xbrl,15-APR-2026
GARUDA,Q3FY25,14-OCT-2024,67.56,13.1,1.84,32.44,,,,STABLE,2026-07-08,nse_xbrl,22-OCT-2024
GARUDA,Q4FY25,31-MAR-2025,67.56,4.53,0.93,32.44,0.0,-8.57,-0.91,STABLE,2026-07-08,nse_xbrl,21-APR-2025
GARUDA,Q1FY26,30-JUN-2025,67.56,4.48,0.65,32.44,0.0,-0.05,-0.28,STABLE,2026-07-08,nse_xbrl,19-JUL-2025
GARUDA,Q2FY26,30-SEP-2025,67.56,3.09,1.12,32.440000000000005,0.0,-1.39,0.47,STABLE,2026-07-08,nse_xbrl,21-OCT-2025
GARUDA,Q3FY26,31-DEC-2025,67.56,2.34,1.01,32.440000000000005,0.0,-0.75,-0.11,STABLE,2026-07-08,nse_xbrl,21-JAN-2026
GARUDA,Q4FY26,31-MAR-2026,67.56,2.64,0.48,32.440000000000005,0.0,0.3,-0.53,STABLE,2026-07-08,nse_xbrl,15-APR-2026
GATECH,Q1FY25,30-JUN-2024,8.27,0.29,0.2,91.73,,,,STABLE,2026-07-08,nse_xbrl,17-JUL-2024
GATECH,Q2FY25,30-SEP-2024,4.13,0.15,0.1,95.87,-4.14,-0.14,-0.1,PROMOTER_SELLING,2026-07-08,nse_xbrl,16-OCT-2024
GATECH,Q3FY25,31-DEC-2024,4.13,0.15,0.1,95.87,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,18-JAN-2025
GATECH,Q4FY25,31-MAR-2025,4.13,0.15,0.1,95.87,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,21-APR-2025
GATECH,Q1FY26,14-JUN-2025,8.61,0.2,0.06,91.39,4.48,0.05,-0.04,STRONG_PROMOTER_BUY,2026-07-08,nse_xbrl,27-JUN-2025
GATECH,Q2FY26,30-SEP-2025,0.91,0.2,0.06,99.09,-7.7,0.0,0.0,PROMOTER_SELLING,2026-07-08,nse_xbrl,14-OCT-2025
GATECH,Q3FY26,31-DEC-2025,0.91,0.22,0.06,99.09,0.0,0.02,0.0,STABLE,2026-07-08,nse_xbrl,17-FEB-2026
GATECH,Q4FY26,31-MAR-2026,0.91,0.35,0.06,99.09,0.0,0.13,0.0,STABLE,2026-07-08,nse_xbrl,08-APR-2026
GATECHDVR,Q1FY25,30-JUN-2024,0.16,0.43,0.04,99.84,,,,STABLE,2026-07-08,nse_xbrl,17-JUL-2024
GATECHDVR,Q2FY25,30-SEP-2024,0.08,0.21,0.02,99.92,-0.08,-0.22,-0.02,STABLE,2026-07-08,nse_xbrl,16-OCT-2024
GATECHDVR,Q3FY25,31-DEC-2024,0.08,0.21,0.02,99.92,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,18-JAN-2025
GATECHDVR,Q4FY25,31-MAR-2025,0.08,0.21,0.02,99.92,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,21-APR-2025
GATECHDVR,Q1FY26,14-JUN-2025,9.03,0.22,0.02,90.97,8.95,0.01,0.0,STRONG_PROMOTER_BUY,2026-07-08,nse_xbrl,27-JUN-2025
GATECHDVR,Q2FY26,30-SEP-2025,0.0,0.22,0.01,100.0,-9.03,0.0,-0.01,PROMOTER_SELLING,2026-07-08,nse_xbrl,14-OCT-2025
GATECHDVR,Q3FY26,31-DEC-2025,0.0,0.22,0.02,100.0,0.0,0.0,0.01,STABLE,2026-07-08,nse_xbrl,17-FEB-2026
GATECHDVR,Q4FY26,31-MAR-2026,0.0,0.22,0.02,100.0,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,08-APR-2026
GATEWAY,Q1FY25,30-JUN-2024,32.32,11.82,43.6,67.68,,,,STABLE,2026-07-08,nse_xbrl,04-JUL-2024
GATEWAY,Q2FY25,30-SEP-2024,32.32,10.51,42.88,67.68,0.0,-1.31,-0.72,STABLE,2026-07-08,nse_xbrl,15-OCT-2024
GATEWAY,Q3FY25,31-DEC-2024,32.32,9.64,39.74,67.68,0.0,-0.87,-3.14,STABLE,2026-07-08,nse_xbrl,07-JAN-2025
GATEWAY,Q4FY25,31-MAR-2025,32.32,8.42,39.33,67.68,0.0,-1.22,-0.41,STABLE,2026-07-08,nse_xbrl,16-APR-2025
GATEWAY,Q1FY26,30-JUN-2025,32.32,7.64,37.55,67.68,0.0,-0.78,-1.78,STABLE,2026-07-08,nse_xbrl,21-JUL-2025
GATEWAY,Q2FY26,30-SEP-2025,32.32,7.689999999999999,36.03,67.67999999999999,0.0,0.05,-1.52,STABLE,2026-07-08,nse_xbrl,13-OCT-2025
GATEWAY,Q3FY26,31-DEC-2025,33.02,6.49,35.67,66.97999999999999,0.7,-1.2,-0.36,STABLE,2026-07-08,nse_xbrl,06-JAN-2026
GATEWAY,Q4FY26,31-MAR-2026,33.92,6.65,33.989999999999995,66.08000000000001,0.9,0.16,-1.68,STABLE,2026-07-08,nse_xbrl,09-APR-2026
GAYAHWS,Q1FY25,30-JUN-2024,61.15,4.08,0.0,38.85,,,,STABLE,2026-07-08,nse_xbrl,12-JUL-2024
GAYAHWS,Q2FY25,30-SEP-2024,61.15,4.08,0.0,38.85,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,16-OCT-2024
GAYAHWS,Q3FY25,31-DEC-2024,61.15,4.08,0.0,38.85,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,17-JAN-2025
GAYAHWS,Q4FY25,31-MAR-2025,61.15,4.08,0.0,38.85,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,07-APR-2025
GAYAHWS,Q1FY26,30-JUN-2025,61.15,3.32,,38.85,0.0,-0.76,,STABLE,2026-07-08,nse_xbrl,14-JUL-2025
GAYAHWS,Q2FY26,30-SEP-2025,61.150000000000006,3.32,,38.85,0.0,0.0,,STABLE,2026-07-08,nse_xbrl,14-OCT-2025
GAYAHWS,Q3FY26,31-DEC-2025,61.150000000000006,2.58,,38.85,0.0,-0.74,,STABLE,2026-07-08,nse_xbrl,08-JAN-2026
GAYAHWS,Q4FY26,31-MAR-2026,61.150000000000006,1.91,,38.85,0.0,-0.67,,STABLE,2026-07-08,nse_xbrl,07-APR-2026
GCSL,Q3FY26,31-DEC-2025,63.27,1.23,0.27,36.73,,,,STABLE,2026-07-08,nse_xbrl,21-JAN-2026
GCSL,Q4FY26,23-JAN-2026,61.63999999999999,1.14,0.25,38.36,-1.63,-0.09,-0.02,PROMOTER_SELLING,2026-07-08,nse_xbrl,02-FEB-2026
