symbol,holding_signal,holding_score,announcement_score,ai_tone_score,management_score,management_label,announcement_types,as_of_date
BOSCHLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BPCL,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
BPL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BRIGADE,FII_DII_DIVERGENCE,40.0,65.0,,50.0,NEUTRAL,BONUS,2026-08-18
BRIGHOTEL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BRITANNIA,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BRNL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BSE,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
BSL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BSOFT,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BTML,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
BUILDPRO,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BUTTERFLY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BVCL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CAMLINFINE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CAMPUS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CAMS,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CANBK,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CANFINHOME,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CANHLIFE,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
CANTABIL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CAPACITE,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
CAPILLARY,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
CAPITALSFB,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CAPLIPOINT,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CARBORUNIV,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CARERATING,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CARRARO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CARTRADE,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
CARYSIL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CASTROLIND,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CCAVENUE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CCCL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CCHHL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CCL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CDSL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CEATLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CEIGALL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CEINSYS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CELEBRITY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CELLO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CEMPRO,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CENTENKA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CENTEXT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CENTRALBK,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND|DIVIDEND,2026-08-18
CENTRUM,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
CENTUM,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
CENTURYPLY,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
CERA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CESC,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
CEWATER,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
CGCL,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
CGPOWER,DII_ACCUMULATION,55.0,70.0,,61.0,POSITIVE,DIVIDEND,2026-08-18
CHALET,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
CHAMBLFERT,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
CHEMCON,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CHEMPLASTS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CHENNPETRO,DII_ACCUMULATION,55.0,70.0,,61.0,POSITIVE,DIVIDEND,2026-08-18
CHEVIOT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CHOICEIN,PROMOTER_SELLING,20.0,50.0,,32.0,WEAK,,2026-08-18
CHOLAFIN,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
CHOLAHLDNG,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
CIEINDIA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CIFL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CINELINE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CINEVISTA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CIPLA,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
CLEAN,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
CLEANMAX,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CLSEL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CMPDI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CMRGREEN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CMSINFO,FII_DII_DIVERGENCE,40.0,75.0,,54.0,NEUTRAL,BUYBACK|DIVIDEND,2026-08-18
CNL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
COALINDIA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
COASTCORP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
COCHINSHIP,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
COFORGE,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
COHANCE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
COLPAL,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
COMPUSOFT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
COMSYN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CONCOR,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
CONCORDBIO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CONFIPET,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CONSOFINVT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CONTROLPR,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CORALFINAC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CORDELIA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
COROMANDEL,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
CORONA,FII_DII_ACCUMULATION,75.0,70.0,80.0,75.5,HIGH_CONVICTION,DIVIDEND,2026-08-18
COSMOFIRST,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
COUNCODOS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CPEDU,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CPPLUS,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
CRAFTSMAN,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
CRAMC,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
CREATIVEYE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CREDITACC,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
CREST,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CRISIL,DII_ACCUMULATION,55.0,70.0,,61.0,POSITIVE,DIVIDEND|DIVIDEND,2026-08-18
CRIZAC,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
CROMPTON,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CROWN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CSBBANK,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CSLFINANCE,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
CTE,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
CUB,DII_ACCUMULATION,55.0,65.0,,59.0,POSITIVE,BONUS,2026-08-18
CUBEXTUB,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CUMMINSIND,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
CUPID,STABLE,50.0,65.0,,56.0,POSITIVE,BONUS,2026-08-18
CURAA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
CYBERTECH,STABLE,50.0,80.0,,62.0,POSITIVE,BUYBACK,2026-08-18
CYIENT,DII_ACCUMULATION,55.0,80.0,,65.0,POSITIVE,BUYBACK,2026-08-18
CYIENTDLM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DABUR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DALBHARAT,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
DALMIASUG,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
DAMCAPITAL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DAMODARIND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DANGEE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DATAMATICS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DATAPATTNS,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
DAVANGERE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DBCORP,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
DBEIL,STABLE,50.0,55.0,,52.0,NEUTRAL,STOCK_SPLIT,2026-08-18
DBL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DBSTOCKBRO,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
DCAL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DCBBANK,FII_DII_ACCUMULATION,75.0,70.0,70.0,72.0,POSITIVE,DIVIDEND,2026-08-18
DCMSHRIRAM,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
DCMSRIND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DCW,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
DCXINDIA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DDEVPLSTIK,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
DECCANCE,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
DEEPAKFERT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DEEPAKNTR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DEEPINDS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DELHIVERY,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
DELPHIFX,STABLE,50.0,60.0,,54.0,NEUTRAL,STOCK_SPLIT|BONUS,2026-08-18
DELTACORP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DELTAMAGNT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DEN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DENORA,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
DENTA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DEVIT,PROMOTER_SELLING,20.0,50.0,,32.0,WEAK,,2026-08-18
DEVX,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DEVYANI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DGCONTENT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DHAMPURSUG,FII_ACCUMULATION,60.0,70.0,,64.0,POSITIVE,DIVIDEND,2026-08-18
DHANBANK,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DHANUKA,DII_ACCUMULATION,55.0,80.0,,65.0,POSITIVE,BUYBACK,2026-08-18
DHARMAJ,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DHUNINV,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DIACABS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DIAMINESQ,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DIAMONDYD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DICIND,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
DIFFNKG,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
DIGIDRIVE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DIGITIDE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DIGJAMLMTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DIVGIITTS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DIVISLAB,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DIXON,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DJML,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DLF,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
DLINKINDIA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DMART,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DMCC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DNAMEDIA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DODLA,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
DOLATALGO,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
DOLLAR,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
DOLPHIN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DOMS,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
DONEAR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DPABHUSHAN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DPWIRES,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DRCSYSTEMS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DREAMFOLKS,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
DREDGECORP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DRREDDY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DSSL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DTIL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DVL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
DWARKESH,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DYCL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
DYNAMATECH,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
DYNPRO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
E2E,DII_ACCUMULATION,55.0,55.0,,55.0,POSITIVE,STOCK_SPLIT,2026-08-18
EASEMYTRIP,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
EBGNG,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
ECLERX,STABLE,50.0,65.0,,56.0,POSITIVE,BONUS,2026-08-18
EDELWEISS,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
EFCIL,DII_ACCUMULATION,55.0,45.0,,51.0,NEUTRAL,FUNDRAISE,2026-08-18
EICHERMOT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EIDPARRY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EIEL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EIHAHOTELS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EIHOTEL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EIMCOELECO,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
EKC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ELANTAS,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ELDEHSG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ELECON,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
ELECTCAST,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
ELECTHERM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ELGIEQUIP,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
ELGIRUBCO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ELIN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ELLEN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EMAMILTD,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
EMAMIPAP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EMBDL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EMCURE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EMIL,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
EMKAY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EMMBI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EMMVEE,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
EMSLIMITED,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EMUDHRA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ENDURANCE,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
ENERGYDEV,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ENGINERSIN,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
ENIL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ENRIN,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ENTERO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EPACK,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EPACKPEB,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EPIGRAL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
EPL,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
EQUITASBNK,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
ERIS,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ESABINDIA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ESAFSFB,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ESCORTS,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ESSARSHPNG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ESSENTIA,STABLE,50.0,45.0,,48.0,NEUTRAL,FUNDRAISE,2026-08-18
ESTER,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ETERNAL,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
ETHOSLTD,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
EUREKAFORB,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EUROBOND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EUROPRATIK,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
EVEREADY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EVERESTIND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EXCELINDUS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EXCELSOFT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EXICOM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EXIDEIND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EXPLEOSOL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
EXXARO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FABTECH,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FACT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FAIRCHEMOR,STRONG_PROMOTER_BUY,70.0,80.0,100.0,83.0,HIGH_CONVICTION,BUYBACK,2026-08-18
FAZE3Q,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FCL,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
FDC,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
FEDERALBNK,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
FEDFINA,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
FIBERWEB,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FIEMIND,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
FILATEX,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FINCABLES,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
FINEORG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FINKURVE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FINOPB,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FINPIPE,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
FIRSTCRY,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
FISCHER,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FIVESTAR,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
FLAIR,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
FLUOROCHEM,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
FMGOETZE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FOCUS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FOODSIN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FORCEMOT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FORTIS,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
FOSECOIND,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
FRACTAL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
FSL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
FUSION,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
GABRIEL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GAEL,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
GAIL,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
GALAPREC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GALAXYSURF,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GALLANTT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GANDHAR,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
GANDHITUBE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GANECOS,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
GANESHBE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GANESHCP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GANESHHOU,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GANGAFORGE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GANGESSECU,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GARFIBRES,STABLE,50.0,80.0,,62.0,POSITIVE,BUYBACK,2026-08-18
GARUDA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GATECH,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GATECHDVR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GATEWAY,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
GAYAHWS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GCSL,PROMOTER_SELLING,20.0,50.0,,32.0,WEAK,,2026-08-18
GEECEE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GEEKAYWIRE,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
