"TckrSymb","FinInstrmNm"
"THAKKERS","THAKKERS GROUP LIMITED"
"FOODSIN","FOODS & INNS LTD."
"IVP","IVP LTD."
"KLRFM","KOVILPATTI LAKSHMI ROLLER FLOU"
"OLYOI","OLYMPIC OIL INDUSTRIES LTD."
"MLKFOOD","MILKFOOD LTD."
"SIGNGCL","SIGNATURE GREEN CORPORATION LI"
"WIPRO","WIPRO LTD."
"ORIBEVER","ORIENT BEVERAGES LTD."
"DHANUKA","DHANUKA AGRITECH LTD."
"TTKHLTCARE","TTK HEALTHCARE LTD."
"TGVSL","TGV SRAAC Limited"
"LIMECHM","LIME CHEMICALS LTD."
"KANPRPLA","KANPUR PLASTIPACK LTD."
"TAINWALCHM","TAINWALA CHEMICALS & PLASTICS"
"JAGSNPHARM","JAGSONPAL PHARMACEUTICALS LTD."
"KHAICHEM","KHAITAN CHEMICALS & FERTILIZER"
"UNTTEMI","UNITED LEASING & INDUSTRIES LT"
"NOL","NATIONAL OXYGEN LTD."
"GILLETTE","GILLETTE INDIA LTD."
"WIREFABR","WIRES & FABRIKS (SA) LTD."
"ANSALHSG","ANSAL HOUSING LIMITED"
"COMPUPN","COMPUTER POINT LTD."
"MCCHRLS-B","MAC CHARLES (INDIA) LTD."
"ADDIND","ADDI INDUSTRIES LTD."
"PIONRINV","PIONEER INVESTCORP LTD."
"UNITECH","UNITECH LTD."
"VIPIND","V.I.P.INDUSTRIES LTD."
"FIBERWEB","FIBERWEB (INDIA) LTD."
"GYFTR","GYFTR LIMITED"
"EASTBUILD","EAST BUILDTECH LTD."
"BAJAJST","BAJAJ STEEL INDUSTRIES LTD."
"KIDUJA","KIDUJA INDIA LTD."
"KEYCORP","KEY CORP LTD."
"GUJHOTE","GUJARAT HOTELS LTD."
"FYNX","FYNX CAPITAL LIMITED"
"RASRESOR","RAS RESORTS & APART HOTELS LTD"
"JOLYPLS","JOLLY PLASTIC INDUSTRIES LTD."
"PARMCOS-B","PARAMOUNT COSMETICS (INDIA) LT"
"JINDHOT","JINDAL HOTELS LTD."
"DESIFARMS","Desi Farms India Limited"
"SIMMOND","SIMMONDS MARSHALL LTD."
"BNALTD","B & A LTD."
"HAWKINCOOK","HAWKINS COOKERS LTD."
"WARRENTEA","WARREN TEA LTD."
"COCHMAL","COCHIN MALABAR ESTATES & INDUS"
"BESTEAST","BEST EASTERN HOTELS LTD."
"NEAGI","NEELAMALAI AGRO INDUSTRIES LTD"
"ISTLTD","IST LTD."
"COSMOFIRST","Cosmo First Limited"
"NEWMKTAVE","NEW MARKETS AVENUE LIMITED"
"APOLLOHOSP","APOLLO HOSPITALS ENTERPRISE LT"
"NITINCAST","Nitin Castings Limited"
"NEXOME","NEXOME CAPITAL MARKETS LIMITED"
"EVERESTIND","EVEREST INDUSTRIES LTD."
"IRONWOOD","IRONWOOD EDUCATION LIMITED"
"PANCARBON","PANASONIC CARBON INDIA CO.LTD."
"FINKURVE","FINKURVE FINANCIAL SERVICES LT"
"HBLEAS","HB LEASING & FINANCE CO.LTD."
"SHRICON","SHRICON INDUSTRIES LTD."
"SULABEN","SULABH ENGINEERS & SERVICES LT"
"FRONTCAP","FRONTIER CAPITAL LIMITED"
"NAVNETEDUL","NAVNEET EDUCATION LIMITED"
"AUSOMENT","AUSOM ENTERPRISE LIMITED"
"THAKRAL","THAKRAL SERVICES (INDIA) LTD."
"RUCHINFRA","RUCHI INFRASTRUCTURE LTD."
"GOLDLEG","GOLDEN LEGAND LEASING & FINANC"
"VJTFEDU","VJTF EDUSERVICES LTD."
"VOLLF","VOLTAIRE LEASING & FINANCE LTD"
"NETLINK","NETLINK SOLUTIONS (INDIA) LTD."
"TRILIANCE","TRILIANCE POLYMERS LIMITED"
"LANCORHOL","LANCOR HOLDINGS LTD."
"INDINFO","INDIAN INFOTECH & SOFTWARE LTD"
"BANASFN","BANAS FINANCE LTD."
"VISAKAIND","VISAKA INDUSTRIES LTD."
"INFOMEDIA","INFOMEDIA PRESS LTD."
"HATHWAYB","HATHWAY BHAWANI CABLETEL & DAT"
"GUFICBIO","GUFIC BIOSCIENCES LTD."
"GRPLTD","GRP LTD."
"INDAG","INDAG RUBBER LTD."
"MMRUBBR-B","MM RUBBER COMPANY LTD."
"PTL","PTL ENTERPRISES LTD."
"TVSSRICHAK","TVS SRICHAKRA LTD."
"SEL","SANATHNAGAR ENTERPRISES LIMITE"
"BENARAS","BENARES HOTELS LTD."
"BHAGWOX","BHAGWATI OXYGEN LTD."
"BOMOXY-B1","BOMBAY OXYGEN INVESTMENTS LIMI"
"CRAVATEX","CRAVATEX LTD."
"BERGEPAINT","BERGER PAINTS INDIA LTD."
"CAPRIHANS","CAPRIHANS INDIA LTD."
"GRAPHITE","GRAPHITE INDIA LTD."
"CEMPRO","Cemindia Projects Limited"
"EMPIND","EMPIRE INDUSTRIES LTD."
"GRAVISSHO","GRAVISS HOSPITALITY LTD."
"GARFIBRES","GARWARE TECHNICAL FIBRES LIMIT"
"GARWAMAR","GARWARE MARINE INDUSTRIES LTD."
"GOACARBON","GOA CARBON LTD."
"HARDCAS","HARDCASTLE & WAUD MFG.CO.LTD."
"HEG","HEG LTD."
"HINDCOMPOS","HINDUSTAN COMPOSITES LTD."
"BIRLANU","BIRLANU LIMITED"
"INDIANCARD","INDIAN CARD CLOTHING CO.LTD."
"INTLCONV","INTERNATIONAL CONVEYORS LTD."
"JAYSREETEA","JAY SHREE TEA & INDUSTRIES LTD"
"KOTIC","KOTHARI INDUSTRIAL CORPORATION"
"MODRNSH","MODERN SHARES & STOCKBROKERS L"
"MAPROIN","MAPRO INDUSTRIES LTD."
"HUHTAMAKI","HUHTAMAKI INDIA LIMITED"
"PREMSYN","PREMIER SYNTHETICS LTD."
"SHALPAINTS","SHALIMAR PAINTS LTD."
"HINDMILL","HINDOOSTAN MILLS LTD."
"SUPREMEIND","SUPREME INDUSTRIES LTD."
"THACKER","THACKER & CO.LTD."
"UPHOT","U.P.HOTELS LTD."
"VSTIND","VST INDUSTRIES LTD."
"SWASTIVI","SWASTI VINAYAKA SYNTHETICS LTD"
"MADHUSE","MADHUSUDAN SECURITIES LTD."
"YAMNINV","YAMINI INVESTMENTS COMPANY LTD"
"PREMCAP","PREMIER CAPITAL SERVICES LTD."
"ZMILGFIN","MILGREY FINANCE & INVESTMENT L"
"JINDRILL","JINDAL DRILLING & INDUSTRIES L"
"SAKTHIFIN","SAKTHI FINANCE LTD."
"AEROENTER","AEROFLEX ENTERPRISES LIMITED"
"JMDVL","JMD Ventures Limited"
"SHIVATEX","SHIVA TEXYARN LTD."
"VBDESAI","V.B.DESAI FINANCIAL SERVICES L"
"QUADRANT","QUADRANT TELEVENTURES LIMITED"
"1STCUS","FIRST CUSTODIAN FUND (INDIA) L"
"KAMANWALA","KAMANWALA HOUSING CONSTRUCTION"
"AXISOL","AXIS SOLUTIONS LIMITED"
"WSFX","WSFX Global Pay Limited"
"ANJANIFOODS","Anjani Foods Limited"
"RKDAGRRTL","RKD AGRI AND RETAIL LIMITED"
"CANFINHOME","CAN FIN HOMES LTD."
"IVC","IL&FS INVESTMENT MANAGERS LTD."
"SHRIRAMFIN","Shriram Finance Limited"
"CHOLAFIN","CHOLAMANDALAM INVESTMENT AND F"
"BOMTALKIES","BOMBAY TALKIES LIMITED"
"ICONIKSPEV","ICONIK SPORTS AND EVENTS LIMIT"
"VLSFINANCE","VLS FINANCE LTD."
"INDCEMCAP","INDIA CEMENTS CAPITAL LTD."
"ADMANUM","AD-MANUM FINANCE LTD."
"MEHIF","MEHTA INTEGRATED FINANCE LTD."
"INTRGLB","INTER GLOBE FINANCE LTD."
"MCLTD","MUNOTH COMMUNICATION LIMITED"
"SHRISTI","SHRISTI INFRASTRUCTURE DEVELOP"
"CREST","CREST"
"VAKRANGEE","VAKRANGEE LIMITED"
"SYLPH","Sylph Industries Limited"
"DHARFIN","DHARANI FINANCE LTD."
"ALEXANDER","Alexander Stamps And Coin Limi"
"INDBANK","INDBANK MERCHANT BANKING SERVI"
"SHRYDUS","SHRYDUS INDUSTRIES LIMITED"
"BHARAT","Bharat Bhushan Finance & Commo"
"CAPTRUST","CAPITAL TRUST LTD."
"USHAKIRA","USHAKIRAN FINANCE LTD."
"VIVOBIOT","VIVO BIO TECH LTD."
"VEERHEALTH","VEERHEALTH CARE LIMITED"
"PANINDIAC","PAN INDIA CORPORATION LTD."
"SAHARAHOUS","SAHARA HOUSINGFINA CORPORATION"
"NDASEC","NDA SECURITIES LTD."
"SUPRATRE","Supra Trends Limited"
"GSBFIN","GSB FINANCE LTD."
"MORARKFI","MORARKA FINANCE LTD."
"MONARCH","Monarch Networth Capital Limit"
"PROFINC","PRO FIN CAPITAL SERVICES LTD."
"TEAMGTY","TEAM INDIA GUARANTY LIMITED"
"CRESCENTIS","Crescentis Capital Limited"
"MANTRA","Mantra Capital Limited"
"BEFOUNDMOL","BEFOUND MOVEMENT LIMITED"
"AVONMORE","AVONMORE CAPITAL & MANAGEMENT"
"LIBORDFIN","LIBORD FINANCE LTD"
"YASHMGM","YASH MANAGEMENT & SATELLITE LT"
"ARIHANTCAP","ARIHANT CAPITAL MARKETS LTD."
"ISLCONSUL","ISL CONSULTING LTD."
"DCMFINSERV","DCM FINANCIAL SERVICES LTD."
"RRFIN","RR FINANCIAL CONSULTANTS LTD."
"FEDDERSHOL","FEDDERS HOLDING LIMITED"
"SAMBHAAV","SAMBHAAV MEDIA LTD."
"DJSSS","DJS STOCK & SHARES LTD."
"SUGALDAM","SUGAL & DAMANI SHARE BROKERS L"
"NETTLINX","NETTLINX LTD."
"BGIL","BGIL FILMS & TECHNOLOGIES LTD."
"SCANSTL","Scan Steels Limited"
"GICHSGFIN","GIC HOUSING FINANCE LTD."
"AJCON","AJCON GLOBAL SERVICES LTD."
"CHRTEDCA","CHARTERED CAPITAL & INVESTMENT"
"STANCAP","STANDARD CAPITAL MARKETS LTD."
"YOGI","YOGI LIMITED"
"CUBIFIN","CUBICAL FINANCIAL SERVICES LTD"
"RELICTEC","RELIC TECHNOLOGIES LTD."
"INVIGO","Invigorated Business Consultin"
"BAIDFIN","BAID FINSERV LIMITED"
"VIPULLTD","VIPUL LTD."
"KZLFIN","K.Z.LEASING & FINANCE LTD."
"RFL","RUPAREL FOOD PRODUCTS LIMITED"
"UGROCAP","UGRO CAPITAL LIMITED"
"SAHLIBHFI","SHALIBHADRA FINANCE LTD."
"ABIRAFN","ABIRAMI FINANCIAL SERVICES (IN"
"MANSIFIN","MANSI FINANCE (CHENNAI) LTD."
"AASTAFIN","Aastamangalam Finance Limited"
"MUTHOOTCAP","MUTHOOT CAPITAL SERVICES LTD."
"MASTERTR","MASTER TRUST LTD."
"EFCIL","EFC (I) LIMITED"
"SOBME","SOBHAGYA MERCHANTILE LTD."
"TTGIL","TOMORROW TECHNOLOGIES GLOBAL I"
"ZSARACOM","SARASWATI COMMERCIAL (INDIA) L"
"ASGARD","ASGARD ALCOBEV LIMITED"
"SKYBIOTECH","SKYBIOTECH HEALTHCARE LIMITED"
"TCC","TCC CONCEPT LIMITED"
"ROYALIND","ROYAL INDIA CORPORATION LIMITE"
"DHANSAFAL","DHANSAFAL FINSERVE LIMITED"
"TANDHANIN","TANDHAN INDUSTRIES LIMITED"
"VISVEN","VISHVPRABHA VENTURES LIMITED"
"MRUTR","MRUGESH TRADING LTD."
"DECNGOLD","DECCAN GOLD MINES LTD."
"UPL","UPL LIMITED"
"CRANESSOFT","CRANES SOFTWARE INTERNATIONAL"
"SAICOM","SAIANAND COMMERCIAL LIMITED"
"EY","EYANTRA VENTURES LIMITED"
"NIDHGRN","NIDHI GRANITES LTD."
"AVIVA","AVIVA INDUSTRIES LTD."
"ROSEMER","ROSE MERC.LTD."
"SIGIND","SIGNET INDUSTRIES LIMITED"
"AVANCE","AVANCE TECHNOLOGIES LTD."
"SECURKLOUD","SECUREKLOUD TECHNOLOGIES LIMIT"
"ABANSENT","ABANS ENTERPRISES LTD"
"VAMA","VAMA INDUSTRIES LTD."
"SUNTECK","SUNTECK REALTY LTD."
"SILVERO","SILVER OAK COMMERCIAL LTD."
"PRISMMEDI","PRISM MEDICO AND PHARMACY LTD."
"VERITAS","VERITAS (INDIA) LTD."
"JAICORPLTD","JAI CORP LTD."
"ASHCAP","ASHIRWAD CAPITAL LTD."
"SVARTCORP","SWASTI VINAYAKA ART AND HERITA"
"MMWL","MEDIA MATRIX WORLDWIDE LTD."
"AUTOINT","AUTORIDERS INTERNATIONAL LTD."
"BHAGYANGR","BHAGYANAGAR INDIA LTD."
"CHMBBRW","CHAMBAL BREWERIES & DISTILLERI"
"SGMART","SG MART LIMITED"
"ARAVALIS","ARAVALI SECURITIES & FINANCE L"
"LEXGLOBAL","LEXORA GLOBAL LIMITED"
"CUPIDALBV","CUPID BREWERIES AND DISTILLERI"
"CRSL","CRESSANDA RAILWAY SOLUTIONS LI"
"STARTECK","STARTECK FINANCE LIMITED"
"SHARDUL","SHARDUL SECURITIES LTD."
"SERA","SERA INVESTMENTS & FINANCE IND"
"MERCTRD","MERCURY TRADE LINKS LTD."
"NIRAVCOM","NIRAV COMMERCIALS LTD."
"APOLLOFI","APOLLO FINVEST (INDIA) LTD."
"ENBETRD","Enbee Trade &amp; Finance Ltd"
"GANONPRO","Ganon Products Limited"
"SHRJAGP","SHRI JAGDAMBA POLYMERS LTD."
"LLOYDSME","LLOYDS METALS AND ENERGY LTD."
"LLOYDSENT","LLOYDS ENTERPRISES LIMITED"
"BETXIND","BETEX INDIA LTD."
"VIRYA","VIRYA RESOURCES LIMITED"
"OASISEC","OASIS SECURITIES LTD."
"GARNETINT","GARNET INTERNATIONAL LTD."
"SHALPRO","SHALIMAR PRODUCTIONS LTD."
"DONEAR","DONEAR INDUSTRIES LTD."
"SUPER","SUPER SALES INDIA LTD."
"VIYASH","VIYASH SCIENTIFIC LIMITED"
"STCINDIA","STATE TRADING CORPORATION OF I"
"ZENITHEXPO","ZENITH EXPORTS LTD."
"KOHINOOR","KOHINOOR FOODS LTD."
"AVANTIFEED","AVANTI FEEDS LTD."
"ZODJRDMKJ","ZODIAC-JRD-MKJ LTD."
"SITAENT","SITA ENTERPRISES LTD."
"PULSRIN","PULSAR INTERNATIONAL LTD."
"MANBRO","Manbro Industries Limited"
"KEYFINSERV","KEYNOTE FINANCIAL SERVICES LIM"
"ADANIENT","ADANI ENTERPRISES LTD."
"ASTALLTD","ASTAL LABORATORIES LIMITED"
"HARIAEXPO","HARIA EXPORTS LTD."
"BHANDARI","BHANDARI HOSIERY EXPORTS LTD."
"RLF","RLF LTD."
"REGENTRP","Regent Enterprises Limited"
"ORBTEXP","ORBIT EXPORTS LTD."
"SAVERA","SAVERA INDUSTRIES LTD."
"CHROME","Chrome Silicon Limited"
"NAVA","NAVA LIMITED"
"REMIEDEL","REMI EDELSTAHL TUBULARS LIMITE"
"GSAUTO","G.S.AUTO INTERNATIONAL LTD."
"TRANSFRE","TRANS-FREIGHT CONTAINERS LTD."
"SBCL","SHIVALIK BIMETAL CONTROLS LTD."
"GANDHITUBE","GANDHI SPECIAL TUBES LTD."
"AMFORG","AMFORGE INDUSTRIES LTD."
"ORICONENT","ORICON ENTERPRISES LTD."
"ACROW","ACROW INDIA LTD."
"STLSTRINF","STEEL STRIPS INFRASTRUCTURES L"
"PENIND","PENNAR INDUSTRIES LTD."
"JYOTISTRUC","JYOTI STRUCTURES LTD."
"JAYUSH","JAY USHIN LTD."
"SSWL","STEEL STRIPS WHEELS LTD."
"MANINDS","MAN INDUSTRIES (INDIA) LTD."
"IMEC","IMEC SERVICES LIMITED"
"MDRNSTL","MODERN STEELS LTD."
"BELDING","BELDING INDIA LIMITED"
"GUJTLRM","GUJARAT TOOLROOM LTD."
"AJMERA","AJMERA REALTY & INFRA INDIA LT"
"COCHINM","COCHIN MINERALS & RUTILE LTD."
"INDIAHOMES","India Homes Limited"
"KVFORGE","KRISHANVEER FORGE LIMITED"
"CARBORUNIV","CARBORUNDUM UNIVERSAL LTD."
"MMTC","MMTC LTD."
"VALLABHSQ","VALLABH STEELS LTD."
"SMFIL","SMITHS & FOUNDERS (INDIA) LIMI"
"BLOIN","BLOOM INDUSTRIES LTD."
"SHAHALLOYS","SHAH ALLOYS LTD."
"ELANGO","ELANGO INDUSTRIES LTD."
"KANSHST","KANISHK STEEL INDUSTRIES LTD."
"MAHALXSE","MAHALAXMI SEAMLESS LTD."
"SIMPLEXCAS","SIMPLEX CASTINGS LTD."
"SSWRL","SHREE STEEL WIRE ROPES LTD."
"SIZEMASTER","SIZEMASTERS TECHNOLOGY LIMITED"
"SOUTHMG","SOUTHERN MAGNESIUM & CHEMICALS"
"BAROEXT","BARODA EXTRUSION LTD."
"GUJCONT","GUJARAT CONTAINERS LTD."
"KALYANIFRG","KALYANI FORGE LTD."
"PANCHMAHQ","PANCHMAHAL STEEL LTD."
"ADITYA","ADITYA ISPAT LTD."
"STEELCAS","STEELCAST LTD."
"PITTIENG","PITTI ENGINEERING LIMITED"
"GLITTEKG","GLITTEK GRANITES LTD."
"PRADPME","PRADEEP METALS LTD."
"GNRL","GUJARAT NATURAL RESOURCES LIMI"
"TNSTLTU","TAMILNADU STEEL TUBES LTD."
"MSCTC","MARDIA SAMYOUNG CAPILLARY TUBE"
"SHRDAIS","SHARDA ISPAT LTD."
"MAHASTEEL","MAHAMAYA STEEL INDUSTRIES LTD."
"NOVIS","NOVA IRON & STEEL LTD."
"STERPOW","STERLING POWERGENSYS LTD"
"HINDCOPPER","HINDUSTAN COPPER LTD."
"TULSYAN","TULSYAN NEC LTD."
"AXELPOLY","AXEL POLYMERS LTD."
"NLCINDIA","NLC India Limited"
"SPECTRA","SPECTRA INDUSTRIES LTD."
"KAJARIR","KIC METALIKS LTD."
"SOLIDSTON","SOLID STONE COMPANY LTD."
"SHILGRAVQ","SHILP GRAVURES LTD."
"WHITEORG","White Organic Agro Limited"
"RUDRAECO","RUDRA ECOVATION LIMITED"
"RAJKSYN","RAJKAMAL SYNTHETICS LTD."
"DEEPAKSP","DEEPAK SPINNERS LTD."
"LOYALTEX","LOYAL TEXTILE MILLS LTD."
"HIMATSEIDE","HIMATSINGKA SEIDE LTD."
"BSL","BSL LTD."
"NEWTRAC","NEWTRAC FOODS & BEVERAGES LIMI"
"PBMPOLY","PBM POLYTEX LTD."
"ADINATH","ADINATH TEXTILES LTD."
"SURYALA","SURYALATA SPINNING MILLS LTD."
"TTL","T T LTD."
"WELSPUNLIV","WELSPUN LIVING LIMITED"
"INDIANACRY","INDIAN ACRYLICS LTD."
"GANECOS","GANESHA ECOSPHERE LTD."
"CEETAIN","CEETA INDUSTRIES LTD."
"VARDMNPOLY","VARDHMAN POLYTEX LTD."
"BLACKROSE","BLACK ROSE INDUSTRIES LTD."
"STCORP","S&T CORPORATION LTD."
"SUMEETINDS","SUMEET INDUSTRIES LTD."
"RAMGOPOLY","RAMGOPAL POLYTEX LTD."
"SANGAMIND","SANGAM (INDIA) LTD."
"MKVENTURES","MKVENTURES CAPITAL LIMITED"
"KUSHIND","Kush Industries Limited"
"SRECR","SREECHEM RESINS LTD."
"SURBHIN","SURBHI INDUSTRIES LTD."
"SEASONST","SEASONS TEXTILES LTD."
"ZENIFIB","ZENITH FIBRES LTD."
"BHILSPIN","BHILWARA SPINNERS LTD."
"VGL","VARVEE GLOBAL LIMITED"
"SANTETX","SANRHEA TECHNICAL TEXTILES LTD"
"ASHIMASYN","ASHIMA LTD."
"PIONEEREMB","PIONEER EMBROIDERIES LTD."
"VIPPYSP","VIPPY SPINPRO LTD."
"JAIHIND","JAIHIND INDUSTRIES LIMITED"
"RAGHUSYN","RAGHUVIR SYNTHETICS LTD."
"JATTAINDUS","JATTASHANKAR INDUSTIES LTD."
"KAMADGIRI","KAMADGIRI FASHION LTD."
"OMNITEX","OMNITEX INDUSTRIES (INDIA) LTD"
"PATSPINLTD","PATSPIN INDIA LTD."
"ONEGLOBAL","ONE GLOBAL SERVICE PROVIDER LI"
"NEOINFRA","NEO INFRACON LTD."
"CCME","CCME GLOBAL LIMITED"
"PREMIERPOL","PREMIER POLYFILM LTD."
"EVERFIN","EVERLON FINANCIALS LIMITED"
"KRRAIL","K&R RAIL ENGINEERING LIMITED"
"YARNSYN","YARN SYNDICATE LTD."
"GUJCOTEX","GUJARAT COTEX LTD."
"GARWSYN","GARWARE SYNTHETICS LTD."
"ECOHOTELS","ECO HOTELS AND RESORTS LIMITED"
"OXFORDIN","OXFORD INDUSTRIES LTD."
"MANORG","MANGALAM ORGANICS LIMITED"
"HINDADH","HINDUSTAN ADHESIVES LTD."
"BPAGRI","Blue Pearl Agriventures Limite"
"SRIKPRIND","SRI KPR INDUSTRIES LTD."
"JYOTIRES","JYOTI RESINS & ADHESIVES LTD."
"MHLXMIRU","MAHALAXMI RUBTECH LTD."
"SOUTLAT","SOUTHERN LATEX LTD."
"WINSOMTX","WINSOME TEXTILE INDUSTRIES LTD"
"MODINSU","MODERN INSULATORS LTD."
"REGENCERAM","REGENCY CERAMICS LTD."
"ASAHIINDIA","ASAHI INDIA GLASS LTD."
"MURUDCERA","MURUDESHWAR CERAMICS LTD."
"SEKURITIND","SAINT-GOBAIN SEKURIT INDIA LTD"
"ANANTRAJ","ANANT RAJ LIMITED"
"MADHUDIN","MADHUSUDAN INDUSTRIES LTD."
"RESTILE","RESTILE CERAMICS LTD."
"MADHAV","MADHAV MARBLES & GRANITES LTD."
"HALDYNGL","HALDYN GLASS LTD"
"DUROPLY","DUROPLY INDUSTRIES LIMITED"
"SHREYANIND","SHREYANS INDUSTRIES LTD."
"AGIOPAPER","AGIO PAPER & INDUSTRIES LTD."
"STARPAPER","STAR PAPER MILLS LTD."
"PAKKA","PAKKA LIMITED"
"TAHMARENT","TAHMAR ENTERPRISES LIMITED"
"KSSMART","KS Smart Technologies Limited"
"NATPLY","NATIONAL PLYWOOD INDUSTRIES LT"
"ARROWGREEN","Arrow Greentech Limited"
"VISHNU","VISHNU CHEMICALS LTD."
"JUMBO","JUMBO BAG LTD."
"NRAIL","N.R.AGARWAL INDUSTRIES LTD."
"SANPA","SANGAL PAPERS LTD."
"VENTURA","VENTURA TEXTILES LTD."
"SHKARTP","SHREE KARTHIK PAPERS LTD."
"STHINPA","SOUTH INDIA PAPER MILLS LTD."
"FAMILYCARE","FAMILY CARE HOSPITALS LIMITED"
"VINDHYATEL","VINDHYA TELELINKS LTD."
"RIR","RIR POWER ELECTRONICS LIMITED"
"ADOR","ADOR WELDING LTD."
"SALZERELEC","SALZER ELECTRONICS LTD."
"JETKINGQ","JETKING INFOTRAIN LTD."
"INDAGIV","IND-AGIV COMMERCE LTD."
"APLAB","APLAB LTD."
"PCS","PCS TECHNOLOGY LTD."
"USHAMART","USHA MARTIN LTD."
"SPELS","SPEL SEMICONDUCTOR LTD."
"SUBROS","SUBROS LTD."
"EDVENSWA","Edvenswa Enterprises Limited"
"PERVASIVE","Pervasive Commodities Limited"
"HONAUT","HONEYWELL AUTOMATION INDIA LTD"
"SWITCHTE","SWITCHING TECHNOLOGIES GUNTHER"
"LUMAXIND","LUMAX INDUSTRIES LTD."
"DIGISPICE","DIGISPICE TECHNOLOGIES LIMITED"
"CALCOM","CALCOM VISION LTD."
"DYNAVSN","DYNAVISION LTD."
"BCCFUBA","BCC FUBA INDIA LTD."
"PRECISIO","PRECISION ELECTRONICS LTD."
"FINELINE","FINE-LINE CIRCUITS LTD."
"HBLENGINE","HBL ENGINEERING LIMITED"
"S&SPOWER","S&S POWER SWITCHGEAR LTD."
"RNITAI","RNIT AI SOLUTIONS LIMITED"
"GUJARATPOLY","Gujarat Poly Electronics Limit"
"GIPCL","GUJARAT INDUSTRIES POWER CO.LT"
"MAGNUS","MAGNUS STEEL AND INFRA LIMITED"
"MOTHERSON","Samvardhana Motherson Internat"
"MINDTECK","MINDTECK (INDIA) LTD."
"HAVELLS","HAVELLS INDIA LTD."
"ACIIN","ACI INFOCOM LTD."
"SBECSYS","SBEC SYSTEMS (INDIA) LTD."
"INCAP","INCAP LTD."
"GUJINTRX","GUJARAT INTRUX LTD."
"IGARASHI","IGARASHI MOTORS INDIA LTD."
"SYMPHONY","SYMPHONY LIMITED"
"REGANTO","REGANTO ENTERPRISES LIMITED"
"PANELEC","PAN ELECTRONICS INDIA LTD."
"VXLINSTR","VXL INSTRUMENTS LTD."
"SHYAMTEL","SHYAM TELECOM LTD."
"LEENEE","LEE & NEE SOFTWARES (EXPORTS)"
"PATELSAI","PATELS AIRTEMP (INDIA) LTD."
"BUTTERFLY","BUTTERFLY GANDHIMATHI APPLIANC"
"ATHENAGLO","Athena Global Technologies Lim"
"NARMP","NARMADA MACPLAST DRIP IRRIGATI"
"RSSOFTWARE","R.S.SOFTWARE INDIA LTD."
"MAGNAELQ","MAGNA ELECTRO CASTINGS LTD."
"MARSONS","MARSONS LIMITED"
"ELNET","ELNET TECHNOLOGIES LTD."
"ACCEL","ACCEL LIMITED"
"WEBELSOLAR","WEBSOL ENERGY SYSTEM LTD."
"ROTO","ROTO PUMPS LTD."
"TTKPRESTIG","TTK PRESTIGE LTD."
"DHINDIA","D&H INDIA LTD"
"RAJRATAN","RAJRATAN GLOBAL WIRE LTD."
"SURANAT&P","SURANA TELECOM AND POWER LIMIT"
"ONWARDTEC","ONWARD TECHNOLOGIES LTD."
"CENTUM","CENTUM ELECTRONICS LTD."
"ALFATRAN","ALFA TRANSFORMERS LTD."
"NHCFOODS","NHC FOODS LTD."
"PVP","PVP VENTURES LTD."
"TRIGYN","TRIGYN TECHNOLOGIES LTD."
"KEI","KEI INDUSTRIES LTD."
"KEERTHI","KEERTHI INDUSTRIES LTD."
"SRICC","Sri Chakra Cement Limited"
"SURAJ","SURAJ PRODUCTS LTD."
"MODINATUR","MODI NATURALS LIMITED"
"TASTYBITE","TASTY BITE EATABLES LTD."
"RITESHIN","RITESH INTERNATIONAL LTD."
"AVTNPL","AVT NATURAL PRODUCTS LTD."
"HNDFDS","HINDUSTAN FOODS LTD."
"NAHARINDUS","NAHAR INDUSTRIAL ENTERPRISES L"
"VADILENT","VADILAL ENTERPRISES LTD."
"VADILALIND","VADILAL INDUSTRIES LTD."
"ASHAI","ASHIANA AGRO INDUSTRIES LTD."
"ADFFOODS","ADF FOODS LTD."
"RGRL","Retro Green Revolution Limited"
"WILLIMFI","WILLIAMSON FINANCIAL SERVICES"
"AJANTSOY","AJANTA SOYA LTD."
"WILLAMAGOR","WILLIAMSON MAGOR & COMPANY LTD"
"KISAAN","KISAAN PARIVAR INDUSTRIES LIMI"
"SIEL","SUPERIOR INDUSTRIAL ENTERPRISE"
"SPTRSHI","SAPTARISHI AGRO INDUSTRIES LTD"
"SANWARIA","SANWARIA CONSUMER LIMITED"
"PRIMAGR","PRIMA AGRO LTD."
"TARAI","TARAI FOODS LTD."
"MODAIRY","MODERN DAIRIES LTD."
"BAMBINO","BAMBINO AGRO INDUSTRIES LTD."
"PRIMIND","PRIME INDUSTRIES LTD."
"VIKASWSP","VIKAS WSP LTD."
"VSFPROJ","VSF PROJECTS LTD."
"POONADAL","POONA DAL & OIL INDUSTRIES LTD"
"TRANSFD","TRANSGLOBE FOODS LTD."
"ANIKINDS","ANIK INDUSTRIES LTD."
"SHINDL","SHARAT INDUSTRIES LTD."
"KSE","KSE LTD."
"VIRATCRA","VIRAT CRANE INDUSTRIES LTD."
"IBINFO","IB INFOTECH ENTERPRISES LTD."
"AMBARPIL","Ambar Protein Industries Limit"
"CHORDIA","CHORDIA FOOD PRODUCTS LTD."
"CIANAGRO","CIAN Agro Ind & Infra Ltd"
"BKV","BKV INDUSTRIES LTD."
"NORBTEAEXP","NORBEN TEA & EXPORTS LTD."
"ASIANTNE","ASIAN TEA & EXPORTS LTD."
