"ISIN","COMPANY_NAME","FACE_VALUE","NSE_SYMBOL","NSE_SERIES","NSE_LISTING_DATE","NSE_DATA_SOURCE","BSE_SYMBOL","BSE_CODE","SctySrs","BSE_LISTING_DATE","BSE_DATA_SOURCE","LISTED_NSE","LISTED_BSE","LAST_UPDATED"
"INE0VWL01017","Chemkart India Limited","","","","","","CHEMKART","544442","MT","","","False","True","09-06-2026"
"INE488A01050","Chemplast Sanmar Limited","5","CHEMPLASTS","EQ","24-08-2021","","CHEMPLASTS","543336","B","","","True","True","09-06-2026"
"INE212P01011","CHEMTECH INDUSTRIAL VALVES LTD","","","","","","CHEMTECH","537326","X","","","False","True","09-06-2026"
"INE777O01016","CHENNAI FERROUS INDUSTRIES LIM","","","","","","CHENFERRO","539011","X","","","False","True","09-06-2026"
"INE889F01017","CHENNAI MEENAKSHI MULTISPECIAL","","","","","","CMMHOSP","523489","X","","","False","True","09-06-2026"
"INE178A01016","CHENNAI PETROLEUM CORPORATION","10","CHENNPETRO","EQ","07-06-2000","","CHENNPETRO","500110","A","","","True","True","09-06-2026"
"INE974B01016","CHEVIOT CO.LTD.","10","CHEVIOT","EQ","20-06-2022","","CHEVIOT","526817","B","","","True","True","09-06-2026"
"INE790D01020","CHL LTD.","","","","","","CHLLTD","532992","X","","","False","True","09-06-2026"
"INE102B01014","CHOICE INTERNATIONAL LTD.","10","CHOICEIN","EQ","08-04-2022","","CHOICEIN","531358","A","","","True","True","09-06-2026"
"INE865B01016","CHOKSI ASIA LIMITED","","","","","","CHOKSI","530427","XT","","","False","True","09-06-2026"
"INE493D01013","CHOKSI LABORATORIES LTD.","","","","","","CHOKSILA","526546","XT","","","False","True","09-06-2026"
"INE149A01033","CHOLAMANDALAM FINANCIAL HOLDIN","1","CHOLAHLDNG","EQ","25-09-2017","","CHOLAHLDNG","504973","A","","","True","True","09-06-2026"
"INE121A01024","CHOLAMANDALAM INVESTMENT AND F","2","CHOLAFIN","EQ","15-05-1996","","CHOLAFIN","511243","A","","","True","True","09-06-2026"
"INE975C01011","CHORDIA FOOD PRODUCTS LTD.","","","","","","CHORDIA","519475","X","","","False","True","09-06-2026"
"INE490A01015","CHOWGULE STEAMSHIPS LTD.","","","","","","CHOWGULSTM","501833","X","","","False","True","09-06-2026"
"INE114E01013","Chrome Silicon Limited","","","","","","CHROME","513005","X","","","False","True","09-06-2026"
"INE052V01019","CIAN Agro Ind & Infra Ltd","","","","","","CIANAGRO","519477","T","","","False","True","09-06-2026"
"INE536H01010","CIE Automotive India Limited","10","CIEINDIA","EQ","30-08-2007","","CIEINDIA","532756","A","","","True","True","09-06-2026"
"INE830A01012","CIL SECURITIES LTD.","","","","","","CILSEC","530829","X","","","False","True","09-06-2026"
"INE908C01012","CINDRELLA HOTELS LTD.","","","","","","CINDHO","526373","X","","","False","True","09-06-2026"
"INE704H01022","CINELINE INDIA LIMITED","5","CINELINE","EQ","13-06-2012","","CINELINE","532807","B","","","True","True","09-06-2026"
"INE039B01026","CINEVISTA LTD.","2","CINEVISTA","EQ","02-05-2000","","CINEVISTA","532324","B","","","True","True","09-06-2026"
"INE059A01026","CIPLA LTD.","2","CIPLA","EQ","08-02-1995","","CIPLA","500087","A","","","True","True","09-06-2026"
"INE906D01014","CITADEL REALTY AND DEVELOPERS","","","","","","CITADEL","502445","X","","","False","True","09-06-2026"
"INE0A8401016","Citichem India Limited","","","","","","CITICHEM","544324","M","","","False","True","09-06-2026"
"INE494D01011","CITIPORT FINANCIAL SERVICES LT","","","","","","CITIPOR","531235","XT","","","False","True","09-06-2026"
"INE2Q7823014","Citius TransNet Investment Tru","","","","","","CITIUSINVT","544753","IF","","","False","True","09-06-2026"
"INE0M7501019","CITY CROPS AGRO LIMITED","","","","","","CCAL","544000","MT","","","False","True","09-06-2026"
"INE158C01014","City Online Services Limited","","","","","","CITYONLINE","538674","Z","","","False","True","09-06-2026"
"INE056001014","CITY PULSE MULTIVENTURES LIMIT","","","","","","CPML","542727","M","","","False","True","09-06-2026"
"INE491A01021","CITY UNION BANK LTD.","1","CUB","EQ","25-08-1998","","CUB","532210","A","","","True","True","09-06-2026"
"INE117C01010","CITYMAN LTD.","","","","","","CITYMAN","521210","X","","","False","True","09-06-2026"
"INE201M01029","CL Educate Limited","5","CLEDUCATE","BE","31-03-2017","","CLEDUCATE","540403","T","","","True","True","09-06-2026"
"INE949C01016","Classic Leasing & Finance Ltd.","","","","","","CLFL","540481","X","","","False","True","09-06-2026"
"INE647U01026","Clean Max Enviro Energy Soluti","1","CLEANMAX","EQ","02-03-2026","","CLEANMAX","544717","B","","","True","True","09-06-2026"
"INE227W01023","Clean Science and Technology L","1","CLEAN","EQ","19-07-2021","","CLEAN","543318","A","","","True","True","09-06-2026"
"INE011B01017","CLIO INFOTECH LTD.","","","","","","CLIOINFO","530839","XT","","","False","True","09-06-2026"
"INE0WDX01010","CLN ENERGY LIMITED","","","","","","CLN","544347","M","","","False","True","09-06-2026"
"INE925R01014","CMS Info Systems Limited","10","CMSINFO","EQ","31-12-2021","","CMSINFO","543441","A","","","True","True","09-06-2026"
"INE027F01014","CMX HOLDINGS LIMITED","","","","","","CMXLTD","532217","X","","","False","True","09-06-2026"
"INE522F01014","COAL INDIA LTD.","10","COALINDIA","EQ","04-11-2010","","COALINDIA","533278","A","","","True","True","09-06-2026"
"INE377E01024","COASTAL CORPORATION LTD.","2","COASTCORP","EQ","08-10-2021","","COASTCORP","501831","B","","","True","True","09-06-2026"
"INE229E01019","COASTAL ROADWAYS LTD.","","","","","","COARO","520131","P","","","False","True","09-06-2026"
"INE788M01017","COCHIN MALABAR ESTATES & INDUS","","","","","","COCHMAL","508571","X","","","False","True","09-06-2026"
"INE105D01013","COCHIN MINERALS & RUTILE LTD.","","","","","","COCHINM","513353","X","","","False","True","09-06-2026"
"INE704P01025","Cochin Shipyard Limited","5","COCHINSHIP","EQ","11-08-2017","","COCHINSHIP","540678","A","","","True","True","09-06-2026"
"INE335K01011","Coffee Day Enterprises Limited","10","COFFEEDAY","BE","02-11-2015","","COFFEEDAY","539436","T","","","True","True","09-06-2026"
"INE591G01025","COFORGE LIMITED","2","COFORGE","EQ","30-08-2004","","COFORGE","532541","A","","","True","True","09-06-2026"
"INE03QK01018","Cohance Lifesciences Limited","1","COHANCE","EQ","09-03-2020","","COHANCE","543064","A","","","True","True","09-06-2026"
"INE259A01022","COLGATE-PALMOLIVE (INDIA) LTD.","1","COLPAL","EQ","17-12-2007","","COLPAL","500830","A","","","True","True","09-06-2026"
"INE923C01011","COLINZ LABORATORIES LTD.","","","","","","COLINZ","531210","X","","","False","True","09-06-2026"
"INE621I01042","COLORCHIPS NEW MEDIA LIMITED","","","","","","COLORCHIPS","540023","X","","","False","True","09-06-2026"
"INE456N01019","COMFORT COMMOTRADE LTD.","","","","","","COMCL","534691","XT","","","False","True","09-06-2026"
"INE274M01026","COMFORT FINCAP LTD.","","","","","","COMFINCAP","535267","X","","","False","True","09-06-2026"
"INE819A01049","COMFORT INTECH LTD.","1","COMFINTE","EQ","20-04-2026","","COMFINTE","531216","B","","","True","True","09-06-2026"
"INE073V01015","Commercial Syn Bags Limited","10","COMSYN","EQ","23-01-2024","","COMSYN","539986","B","","","True","True","09-06-2026"
"INE823B01015","COMPETENT AUTOMOBILES CO.LTD.","","","","","","COMPEAU","531041","X","","","False","True","09-06-2026"
"INE070C01037","COMPUAGE INFOCOM LTD.","2","COMPINFO","BZ","07-07-2016","","COMPINFO","532456","Z","","","True","True","09-06-2026"
"INE453B01029","COMPUCOM SOFTWARE LTD.","2","COMPUSOFT","EQ","02-03-2012","","COMPUSOFT","532339","B","","","True","True","09-06-2026"
"INE596I01020","Computer Age Management Servic","2","CAMS","EQ","07-05-2021","","CAMS","543232","A","","","True","True","09-06-2026"
"INE607B01012","COMPUTER POINT LTD.","","","","","","COMPUPN","507833","X","","","False","True","09-06-2026"
"INE0NXA01015","Comrade Appliances Limited","","","","","","COMRADE","543921","M","","","False","True","09-06-2026"
"INE714D01020","CONART ENGINEERS LTD.","","","","","","CONART","522231","X","","","False","True","09-06-2026"
"INE338H01029","Concord Biotech Limited","1","CONCORDBIO","EQ","18-08-2023","","CONCORDBIO","543960","A","","","True","True","09-06-2026"
"INE0N0J01014","Concord Control Systems Limite","","","","","","CNCRD","543619","M","","","False","True","09-06-2026"
"INE858L01010","Concord Drugs Limited","","","","","","CONCORD","538965","X","","","False","True","09-06-2026"
"INE037Z01029","Concord Enviro Systems Limited","5","CEWATER","EQ","27-12-2024","","CEWATER","544315","B","","","True","True","09-06-2026"
"INE700F01024","CONFIDENCE FUTURISTIC ENERGETE","","","","","","CFEL","539991","X","","","False","True","09-06-2026"
"INE552D01024","CONFIDENCE PETROLEUM INDIA LTD","1","CONFIPET","EQ","13-06-2019","","CONFIPET","526829","B","","","True","True","09-06-2026"
"INE187R01029","Consecutive Commodities Limite","","","","","","CCDL","539091","X","","","False","True","09-06-2026"
"INE429I01024","CONSOLIDATED CONSTRUCTION CONS","2","CCCL","EQ","15-10-2007","","CCCL","532902","B","","","True","True","09-06-2026"
"INE537B01011","CONSTRONICS INFRA LIMITED","","","","","","CONSTRONIC","523844","X","","","False","True","09-06-2026"
"INE0M8901010","CONTAINE TECHNOLOGIES LIMITED","","","","","","CONTAINE","543606","MT","","","False","True","09-06-2026"
"INE111A01025","CONTAINER CORPORATION OF INDIA","5","CONCOR","EQ","07-05-1997","","CONCOR","531344","A","","","True","True","09-06-2026"
"INE319U01022","Containerway International Lim","","","","","","CONTAINER","540597","X","","","False","True","09-06-2026"
"INE080G01029","CONTIL INDIA LTD.","","","","","","CONTILI","531067","X","","","False","True","09-06-2026"
"INE423K01015","CONTINENTAL CHEMICALS LTD.","","","","","","CONTCHM","506935","X","","","False","True","09-06-2026"
"INE545B01022","CONTINENTAL CONTROLS LTD.","","","","","","CONTICON","531460","X","","","False","True","09-06-2026"
"INE369D01023","CONTINENTAL PETROLEUMS LTD.","","","","","","CONTPTR","523232","X","","","False","True","09-06-2026"
"INE183Q01020","Continental Securities Limited","","","","","","CSL","538868","X","","","False","True","09-06-2026"
"INE663B01015","CONTROL PRINT LTD.","10","CONTROLPR","EQ","24-06-2016","","CONTROLPR","522295","B","","","True","True","09-06-2026"
"INE558D01021","CORAL INDIA FINANCE & HOUSING","2","CORALFINAC","EQ","25-03-1996","","CORALFINAC","531556","B","","","True","True","09-06-2026"
"INE683E01017","CORAL LABORATORIES LTD.","","","","","","CORALAB","524506","X","","","False","True","09-06-2026"
"INE792I01017","CORDS CABLE INDUSTRIES LTD.","10","CORDSCABLE","BE","13-02-2008","","CORDSCABLE","532941","T","","","True","True","09-06-2026"
"INE312J01012","COROMANDEL ENGINEERING COMPANY","","","","","","COROENGG","533167","X","","","False","True","09-06-2026"
"INE169A01031","COROMANDEL INTERNATIONAL LTD.","1","COROMANDEL","EQ","31-05-1995","","COROMANDEL","506395","A","","","True","True","09-06-2026"
"INE02ZQ01018","Corona Remedies Limited","10","CORONA","EQ","15-12-2025","","CORONA","544644","B","","","True","True","09-06-2026"
"INE850R01014","Corporate Merchant Bankers Lim","","","","","","CMBL","540199","X","","","False","True","09-06-2026"
"INE0ORA01015","Cosmic CRF Limited","","","","","","COSMICCRF","543928","MT","","","False","True","09-06-2026"
"INE124B01018","COSMO FERRITES LTD.","","","","","","COSMOFE","523100","XT","","","False","True","09-06-2026"
"INE757A01017","Cosmo First Limited","10","COSMOFIRST","EQ","25-05-1995","","COSMOFIRST","508814","B","","","True","True","09-06-2026"
"INE0CQB01010","Cospower Engineering Limited","","","","","","COSPOWER","543172","MT","","","False","True","09-06-2026"
"INE029B01019","COSYN Limited","","","","","","COSYN","538922","X","","","False","True","09-06-2026"
"INE652F01027","COUNTRY CLUB HOSPITALITY AND H","2","CCHHL","EQ","03-02-2015","","CCHHL","526550","B","","","True","True","09-06-2026"
"INE695B01025","COUNTRY CONDOS LTD.","1","COUNCODOS","EQ","22-01-2009","","COUNCODOS","531624","B","","","True","True","09-06-2026"
"INE0R8101016","COVANCE SOFTSOL LIMITED","","","","","","COVANCE","544361","XT","","","False","True","09-06-2026"
"INE899M01020","COVIDH","","","","","","COVIDH","534920","XT","","","False","True","09-06-2026"
"INE521J01018","CP CAPITAL LIMITED","10","CPCAP","BE","06-10-2010","","CPCAP","533260","T","","","True","True","09-06-2026"
"INE00LO01017","Craftsman Automation Limited","5","CRAFTSMAN","EQ","25-03-2021","","CRAFTSMAN","543276","A","","","True","True","09-06-2026"
"INE176L01017","Crane Infrastructure Limited","","","","","","CRANEINFRA","538770","X","","","False","True","09-06-2026"
"INE234B01023","CRANES SOFTWARE INTERNATIONAL","","","","","","CRANESSOFT","512093","Z","","","False","True","09-06-2026"
"INE608B01010","CRANEX LTD.","","","","","","CRANEX","522001","X","","","False","True","09-06-2026"
"INE145E01017","CRAVATEX LTD.","","","","","","CRAVATEX","509472","X","","","False","True","09-06-2026"
"INE230B01021","CREATIVE EYE LTD.","5","CREATIVEYE","EQ","20-12-2000","","CREATIVEYE","532392","B","","","True","True","09-06-2026"
"INE985W01018","CREATIVE NEWTECH LIMITED","10","CNL","EQ","05-08-2019","","CNL","544631","B","","","True","True","09-06-2026"
"INE727C01024","CREDENT GLOBAL FINANCE LIMITED","","","","","","CGFL","539598","X","","","False","True","09-06-2026"
"INE741K01010","CreditAccess Grameen Ltd.","10","CREDITACC","EQ","23-08-2018","","CREDITACC","541770","A","","","True","True","09-06-2026"
"INE220Q01020","Credo Brands Marketing Limited","2","MUFTI","EQ","27-12-2023","","MUFTI","544058","B","","","True","True","09-06-2026"
"INE754C01010","Crescentis Capital Limited","","","","","","CRESCENTIS","511571","X","","","False","True","09-06-2026"
"INE716D01033","CRESSANDA RAILWAY SOLUTIONS LI","","","","","","CRSL","512379","X","","","False","True","09-06-2026"
"INE559D01011","CREST","10","CREST","EQ","27-12-2006","","CREST","511413","B","","","True","True","09-06-2026"
"INE293N01016","CRESTCHEM LTD.","","","","","","CRSTCHM","526269","X","","","False","True","09-06-2026"
"INE007A01025","CRISIL LTD.","1","CRISIL","EQ","28-06-1995","","CRISIL","500092","A","","","True","True","09-06-2026"
"INE0S4R01014","CRIZAC LIMITED","2","CRIZAC","EQ","09-07-2025","","CRIZAC","544439","B","","","True","True","09-06-2026"
"INE587J01027","CROISSANCE LIMITED","","","","","","CROISSANCE","531909","X","","","False","True","09-06-2026"
"INE299U01018","Crompton Greaves Consumer Elec","2","CROMPTON","EQ","13-05-2016","","CROMPTON","539876","A","","","True","True","09-06-2026"
"INE293E01031","CROPSTER AGRO LIMITED","","","","","","CROPSTER","523105","B","","","False","True","09-06-2026"
"INE0TL001013","CRYOGENIC OGS LIMITED","","","","","","CRYOGENIC","544440","M","","","False","True","09-06-2026"
"INE994R01028","CRYSTAL BUSINESS SYSTEM LIMITE","","","","","","CRYSTAL","540821","XT","","","False","True","09-06-2026"
"INE679A01013","CSB Bank Limited","10","CSBBANK","EQ","04-12-2019","","CSBBANK","542867","A","","","True","True","09-06-2026"
"INE718F01018","CSL Finance Limited","10","CSLFINANCE","EQ","21-07-2022","","CSLFINANCE","530067","B","","","True","True","09-06-2026"
"INE0NR623014","Cube Highways Trust","","","","","","CUBEINVIT","543899","IF","","","False","True","09-06-2026"
"INE144D01012","CUBEX TUBINGS LTD.","10","CUBEXTUB","EQ","24-04-1996","","CUBEXTUB","526027","B","","","True","True","09-06-2026"
"INE717D01023","CUBICAL FINANCIAL SERVICES LTD","","","","","","CUBIFIN","511710","XT","","","False","True","09-06-2026"
"INE298A01020","CUMMINS INDIA LTD.","2","CUMMINSIND","EQ","29-03-1995","","CUMMINSIND","500480","A","","","True","True","09-06-2026"
"INE108G01010","CUPID BREWERIES AND DISTILLERI","","","","","","CUPIDALBV","512361","XT","","","False","True","09-06-2026"
"INE509F01029","CUPID LTD.","1","CUPID","EQ","16-09-2016","","CUPID","530843","B","","","True","True","09-06-2026"
"INE0H8H01019","CWD Limited","","","","","","CWD","543378","MS","","","False","True","09-06-2026"
"INE183D01010","CYBELE INDUSTRIES LTD.","","","","","","CYBELEIND","531472","X","","","False","True","09-06-2026"
"INE278G01037","CYBER MEDIA (INDIA) LTD.","10","CYBERMEDIA","BE","10-06-2005","","CYBERMEDIA","532640","T","","","True","True","09-06-2026"
"INE214A01019","CYBERTECH SYSTEMS AND SOFTWARE","10","CYBERTECH","EQ","27-01-1999","","CYBERTECH","532173","B","","","True","True","09-06-2026"
"INE055S01018","Cyient DLM Limited","10","CYIENTDLM","EQ","10-07-2023","","CYIENTDLM","543933","B","","","True","True","09-06-2026"
"INE136B01020","CYIENT LIMITED","5","CYIENT","EQ","30-09-1998","","CYIENT","532175","A","","","True","True","09-06-2026"
"INE950I01011","D B CORP LTD","10","DBCORP","EQ","06-01-2010","","DBCORP","533151","B","","","True","True","09-06-2026"
"INE266Y01019","D P ABHUSHAN LIMITED","10","DPABHUSHAN","EQ","03-11-2020","","DPABHUSHAN","544161","B","","","True","True","09-06-2026"
"INE589D01018","D&H INDIA LTD","","","","","","DHINDIA","517514","XT","","","False","True","09-06-2026"
"INE864X01013","D.P. WIRES LIMITED","10","DPWIRES","EQ","17-01-2020","","DPWIRES","543962","B","","","True","True","09-06-2026"
"INE016A01026","DABUR INDIA LTD.","1","DABUR","EQ","28-04-1999","","DABUR","500096","A","","","True","True","09-06-2026"
"INE928C01010","DAI-ICHI KARKARIA LTD.","10","DAICHI","EQ","20-04-2026","","DAICHI","526821","B","","","True","True","09-06-2026"
"INE789B01018","DAIKAFFIL CHEMICALS INDIA LTD.","","","","","","DAIKAFFI","530825","X","","","False","True","09-06-2026"
"INE422D01012","DALAL STREET INVESTMENTS LTD.","","","","","","DSINVEST","501148","XT","","","False","True","09-06-2026"
"INE00R701025","DALMIA BHARAT LIMITED","2","DALBHARAT","EQ","22-01-2019","","DALBHARAT","542216","A","","","True","True","09-06-2026"
"INE495A01022","DALMIA BHARAT SUGAR AND INDUST","2","DALMIASUG","EQ","17-01-1996","","DALMIASUG","500097","B","","","True","True","09-06-2026"
"INE642P01019","DALMIA INDUSTRIAL DEVELOPMENT","","","","","","DIDL","539900","X","","","False","True","09-06-2026"
"INE284H01025","DAM Capital Advisors Limited","2","DAMCAPITAL","EQ","27-12-2024","","DAMCAPITAL","544316","B","","","True","True","09-06-2026"
"INE497D01022","DAMODAR INDUSTRIES LTD.","5","DAMODARIND","EQ","04-07-2016","","DAMODARIND","521220","B","","","True","True","09-06-2026"
"INE310B01013","DANLAW TECHNOLOGIES INDIA LTD.","","","","","","DANLAW","532329","XT","","","False","True","09-06-2026"
"INE575D01041","DANUBE INDUSTRIES LIMITED","","","","","","DANUBE","540361","X","","","False","True","09-06-2026"
"INE830S01014","DARJEELING INDUSTRIIES LIMITED","","","","","","DARJEELING","539770","XT","","","False","True","09-06-2026"
"INE671T01028","Darshan Orna Limited","","","","","","DARSHANORNA","539884","X","","","False","True","09-06-2026"
"INE0IX101010","Data Patterns (India) Limited","2","DATAPATTNS","EQ","24-12-2021","","DATAPATTNS","543428","A","","","True","True","09-06-2026"
"INE365B01017","DATAMATICS GLOBAL SERVICES LTD","5","DATAMATICS","EQ","07-05-2004","","DATAMATICS","532528","B","","","True","True","09-06-2026"
"INE108C01019","DAULAT SECURITIES LTD.","","","","","","DAULAT","530171","X","","","False","True","09-06-2026"
"INE179G01029","Davangere Sugar Company Limite","1","DAVANGERE","EQ","25-01-2024","","DAVANGERE","543267","B","","","True","True","09-06-2026"
"INE0Q2L01013","Davin Sons Retail Limited","","","","","","DAVIN","544331","M","","","False","True","09-06-2026"
"INE921B01025","DB (INTERNATIONAL) STOCK BROKE","2","DBSTOCKBRO","EQ","29-02-2012","","DBSTOCKBRO","530393","B","","","True","True","09-06-2026"
"INE0A1101019","Dc Infotech and Communication","10","DCI","BE","19-10-2022","","DCI","543636","T","","","True","True","09-06-2026"
"INE503A01015","DCB BANK LIMITED","10","DCBBANK","EQ","27-10-2006","","DCBBANK","532772","A","","","True","True","09-06-2026"
"INE891B01012","DCM FINANCIAL SERVICES LTD.","10","DCMFINSERV","BE","21-05-1997","","DCMFINSERV","511611","T","","","True","True","09-06-2026"
"INE498A01018","DCM LTD.","10","DCM","EQ","29-03-1995","","DCM","502820","B","","","True","True","09-06-2026"
"INE08KP01019","DCM NOUVELLE LIMITED","10","DCMNVL","BE","16-07-2019","","DCMNVL","542729","T","","","True","True","09-06-2026"
"INE0OFM01015","DCM SHRIRAM FINE CHEMICALS LIM","2","DSFCL","EQ","17-02-2026","","DSFCL","544703","B","","","True","True","09-06-2026"
"INE843D01027","DCM SHRIRAM INDUSTRIES LTD.","2","DCMSRIND","EQ","24-12-2021","","DCMSRIND","523369","B","","","True","True","09-06-2026"
"INE0OU201013","DCM SHRIRAM INTERNATIONAL LIMI","2","DCMSIL","BE","17-02-2026","","DCMSIL","544702","T","","","True","True","09-06-2026"
"INE499A01024","DCM SHRIRAM LIMITED","2","DCMSHRIRAM","EQ","12-04-1995","","DCMSHRIRAM","523367","A","","","True","True","09-06-2026"
"INE500A01029","DCW LTD.","2","DCW","EQ","25-05-1995","","DCW","500117","B","","","True","True","09-06-2026"
"INE0KL801015","DCX Systems Limited","2","DCXINDIA","EQ","11-11-2022","","DCXINDIA","543650","B","","","True","True","09-06-2026"
"INE0HR601026","DDEV PLASTIKS INDUSTRIES LIMIT","1","DDEVPLSTIK","EQ","15-01-2025","","DDEVPLSTIK","543547","B","","","True","True","09-06-2026"
"INE244A01016","DE NORA INDIA LTD.","10","DENORA","EQ","07-08-1997","","DENORA","590031","B","","","True","True","09-06-2026"
"INE583C01021","DECCAN CEMENTS LTD.","5","DECCANCE","EQ","02-08-2007","","DECCANCE","502137","B","","","True","True","09-06-2026"
"INE945F01025","DECCAN GOLD MINES LTD.","1","DECNGOLD","EQ","20-04-2026","","DECNGOLD","512068","B","","","True","True","09-06-2026"
"INE452W01019","Deccan Health Care Limited","","","","","","DECCAN","542248","B","","","False","True","09-06-2026"
"INE643N01012","DECIPHER LABS LIMITED","","","","","","DECIPHER","524752","X","","","False","True","09-06-2026"
"INE907E01010","DECO-MICA LTD.","","","","","","DECOMIC","531227","X","","","False","True","09-06-2026"
"INE183R01010","Decorous Investment and Tradin","","","","","","DITCO","539405","X","","","False","True","09-06-2026"
"INE841L01016","DEE DEVELOPMENT ENGINEERS LIMI","10","DEEDEV","BE","26-06-2024","","DEEDEV","544198","T","","","True","True","09-06-2026"
"INE005G01026","Deep Health AI India Limited","","","","","","DEEPAI","539559","X","","","False","True","09-06-2026"
"INE0FHS01024","Deep Industries Limited","5","DEEPINDS","EQ","27-04-2021","","DEEPINDS","543288","B","","","True","True","09-06-2026"
"INE00IY01012","Deep Polymers Limited","","","","","","DEEP","541778","B","","","False","True","09-06-2026"
"INE0OPA01019","Deepak Builders and Engineers","10","DBEIL","BE","28-10-2024","","DBEIL","544276","T","","","True","True","09-06-2026"
"INE0RDM01013","DEEPAK CHEMTEX LIMITED","","","","","","DEEPAKCHEM","544036","M","","","False","True","09-06-2026"
"INE501A01019","DEEPAK FERTILISERS & PETROCHEM","10","DEEPAKFERT","EQ","17-01-2003","","DEEPAKFERT","500645","A","","","True","True","09-06-2026"
"INE288B01029","DEEPAK NITRITE LTD.","2","DEEPAKNTR","EQ","29-09-2010","","DEEPAKNTR","506401","A","","","True","True","09-06-2026"
"INE272C01013","DEEPAK SPINNERS LTD.","","","","","","DEEPAKSP","514030","X","","","False","True","09-06-2026"
"INE0ZE201010","Defrail Technologies Limited","","","","","","DEFRAIL","544677","M","","","False","True","09-06-2026"
"INE148O01028","Delhivery Limited","1","DELHIVERY","EQ","24-05-2022","","DELHIVERY","543529","A","","","True","True","09-06-2026"
"INE726L01027","DELPHI WORLD MONEY LIMITED","2","DELPHIFX","EQ","28-06-2011","","DELPHIFX","533452","B","","","True","True","09-06-2026"
"INE124G01033","DELTA CORP LTD.","1","DELTACORP","EQ","02-11-2007","","DELTACORP","532848","A","","","True","True","09-06-2026"
"INE681Q01015","Delta Industrial Resources Lim","","","","","","DELTA","539596","X","","","False","True","09-06-2026"
"INE393A01011","DELTA MANUFACTURING LIMITED","10","DELTAMAGNT","EQ","18-10-1995","","DELTAMAGNT","504286","B","","","True","True","09-06-2026"
"INE872E01016","DELTON CABLES LTD.","","","","","","DLTNCBL","504240","X","","","False","True","09-06-2026"
"INE947J01015","DEN NETWORKS LTD","10","DEN","EQ","24-11-2009","","DEN","533137","B","","","True","True","09-06-2026"
"INE051G01012","DENIS CHEM LAB LTD","","","","","","DENISCHEM","537536","X","","","False","True","09-06-2026"
"INE0R4L01018","Denta Water and Infra Solution","10","DENTA","EQ","29-01-2025","","DENTA","544345","B","","","True","True","09-06-2026"
"INE0TGG01014","Desco Infratech Limited","","","","","","DESCO","544387","MT","","","False","True","09-06-2026"
"INE358F01013","Desi Farms India Limited","","","","","","DESIFARMS","507984","XT","","","False","True","09-06-2026"
"INE0VOV01021","Dev Accelerator Limited","2","DEVX","EQ","17-09-2025","","DEVX","544513","B","","","True","True","09-06-2026"
"INE060X01034","DEV INFORMATION TECHNOLOGY LIM","2","DEVIT","EQ","15-02-2022","","DEVIT","543462","B","","","True","True","09-06-2026"
"INE0NIJ01025","Dev Labtech Venture Limited","","","","","","DEVLAB","543848","MT","","","False","True","09-06-2026"
"INE872J01023","Devyani International Limited","1","DEVYANI","EQ","16-08-2021","","DEVYANI","543330","A","","","True","True","09-06-2026"
"INE260R01016","Dhabriya Polywood Limited","","","","","","DHABRIYA","538715","X","","","False","True","09-06-2026"
"INE0I3401014","Dhampur Bio Organics Limited","10","DBOL","BE","08-09-2022","","DBOL","543593","T","","","True","True","09-06-2026"
"INE041A01016","DHAMPUR SUGAR MILLS LTD.","10","DHAMPURSUG","EQ","29-03-1995","","DHAMPURSUG","500119","B","","","True","True","09-06-2026"
"INE956B01013","DHAMPURE SPECIALITY SUGARS LTD","","","","","","DHAMPURE","531923","X","","","False","True","09-06-2026"
"INE220C01012","DHANALAXMI ROTO SPINNERS LTD.","","","","","","DHANROTO","521216","X","","","False","True","09-06-2026"
"INE413F01016","Dhanashree Electronics Limited","","","","","","DEL","542679","X","","","False","True","09-06-2026"
"INE680A01011","DHANLAXMI BANK LIMITED","10","DHANBANK","EQ","01-04-2004","","DHANBANK","532180","B","","","True","True","09-06-2026"
"INE195E01020","DHANSAFAL FINSERVE LIMITED","","","","","","DHANSAFAL","512048","X","","","False","True","09-06-2026"
"INE435G01025","DHANUKA AGRITECH LTD.","2","DHANUKA","EQ","29-06-2011","","DHANUKA","507717","B","","","True","True","09-06-2026"
"INE278R01034","DHARAN INFRA-EPC LIMITED","1","DHARAN","BZ","02-04-2018","","DHARAN","541161","Z","","","True","True","09-06-2026"
"INE899D01011","DHARANI FINANCE LTD.","","","","","","DHARFIN","511451","X","","","False","True","09-06-2026"
"INE00OQ01016","Dharmaj Crop Guard Limited","10","DHARMAJ","EQ","08-12-2022","","DHARMAJ","543687","B","","","True","True","09-06-2026"
"INE0M9Q01011","DHARNI CAPITAL SERVICES LIMITE","","","","","","DHARNI","543753","M","","","False","True","09-06-2026"
"INE715T01031","Dhatre Udyog Limited","","","","","","DHATRE","540080","X","","","False","True","09-06-2026"
"INE758D01027","DHENU BUILDCON INFRA LTD.","","","","","","DHENUBUILD","501945","Z","","","False","True","09-06-2026"
"INE313G01016","DHOOT INDUSTRIAL FINANCE LTD.","","","","","","DHOOTIN","526971","X","","","False","True","09-06-2026"
"INE590D01016","DHP INDIA LTD.","","","","","","DHPIND","531306","X","","","False","True","09-06-2026"
"INE506Z01015","Dhruv Consultancy Services Lim","10","DHRUV","BE","25-11-2021","","DHRUV","541302","T","","","True","True","09-06-2026"
