symbol,sector,pe_ratio,pb_ratio,roe_pct,pe_score,roe_score,growth_score,valuation_score,valuation_label,revenue_ttm_cr,profit_ttm_cr,yoy_revenue_pct,yoy_profit_pct,as_of_date
DIACABS,FINANCIAL_SERVICES,532.0,,1.84,0.0,7.359999999999999,100.0,22.94,EXPENSIVE_OR_WEAK,557.72,10.28,,,2024-12-31
DIAMINESQ,CHEMICALS,36.37,,8.77,67.55141187491635,35.08,100.0,61.05,FAIR_VALUE,36.7,3.22,,,2024-12-31
DIAMONDYD,FMCG,,,-3.59,50.0,0.0,100.0,40.0,MODERATE,885.68,-31.77,,,2024-12-31
DICIND,CHEMICALS,25.83,,2.07,76.95498951688451,8.28,100.0,54.09,MODERATE,440.23,9.13,,,2024-12-31
DIFFNKG,CAPITAL_GOODS,41.1,,10.23,63.33140027657582,40.92,100.0,61.7,FAIR_VALUE,71.08,7.27,,,2024-06-30
DIGIDRIVE,RETAIL,25.25,,5.69,77.47245394120534,22.76,100.0,60.09,FAIR_VALUE,25.48,1.45,,,2024-12-31
DIGISPICE,,,,-6.73,50.0,0.0,100.0,40.0,MODERATE,108.86,-7.33,,,2024-09-30
DIGJAMLMTD,TEXTILES,,,-92.81,50.0,0.0,100.0,40.0,MODERATE,10.99,-10.2,,,2024-12-31
DIL,,,,16.82,50.0,67.28,100.0,66.91,FAIR_VALUE,30.27,5.09,,,2024-12-31
DISHTV,,,,-10.92,50.0,0.0,100.0,40.0,MODERATE,768.65,-83.92,,,2024-12-31
DIVGIITTS,DEFENCE,115.68,,12.29,0.0,49.16,100.0,39.66,MODERATE,106.47,13.08,,,2024-12-31
DIVISLAB,PHARMA,79.41,,23.6,29.1519828701432,94.4,100.0,69.42,FAIR_VALUE,4657.0,1099.0,,,2024-12-31
DIXON,REALTY,43.3,,3.57,61.368604184324404,14.279999999999998,100.0,50.26,MODERATE,11534.08,411.7,,,2024-09-30
DJML,LOGISTICS,60.87,,7.77,45.69300084757104,31.08,100.0,50.71,MODERATE,39.37,3.06,,,2024-12-31
DLF,REALTY,36.22,,69.26,67.68523888120623,100.0,100.0,87.07,CHEAP_QUALITY,1528.71,1058.73,,,2024-12-31
DLINKINDIA,IT,17.15,,7.96,84.69911228085827,31.840000000000003,100.0,66.62,FAIR_VALUE,668.3,53.22,,,2024-12-31
DMART,RETAIL,103.05,,4.55,8.0608466788598,18.2,100.0,30.5,EXPENSIVE_OR_WEAK,30417.05,1382.98,,,2024-12-31
DMCC,CHEMICALS,23.1,,6.2,79.39064103136013,24.8,100.0,61.68,FAIR_VALUE,220.76,13.69,,,2024-12-31
DNAMEDIA,MEDIA,2.19,,157.11,98.0461257081679,100.0,100.0,99.22,CHEAP_QUALITY,4.57,7.18,,,2024-12-31
DODLA,FMCG,24.89,,7.98,77.79363875630102,31.920000000000005,100.0,63.89,FAIR_VALUE,1705.75,136.06,,,2024-12-31
DOLATALGO,FINANCIAL_SERVICES,6.14,,39.5,94.52201454253468,100.0,100.0,97.81,CHEAP_QUALITY,264.26,104.39,,,2024-12-31
DOLLAR,CHEMICALS,16.34,,5.6,85.42177811482358,22.4,100.0,63.13,FAIR_VALUE,827.6,46.37,,,2024-12-31
DOLPHIN,ENERGY,26.08,,62.97,76.73194450640139,100.0,100.0,90.69,CHEAP_QUALITY,45.23,28.48,,,2024-12-31
DOMS,FMCG,64.95,,11.26,42.0529062764866,45.04,100.0,54.84,MODERATE,958.89,107.95,,,2024-12-31
DONEAR,TEXTILES,10.57,,5.04,90.56965695677388,20.16,100.0,64.29,FAIR_VALUE,209.87,10.57,,,2024-09-30
DPABHUSHAN,FMCG,16.85,,2.99,84.96676629343801,11.96,100.0,58.77,FAIR_VALUE,2088.86,62.47,,,2024-12-31
DPSCLTD,,107.03,,1.81,4.509970111968597,7.24,100.0,24.7,EXPENSIVE_OR_WEAK,319.7,5.8,,,2024-12-31
DPWIRES,METAL,14.07,,3.67,87.44702681001027,14.679999999999998,100.0,60.85,FAIR_VALUE,299.32,10.98,,,2024-12-31
DRCSYSTEMS,IT,13.84,,20.61,87.65222821965473,82.44,100.0,88.04,CHEAP_QUALITY,33.09,6.82,,,2024-12-31
DREAMFOLKS,INFRASTRUCTURE,5.39,,5.02,95.19114957398403,20.08,100.0,66.11,FAIR_VALUE,656.92,32.97,,,2024-12-31
DREDGECORP,INFRASTRUCTURE,,,-3.3,50.0,0.0,100.0,40.0,MODERATE,528.94,-17.45,,,2024-12-31
DRREDDY,PHARMA,22.5,,16.69,79.92594905651961,66.76,100.0,78.67,CHEAP_QUALITY,8038.2,1341.9,,,2024-09-30
DSKULKARNI,,2.9,,,97.41267787839585,100.0,100.0,98.97,CHEAP_QUALITY,,2.34,,,2024-12-31
DSSL,IT,23.77,,5.94,78.79288040326537,23.76,100.0,61.02,FAIR_VALUE,617.35,36.68,,,2024-12-31
DTIL,FMCG,,,8.63,50.0,34.52,100.0,53.81,MODERATE,290.02,25.03,,,2024-12-31
DUCON,,8.79,,3.09,92.15773743141366,12.36,100.0,61.81,FAIR_VALUE,222.57,6.87,,,2024-12-31
DVL,DIVERSIFIED,2.54,,58.48,97.73386269349155,100.0,100.0,99.09,CHEAP_QUALITY,274.67,160.62,,,2024-12-31
DWARKESH,FMCG,,,-2.37,50.0,0.0,100.0,40.0,MODERATE,558.78,-13.27,,,2024-12-31
DYCL,CAPITAL_GOODS,15.02,,6.11,86.59945577017443,24.44,100.0,64.42,FAIR_VALUE,485.65,29.66,,,2024-12-31
DYNAMATECH,CAPITAL_GOODS,499.66,,1.12,0.0,4.48,100.0,21.79,EXPENSIVE_OR_WEAK,315.43,3.53,,,2024-12-31
DYNPRO,CHEMICALS,18.41,,3.98,83.57496542802338,15.920000000000002,100.0,59.8,FAIR_VALUE,97.84,3.89,,,2024-09-30
E2E,IT,13.16,,26.63,88.2589106481688,100.0,100.0,95.3,CHEAP_QUALITY,89.16,23.74,,,2024-12-31
EASEMYTRIP,HOSPITALITY,21.45,,20.6,80.8627381005487,82.4,100.0,85.31,CHEAP_QUALITY,295.24,60.82,,,2024-12-31
EASTSILK,,,,7.7,50.0,30.8,100.0,52.32,MODERATE,10.78,0.83,,,2024-12-31
ECLERX,IT,11.17,,16.77,90.0343489316144,67.08,100.0,82.85,CHEAP_QUALITY,831.84,139.5,,,2024-09-30
ECOSMOBLTY,,14.5,,8.7,87.06338939197931,34.8,100.0,68.75,FAIR_VALUE,327.83,28.52,,,2024-12-31
EDELWEISS,FINANCIAL_SERVICES,19.87,,4.84,82.27238256680198,19.36,100.0,60.65,FAIR_VALUE,2831.74,137.02,,,2024-09-30
EDUCOMP,,,,-1508.95,50.0,0.0,100.0,40.0,MODERATE,1.9,-28.67,,,2024-12-31
EICHERMOT,AUTO,42.69,,24.59,61.91283400990321,98.36,100.0,84.11,CHEAP_QUALITY,9236.19,2270.83,,,2024-12-31
EIDPARRY,FMCG,13.43,,5.58,88.01802203684703,22.32,100.0,64.14,FAIR_VALUE,18050.7,1007.23,,,2024-12-31
EIEL,CAPITAL_GOODS,21.7,,15.87,80.63969309006558,63.47999999999999,100.0,77.65,CHEAP_QUALITY,460.47,73.09,,,2024-12-31
EIFFL,,173.68,,3.14,0.0,12.560000000000002,100.0,25.02,EXPENSIVE_OR_WEAK,80.5,2.53,,,2024-12-31
EIHAHOTELS,HOSPITALITY,23.51,,20.6,79.02484721416782,82.4,100.0,84.57,CHEAP_QUALITY,203.85,41.99,,,2024-12-31
EIHOTEL,HOSPITALITY,25.65,,29.62,77.11558192443235,100.0,100.0,90.85,CHEAP_QUALITY,1389.16,411.53,,,2024-12-31
EIMCOELECO,CAPITAL_GOODS,26.27,,17.12,76.56243029843422,68.48,100.0,78.02,CHEAP_QUALITY,112.46,19.25,,,2024-12-31
EKC,CAPITAL_GOODS,11.52,,7.7,89.72208591693804,30.8,100.0,68.21,FAIR_VALUE,734.29,56.56,,,2024-12-31
ELDEHSG,REALTY,38.52,,15.11,65.63322478476157,60.43999999999999,100.0,70.43,FAIR_VALUE,68.04,10.28,,,2024-12-31
ELECON,CAPITAL_GOODS,30.69,,18.83,72.61899451309274,75.32,100.0,79.18,CHEAP_QUALITY,1037.03,195.26,,,2024-12-31
ELECTCAST,METAL,7.81,,8.75,93.03207387250747,35.0,100.0,71.21,FAIR_VALUE,3604.47,315.37,,,2024-12-31
ELECTHERM,METAL,4.73,,7.8,95.77998840165945,31.2,100.0,70.79,FAIR_VALUE,1894.91,147.81,,,2024-12-31
ELGIEQUIP,CAPITAL_GOODS,53.91,,10.21,51.90257393942098,40.84,100.0,57.1,FAIR_VALUE,1716.45,175.3,,,2024-12-31
ELGIRUBCO,CHEMICALS,,,-3.83,50.0,0.0,100.0,40.0,MODERATE,91.48,-3.5,,,2024-12-31
ELIN,FMCG,88.08,,0.53,21.416781906588756,2.12,100.0,29.41,EXPENSIVE_OR_WEAK,266.31,1.4,,,2024-12-31
EMAMILTD,FMCG,18.01,,25.26,83.93183744479636,100.0,100.0,93.57,CHEAP_QUALITY,1940.07,489.97,,,2024-12-31
EMAMIPAP,CHEMICALS,99.75,,0.98,11.005040817236921,3.92,100.0,25.97,EXPENSIVE_OR_WEAK,949.4,9.29,,,2024-12-31
EMAMIREAL,,,,-51.79,50.0,0.0,100.0,40.0,MODERATE,63.22,-32.74,,,2024-12-31
EMBDL,REALTY,42.58,,8.9,62.010973814515765,35.6,100.0,59.04,FAIR_VALUE,524.47,46.66,,,2024-12-31
EMCURE,PHARMA,49.34,,9.02,55.97983673105232,36.08,100.0,56.82,FAIR_VALUE,3964.61,357.64,,,2024-12-31
EMIL,RETAIL,41.74,,1.72,62.760405049739035,6.88,100.0,47.86,MODERATE,3270.93,56.1,,,2024-12-31
EMKAY,FINANCIAL_SERVICES,6.45,,23.98,94.24543872953562,95.92,100.0,96.07,CHEAP_QUALITY,108.03,25.91,,,2024-09-30
EMMBI,CHEMICALS,25.1,,1.57,77.6062809474952,6.280000000000001,100.0,53.55,MODERATE,222.68,3.49,,,2024-12-31
EMSLIMITED,INFRASTRUCTURE,11.5,,21.27,89.73992951777669,85.08,100.0,89.93,CHEAP_QUALITY,233.47,49.65,,,2024-09-30
EMUDHRA,IT,41.14,,15.79,63.295713074898515,63.16,100.0,70.58,FAIR_VALUE,141.22,22.3,,,2024-09-30
ENDURANCE,AUTO,50.98,,6.45,54.51666146228309,25.8,100.0,52.13,MODERATE,2859.16,184.39,,,2024-12-31
ENERGYDEV,POWER,,,-301.42,50.0,0.0,100.0,40.0,MODERATE,23.17,-69.84,,,2024-12-31
ENGINERSIN,INFRASTRUCTURE,32.36,,14.33,71.12905384306553,57.32000000000001,100.0,71.38,FAIR_VALUE,1453.53,208.36,,,2024-12-31
ENIL,MEDIA,13.55,,5.83,87.91096043181514,23.32,100.0,64.49,FAIR_VALUE,158.9,9.26,,,2024-12-31
ENTERO,PHARMA,53.99,,2.09,51.831199536066386,8.36,100.0,44.08,MODERATE,2659.69,55.48,,,2024-12-31
EPACK,FMCG,,,-0.79,50.0,0.0,100.0,40.0,MODERATE,753.94,-5.98,,,2024-12-31
EPIGRAL,CHEMICALS,12.58,,14.48,88.77637507248963,57.92,100.0,78.68,CHEAP_QUALITY,1271.3,184.07,,,2024-12-31
EPL,CHEMICALS,20.59,,8.13,81.63001293661061,32.52,100.0,65.66,FAIR_VALUE,1086.2,88.3,,,2024-09-30
EQUIPPP,,,,-84.69,50.0,0.0,100.0,40.0,MODERATE,0.98,-0.83,,,2024-12-31
ERIS,PHARMA,53.25,,13.04,52.4914127670964,52.16,100.0,61.86,FAIR_VALUE,738.95,96.35,,,2024-09-30
EROSMEDIA,,,,-334.8,50.0,0.0,100.0,40.0,MODERATE,100.16,-335.34,,,2024-03-31
ESABINDIA,CAPITAL_GOODS,52.67,,12.36,53.00887719141723,49.44,100.0,60.98,FAIR_VALUE,676.14,83.54,,,2024-12-31
ESCORTS,AUTO,27.88,,11.86,75.12602043092296,47.44,100.0,69.03,FAIR_VALUE,5436.51,644.85,,,2024-12-31
ESSARSHPNG,LOGISTICS,3.01,,1293.16,97.31453807378328,100.0,100.0,98.93,CHEAP_QUALITY,3.07,39.7,,,2024-12-31
ESSENTIA,,66.49,,0.59,40.67894901191062,2.36,100.0,37.22,MODERATE,255.73,1.52,,,2024-12-31
ESTER,CHEMICALS,8.51,,7.18,92.40754784315475,28.720000000000002,100.0,68.45,FAIR_VALUE,345.58,24.82,,,2024-12-31
ETHOSLTD,FMCG,59.07,,7.61,47.298924923049476,30.44,100.0,51.1,MODERATE,667.06,50.73,,,2024-12-31
EUREKAFORB,FMCG,53.6,,6.51,52.17914975242004,26.039999999999996,100.0,51.29,MODERATE,1270.88,82.78,,,2024-12-31
EUROTEXIND,,,,-7633.33,50.0,0.0,100.0,40.0,MODERATE,0.03,-2.29,,,2024-12-31
EVEREADY,FMCG,31.35,,6.13,72.03015568541731,24.52,100.0,58.62,FAIR_VALUE,696.11,42.66,,,2024-12-31
EVERESTIND,INFRASTRUCTURE,,,-4.17,50.0,0.0,100.0,40.0,MODERATE,371.03,-15.48,,,2024-12-31
EXCEL,,25.5,,18.82,77.24940893072223,75.28,100.0,81.01,CHEAP_QUALITY,5.1,0.96,,,2024-12-31
EXCELINDUS,CHEMICALS,13.66,,9.0,87.81282062720257,36.0,100.0,69.53,FAIR_VALUE,465.32,41.89,,,2024-12-31
EXICOM,CAPITAL_GOODS,,,-18.86,50.0,0.0,100.0,40.0,MODERATE,349.99,-66.0,,,2024-12-31
EXIDEIND,AUTO,42.59,,4.63,62.00205201409644,18.52,100.0,52.21,MODERATE,8466.72,391.84,,,2024-12-31
EXPLEOSOL,IT,11.22,,10.69,89.98973992951778,42.76,100.0,73.1,FAIR_VALUE,516.84,55.26,,,2024-12-31
EXXARO,CAPITAL_GOODS,226.66,,0.41,0.0,1.6399999999999997,100.0,20.66,EXPENSIVE_OR_WEAK,149.34,0.61,,,2024-12-31
FACT,CHEMICALS,1818.33,,0.84,0.0,3.36,100.0,21.34,EXPENSIVE_OR_WEAK,949.42,8.0,,,2024-12-31
FAIRCHEMOR,CHEMICALS,58.02,,2.99,48.23571396707855,11.96,100.0,44.08,MODERATE,252.19,7.53,,,2024-12-31
FAZE3Q,TEXTILES,45.57,,4.83,59.343355489137714,19.32,100.0,51.47,MODERATE,330.31,15.97,,,2024-12-31
FCL,CHEMICALS,3.71,,22.05,96.69001204443056,88.2,100.0,93.96,CHEAP_QUALITY,271.65,59.9,,,2024-12-31
FCONSUMER,,,,-5.54,50.0,0.0,100.0,40.0,MODERATE,218.84,-12.12,,,2024-12-31
FCSSOFT,,46.72,,12.72,58.31734844091538,50.88,100.0,63.68,FAIR_VALUE,18.55,2.36,,,2024-12-31
FDC,PHARMA,31.56,,11.15,71.8427978766115,44.6,100.0,66.58,FAIR_VALUE,977.96,109.08,,,2024-12-31
FEDDERELEC,,2.64,,6.17,97.6446446892983,24.68,100.0,68.93,FAIR_VALUE,173.75,10.72,,,2024-12-31
FEDFINA,FINANCIAL_SERVICES,33.49,,7.96,70.12089039568185,31.840000000000003,100.0,60.78,FAIR_VALUE,1046.03,83.31,,,2024-12-31
FIBERWEB,TEXTILES,6.18,,14.13,94.48632734085739,56.52,100.0,80.4,CHEAP_QUALITY,50.19,7.09,,,2024-12-31
FIEMIND,AUTO,30.63,,8.06,72.6725253156087,32.24,100.0,61.97,FAIR_VALUE,1205.48,97.18,,,2024-12-31
FILATEX,TEXTILES,19.08,,2.86,82.97720479992863,11.44,100.0,57.77,FAIR_VALUE,2117.79,60.47,,,2024-12-31
FILATFASH,,,,6.44,50.0,25.759999999999998,100.0,50.3,MODERATE,92.34,5.95,,,2024-12-31
FINCABLES,CAPITAL_GOODS,33.72,,10.63,69.91568898603738,42.52,100.0,64.97,FAIR_VALUE,2493.83,265.14,,,2024-12-31
FINEORG,CHEMICALS,40.57,,18.05,63.80425569880002,72.2,100.0,74.4,FAIR_VALUE,1109.04,200.13,,,2024-12-31
FINPIPE,CHEMICALS,40.15,,7.36,64.17897131641166,29.439999999999998,100.0,57.45,FAIR_VALUE,1829.67,134.69,,,2024-12-31
FIRSTCRY,RETAIL,129.33,,3.42,0.0,13.68,100.0,25.47,EXPENSIVE_OR_WEAK,1306.95,44.7,,,2024-12-31
FIVESTAR,FINANCIAL_SERVICES,13.64,,37.9,87.83066422804123,100.0,100.0,95.13,CHEAP_QUALITY,1429.42,541.8,,,2024-12-31
FLAIR,FMCG,20.83,,12.13,81.41588972654682,48.52,100.0,71.97,FAIR_VALUE,270.13,32.77,,,2024-09-30
FLEXITUFF,,,,-14.12,50.0,0.0,100.0,40.0,MODERATE,85.06,-12.01,,,2024-09-30
FLUOROCHEM,CHEMICALS,86.4,,10.98,22.91564437703528,43.92,100.0,46.73,MODERATE,1148.0,126.0,,,2024-12-31
FMGOETZE,AUTO,16.16,,8.78,85.5823705223714,35.12,100.0,68.28,FAIR_VALUE,463.71,40.7,,,2024-09-30
FMNL,,2.51,,23.24,97.76062809474952,92.96,100.0,96.29,CHEAP_QUALITY,52.23,12.14,,,2024-12-31
FOCUS,CAPITAL_GOODS,28.68,,12.6,74.412276397377,50.4,100.0,69.92,FAIR_VALUE,82.64,10.41,,,2024-12-31
FOODSIN,FMCG,17.95,,3.35,83.98536824731231,13.4,100.0,58.95,FAIR_VALUE,358.13,11.98,,,2024-12-31
FORCEMOT,AUTO,48.9,,6.54,56.372395949502604,26.16,100.0,53.01,MODERATE,3830.82,250.39,,,2024-12-31
FORTIS,HEALTHCARE,82.92,,11.42,26.02043092296026,45.68,100.0,48.68,MODERATE,3916.65,447.38,,,2024-12-31
FOSECOIND,CHEMICALS,44.01,,13.95,60.73515635455236,55.8,100.0,66.61,FAIR_VALUE,277.22,38.68,,,2024-12-31
FSL,IT,24.51,,7.62,78.13266717223536,30.48,100.0,63.45,FAIR_VALUE,2102.38,160.3,,,2024-12-31
FUSION,FINANCIAL_SERVICES,,,-87.9,50.0,0.0,100.0,40.0,MODERATE,1165.36,-1024.36,,,2024-12-31
GABRIEL,AUTO,83.39,,5.77,25.601106303251996,23.08,100.0,39.47,MODERATE,1848.18,106.66,,,2024-12-31
GAEL,AGRICULTURE,26.88,,6.24,76.01820047285543,24.96,100.0,60.39,FAIR_VALUE,2255.52,140.67,,,2024-12-31
GAIL,ENERGY,8.72,,9.63,92.22019003434893,38.52,100.0,72.3,FAIR_VALUE,67888.48,6539.31,,,2024-12-31
GALAPREC,CAPITAL_GOODS,58.91,,9.63,47.44167372975867,38.52,100.0,54.38,MODERATE,109.35,10.53,,,2024-12-31
GALAXYSURF,CHEMICALS,23.3,,7.09,79.21220502297363,28.360000000000003,100.0,63.03,FAIR_VALUE,2104.68,149.32,,,2024-12-31
GALLANTT,METAL,85.23,,5.19,23.959495026096267,20.76,100.0,37.89,MODERATE,942.57,48.89,,,2024-09-30
GANDHAR,ENERGY,24.53,,1.99,78.11482357139671,7.960000000000001,100.0,54.43,MODERATE,1940.38,38.56,,,2024-12-31
GANDHITUBE,METAL,16.1,,36.68,85.63590132488737,100.0,100.0,94.25,CHEAP_QUALITY,88.37,32.41,,,2024-12-31
GANECOS,TEXTILES,19.25,,7.47,82.8255341928001,29.880000000000003,100.0,65.08,FAIR_VALUE,397.8,29.71,,,2024-12-31
GANESHBE,ENERGY,10.68,,18.65,90.47151715216131,74.6,100.0,86.03,CHEAP_QUALITY,186.85,34.85,,,2024-12-31
GANESHHOUC,,11.32,,62.58,89.90052192532453,100.0,100.0,95.96,CHEAP_QUALITY,257.01,160.84,,,2024-12-31
GANGAFORGE,CAPITAL_GOODS,30.07,,2.37,73.17214613909087,9.48,100.0,53.06,MODERATE,23.18,0.55,,,2024-12-31
GANGESSECU,FMCG,4.09,,47.44,96.35098362849624,100.0,100.0,98.54,CHEAP_QUALITY,15.22,7.22,,,2024-09-30
GANGOTRI,,,,,50.0,100.0,100.0,80.0,CHEAP_QUALITY,,-0.04,,,2024-12-31
GARFIBRES,TEXTILES,6.71,,14.74,94.01347191863319,58.96,100.0,81.19,CHEAP_QUALITY,771.31,113.68,,,2024-12-31
GARUDA,INFRASTRUCTURE,34.74,,21.22,69.00566534326626,84.88,100.0,81.55,CHEAP_QUALITY,108.97,23.12,,,2024-12-31
GATECH,FINANCIAL_SERVICES,6.38,,28.13,94.30789133247089,100.0,100.0,97.72,CHEAP_QUALITY,7.18,2.02,,,2024-12-31
GATECHDVR,FINANCIAL_SERVICES,3.58,,41.71,96.80599544988179,100.0,100.0,98.72,CHEAP_QUALITY,3.86,1.61,,,2024-12-31
GATEWAY,LOGISTICS,1.59,,113.17,98.58143373332739,100.0,100.0,99.43,CHEAP_QUALITY,402.52,455.52,,,2024-12-31
GAYAHWS,INFRASTRUCTURE,,,-5067.49,50.0,0.0,100.0,40.0,MODERATE,2.83,-143.41,,,2024-12-31
GBGLOBAL,,0.61,,39.68,99.4557701744212,100.0,100.0,99.78,CHEAP_QUALITY,98.06,38.91,,,2024-12-31
GEECEE,REALTY,11.27,,36.45,89.94513092742116,100.0,100.0,95.98,CHEAP_QUALITY,87.96,32.06,,,2024-12-31
GEEKAYWIRE,METAL,3.56,,7.94,96.82383905072044,31.759999999999998,100.0,71.43,FAIR_VALUE,237.13,18.82,,,2024-12-31
GENCON,REALTY,20.74,,1.95,81.49618593032073,7.8,100.0,55.72,FAIR_VALUE,93.29,1.82,,,2024-12-31
GENESYS,IT,18.07,,23.69,83.8783066422804,94.76,100.0,91.46,CHEAP_QUALITY,147.98,35.06,,,2024-12-31
GENSOL,,7.32,,10.34,93.46924209305439,41.36,100.0,73.93,FAIR_VALUE,592.68,61.3,,,2024-12-31
GENUSPAPER,CHEMICALS,1338.75,,0.03,0.0,0.12,100.0,20.05,EXPENSIVE_OR_WEAK,424.17,0.12,,,2024-12-31
GENUSPOWER,INFRASTRUCTURE,29.61,,12.81,73.5825489583798,51.239999999999995,100.0,69.93,FAIR_VALUE,1091.08,139.74,,,2024-12-31
GEOJITFSL,FINANCIAL_SERVICES,14.81,,21.58,86.78681357898024,86.32,100.0,89.24,CHEAP_QUALITY,171.69,37.05,,,2024-12-31
GEPIL,,,,-5.86,50.0,0.0,100.0,40.0,MODERATE,316.9,-18.58,,,2024-12-31
GESHIP,AUTO,8.51,,65.82,92.40754784315475,100.0,100.0,96.96,CHEAP_QUALITY,1889.5,1243.6,,,2024-12-31
GFLLIMITED,FINANCIAL_SERVICES,27.38,,558.54,75.5721104518892,100.0,100.0,90.23,CHEAP_QUALITY,0.82,4.58,,,2024-12-31
GFSTEELS,,,,,50.0,100.0,100.0,80.0,CHEAP_QUALITY,,-0.31,,,2024-12-31
GHCL,CHEMICALS,6.17,,21.63,94.49524914127672,86.52,100.0,92.41,CHEAP_QUALITY,778.73,168.42,,,2024-12-31
GHCLTEXTIL,TEXTILES,15.89,,5.08,85.82325913369317,20.32,100.0,62.46,FAIR_VALUE,589.62,29.97,,,2024-12-31
GICHSGFIN,FINANCIAL_SERVICES,4.13,,18.46,96.31529642681893,73.84,100.0,88.06,CHEAP_QUALITY,269.26,49.71,,,2024-12-31
GILLANDERS,FMCG,2.26,,16.94,97.98367310523264,67.76,100.0,86.3,CHEAP_QUALITY,126.75,21.47,,,2024-09-30
GILLETTE,FMCG,48.31,,17.65,56.898782174242754,70.6,100.0,71.0,FAIR_VALUE,1467.37,258.98,,,2024-12-31
GINNIFILA,TEXTILES,,,-0.32,50.0,0.0,100.0,40.0,MODERATE,192.6,-0.62,,,2024-12-31
GIPCL,CAPITAL_GOODS,16.43,,12.36,85.34148191104966,49.44,100.0,73.91,FAIR_VALUE,598.05,73.92,,,2024-12-31
GKWLIMITED,FINANCIAL_SERVICES,,,-154.67,50.0,0.0,100.0,40.0,MODERATE,15.86,-24.53,,,2024-12-31
GLAND,PHARMA,55.84,,13.2,50.18066645849133,52.800000000000004,100.0,61.19,FAIR_VALUE,2789.88,368.22,,,2024-12-31
GLAXO,PHARMA,43.03,,24.61,61.60949279564616,98.44,100.0,84.02,CHEAP_QUALITY,1960.19,482.38,,,2024-12-31
GLENMARK,PHARMA,44.69,,10.27,60.12847392603828,41.08,100.0,60.48,FAIR_VALUE,3387.55,348.03,,,2024-12-31
GLFL,,102.32,,,8.712138109470501,100.0,100.0,63.48,FAIR_VALUE,,0.07,,,2024-12-31
GLOBAL,HEALTHCARE,15.71,,40.44,85.98385154124102,100.0,100.0,94.39,CHEAP_QUALITY,41.32,16.71,,,2024-12-31
GLOBALE,,,,-0.87,50.0,0.0,100.0,40.0,MODERATE,29.76,-0.26,,,2024-12-31
GLOBALVECT,AVIATION,,,-2.68,50.0,0.0,100.0,40.0,MODERATE,266.87,-7.15,,,2024-12-31
GLOBE,TEXTILES,4.79,,2.24,95.72645759914352,8.96,100.0,61.87,FAIR_VALUE,299.56,6.72,,,2024-12-31
GLOBUSSPR,FMCG,781.05,,0.1,0.0,0.4,100.0,20.16,EXPENSIVE_OR_WEAK,1757.89,1.69,,,2024-12-31
GLOSTERLTD,TEXTILES,,,-0.8,50.0,0.0,100.0,40.0,MODERATE,320.54,-2.57,,,2024-12-31
GLS,,34.84,,18.81,68.91644733907303,75.24,100.0,77.66,CHEAP_QUALITY,506.88,95.32,,,2024-09-30
GMBREW,FMCG,25.05,,3.52,77.65088994959183,14.08,100.0,56.69,FAIR_VALUE,1239.97,43.64,,,2024-12-31
GMDCLTD,REALTY,33.72,,22.1,69.91568898603738,88.4,100.0,83.33,CHEAP_QUALITY,1246.43,275.52,,,2024-12-31
GMMPFAUDLR,CAPITAL_GOODS,29.87,,3.57,73.35058214747735,14.279999999999998,100.0,55.05,FAIR_VALUE,1606.9,57.31,,,2024-12-31
GMRAIRPORT,INFRASTRUCTURE,112.09,,7.62,0.0,30.48,100.0,32.19,EXPENSIVE_OR_WEAK,2653.24,202.1,,,2024-12-31
GMRINFRA,,,,-22.48,50.0,0.0,100.0,40.0,MODERATE,282.42,-63.48,,,2024-09-30
GMRP&UI,INFRASTRUCTURE,,,4.71,50.0,18.84,100.0,47.54,MODERATE,2995.6,141.11,,,2024-12-31
GNA,AUTO,17.57,,7.07,84.32439666324665,28.28,100.0,65.04,FAIR_VALUE,762.62,53.89,,,2024-12-31
GNFC,CHEMICALS,14.9,,7.02,86.70651737520632,28.08,100.0,65.91,FAIR_VALUE,3816.0,268.0,,,2024-12-31
GOACARBON,METAL,,,-7.43,50.0,0.0,100.0,40.0,MODERATE,248.49,-18.47,,,2024-12-31
GOCLCORP,CHEMICALS,5.48,,66.86,95.11085337021011,100.0,100.0,98.04,CHEAP_QUALITY,138.2,92.4,,,2024-12-31
GOCOLORS,RETAIL,23.66,,10.62,78.89102020787794,42.48,100.0,68.55,FAIR_VALUE,423.26,44.96,,,2024-12-31
GODAVARIB,FMCG,,,-23.37,50.0,0.0,100.0,40.0,MODERATE,320.95,-75.0,,,2024-09-30
GODFRYPHLP,FMCG,9.98,,15.91,91.09604318151403,63.63999999999999,100.0,81.89,CHEAP_QUALITY,3546.94,564.15,,,2024-12-31
GODHA,,0.55,,3.6,99.50930097693714,14.400000000000002,100.0,65.56,FAIR_VALUE,96.76,3.48,,,2024-12-31
GODREJAGRO,AGRICULTURE,25.63,,4.2,77.13342552527101,16.8,100.0,57.57,FAIR_VALUE,4898.38,205.64,,,2024-12-31
GODREJCP,FMCG,52.21,,13.31,53.41928001070616,53.239999999999995,100.0,62.66,FAIR_VALUE,7434.76,989.62,,,2024-12-31
GODREJIND,REALTY,34.39,,10.17,69.31792835794263,40.68,100.0,64.0,FAIR_VALUE,4804.96,488.86,,,2024-09-30
GODREJPROP,REALTY,52.65,,23.86,53.02672079225588,95.44,100.0,79.39,CHEAP_QUALITY,2062.11,491.99,,,2024-12-31
