symbol,sector,as_of_date,bull_run_score,label,label_enc,price_score,sector_flow_score,deal_score,corporate_score,regime_multiplier,ret_30d,ret_90d,ret_365d,vol_ratio,sector_rel_30d,sector_combined_score,rotation_signal_enc,sec_FII_5d,sec_FII_20d,sec_FII_60d,sec_DII_5d,sec_DII_20d,sec_DII_60d,sec_smart_money,sec_retail_score,part_FII_flow,part_DII_flow,part_smart_money,regime_enc,mkt_cap_enc,fund_promoter_pct,fund_fii_pct,fund_dii_pct,shp_promoter_pct,shp_fii_pct,shp_dii_pct,index_count,div_count_12m,has_buyback_12m,has_bonus_12m,corp_confidence,deal_net_cr,ann_score_30d,high_signal_30d,distinct_types_30d,ann_velocity_30d,order_wins_6m,spurt_count_30d,distress_30d,theme_score_max,theme_purity_max,news_sentiment_7d,insider_score,concall_guidance_score,concall_sentiment_score,consensus_score,opm_pct,roce_pct,sales_growth_3y,pe_ratio_log,roe_pct,valuation_label_enc,yoy_revenue_pct,yoy_profit_pct,vs_dma_200,trend_signal_enc,fno_oi_signal_enc,rsi_14,rsi_zone_enc,macd_hist,macd_signal_enc,bb_pct_b,bb_squeeze,adx_14,adx_trending,forward_return_score,rvol,rs_30d_vs_nifty,delivery_5d_pct,promoter_delta,fii_delta,dii_delta,conviction_signal_enc,ai_tone_score,management_score,management_label_enc,astro_score,kundli_score,kundli_yoga_score,kundli_yoga_count,kundli_dasha_benefic
VOEPL,OTHER,2026-08-17,50.55,WATCHLIST,3,57.49,42.21,50.0,50.0,0.9,4.17,,,0.326,2.34,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,49.74,11.29,0.79,,,,,,,780.0,7.0,4.0,0.571,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,0.39,6.94,49.3,,,,1.0,,50.0,1.0,,33.0,20.0,4.0,0.0
GLENMARK,PHARMA,2026-08-17,50.53,WATCHLIST,3,60.02,34.05,50.0,44.44,0.9,1.84,0.13,19.39,0.585,3.86,-1.01,2.0,147220.57,461968.55,1240426.68,-1300268.68,-4227889.96,-12102339.59,-2.2,68.44,37.62,-37.45,13.18,2,3.0,0.4665,0.2034,0.1929,46.650000000000006,20.34,19.29,8.0,2.0,0.0,0.0,1.0,,1145.0,6.0,5.0,0.792,0.0,0.0,0.0,49.83,1.0,,,0.0,0.0,48.06,18.64,15.04,3.29,3.8218794555751803,10.27,2.0,,,9.27,1.0,1.0,49.54,1.0,7.2162,2.0,0.8625,3.92,20.5,0.0,48.2,0.6,4.61,44.1,0.0,1.14,-0.8,2.0,,44.0,1.0,-24.8,53.0,51.0,4.0,0.0
POLYCAB,CAPITAL_GOODS,2026-08-17,50.53,WATCHLIST,3,63.51,37.1,50.0,38.89,0.9,1.68,2.38,32.64,0.818,4.12,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,3.0,0.615,0.1821,0.0796,61.5,18.21,7.960000000000001,7.0,1.0,0.0,0.0,0.5,,375.0,1.0,4.0,0.318,0.0,0.0,0.0,49.88,1.0,,,,,,14.25,21.3,23.73,4.437697832044343,8.48,1.0,,,14.13,1.0,1.0,61.51,1.0,-32.5221,1.0,0.8195,8.26,26.25,1.0,48.7,0.88,4.45,51.8,0.0,3.39,-3.17,2.0,,52.0,1.0,-35.4,27.0,3.0,2.0,1.0
KKCL,TEXTILES,2026-08-17,50.49,WATCHLIST,3,66.68,38.69,50.0,44.44,0.9,3.29,15.59,-0.08,0.453,5.26,-13.17,2.0,21224.01,62814.5,184327.93,-189086.03,-582872.19,-1821819.74,-19.62,30.68,37.62,-37.45,13.18,2,1.0,0.7429,0.0232,0.086,74.29,2.32,8.6,,2.0,0.0,0.0,1.0,,715.0,6.0,4.0,0.909,0.0,0.0,0.0,45.61,1.0,,,,,,19.01,12.7,21.25,2.9085390618516134,16.64,3.0,,,8.19,1.0,,66.32,1.0,4.3204,1.0,0.7519,26.01,35.5,1.0,41.6,0.43,6.06,61.3,0.02,-0.01,-0.23,1.0,,58.0,2.0,,25.0,18.0,1.0,0.0
INDOMIM,OTHER,2026-08-17,50.45,WATCHLIST,3,47.83,42.21,50.0,50.0,0.9,,,,0.192,,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,385.0,2.0,4.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.19,,31.7,,,,,,,,,,,,
MANAKSTEEL,OTHER,2026-08-17,50.44,WATCHLIST,3,49.08,42.21,50.0,50.0,0.9,,,,0.499,,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,514.0,2.0,6.0,0.833,0.0,0.0,0.0,,,,,,,,3.6,4.97,-0.98,4.310933344565636,1.29,1.0,,,,1.0,,65.58,1.0,2.6437,1.0,0.8236,50.0,37.55,1.0,32.5,0.31,,70.1,,,,,,,,,,,,
BAJAJHLDNG,FINANCIAL_SERVICES,2026-08-17,50.43,WATCHLIST,3,72.42,38.17,50.0,50.0,0.9,9.23,10.39,-12.45,2.67,10.57,-2.21,2.0,231953.0,937007.01,2703367.04,-2049541.97,-8677871.9,-26407866.45,-31.48,30.94,37.62,-37.45,13.18,2,1.0,0.5146,0.0962,0.0807,51.46,9.62,8.07,5.0,3.0,0.0,0.0,1.5,,120.0,1.0,2.0,0.375,0.0,0.0,0.0,45.05,1.0,,,,,,80.0,,5.93,2.8831233291713367,80.0,3.0,,,6.59,1.0,1.0,55.45,1.0,24.4794,1.0,0.7065,10.82,18.83,0.0,52.4,2.73,12.0,55.3,0.0,-0.64,0.76,2.0,,52.0,1.0,,33.0,23.0,2.0,0.0
GLOBAL,HEALTHCARE,2026-08-17,50.39,WATCHLIST,3,63.55,40.84,50.0,44.44,0.9,5.14,2.33,,4.144,4.35,3.63,2.0,57701.01,133978.67,357991.56,-511071.14,-1235115.83,-3465063.98,-19.95,16.25,37.62,-37.45,13.18,2,0.0,0.7273,0.004,0.0006,72.72999999999999,0.03,0.08,,2.0,0.0,0.0,1.0,,415.0,3.0,4.0,0.615,0.0,0.0,0.0,49.83,1.0,,,,,,41.39,18.75,20.22,2.8160073426073025,40.44,3.0,,,,1.0,,48.13,1.0,-0.1372,0.0,0.3749,9.89,17.7,0.0,48.0,4.02,7.91,66.6,0.0,-0.37,0.02,1.0,,50.0,1.0,-24.8,9.0,-7.0,2.0,1.0
AYE,FINANCIAL_SERVICES,2026-08-17,50.36,WATCHLIST,3,65.58,38.17,50.0,50.0,0.9,2.18,35.52,,0.179,3.52,-2.21,2.0,231953.0,937007.01,2703367.04,-2049541.97,-8677871.9,-26407866.45,-31.48,30.94,37.62,-37.45,13.18,2,1.0,0.0,0.1904,0.1817,0.0,19.040000000000003,18.17,,,,,,,1165.0,9.0,6.0,0.692,0.0,0.0,0.0,45.05,1.0,,,,,,,,,,,,,,,1.0,,63.44,1.0,1.168,1.0,0.8624,26.39,41.9,1.0,54.3,0.17,4.95,51.3,,,,1.0,,50.0,1.0,,52.0,32.0,2.0,0.0
JYOTICNC,CAPITAL_GOODS,2026-08-17,50.34,WATCHLIST,3,74.03,37.1,50.0,50.0,0.9,7.37,21.29,-7.53,0.978,9.81,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,2.0,0.6255,0.0894,0.1368,62.55,8.94,13.68,4.0,,,,,,605.0,6.0,3.0,0.667,0.0,0.0,0.0,49.88,1.0,,,0.0,0.0,48.06,27.32,16.7,5.84,4.080752608702634,17.62,2.0,,,5.25,1.0,,65.79,1.0,14.3589,1.0,0.8497,36.89,37.3,1.0,39.6,0.96,10.14,49.8,0.0,-0.75,0.29,1.0,,50.0,1.0,-35.4,35.0,23.0,2.0,0.0
SKFINDUS,CAPITAL_GOODS,2026-08-17,50.33,WATCHLIST,3,67.3,37.1,50.0,38.89,0.9,1.03,31.99,,5.257,3.47,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,2.0,0.5258,0.0486,0.2973,52.580000000000005,4.859999999999999,29.73,,1.0,0.0,0.0,0.5,,995.0,5.0,6.0,0.773,0.0,0.0,0.0,49.88,1.0,,,,,,,,,,,,,,,1.0,,79.97,0.0,38.8811,1.0,0.8966,33.74,50.42,1.0,54.6,5.13,3.8,62.9,0.0,-2.14,2.66,2.0,,44.0,1.0,-35.4,25.0,3.0,2.0,0.0
SMARTWORKS,REALTY,2026-08-17,50.28,WATCHLIST,3,72.78,40.96,50.0,50.0,0.9,6.7,13.16,0.79,0.871,8.44,-23.97,2.0,48018.27,206712.16,787367.75,-425780.4,-1993624.52,-7736322.18,-55.64,-26.7,37.62,-37.45,13.18,2,1.0,0.5832,0.0015,0.0906,58.32000000000001,0.15,9.06,,,,,,,879.0,8.0,6.0,0.448,0.0,0.0,0.0,45.05,1.0,,,,,,,,,,,,,,8.87,1.0,,62.92,1.0,2.3217,1.0,0.8486,13.65,34.86,1.0,41.5,0.82,9.47,69.9,0.14,-0.18,0.09,1.0,,50.0,1.0,-35.4,-13.0,2.0,4.0,1.0
KIRLOSBROS,CAPITAL_GOODS,2026-08-17,50.28,WATCHLIST,3,68.47,37.1,50.0,38.89,0.9,3.84,20.87,-3.75,0.492,6.28,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,2.0,0.6595,0.0624,0.1038,65.95,6.239999999999999,10.38,,1.0,0.0,0.0,0.5,,740.0,7.0,4.0,0.55,2.0,0.0,0.0,49.88,1.0,,,,,,15.43,22.84,14.56,3.6712245188752153,9.87,2.0,,,15.55,1.0,,70.83,0.0,21.7962,1.0,0.8653,34.14,38.06,1.0,50.2,0.49,6.61,46.6,0.0,0.19,0.06,1.0,,50.0,1.0,-35.4,43.0,46.0,3.0,1.0
GROWWEV,OTHER,2026-08-17,50.27,WATCHLIST,3,79.67,42.21,50.0,50.0,0.9,9.38,14.16,13.82,1.346,7.55,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.04,1.0,-0.0149,0.0,0.5361,5.42,10.95,0.0,29.0,,,,,,,,,,,,,,,
LUMAXIND,AUTO,2026-08-17,50.26,WATCHLIST,3,76.38,37.52,50.0,38.89,0.9,8.91,9.68,42.4,0.278,6.65,-15.39,2.0,182304.18,653156.26,1678870.35,-1608676.81,-5982697.23,-16373082.74,-5.88,66.43,37.62,-37.45,13.18,2,1.0,0.75,0.0163,0.0608,75.0,1.63,6.08,,1.0,0.0,0.0,0.5,,810.0,2.0,5.0,0.652,0.0,0.0,0.0,50.03,1.0,,,,,,8.11,13.32,20.79,3.7981821890043865,3.48,1.0,,,7.68,1.0,,48.31,1.0,-6.1066,1.0,0.4951,6.69,8.97,0.0,48.1,0.27,11.68,43.3,0.0,0.25,0.37,1.0,,50.0,1.0,-24.8,53.0,20.0,1.0,0.0
GIPCL,CAPITAL_GOODS,2026-08-17,50.26,WATCHLIST,3,72.26,37.1,50.0,38.89,0.9,6.68,19.03,-4.15,0.58,9.12,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,0.0,0.5657,0.0274,0.0507,56.57,2.89,4.99,,1.0,0.0,0.0,0.5,,210.0,2.0,3.0,0.375,0.0,0.0,0.0,49.88,1.0,,,,,,32.37,3.01,-1.02,2.8581928595319295,12.36,2.0,,,14.83,1.0,,50.29,1.0,-0.7423,0.0,0.3262,11.19,15.39,0.0,39.6,0.54,9.45,53.7,0.0,0.15,-0.08,1.0,,50.0,1.0,-35.4,-3.0,0.0,2.0,0.0
CORONA,PHARMA,2026-08-17,50.23,WATCHLIST,3,63.74,34.05,50.0,38.89,0.9,2.33,18.89,,0.222,4.35,-1.01,2.0,147220.57,461968.55,1240426.68,-1300268.68,-4227889.96,-12102339.59,-2.2,68.44,37.62,-37.45,13.18,2,2.0,0.69,0.0225,0.0702,69.0,2.25,7.02,,1.0,0.0,0.0,0.5,,660.0,6.0,3.0,0.6,0.0,0.0,0.0,49.83,1.0,,,,,59.69,,,,,,,,,,1.0,,69.12,1.0,19.654,1.0,0.9426,20.96,45.17,1.0,46.9,0.21,5.1,53.3,0.0,1.21,3.37,5.0,80.0,75.5,3.0,-24.8,38.0,18.0,1.0,0.0
MANALIPETC,CHEMICALS,2026-08-17,50.2,WATCHLIST,3,74.14,32.75,50.0,38.89,0.9,6.69,20.63,3.85,0.697,5.74,-25.97,2.0,112932.94,421201.68,1174400.06,-998765.3,-3983895.01,-11516255.21,-12.45,62.61,37.62,-37.45,13.18,2,1.0,0.4486,0.0037,0.0001,44.86,0.37,0.01,,1.0,0.0,0.0,0.5,,340.0,1.0,3.0,0.412,1.0,0.0,0.0,45.61,1.0,,,,,,3.28,-0.36,-9.62,5.5,0.09,1.0,,,14.94,1.0,,53.65,1.0,-0.4753,0.0,0.4862,15.03,30.86,1.0,25.9,0.68,9.46,44.8,0.0,0.08,0.0,1.0,,50.0,1.0,-35.4,79.0,39.0,4.0,1.0
SUPERHOUSE,TEXTILES,2026-08-17,50.2,WATCHLIST,3,74.86,38.69,50.0,38.89,0.9,9.38,10.79,11.52,0.169,11.34,-13.17,2.0,21224.01,62814.5,184327.93,-189086.03,-582872.19,-1821819.74,-19.62,30.68,37.62,-37.45,13.18,2,0.0,0.5488,0.0072,0.0001,54.88,0.72,0.01,,1.0,0.0,0.0,0.5,,332.0,2.0,4.0,0.556,0.0,0.0,0.0,45.61,1.0,,,,,,9.01,5.56,-4.42,2.9236990706541595,1.36,2.0,,,10.7,1.0,,56.93,1.0,0.4307,2.0,0.8379,7.5,33.56,1.0,25.8,0.34,12.15,63.7,0.0,0.0,0.0,1.0,,50.0,1.0,,68.0,77.0,5.0,0.0
JSWENERGY,POWER,2026-08-17,50.19,WATCHLIST,3,66.52,36.59,50.0,38.89,0.9,2.23,7.85,8.26,0.66,7.46,-25.01,2.0,51345.1,186449.76,715087.98,-455211.09,-1796458.89,-6988149.78,-49.04,-16.37,37.62,-37.45,13.18,2,3.0,0.6941,0.0974,0.1433,66.53,11.31,16.18,8.0,1.0,0.0,0.0,0.5,,1515.0,5.0,5.0,0.675,0.0,0.0,0.0,44.66,1.0,,,,,,45.71,2.73,5.55,3.4258899942525267,27.08,3.0,,,7.1,1.0,1.0,56.69,1.0,0.3109,2.0,0.7376,7.05,12.51,0.0,52.8,0.71,5.0,47.7,-2.88,1.57,1.85,5.0,,58.0,2.0,-14.2,100.0,89.0,5.0,1.0
SUMICHEM,CHEMICALS,2026-08-17,50.18,WATCHLIST,3,68.4,32.75,50.0,38.89,0.9,3.56,22.03,-1.79,0.847,2.6,-25.97,2.0,112932.94,421201.68,1174400.06,-998765.3,-3983895.01,-11516255.21,-12.45,62.61,37.62,-37.45,13.18,2,2.0,0.75,0.034,0.0898,75.0,3.4000000000000004,8.98,3.0,1.0,0.0,0.0,0.5,,435.0,4.0,5.0,0.636,0.0,0.0,0.0,46.22,1.0,,,,,,21.4,13.5,-7.71,3.3439213138424253,19.48,3.0,,,24.21,1.0,,35.79,1.0,-5.2251,0.0,0.033,16.43,18.61,0.0,42.6,0.83,6.33,46.9,0.0,0.03,0.33,1.0,,50.0,1.0,-35.4,30.0,20.0,1.0,0.0
ICICIBANK,BANKING,2026-08-17,50.18,WATCHLIST,3,56.09,38.23,50.0,38.89,0.9,-0.2,13.72,-0.09,0.471,0.13,-13.68,2.0,144881.75,677784.91,2222631.52,-1279730.35,-6531305.0,-22016841.66,-47.74,-7.92,37.62,-37.45,13.18,2,3.0,0.0,0.3449,0.3995,0.0,34.489999999999995,39.95,7.0,1.0,0.0,0.0,0.5,,1299.0,3.0,4.0,0.489,0.0,0.0,0.0,44.66,1.0,,,,,49.46,,,,2.952302715626655,24.3,3.0,,,4.9,2.0,1.0,66.36,1.0,6.5978,1.0,0.7888,15.02,31.15,1.0,45.6,0.49,2.57,57.4,0.0,-9.38,-6.78,1.0,,50.0,1.0,100.0,47.0,34.0,5.0,1.0
RAJPALAYAM,TEXTILES,2026-08-17,50.18,WATCHLIST,3,50.72,38.69,50.0,50.0,0.9,-1.68,4.36,,2.398,0.28,-13.17,2.0,21224.01,62814.5,184327.93,-189086.03,-582872.19,-1821819.74,-19.62,30.68,37.62,-37.45,13.18,2,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,45.61,1.0,,,,,,,,,,,,,,,1.0,,55.91,1.0,-0.6242,1.0,0.7092,6.23,28.23,1.0,51.9,2.23,1.09,76.4,,,,,,,,,10.0,21.0,4.0,0.0
ECLERX,IT,2026-08-17,50.17,WATCHLIST,3,61.19,37.5,50.0,88.89,0.9,5.07,24.66,-58.5,0.358,7.19,-20.1,2.0,97439.9,552245.75,1627962.75,-862756.99,-5156312.52,-16134736.64,-25.16,31.11,37.62,-37.45,13.18,2,2.0,53.81,10.12,25.12,54.52,11.43,24.53,3.0,1.0,1.0,1.0,5.0,,1251.0,10.0,6.0,0.559,0.0,2.0,0.0,46.22,1.0,,,,,,23.07,15.93,13.09,2.498973906999436,16.77,3.0,,,1.68,2.0,,37.25,1.0,-4.6994,0.0,0.0499,12.71,15.65,0.0,76.6,0.63,7.84,47.7,0.71,0.04,-0.78,1.0,,56.0,2.0,19.4,37.0,27.0,2.0,0.0
SUVEN,HEALTHCARE,2026-08-17,50.15,WATCHLIST,3,56.59,40.84,50.0,50.0,0.9,-2.37,57.73,,1.824,-3.16,3.63,2.0,57701.01,133978.67,357991.56,-511071.14,-1235115.83,-3465063.98,-19.95,16.25,37.62,-37.45,13.18,2,1.0,70.27,0.25,0.01,70.15,0.8099999999999999,4.62,,,,,,,340.0,1.0,3.0,0.368,0.0,0.0,0.0,49.83,1.0,,,,,,-50.0,-20.0,-20.0,,-30.0,1.0,,,59.76,1.0,,61.81,1.0,-0.3956,1.0,0.8574,17.32,22.66,0.0,56.3,1.92,0.4,36.4,2.79,-0.26,1.23,6.0,,62.0,2.0,-24.8,7.0,12.0,1.0,0.0
BHARATFORG,AUTO,2026-08-17,50.14,WATCHLIST,3,60.23,37.52,50.0,44.44,0.9,-0.56,9.4,86.49,0.933,-2.82,-15.39,2.0,182304.18,653156.26,1678870.35,-1608676.81,-5982697.23,-16373082.74,-5.88,66.43,37.62,-37.45,13.18,2,3.0,0.4407,0.1415,0.3276,44.07,14.15,32.76,8.0,2.0,0.0,0.0,1.0,,900.0,8.0,6.0,0.6,0.0,0.0,0.0,50.03,1.0,1.0,,0.0,0.0,58.06,19.07,14.02,24.35,4.779711555463083,6.12,1.0,,,18.2,1.0,1.0,68.24,1.0,14.7874,1.0,0.8494,18.11,25.59,1.0,56.7,0.95,2.21,56.0,0.0,1.75,-1.47,2.0,,52.0,1.0,-24.8,30.0,20.0,2.0,0.0
GRPLTD,CHEMICALS,2026-08-17,50.13,WATCHLIST,3,74.35,32.75,50.0,38.89,0.9,10.06,13.34,-6.56,1.016,9.1,-25.97,2.0,112932.94,421201.68,1174400.06,-998765.3,-3983895.01,-11516255.21,-12.45,62.61,37.62,-37.45,13.18,2,0.0,0.4006,0.0005,0.0,40.06,0.05,0.0,,1.0,0.0,0.0,0.5,,575.0,6.0,5.0,0.5,0.0,0.0,0.0,45.61,1.0,,,,,,9.86,12.72,14.22,4.305550475963267,2.61,1.0,,,11.79,1.0,,58.54,1.0,17.5836,1.0,0.7279,20.5,19.79,0.0,49.3,0.94,12.83,71.0,0.0,0.03,0.0,1.0,,50.0,1.0,-35.4,27.0,20.0,2.0,0.0
ATUL,CHEMICALS,2026-08-17,50.12,WATCHLIST,3,63.45,32.75,50.0,38.89,0.9,9.93,-5.34,7.35,0.343,8.98,-25.97,2.0,112932.94,421201.68,1174400.06,-998765.3,-3983895.01,-11516255.21,-12.45,62.61,37.62,-37.45,13.18,2,2.0,0.4522,0.075,0.259,45.22,7.5,25.9,3.0,1.0,0.0,0.0,0.5,,467.0,2.0,5.0,0.562,0.0,0.0,0.0,46.22,1.0,,,,,,14.77,7.85,9.67,3.7121075802331434,9.13,2.0,,,5.29,1.0,,40.58,1.0,5.4571,1.0,0.1343,4.83,27.96,1.0,48.8,0.32,12.7,59.3,0.0,0.05,0.49,1.0,,50.0,1.0,-35.4,52.0,26.0,4.0,0.0
MARICO,FMCG,2026-08-17,50.12,WATCHLIST,3,58.54,34.44,50.0,38.89,0.9,1.51,1.3,18.71,0.532,1.52,-43.77,2.0,218965.73,796203.33,1991833.99,-1943438.48,-7434924.67,-19780951.04,3.73,82.18,37.62,-37.45,13.18,2,3.0,0.5893,0.2408,0.123,58.93000000000001,24.08,12.3,8.0,1.0,0.0,0.0,0.5,,585.0,4.0,5.0,0.476,0.0,0.0,0.0,44.66,1.0,1.0,,,,60.0,20.58,35.55,8.32,4.200055016644215,15.37,2.0,,,8.59,2.0,1.0,60.58,1.0,2.0843,2.0,1.0516,4.3,22.97,0.0,50.6,0.53,4.28,63.9,0.0,0.07,-0.04,1.0,,50.0,1.0,-15.7,36.0,18.0,3.0,1.0
PATELRMART,RETAIL,2026-08-17,50.11,WATCHLIST,3,65.21,39.26,50.0,50.0,0.9,2.46,12.65,,1.362,3.49,-15.36,2.0,91411.65,367381.64,963951.85,-807499.57,-3404793.37,-9519794.68,-19.88,38.82,37.62,-37.45,13.18,2,0.0,0.7,0.0159,0.0284,70.0,1.59,2.8400000000000003,,,,,,,632.0,2.0,4.0,0.75,0.0,0.0,0.0,39.69,1.0,,,0.0,0.0,47.51,,,,,,,,,13.12,1.0,,56.69,1.0,-0.2764,0.0,0.6281,24.78,26.92,1.0,40.7,1.54,5.23,50.8,0.0,-1.24,1.06,2.0,,44.0,1.0,23.8,68.0,58.0,4.0,0.0
USHAMART,METAL,2026-08-17,50.08,WATCHLIST,3,56.15,39.98,50.0,38.89,0.9,-0.44,5.31,28.84,0.497,-0.24,6.5,2.0,140554.13,415268.22,1165588.47,-1242030.87,-3767772.39,-11155019.38,-33.4,-3.85,37.62,-37.45,13.18,2,0.0,0.4052,0.1476,0.1481,40.52,14.760000000000002,14.81,3.0,1.0,0.0,0.0,0.5,,772.0,5.0,5.0,0.6,0.0,0.0,0.0,44.05,1.0,,,,,,17.03,13.77,12.66,3.7343307170178535,10.72,2.0,,,10.09,2.0,,56.48,1.0,-1.5803,1.0,0.643,10.77,16.73,0.0,55.8,0.48,2.33,54.9,0.0,0.14,0.69,3.0,,53.0,1.0,-35.4,25.0,30.0,4.0,1.0
CAMS,FINANCIAL_SERVICES,2026-08-17,50.08,WATCHLIST,3,48.35,38.17,50.0,61.11,0.9,3.35,-0.99,-79.17,1.045,4.69,-2.21,2.0,231953.0,937007.01,2703367.04,-2049541.97,-8677871.9,-26407866.45,-31.48,30.94,37.62,-37.45,13.18,2,2.0,0.0,0.4444,0.2206,0.0,44.440000000000005,22.06,4.0,3.0,0.0,0.0,2.5,,1200.0,11.0,8.0,0.654,0.0,0.0,0.0,46.22,1.0,,,,,,50.4,44.22,20.69,2.178155014615869,33.57,3.0,,,4.32,1.0,1.0,54.18,1.0,0.5967,1.0,0.6382,15.59,16.16,0.0,52.6,1.04,6.12,52.8,0.0,-0.22,0.06,1.0,,58.0,2.0,,16.0,30.0,2.0,0.0
SANDESH,MEDIA,2026-08-17,50.07,WATCHLIST,3,66.86,41.2,50.0,50.0,0.9,11.2,4.48,-10.76,0.257,13.67,-22.44,2.0,14549.41,43451.54,136538.54,-129871.94,-403111.86,-1331435.13,3.37,41.33,37.62,-37.45,13.18,2,0.0,0.7481,0.0009,0.0001,74.81,0.09,0.01,,1.0,0.0,0.0,,,380.0,3.0,6.0,0.6,0.0,0.0,0.0,56.09,1.0,,,,,,-48.71,-10.99,6.8,,11.61,2.0,,,6.4,1.0,,52.17,1.0,6.6531,1.0,0.7902,9.63,19.02,0.0,30.8,0.23,13.97,55.0,0.0,0.0,0.0,1.0,,50.0,1.0,23.8,65.0,33.0,2.0,1.0
CARERATING,FINANCIAL_SERVICES,2026-08-17,50.06,WATCHLIST,3,56.68,38.17,50.0,44.44,0.9,2.02,-5.19,8.35,1.828,3.36,-2.21,2.0,231953.0,937007.01,2703367.04,-2049541.97,-8677871.9,-26407866.45,-31.48,30.94,37.62,-37.45,13.18,2,1.0,0.0,0.2325,0.3139,0.0,23.25,31.39,,2.0,0.0,0.0,1.0,,590.0,4.0,4.0,0.474,0.0,0.0,0.0,45.05,1.0,,,0.0,0.0,48.06,43.87,15.92,5.79,3.539508997459668,35.2,3.0,,,5.69,2.0,,48.86,1.0,1.1977,1.0,0.5184,8.7,13.27,0.0,45.4,1.72,4.79,53.5,0.0,0.25,0.09,1.0,,58.0,2.0,,79.0,34.0,5.0,0.0
DPABHUSHAN,FMCG,2026-08-17,50.04,WATCHLIST,3,70.36,34.44,50.0,50.0,0.9,5.7,51.71,-11.12,0.151,5.71,-43.77,2.0,218965.73,796203.33,1991833.99,-1943438.48,-7434924.67,-19780951.04,3.73,82.18,37.62,-37.45,13.18,2,1.0,0.7489,0.0032,0.0,74.89,0.32,0.0,,,,,,,615.0,5.0,3.0,0.391,0.0,0.0,0.0,45.05,1.0,,,,,,5.15,33.04,27.19,2.8820035082256483,2.99,2.0,,,15.86,2.0,,48.96,1.0,7.7207,1.0,0.7042,7.76,14.1,0.0,78.3,0.33,8.47,48.6,0.01,0.1,0.0,1.0,,50.0,1.0,-15.7,-14.0,16.0,4.0,0.0
GNRL,ENERGY,2026-08-17,50.01,WATCHLIST,3,66.57,35.62,50.0,50.0,0.9,6.4,6.32,,1.017,4.96,-32.84,2.0,61260.71,245728.83,893689.17,-542474.31,-2302391.11,-8600448.94,-46.17,-8.72,37.62,-37.45,13.18,2,1.0,,,,,,,,,,,,,,,,,,,,45.05,1.0,,,,,49.46,,,,,,,,,,1.0,,64.83,1.0,2.4021,2.0,0.9659,31.31,32.49,1.0,56.3,1.05,9.17,58.6,,,,,,,,-14.2,10.0,21.0,4.0,0.0
VALIANTLAB,OTHER,2026-08-17,50.0,WATCHLIST,3,52.66,42.21,50.0,50.0,0.9,,,0.2,1.113,,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,280.0,1.0,5.0,0.7,0.0,0.0,0.0,,,,,0.0,0.0,,3.66,0.91,-20.0,3.6584202466292277,6.67,2.0,,,,1.0,,80.01,0.0,1.8415,2.0,0.9981,49.11,36.99,1.0,30.5,0.24,,100.0,,,,,,,,,,,,
