sector_raw,auc_equity_crore,net_inv_equity_crore,date,sector_normalized,source,fortnight_label
Pharmaceuticals & Biotechnology,178878.0,-236.0,2015-06-30,PHARMA,NSDL,"June 30, 2015"
Realty,15723.0,-144.0,2015-06-30,REALTY,NSDL,"June 30, 2015"
Commercial Services & Supplies,4629.0,-623.0,2015-06-30,SERVICES,NSDL,"June 30, 2015"
Diversified Consumer Services,690.0,55.0,2015-06-30,SERVICES,NSDL,"June 30, 2015"
"Hotels, Restaurants & Tourism",9040.0,-23.0,2015-06-30,SERVICES,NSDL,"June 30, 2015"
Retailing,6188.0,0.0,2015-06-30,SERVICES,NSDL,"June 30, 2015"
Telecom Services,52460.0,1204.0,2015-06-30,TELECOM,NSDL,"June 30, 2015"
Telecommunications Equipment,208.0,0.0,2015-06-30,TELECOM,NSDL,"June 30, 2015"
"Textiles, Apparels & Accessories",28133.0,148.0,2015-06-30,TEXTILES,NSDL,"June 30, 2015"
Automobiles & Auto Components,121168.0,-4.0,2015-07-15,AUTO,NSDL,"July 15, 2015"
Capital Goods,143864.0,-138.0,2015-07-15,CAPITAL_GOODS,NSDL,"July 15, 2015"
Consumer Durables,5188.0,-2.0,2015-07-15,CAPITAL_GOODS,NSDL,"July 15, 2015"
General Industrials,18514.0,-4.0,2015-07-15,CAPITAL_GOODS,NSDL,"July 15, 2015"
Construction Materials,53937.0,215.0,2015-07-15,CEMENT,NSDL,"July 15, 2015"
Chemicals & Petrochemicals,29662.0,-193.0,2015-07-15,CHEMICALS,NSDL,"July 15, 2015"
Forest Materials,1621.0,-1.0,2015-07-15,COMMODITIES,NSDL,"July 15, 2015"
Diversified,4941.0,-58.0,2015-07-15,DIVERSIFIED,NSDL,"July 15, 2015"
Others,307029.0,-1453.0,2015-07-15,DIVERSIFIED,NSDL,"July 15, 2015"
Coal,19634.0,581.0,2015-07-15,ENERGY,NSDL,"July 15, 2015"
Oil & Gas,101867.0,1009.0,2015-07-15,ENERGY,NSDL,"July 15, 2015"
Total  Financial Services,373007.0,2499.0,2015-07-15,FINANCIAL_SERVICES,NSDL,"July 15, 2015"
"Food, Beverages & Tobacco",98140.0,-266.0,2015-07-15,FMCG,NSDL,"July 15, 2015"
Household & Personal Products,83325.0,256.0,2015-07-15,FMCG,NSDL,"July 15, 2015"
Healthcare Equipment & Supplies,111.0,0.0,2015-07-15,HEALTHCARE,NSDL,"July 15, 2015"
Healthcare Services,8002.0,96.0,2015-07-15,HEALTHCARE,NSDL,"July 15, 2015"
Utilities,69109.0,-425.0,2015-07-15,INFRASTRUCTURE,NSDL,"July 15, 2015"
Hardware Technology & Equipment,58.0,2.0,2015-07-15,IT,NSDL,"July 15, 2015"
Software & Services,222372.0,-1847.0,2015-07-15,IT,NSDL,"July 15, 2015"
Transportation,51393.0,396.0,2015-07-15,LOGISTICS,NSDL,"July 15, 2015"
Media,22809.0,541.0,2015-07-15,MEDIA,NSDL,"July 15, 2015"
Metals & Mining,37187.0,-1039.0,2015-07-15,METAL,NSDL,"July 15, 2015"
Pharmaceuticals & Biotechnology,196383.0,485.0,2015-07-15,PHARMA,NSDL,"July 15, 2015"
Realty,16641.0,-196.0,2015-07-15,REALTY,NSDL,"July 15, 2015"
Commercial Services & Supplies,7894.0,71.0,2015-07-15,SERVICES,NSDL,"July 15, 2015"
Diversified Consumer Services,875.0,8.0,2015-07-15,SERVICES,NSDL,"July 15, 2015"
"Hotels, Restaurants & Tourism",10197.0,-48.0,2015-07-15,SERVICES,NSDL,"July 15, 2015"
Retailing,13819.0,5.0,2015-07-15,SERVICES,NSDL,"July 15, 2015"
Telecom Services,50830.0,550.0,2015-07-15,TELECOM,NSDL,"July 15, 2015"
Telecommunications Equipment,203.0,-26.0,2015-07-15,TELECOM,NSDL,"July 15, 2015"
"Textiles, Apparels & Accessories",33385.0,104.0,2015-07-15,TEXTILES,NSDL,"July 15, 2015"
Automobiles & Auto Components,120654.0,146.0,2015-07-31,AUTO,NSDL,"July 31, 2015"
Capital Goods,121554.0,-220.0,2015-07-31,CAPITAL_GOODS,NSDL,"July 31, 2015"
Consumer Durables,4456.0,-28.0,2015-07-31,CAPITAL_GOODS,NSDL,"July 31, 2015"
General Industrials,16683.0,19.0,2015-07-31,CAPITAL_GOODS,NSDL,"July 31, 2015"
Construction Materials,42242.0,351.0,2015-07-31,CEMENT,NSDL,"July 31, 2015"
Chemicals & Petrochemicals,25307.0,-30.0,2015-07-31,CHEMICALS,NSDL,"July 31, 2015"
Forest Materials,1174.0,128.0,2015-07-31,COMMODITIES,NSDL,"July 31, 2015"
Diversified,5480.0,45.0,2015-07-31,DIVERSIFIED,NSDL,"July 31, 2015"
Others,302545.0,-1158.0,2015-07-31,DIVERSIFIED,NSDL,"July 31, 2015"
Coal,26255.0,656.0,2015-07-31,ENERGY,NSDL,"July 31, 2015"
Oil & Gas,108275.0,1334.0,2015-07-31,ENERGY,NSDL,"July 31, 2015"
Total  Financial Services,431259.0,3207.0,2015-07-31,FINANCIAL_SERVICES,NSDL,"July 31, 2015"
"Food, Beverages & Tobacco",96944.0,109.0,2015-07-31,FMCG,NSDL,"July 31, 2015"
Household & Personal Products,77293.0,213.0,2015-07-31,FMCG,NSDL,"July 31, 2015"
Healthcare Equipment & Supplies,77.0,0.0,2015-07-31,HEALTHCARE,NSDL,"July 31, 2015"
Healthcare Services,8978.0,111.0,2015-07-31,HEALTHCARE,NSDL,"July 31, 2015"
Utilities,61213.0,-249.0,2015-07-31,INFRASTRUCTURE,NSDL,"July 31, 2015"
Hardware Technology & Equipment,63.0,16.0,2015-07-31,IT,NSDL,"July 31, 2015"
Software & Services,261356.0,-1104.0,2015-07-31,IT,NSDL,"July 31, 2015"
Transportation,44143.0,658.0,2015-07-31,LOGISTICS,NSDL,"July 31, 2015"
Media,29155.0,316.0,2015-07-31,MEDIA,NSDL,"July 31, 2015"
Metals & Mining,27019.0,-968.0,2015-07-31,METAL,NSDL,"July 31, 2015"
Pharmaceuticals & Biotechnology,180975.0,388.0,2015-07-31,PHARMA,NSDL,"July 31, 2015"
Realty,15504.0,337.0,2015-07-31,REALTY,NSDL,"July 31, 2015"
Commercial Services & Supplies,5051.0,98.0,2015-07-31,SERVICES,NSDL,"July 31, 2015"
Diversified Consumer Services,688.0,14.0,2015-07-31,SERVICES,NSDL,"July 31, 2015"
"Hotels, Restaurants & Tourism",9417.0,3.0,2015-07-31,SERVICES,NSDL,"July 31, 2015"
Retailing,6762.0,187.0,2015-07-31,SERVICES,NSDL,"July 31, 2015"
Telecom Services,53065.0,581.0,2015-07-31,TELECOM,NSDL,"July 31, 2015"
Telecommunications Equipment,205.0,-27.0,2015-07-31,TELECOM,NSDL,"July 31, 2015"
"Textiles, Apparels & Accessories",29342.0,188.0,2015-07-31,TEXTILES,NSDL,"July 31, 2015"
Automobiles & Auto Components,125297.0,154.0,2015-08-15,AUTO,NSDL,"August 15, 2015"
Capital Goods,120645.0,-558.0,2015-08-15,CAPITAL_GOODS,NSDL,"August 15, 2015"
Consumer Durables,4441.0,43.0,2015-08-15,CAPITAL_GOODS,NSDL,"August 15, 2015"
General Industrials,16652.0,72.0,2015-08-15,CAPITAL_GOODS,NSDL,"August 15, 2015"
Construction Materials,40985.0,-176.0,2015-08-15,CEMENT,NSDL,"August 15, 2015"
Chemicals & Petrochemicals,25440.0,342.0,2015-08-15,CHEMICALS,NSDL,"August 15, 2015"
Forest Materials,1123.0,145.0,2015-08-15,COMMODITIES,NSDL,"August 15, 2015"
Diversified,5782.0,26.0,2015-08-15,DIVERSIFIED,NSDL,"August 15, 2015"
Others,300694.0,-1890.0,2015-08-15,DIVERSIFIED,NSDL,"August 15, 2015"
Coal,22472.0,182.0,2015-08-15,ENERGY,NSDL,"August 15, 2015"
Oil & Gas,104257.0,1072.0,2015-08-15,ENERGY,NSDL,"August 15, 2015"
Total  Financial Services,422017.0,1067.0,2015-08-15,FINANCIAL_SERVICES,NSDL,"August 15, 2015"
"Food, Beverages & Tobacco",94439.0,-117.0,2015-08-15,FMCG,NSDL,"August 15, 2015"
Household & Personal Products,74463.0,-208.0,2015-08-15,FMCG,NSDL,"August 15, 2015"
Healthcare Equipment & Supplies,77.0,0.0,2015-08-15,HEALTHCARE,NSDL,"August 15, 2015"
Healthcare Services,8958.0,132.0,2015-08-15,HEALTHCARE,NSDL,"August 15, 2015"
Utilities,59012.0,-540.0,2015-08-15,INFRASTRUCTURE,NSDL,"August 15, 2015"
Hardware Technology & Equipment,59.0,11.0,2015-08-15,IT,NSDL,"August 15, 2015"
Software & Services,273590.0,-297.0,2015-08-15,IT,NSDL,"August 15, 2015"
Transportation,46178.0,569.0,2015-08-15,LOGISTICS,NSDL,"August 15, 2015"
Media,29618.0,228.0,2015-08-15,MEDIA,NSDL,"August 15, 2015"
Metals & Mining,24454.0,-875.0,2015-08-15,METAL,NSDL,"August 15, 2015"
Pharmaceuticals & Biotechnology,192173.0,-199.0,2015-08-15,PHARMA,NSDL,"August 15, 2015"
Realty,15634.0,380.0,2015-08-15,REALTY,NSDL,"August 15, 2015"
Commercial Services & Supplies,4961.0,-26.0,2015-08-15,SERVICES,NSDL,"August 15, 2015"
Diversified Consumer Services,666.0,5.0,2015-08-15,SERVICES,NSDL,"August 15, 2015"
"Hotels, Restaurants & Tourism",9096.0,18.0,2015-08-15,SERVICES,NSDL,"August 15, 2015"
Retailing,6827.0,180.0,2015-08-15,SERVICES,NSDL,"August 15, 2015"
Telecom Services,49276.0,295.0,2015-08-15,TELECOM,NSDL,"August 15, 2015"
Telecommunications Equipment,213.0,0.0,2015-08-15,TELECOM,NSDL,"August 15, 2015"
"Textiles, Apparels & Accessories",30058.0,425.0,2015-08-15,TEXTILES,NSDL,"August 15, 2015"
Automobiles & Auto Components,111460.0,-1449.0,2015-08-31,AUTO,NSDL,"August 31, 2015"
Capital Goods,110140.0,-1424.0,2015-08-31,CAPITAL_GOODS,NSDL,"August 31, 2015"
Consumer Durables,4226.0,-4.0,2015-08-31,CAPITAL_GOODS,NSDL,"August 31, 2015"
General Industrials,15623.0,138.0,2015-08-31,CAPITAL_GOODS,NSDL,"August 31, 2015"
Construction Materials,37904.0,-906.0,2015-08-31,CEMENT,NSDL,"August 31, 2015"
Chemicals & Petrochemicals,23710.0,108.0,2015-08-31,CHEMICALS,NSDL,"August 31, 2015"
Forest Materials,992.0,-13.0,2015-08-31,COMMODITIES,NSDL,"August 31, 2015"
Diversified,5417.0,36.0,2015-08-31,DIVERSIFIED,NSDL,"August 31, 2015"
Others,276950.0,-3600.0,2015-08-31,DIVERSIFIED,NSDL,"August 31, 2015"
Coal,21787.0,-123.0,2015-08-31,ENERGY,NSDL,"August 31, 2015"
Oil & Gas,94834.0,-538.0,2015-08-31,ENERGY,NSDL,"August 31, 2015"
Total  Financial Services,387354.0,-2222.0,2015-08-31,FINANCIAL_SERVICES,NSDL,"August 31, 2015"
"Food, Beverages & Tobacco",92017.0,-573.0,2015-08-31,FMCG,NSDL,"August 31, 2015"
Household & Personal Products,72377.0,-836.0,2015-08-31,FMCG,NSDL,"August 31, 2015"
Healthcare Equipment & Supplies,67.0,0.0,2015-08-31,HEALTHCARE,NSDL,"August 31, 2015"
Healthcare Services,8878.0,109.0,2015-08-31,HEALTHCARE,NSDL,"August 31, 2015"
Utilities,53658.0,-1204.0,2015-08-31,INFRASTRUCTURE,NSDL,"August 31, 2015"
Hardware Technology & Equipment,48.0,-6.0,2015-08-31,IT,NSDL,"August 31, 2015"
Software & Services,262053.0,-2015.0,2015-08-31,IT,NSDL,"August 31, 2015"
Transportation,43802.0,239.0,2015-08-31,LOGISTICS,NSDL,"August 31, 2015"
Media,27596.0,-167.0,2015-08-31,MEDIA,NSDL,"August 31, 2015"
Metals & Mining,21962.0,-1356.0,2015-08-31,METAL,NSDL,"August 31, 2015"
Pharmaceuticals & Biotechnology,193748.0,-191.0,2015-08-31,PHARMA,NSDL,"August 31, 2015"
Realty,13496.0,-433.0,2015-08-31,REALTY,NSDL,"August 31, 2015"
Commercial Services & Supplies,4378.0,-149.0,2015-08-31,SERVICES,NSDL,"August 31, 2015"
Diversified Consumer Services,659.0,3.0,2015-08-31,SERVICES,NSDL,"August 31, 2015"
"Hotels, Restaurants & Tourism",8383.0,-116.0,2015-08-31,SERVICES,NSDL,"August 31, 2015"
Retailing,6453.0,80.0,2015-08-31,SERVICES,NSDL,"August 31, 2015"
Telecom Services,45232.0,-587.0,2015-08-31,TELECOM,NSDL,"August 31, 2015"
Telecommunications Equipment,187.0,-1.0,2015-08-31,TELECOM,NSDL,"August 31, 2015"
"Textiles, Apparels & Accessories",28806.0,322.0,2015-08-31,TEXTILES,NSDL,"August 31, 2015"
Automobiles & Auto Components,108793.0,-2471.0,2015-09-15,AUTO,CDSL,"September 15, 2015"
Capital Goods,105624.0,-1971.0,2015-09-15,CAPITAL_GOODS,CDSL,"September 15, 2015"
Consumer Durables,4112.0,-65.0,2015-09-15,CAPITAL_GOODS,CDSL,"September 15, 2015"
General Industrials,14631.0,182.0,2015-09-15,CAPITAL_GOODS,CDSL,"September 15, 2015"
Construction Materials,37991.0,-1021.0,2015-09-15,CEMENT,CDSL,"September 15, 2015"
Chemicals & Petrochemicals,23271.0,38.0,2015-09-15,CHEMICALS,CDSL,"September 15, 2015"
Forest Materials,958.0,-40.0,2015-09-15,COMMODITIES,CDSL,"September 15, 2015"
Diversified,5375.0,-14.0,2015-09-15,DIVERSIFIED,CDSL,"September 15, 2015"
Others,272907.0,-4190.0,2015-09-15,DIVERSIFIED,CDSL,"September 15, 2015"
Coal,19888.0,-199.0,2015-09-15,ENERGY,CDSL,"September 15, 2015"
Oil & Gas,94012.0,-1270.0,2015-09-15,ENERGY,CDSL,"September 15, 2015"
Total  Financial Services,383307.0,-2776.0,2015-09-15,FINANCIAL_SERVICES,CDSL,"September 15, 2015"
"Food, Beverages & Tobacco",90876.0,-342.0,2015-09-15,FMCG,CDSL,"September 15, 2015"
Household & Personal Products,69551.0,-1094.0,2015-09-15,FMCG,CDSL,"September 15, 2015"
Healthcare Equipment & Supplies,65.0,0.0,2015-09-15,HEALTHCARE,CDSL,"September 15, 2015"
Healthcare Services,8982.0,48.0,2015-09-15,HEALTHCARE,CDSL,"September 15, 2015"
Utilities,53187.0,-1155.0,2015-09-15,INFRASTRUCTURE,CDSL,"September 15, 2015"
Hardware Technology & Equipment,45.0,-4.0,2015-09-15,IT,CDSL,"September 15, 2015"
Software & Services,258672.0,-2536.0,2015-09-15,IT,CDSL,"September 15, 2015"
Transportation,42091.0,-127.0,2015-09-15,LOGISTICS,CDSL,"September 15, 2015"
Media,27994.0,-239.0,2015-09-15,MEDIA,CDSL,"September 15, 2015"
Metals & Mining,21801.0,-1039.0,2015-09-15,METAL,CDSL,"September 15, 2015"
Pharmaceuticals & Biotechnology,183000.0,-646.0,2015-09-15,PHARMA,CDSL,"September 15, 2015"
Realty,14046.0,-340.0,2015-09-15,REALTY,CDSL,"September 15, 2015"
Commercial Services & Supplies,4247.0,-127.0,2015-09-15,SERVICES,CDSL,"September 15, 2015"
Diversified Consumer Services,610.0,0.0,2015-09-15,SERVICES,CDSL,"September 15, 2015"
"Hotels, Restaurants & Tourism",8093.0,-130.0,2015-09-15,SERVICES,CDSL,"September 15, 2015"
Retailing,6426.0,121.0,2015-09-15,SERVICES,CDSL,"September 15, 2015"
Telecom Services,43941.0,-812.0,2015-09-15,TELECOM,CDSL,"September 15, 2015"
Telecommunications Equipment,194.0,7.0,2015-09-15,TELECOM,CDSL,"September 15, 2015"
"Textiles, Apparels & Accessories",27809.0,40.0,2015-09-15,TEXTILES,CDSL,"September 15, 2015"
Automobiles & Auto Components,113073.0,-5.0,2015-09-30,AUTO,CDSL,"September 30, 2015"
Capital Goods,102639.0,-870.0,2015-09-30,CAPITAL_GOODS,CDSL,"September 30, 2015"
Consumer Durables,4360.0,6.0,2015-09-30,CAPITAL_GOODS,CDSL,"September 30, 2015"
General Industrials,14585.0,-232.0,2015-09-30,CAPITAL_GOODS,CDSL,"September 30, 2015"
Construction Materials,36484.0,-725.0,2015-09-30,CEMENT,CDSL,"September 30, 2015"
Chemicals & Petrochemicals,22612.0,40.0,2015-09-30,CHEMICALS,CDSL,"September 30, 2015"
Forest Materials,989.0,-18.0,2015-09-30,COMMODITIES,CDSL,"September 30, 2015"
Diversified,5502.0,-141.0,2015-09-30,DIVERSIFIED,CDSL,"September 30, 2015"
Others,275115.0,1465.0,2015-09-30,DIVERSIFIED,CDSL,"September 30, 2015"
Coal,18880.0,-581.0,2015-09-30,ENERGY,CDSL,"September 30, 2015"
Oil & Gas,92398.0,-1021.0,2015-09-30,ENERGY,CDSL,"September 30, 2015"
Total  Financial Services,399052.0,-139.0,2015-09-30,FINANCIAL_SERVICES,CDSL,"September 30, 2015"
"Food, Beverages & Tobacco",92915.0,-70.0,2015-09-30,FMCG,CDSL,"September 30, 2015"
Household & Personal Products,67989.0,-1363.0,2015-09-30,FMCG,CDSL,"September 30, 2015"
Healthcare Equipment & Supplies,61.0,0.0,2015-09-30,HEALTHCARE,CDSL,"September 30, 2015"
Healthcare Services,9510.0,60.0,2015-09-30,HEALTHCARE,CDSL,"September 30, 2015"
Utilities,54596.0,-481.0,2015-09-30,INFRASTRUCTURE,CDSL,"September 30, 2015"
Hardware Technology & Equipment,45.0,-1.0,2015-09-30,IT,CDSL,"September 30, 2015"
Software & Services,269654.0,-61.0,2015-09-30,IT,CDSL,"September 30, 2015"
Transportation,40338.0,-293.0,2015-09-30,LOGISTICS,CDSL,"September 30, 2015"
Media,28456.0,111.0,2015-09-30,MEDIA,CDSL,"September 30, 2015"
Metals & Mining,20234.0,-389.0,2015-09-30,METAL,CDSL,"September 30, 2015"
Pharmaceuticals & Biotechnology,188996.0,-929.0,2015-09-30,PHARMA,CDSL,"September 30, 2015"
Realty,15117.0,63.0,2015-09-30,REALTY,CDSL,"September 30, 2015"
Commercial Services & Supplies,4506.0,-21.0,2015-09-30,SERVICES,CDSL,"September 30, 2015"
Diversified Consumer Services,546.0,-5.0,2015-09-30,SERVICES,CDSL,"September 30, 2015"
"Hotels, Restaurants & Tourism",7871.0,-101.0,2015-09-30,SERVICES,CDSL,"September 30, 2015"
Retailing,6828.0,74.0,2015-09-30,SERVICES,CDSL,"September 30, 2015"
Telecom Services,43121.0,-873.0,2015-09-30,TELECOM,CDSL,"September 30, 2015"
Telecommunications Equipment,205.0,14.0,2015-09-30,TELECOM,CDSL,"September 30, 2015"
"Textiles, Apparels & Accessories",28516.0,15.0,2015-09-30,TEXTILES,CDSL,"September 30, 2015"
Automobiles & Auto Components,115640.0,1849.0,2015-10-15,AUTO,CDSL,"October 15, 2015"
Capital Goods,112103.0,630.0,2015-10-15,CAPITAL_GOODS,CDSL,"October 15, 2015"
Consumer Durables,4685.0,35.0,2015-10-15,CAPITAL_GOODS,CDSL,"October 15, 2015"
General Industrials,15112.0,-102.0,2015-10-15,CAPITAL_GOODS,CDSL,"October 15, 2015"
Construction Materials,37883.0,-825.0,2015-10-15,CEMENT,CDSL,"October 15, 2015"
Chemicals & Petrochemicals,23240.0,-79.0,2015-10-15,CHEMICALS,CDSL,"October 15, 2015"
Forest Materials,1105.0,4.0,2015-10-15,COMMODITIES,CDSL,"October 15, 2015"
Diversified,5590.0,-81.0,2015-10-15,DIVERSIFIED,CDSL,"October 15, 2015"
Others,287968.0,2778.0,2015-10-15,DIVERSIFIED,CDSL,"October 15, 2015"
Coal,19565.0,-561.0,2015-10-15,ENERGY,CDSL,"October 15, 2015"
Oil & Gas,97949.0,-244.0,2015-10-15,ENERGY,CDSL,"October 15, 2015"
Total  Financial Services,408383.0,654.0,2015-10-15,FINANCIAL_SERVICES,CDSL,"October 15, 2015"
"Food, Beverages & Tobacco",97239.0,123.0,2015-10-15,FMCG,CDSL,"October 15, 2015"
Household & Personal Products,66371.0,-941.0,2015-10-15,FMCG,CDSL,"October 15, 2015"
Healthcare Equipment & Supplies,70.0,0.0,2015-10-15,HEALTHCARE,CDSL,"October 15, 2015"
Healthcare Services,9546.0,97.0,2015-10-15,HEALTHCARE,CDSL,"October 15, 2015"
Utilities,56903.0,25.0,2015-10-15,INFRASTRUCTURE,CDSL,"October 15, 2015"
Hardware Technology & Equipment,64.0,0.0,2015-10-15,IT,CDSL,"October 15, 2015"
Software & Services,253801.0,25.0,2015-10-15,IT,CDSL,"October 15, 2015"
Transportation,42755.0,33.0,2015-10-15,LOGISTICS,CDSL,"October 15, 2015"
Media,29788.0,286.0,2015-10-15,MEDIA,CDSL,"October 15, 2015"
Metals & Mining,23305.0,-231.0,2015-10-15,METAL,CDSL,"October 15, 2015"
Pharmaceuticals & Biotechnology,190897.0,27.0,2015-10-15,PHARMA,CDSL,"October 15, 2015"
Realty,15521.0,87.0,2015-10-15,REALTY,CDSL,"October 15, 2015"
Commercial Services & Supplies,5160.0,14.0,2015-10-15,SERVICES,CDSL,"October 15, 2015"
Diversified Consumer Services,552.0,-14.0,2015-10-15,SERVICES,CDSL,"October 15, 2015"
"Hotels, Restaurants & Tourism",7915.0,-186.0,2015-10-15,SERVICES,CDSL,"October 15, 2015"
Retailing,7033.0,90.0,2015-10-15,SERVICES,CDSL,"October 15, 2015"
Telecom Services,44713.0,-731.0,2015-10-15,TELECOM,CDSL,"October 15, 2015"
Telecommunications Equipment,214.0,5.0,2015-10-15,TELECOM,CDSL,"October 15, 2015"
"Textiles, Apparels & Accessories",29586.0,123.0,2015-10-15,TEXTILES,CDSL,"October 15, 2015"
Automobiles & Auto Components,114329.0,1473.0,2015-10-31,AUTO,CDSL,"October 31, 2015"
Capital Goods,109327.0,1632.0,2015-10-31,CAPITAL_GOODS,CDSL,"October 31, 2015"
Consumer Durables,4744.0,66.0,2015-10-31,CAPITAL_GOODS,CDSL,"October 31, 2015"
General Industrials,14657.0,41.0,2015-10-31,CAPITAL_GOODS,CDSL,"October 31, 2015"
Construction Materials,37614.0,-533.0,2015-10-31,CEMENT,CDSL,"October 31, 2015"
Chemicals & Petrochemicals,23113.0,95.0,2015-10-31,CHEMICALS,CDSL,"October 31, 2015"
Forest Materials,1093.0,21.0,2015-10-31,COMMODITIES,CDSL,"October 31, 2015"
Diversified,5430.0,11.0,2015-10-31,DIVERSIFIED,CDSL,"October 31, 2015"
Others,278454.0,201.0,2015-10-31,DIVERSIFIED,CDSL,"October 31, 2015"
Coal,18048.0,-396.0,2015-10-31,ENERGY,CDSL,"October 31, 2015"
Oil & Gas,99437.0,913.0,2015-10-31,ENERGY,CDSL,"October 31, 2015"
Total  Financial Services,405151.0,1063.0,2015-10-31,FINANCIAL_SERVICES,CDSL,"October 31, 2015"
"Food, Beverages & Tobacco",95391.0,653.0,2015-10-31,FMCG,CDSL,"October 31, 2015"
Household & Personal Products,66637.0,-338.0,2015-10-31,FMCG,CDSL,"October 31, 2015"
Healthcare Equipment & Supplies,57.0,0.0,2015-10-31,HEALTHCARE,CDSL,"October 31, 2015"
Healthcare Services,8728.0,20.0,2015-10-31,HEALTHCARE,CDSL,"October 31, 2015"
Utilities,56794.0,152.0,2015-10-31,INFRASTRUCTURE,CDSL,"October 31, 2015"
Hardware Technology & Equipment,59.0,-2.0,2015-10-31,IT,CDSL,"October 31, 2015"
Software & Services,260844.0,620.0,2015-10-31,IT,CDSL,"October 31, 2015"
Transportation,38939.0,-56.0,2015-10-31,LOGISTICS,CDSL,"October 31, 2015"
Media,29054.0,108.0,2015-10-31,MEDIA,CDSL,"October 31, 2015"
Metals & Mining,22700.0,-27.0,2015-10-31,METAL,CDSL,"October 31, 2015"
Pharmaceuticals & Biotechnology,190539.0,1175.0,2015-10-31,PHARMA,CDSL,"October 31, 2015"
Realty,14757.0,70.0,2015-10-31,REALTY,CDSL,"October 31, 2015"
Commercial Services & Supplies,4932.0,19.0,2015-10-31,SERVICES,CDSL,"October 31, 2015"
Diversified Consumer Services,500.0,-23.0,2015-10-31,SERVICES,CDSL,"October 31, 2015"
"Hotels, Restaurants & Tourism",7881.0,-252.0,2015-10-31,SERVICES,CDSL,"October 31, 2015"
Retailing,6687.0,27.0,2015-10-31,SERVICES,CDSL,"October 31, 2015"
Telecom Services,43084.0,-284.0,2015-10-31,TELECOM,CDSL,"October 31, 2015"
Telecommunications Equipment,217.0,0.0,2015-10-31,TELECOM,CDSL,"October 31, 2015"
"Textiles, Apparels & Accessories",29547.0,201.0,2015-10-31,TEXTILES,CDSL,"October 31, 2015"
Automobiles & Auto Components,116160.0,582.0,2015-11-15,AUTO,CDSL,"November 15, 2015"
Capital Goods,104987.0,251.0,2015-11-15,CAPITAL_GOODS,CDSL,"November 15, 2015"
Consumer Durables,4505.0,59.0,2015-11-15,CAPITAL_GOODS,CDSL,"November 15, 2015"
General Industrials,14899.0,-25.0,2015-11-15,CAPITAL_GOODS,CDSL,"November 15, 2015"
Construction Materials,35175.0,-461.0,2015-11-15,CEMENT,CDSL,"November 15, 2015"
Chemicals & Petrochemicals,22238.0,51.0,2015-11-15,CHEMICALS,CDSL,"November 15, 2015"
Forest Materials,1123.0,25.0,2015-11-15,COMMODITIES,CDSL,"November 15, 2015"
Diversified,5194.0,-60.0,2015-11-15,DIVERSIFIED,CDSL,"November 15, 2015"
Others,277761.0,1588.0,2015-11-15,DIVERSIFIED,CDSL,"November 15, 2015"
Coal,19081.0,-247.0,2015-11-15,ENERGY,CDSL,"November 15, 2015"
Oil & Gas,97080.0,237.0,2015-11-15,ENERGY,CDSL,"November 15, 2015"
Total  Financial Services,386496.0,308.0,2015-11-15,FINANCIAL_SERVICES,CDSL,"November 15, 2015"
"Food, Beverages & Tobacco",95100.0,454.0,2015-11-15,FMCG,CDSL,"November 15, 2015"
Household & Personal Products,66129.0,-319.0,2015-11-15,FMCG,CDSL,"November 15, 2015"
Healthcare Equipment & Supplies,50.0,0.0,2015-11-15,HEALTHCARE,CDSL,"November 15, 2015"
Healthcare Services,8371.0,-16.0,2015-11-15,HEALTHCARE,CDSL,"November 15, 2015"
Utilities,55572.0,-56.0,2015-11-15,INFRASTRUCTURE,CDSL,"November 15, 2015"
Hardware Technology & Equipment,63.0,-1.0,2015-11-15,IT,CDSL,"November 15, 2015"
Software & Services,252801.0,886.0,2015-11-15,IT,CDSL,"November 15, 2015"
Transportation,36920.0,-552.0,2015-11-15,LOGISTICS,CDSL,"November 15, 2015"
Media,27046.0,-279.0,2015-11-15,MEDIA,CDSL,"November 15, 2015"
Metals & Mining,20940.0,-392.0,2015-11-15,METAL,CDSL,"November 15, 2015"
Pharmaceuticals & Biotechnology,169158.0,-38.0,2015-11-15,PHARMA,CDSL,"November 15, 2015"
Realty,13945.0,-62.0,2015-11-15,REALTY,CDSL,"November 15, 2015"
Commercial Services & Supplies,4480.0,-18.0,2015-11-15,SERVICES,CDSL,"November 15, 2015"
Diversified Consumer Services,456.0,-21.0,2015-11-15,SERVICES,CDSL,"November 15, 2015"
"Hotels, Restaurants & Tourism",7179.0,-379.0,2015-11-15,SERVICES,CDSL,"November 15, 2015"
Retailing,6694.0,-79.0,2015-11-15,SERVICES,CDSL,"November 15, 2015"
Telecom Services,40583.0,-208.0,2015-11-15,TELECOM,CDSL,"November 15, 2015"
Telecommunications Equipment,213.0,2.0,2015-11-15,TELECOM,CDSL,"November 15, 2015"
"Textiles, Apparels & Accessories",28966.0,25.0,2015-11-15,TEXTILES,CDSL,"November 15, 2015"
Automobiles & Auto Components,122654.0,2281.0,2015-11-30,AUTO,CDSL,"November 30, 2015"
Capital Goods,108737.0,-758.0,2015-11-30,CAPITAL_GOODS,CDSL,"November 30, 2015"
Consumer Durables,4808.0,5.0,2015-11-30,CAPITAL_GOODS,CDSL,"November 30, 2015"
