bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,POWERGRID Infrastructure Investment Trust,12-Feb-2026,100,-,INE0GGX23010,-,-,12-Feb-2026,IV,Distribution - Rs 3 Per Unit Consist Of Rs 1.84 Per Unit As Interest/ Re 0.64 Per Unit As Dividend/ Re 0.51 Per Unit As Repayment Of Capital (Spv Debt)/ Re 0.01 Per Unit As Treasury Income,PGINVIT
-,-,,Goldiam International Limited,12-Feb-2026,2,-,INE025B01017,-,-,12-Feb-2026,EQ,Interim Dividend - Rs 2.75 Per Share,GOLDIAM
-,-,,Gateway Distriparks Limited,12-Feb-2026,10,-,INE079J01017,-,-,12-Feb-2026,EQ,Interim Dividend - Re 0.75 Per Share & Special Dividend Rs 1.25 Per Share,GATEWAY
-,-,,Star Cement Limited,12-Feb-2026,1,-,INE460H01021,-,-,12-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,STARCEMENT
-,-,,Sun TV Network Limited,12-Feb-2026,5,-,INE424H01027,-,-,12-Feb-2026,EQ,Interim Dividend - Rs 2.50 Per Share,SUNTV
-,-,,Snowman Logistics Limited,12-Feb-2026,10,-,INE734N01019,-,-,12-Feb-2026,EQ,Interim Dividend - Re 0.50 Per Share,SNOWMAN
-,-,,Repco Home Finance Limited,12-Feb-2026,10,-,INE612J01015,-,-,12-Feb-2026,EQ,Interim Dividend - Rs 2 Per Share,REPCOHOME
-,-,,Axita Cotton Limited,13-Feb-2026,1,-,INE02EZ01014,-,-,13-Feb-2026,EQ,Bonus 1:10,AXITA
-,-,,Mazagon Dock Shipbuilders Limited,13-Feb-2026,5,-,INE249Z01012,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 7.50 Per Share,MAZDOCK
-,-,,Mahanagar Gas Limited,13-Feb-2026,10,-,INE002S01010,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 12 Per Share,MGL
-,-,,Minda Corporation Limited,13-Feb-2026,2,-,INE842C01013,-,-,13-Feb-2026,EQ,Interim Dividend - Re 0.60 Per Share,MINDACORP
-,-,,MRF Limited,13-Feb-2026,10,-,INE883A01011,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 3 Per Share,MRF
-,-,,K.P.R. Mill Limited,13-Feb-2026,1,-,INE930H01015,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 2.50 Per Share,KPRMILL
-,-,,BEML Limited,13-Feb-2026,5,-,INE258A01016,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 2.50 Per Share,BEML
-,-,,GOVERNMENT OF INDIA,13-Feb-2026,100,-,IN0020060078,-,-,13-Feb-2026,GS,Interest Payment,824GS2027
-,-,,DELPHI WORLD MONEY LIMITED,13-Feb-2026,2,-,INE726L01019,-,-,14-Feb-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,DELPHIFX
-,-,,DELPHI WORLD MONEY LIMITED,13-Feb-2026,2,-,INE726L01019,-,-,14-Feb-2026,EQ,Bonus 2:1,DELPHIFX
-,-,,Dynamatic Technologies Limited,13-Feb-2026,10,-,INE221B01012,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 5 Per Share,DYNAMATECH
-,-,,Gulf Oil Lubricants India Limited,13-Feb-2026,2,-,INE635Q01029,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 21 Per Share,GULFOILLUB
-,-,,HBL Engineering Limited,13-Feb-2026,1,-,INE292B01021,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 2 Per Share,HBLENGINE
-,-,,Esab India Limited,13-Feb-2026,10,-,INE284A01012,-,-,14-Feb-2026,EQ,Interim Dividend - Rs 25 Per Share,ESABINDIA
-,-,,NMDC Limited,13-Feb-2026,1,-,INE584A01023,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 2.50 Per Share,NMDC
-,-,,ROUTE MOBILE LIMITED,13-Feb-2026,10,-,INE450U01017,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 3 Per Share,ROUTE
-,-,,NRB Bearing Limited,13-Feb-2026,2,-,INE349A01021,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 3.20 Per Share,NRBBEARING
-,-,,Sreeleathers Limited,13-Feb-2026,10,-,INE099F01013,-,-,13-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,SREEL
-,-,,S H Kelkar and Company Limited,13-Feb-2026,10,-,INE500L01026,-,-,13-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,SHK
-,-,,Suprajit Engineering Limited,13-Feb-2026,1,-,INE399C01030,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 1.50 Per Share,SUPRAJIT
-,-,,VRL Logistics Limited,13-Feb-2026,10,-,INE366I01010,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 5 Per Share,VRLLOG
-,-,,Sonata Software Limited,13-Feb-2026,1,-,INE269A01021,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 1.25 Per Share,SONATSOFTW
-,-,,Shivalik Bimetal Controls Limited,13-Feb-2026,2,-,INE386D01027,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 2 Per Share,SBCL
-,-,,Hindustan Copper Limited,13-Feb-2026,5,-,INE531E01026,-,-,13-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,HINDCOPPER
-,-,,BLS International Services Limited,13-Feb-2026,1,-,INE153T01019,-,-,13-Feb-2026,EQ,Interim Dividend - Rs 2 Per Share,BLS
-,-,,BLS E-Services Limited,13-Feb-2026,10,-,INE0NLT01010,-,-,13-Feb-2026,EQ,Interim Dividend - Re 0.50 Per Share,BLSE
-,-,,Anantam Highways Trust,16-Feb-2026,100,-,INE1UA823019,-,-,16-Feb-2026,IV,Distribution - Rs 2.50 Per Unit Consist Of Rs 1.08016 Per Unit As Interest/ Rs 1.41536 Per Unit As Capital Repayment/ Re 0.00448 Per Unit As Other Income,ANANTAM
-,-,,Apollo Hospitals Enterprise Limited,16-Feb-2026,5,-,INE437A01016,-,-,16-Feb-2026,EQ,Interim Dividend - Rs 10 Per Sh,APOLLOHOSP
-,-,,IRB InvIT Fund,16-Feb-2026,102,-,INE183W23014,-,-,16-Feb-2026,IV,Distribution - Rs 1.50 Consists Of Re 0.95 Per Unit As Interest/ Re 0.44 Per Unit As Return Of Capital/ Re 0.11 Per Unit As Dividend,IRBINVIT
-,-,,IRB INFRASTRUCTURE TRUST,16-Feb-2026,100,-,INE0C8K23012,-,-,16-Feb-2026,IV,Distribution - Re 0.43 Per Unit As Interest,IRBIT
-,-,,Onelife Capital Advisors Limited,16-Feb-2026,10,-,INE912L01015,-,-,16-Feb-2026,EQ,Rights 300:167 @ Premium Rs 5/-,ONELIFECAP
-,-,,Torrent Power Limited,16-Feb-2026,10,-,INE813H01021,-,-,16-Feb-2026,EQ,Interim Dividend - Rs 15 Per Share,TORNTPOWER
-,-,,IIFL Capital Services Limited,16-Feb-2026,2,-,INE489L01022,-,-,16-Feb-2026,EQ,Interim Dividend - Rs 3 Per Share,IIFLCAPS
-,-,,Aarti Pharmalabs Limited,16-Feb-2026,5,-,INE0LRU01027,-,-,16-Feb-2026,EQ,Interim Dividend - Rs 1.50 Per Share,AARTIPHARM
-,-,,Escorts Kubota Limited,16-Feb-2026,10,-,INE042A01014,-,-,16-Feb-2026,EQ,Special Dividend - Rs 18 Per Share,ESCORTS
-,-,,NDR INVIT Trust,16-Feb-2026,100,-,INE0Q7Q23015,-,-,16-Feb-2026,IV,Distribution - Rs 1.875 Per Unit Consists Of Re 0.821 Per Unit As Interest/ Re 0.821 Per Unit As Return Of Capital/ Re 0.233 Per Unit As Dividend,NDRINVIT
-,-,,Uniparts India Limited,16-Feb-2026,10,-,INE244O01017,-,-,16-Feb-2026,EQ,Interim Dividend - Rs 7 Per Share,UNIPARTS
-,-,,Kewal Kiran Clothing Limited,16-Feb-2026,10,-,INE401H01017,-,-,16-Feb-2026,EQ,Interim Dividend - Rs 2 Per Share,KKCL
-,-,,IOL Chemicals and Pharmaceuticals Limited,17-Feb-2026,2,-,INE485C01011,-,-,17-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,IOLCP
-,-,,Ircon International Limited,17-Feb-2026,2,-,INE962Y01013,-,-,17-Feb-2026,EQ,Interim Dividend - Rs 1.20 Per Share,IRCON
-,-,,Nxt-Infra Trust,17-Feb-2026,100,-,INE0SF023016,-,-,17-Feb-2026,IV,Distribution - Rs 7.4825 Per Unit Consist Of Rs 1.4596 Per Unit As Interest/ Rs 6.0229 Per Unit As Repayment Of Capital,NXT-INFRA
-,-,,Mrs. Bectors Food Specialities Limited,17-Feb-2026,2,-,INE495P01012,-,-,17-Feb-2026,EQ,Interim Dividend - Rs 0.60 Per Share,BECTORFOOD
-,-,,Hikal Limited,17-Feb-2026,2,-,INE475B01014,-,-,17-Feb-2026,EQ,Interim Dividend - Re 0.20 Per Share,HIKAL
-,-,,IndiGrid Infrastructure Trust,17-Feb-2026,100,-,INE219X23014,-,-,17-Feb-2026,IV,Distribution - Rs 4 Per Unit Consist Of Rs 2.9465 Per Unit As Interest/ Re 0.0074 Per Unit As Dividend/ Rs 1.0143 Per Unit As Capital Repayment/ Re 0.0318 Per Unit As Other Income,INDIGRID
-,-,,Interise Trust,17-Feb-2026,100,-,INE790Z23019,-,-,17-Feb-2026,IV,Distribution - Rs 3.81 Per Unit Consist Of Rs 2.82 Per Unit As Interest/ Re 0.98 Per Unit As Dividend/ Re 0.01 Per Unit As Other Income,INTERISE
-,-,,Shipping Corporation Of India Limited,17-Feb-2026,10,-,INE109A01011,-,-,17-Feb-2026,EQ,Interim Dividend - Rs 3.50 Per Share,SCI
-,-,,International Gemological Institute Limited,17-Feb-2026,2,-,INE0Q9301021,-,-,17-Feb-2026,EQ,Interim Dividend - Rs 2.50 Per Share,IGIL
-,-,,Ashiana Housing Limited,18-Feb-2026,2,-,INE365D01013,-,-,19-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,ASHIANA
-,-,,Bliss GVS Pharma Limited,18-Feb-2026,1,-,INE416D01022,-,-,18-Feb-2026,EQ,Interim Dividend - Re 0.50 Per Share,BLISSGVS
-,-,,Sadhana Nitrochem Limited,18-Feb-2026,1,-,INE888C01040,-,-,19-Feb-2026,EQ,Rights 8:1 @ Premium Rs 0/-,SADHNANIQ
-,-,,IRB Infrastructure Developers Limited,18-Feb-2026,1,-,INE821I01014,-,-,19-Feb-2026,EQ,Interim Dividend - Re 0.07 Per Share,IRB
-,-,,Oil India Limited,18-Feb-2026,10,-,INE274J01014,-,-,18-Feb-2026,EQ,Interim Dividend - Rs 7 Per Share,OIL
-,-,,Oil & Natural Gas Corporation Limited,18-Feb-2026,5,-,INE213A01011,-,-,18-Feb-2026,EQ,Interim Dividend - Rs 6.25 Per Share,ONGC
-,-,,Oriental InfraTrust,18-Feb-2026,100,-,INE07Z523018,-,-,18-Feb-2026,IV,Distribution - Rs 2.2834 Per Unit Consists Of Rs 1.0781 Per Unit As Interest/ Re 0.7192 Per Unit As Dividend/ Re 0.4861 Per Unit As Return Of Capital,OSEINTRUST
-,-,,Mstc Limited,18-Feb-2026,10,-,INE255X01014,-,-,18-Feb-2026,EQ,Interim Dividend - Rs 7.60 Per Share,MSTCLTD
-,-,,Natco Pharma Limited,18-Feb-2026,2,-,INE987B01018,-,-,18-Feb-2026,EQ,Interim Dividend - Rs 1.50 Per Share,NATCOPHARM
-,-,,Precision Wires India Limited,18-Feb-2026,1,-,INE372C01011,-,-,19-Feb-2026,EQ,Interim Dividend - Re 0.35 Per Share,PRECWIRE
-,-,,Bhansali Engineering Polymers Limited,18-Feb-2026,1,-,INE922A01025,-,-,19-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,BEPL
-,-,,Indraprastha Gas Limited,18-Feb-2026,2,-,INE203G01019,-,-,19-Feb-2026,EQ,Interim Dividend - Rs  3.25 Per Share,IGL
-,-,,Goodluck India Limited,18-Feb-2026,2,-,INE127I01024,-,-,19-Feb-2026,EQ,Interim Dividend - Rs 3 Per Share,GOODLUCK
-,-,,G R Infraprojects Limited,18-Feb-2026,5,-,INE201P01022,-,-,19-Feb-2026,EQ,Interim Dividend - Rs 2.50 Per Share,GRINFRA
-,-,,CMS Info Systems Limited,18-Feb-2026,10,-,INE925R01014,-,-,18-Feb-2026,EQ,Interim Dividend - Rs 2.75 Per Share,CMSINFO
-,-,,Hindustan Aeronautics Limited,18-Feb-2026,5,-,INE066F01012,-,-,18-Feb-2026,EQ,Interim Dividend - Rs 35 Per Share,HAL
-,-,,Coal India Limited,18-Feb-2026,10,-,INE522F01014,-,-,18-Feb-2026,EQ,Interim Dividend - Rs 5.50 Per Share,COALINDIA
-,-,,The United Nilgiri Tea Estates Company Limited,18-Feb-2026,10,-,INE458F01011,-,-,18-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,UNITEDTEA
-,-,,Sical Logistics Limited,18-Feb-2026,10,-,INE075B01020,-,-,18-Feb-2026,EQ,Rights 11:5 @ Premium Rs 54/-,SICALLOG
-,-,,Torrent Pharmaceuticals Limited,18-Feb-2026,5,-,INE685A01028,-,-,19-Feb-2026,EQ,Interim Dividend - Rs 29 Per Share,TORNTPHARM
-,-,,Bharat Forge Limited,18-Feb-2026,2,-,INE465A01025,-,-,18-Feb-2026,EQ,Interim Dividend - Rs 2 Per Share,BHARATFORG
-,-,,Honda India Power Products Limited,18-Feb-2026,10,-,INE634A01018,-,-,19-Feb-2026,EQ,Intereim Dividend - Rs 3.50 Per Share,HONDAPOWER
-,-,,AVT Natural Products Limited,18-Feb-2026,1,-,INE488D01013,-,-,19-Feb-2026,EQ,Interim Dividend - Re 0.35 Per Share,AVTNPL
-,-,,Indian Railway Catering And Tourism Corporation Limited,20-Feb-2026,2,-,INE335Y01012,-,-,20-Feb-2026,EQ,Interim Dividend - Rs 3.50 Per Share,IRCTC
-,-,,SJVN Limited,20-Feb-2026,10,-,INE002L01015,-,-,20-Feb-2026,EQ,Interim Dividend - Rs 1.15 Per Share,SJVN
-,-,,Kirloskar Oil Engines Limited,20-Feb-2026,2,-,INE146L01010,-,-,20-Feb-2026,EQ,Interim Dividend - Rs 2.50 Per Share,KIRLOSENG
-,-,,Info Edge (India) Limited,20-Feb-2026,2,-,INE663F01024,-,-,20-Feb-2026,EQ,Interim Dividend - Rs 2.40 Per Share,NAUKRI
-,-,,PTC India Limited,20-Feb-2026,10,-,INE877F01012,-,-,20-Feb-2026,EQ,Interim Dividend - Rs 3 Per Share,PTC
-,-,,NCL Industries Limited,20-Feb-2026,10,-,INE732C01016,-,-,21-Feb-2026,EQ,Interim Dividend - Rs 1.50 Per Share,NCLIND
-,-,,RACL Geartech Limited,20-Feb-2026,10,-,INE704B01017,-,-,20-Feb-2026,EQ,Interim Dividend - Rs 1.50 Per Share,RACLGEAR
-,-,,The Bombay Burmah Trading Corporation Limited,20-Feb-2026,2,-,INE050A01017,-,-,20-Feb-2026,EQ,Interim Dividend - Rs 17 Per Share,BBTC
-,-,,Alkem Laboratories Limited,20-Feb-2026,2,-,INE540L01014,-,-,20-Feb-2026,EQ,Interim Dividend - Rs 43 Per Share,ALKEM
-,-,,Cantabil Retail India Limited,20-Feb-2026,2,-,INE068L01016,-,-,20-Feb-2026,EQ,Interim Dividend - Re 0.75 Per Share,CANTABIL
-,-,,DCW Limited,20-Feb-2026,2,-,INE500A01029,-,-,20-Feb-2026,EQ,Interim Dividend - Re 0.10 Per Share,DCW
-,-,,Ddev Plastiks Industries Limited,20-Feb-2026,1,-,INE0HR601026,-,-,20-Feb-2026,EQ,Interim Dividend - Re 0.50 Per Share,DDEVPLSTIK
-,-,,Firstsource Solutions Limited,20-Feb-2026,10,-,INE684F01012,-,-,20-Feb-2026,EQ,Interim Dividend - Rs 5.50 Per Share,FSL
-,-,,Rashtriya Chemicals and Fertilizers Limited,20-Feb-2026,10,-,INE027A01015,-,-,20-Feb-2026,EQ,Interim Dividend - Re 1 Per Sh,RCF
-,-,,India Nippon Electricals Limited,20-Feb-2026,5,-,INE092B01017,-,-,20-Feb-2026,EQ,Interim Dividend - Rs 15.50 Per Share,INDNIPPON
-,-,,United Drilling Tools Limited,20-Feb-2026,10,-,INE961D01019,-,-,20-Feb-2026,EQ,Interim Dividend - Re 0.60 Per Share,UNIDT
-,-,,Senco Gold Limited,20-Feb-2026,5,-,INE602W01019,-,-,20-Feb-2026,EQ,Interim Dividend - Re 0.75 Per Share,SENCO
-,-,,Wonder Electricals Limited,20-Feb-2026,1,-,INE02WG01016,-,-,20-Feb-2026,EQ,Interim Dividend - Re 0.10 Per Share,WEL
-,-,,Standard Industries Limited,20-Feb-2026,5,-,INE173A01025,-,-,20-Feb-2026,EQ,Interim Dividend - Re 0.55 Per Share,SIL
-,-,,Power Finance Corporation Limited,20-Feb-2026,10,-,INE134E01011,-,-,20-Feb-2026,EQ,Interim Dividend - Rs 4 Per Share,PFC
-,-,,PI Industries Limited,23-Feb-2026,1,-,INE603J01014,-,-,23-Feb-2026,EQ,Interim Dividend - Rs 5 Per Share,PIIND
-,-,,Hilton Metal Forging Limited,24-Feb-2026,10,-,INE788H01017,-,-,24-Feb-2026,EQ,Rights 29:60 @ Premium Rs 6.68/-,HILTON
-,-,,Bhandari Hosiery Exports Limited,25-Feb-2026,1,-,INE474E01029,-,-,25-Feb-2026,EQ,Rights 4:5 @ Premium Rs 1.56/-,BHANDARI
-,-,,NBCC (India) Limited,25-Feb-2026,1,-,INE095N01015,-,-,25-Feb-2026,EQ,Interim Dividend - Re 0.12 Per Share,NBCC
-,-,,Angel One Limited,26-Feb-2026,1,-,INE732I01013,-,-,26-Feb-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,ANGELONE
-,-,,GOVERNMENT OF INDIA,27-Feb-2026,100,-,IN0020020106,-,-,27-Feb-2026,GS,Interest Payment,795GS2032
-,-,,Shreeji Shipping Global Limited,27-Feb-2026,10,-,INE1B6101010,-,-,28-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,SHREEJISPG
-,-,,InfoBeans Technologies Limited,27-Feb-2026,10,-,INE344S01016,-,-,27-Feb-2026,EQ,Bonus 3:1,INFOBEAN
-,-,,Dhunseri Ventures Limited,27-Feb-2026,10,-,INE477B01010,-,-,27-Feb-2026,EQ,Interim Dividend - Rs 3.50 Per Share,DVL
-,-,,Healthcare Global Enterprises Limited,02-Mar-2026,10,-,INE075I01017,-,-,02-Mar-2026,EQ,Rights 1:17 @ Premium Rs 502/-,HCG
-,-,,VARVEE GLOBAL LIMITED,02-Mar-2026,5,-,INE273D01019,-,-,02-Mar-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,VGL
-,-,,GOVERNMENT OF INDIA,05-Mar-2026,100,-,IN0020160035,-,-,05-Mar-2026,GS,Interest Payment,697GS2026
-,-,,Aqylon Nexus Limited,05-Mar-2026,1,-,INE416A01044,-,-,05-Mar-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,AQYLON
-,-,,Silver Touch Technologies Limited,06-Mar-2026,2,-,INE625X01018,-,-,06-Mar-2026,EQ,Bonus 1:1,SILVERTUC
-,-,,Silver Touch Technologies Limited,06-Mar-2026,2,-,INE625X01018,-,-,06-Mar-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,SILVERTUC
-,-,,SBI Life Insurance Company Limited,06-Mar-2026,10,-,INE123W01016,-,-,06-Mar-2026,EQ,Interim Dividend - Rs 2.70 Per Share,SBILIFE
-,-,,Steel City Securities Limited,06-Mar-2026,10,-,INE395H01011,-,-,06-Mar-2026,EQ,Interim Dividend - Re 1 Per Share,STEELCITY
-,-,,GOVERNMENT OF INDIA,06-Mar-2026,100,-,IN0020050012,-,-,07-Mar-2026,GS,Interest Payment,74GS2035
-,-,,Bharat Electronics Limited,06-Mar-2026,1,-,INE263A01016,-,-,06-Mar-2026,EQ,Interim Dividend - Rs 1.95 Per Share,BEL
-,-,,Kapston Services Limited,06-Mar-2026,5,-,INE542Z01010,-,-,06-Mar-2026,EQ,Bonus 1:2,KAPSTON
-,-,,Engineers India Limited,06-Mar-2026,5,-,INE510A01010,-,-,06-Mar-2026,EQ,Interim Dividend - Rs 1.50 Per Share,ENGINERSIN
-,-,,Cupid Limited,09-Mar-2026,1,-,INE509F01011,-,-,09-Mar-2026,EQ,Bonus 4:1,CUPID
-,-,,GOVERNMENT OF INDIA,10-Mar-2026,100,-,IN0020010081,-,-,10-Mar-2026,GS,Interest Payment,1018GS2026
-,-,,SBI Cards and Payment Services Limited,11-Mar-2026,10,-,INE018E01016,-,-,11-Mar-2026,EQ,Interim Dividend - Rs 2.50 Per Share,SBICARD
-,-,,Balmer Lawrie & Company Limited,11-Mar-2026,10,-,INE164A01016,-,-,11-Mar-2026,EQ,Interim Dividend - Rs 4.25 Per Share,BALMLAWRIE
-,-,,Mangalore Refinery and Petrochemicals Limited,11-Mar-2026,10,-,INE103A01014,-,-,11-Mar-2026,EQ,Interim Dividend - Rs 4 Per Share,MRPL
-,-,,Prabha Energy Limited,11-Mar-2026,1,-,INE0I0M01023,-,-,11-Mar-2026,EQ,Rights 5:14 @ Premium Rs 143/-,PRABHA
-,-,,Indian Oil Corporation Limited,12-Mar-2026,10,-,INE242A01010,-,-,12-Mar-2026,EQ,Interim Dividend - Rs 2 Per Share,IOC
-,-,,Sun TV Network Limited,12-Mar-2026,5,-,INE424H01027,-,-,12-Mar-2026,EQ,Interim Dividend - Rs 1.25 Per Share,SUNTV
-,-,,R Systems International Limited,12-Mar-2026,1,-,INE411H01024,-,-,12-Mar-2026,EQ,Interim Dividend - Rs 6 Per Share,RSYSTEMS
-,-,,Indian Railway Finance Corporation Limited,13-Mar-2026,10,-,INE053F07520,-,-,13-Mar-2026,EQ,Interim Dividend - Rs 1.05 Per Share,IRFC
-,-,,Railtel Corporation Of India Limited,13-Mar-2026,10,-,INE0DD101019,-,-,13-Mar-2026,EQ,Interim Dividend - Re 1 Per Share,RAILTEL
-,-,,eClerx Services Limited,13-Mar-2026,10,-,INE738I01010,-,-,13-Mar-2026,EQ,Bonus 1:1,ECLERX
-,-,,DIC India Limited,16-Mar-2026,10,-,INE303A01010,-,-,16-Mar-2026,EQ,Dividend - Rs 3 Per Share,DICIND
-,-,,GOVERNMENT OF INDIA,16-Mar-2026,100,-,IN0020170042,-,-,16-Mar-2026,GS,Interest Payment,668GS2031
-,-,,5Paisa Capital Limited,17-Mar-2026,10,-,INE618L01018,-,-,17-Mar-2026,EQ,Rights 1:2 @ Premium Rs 290/-,5PAISA
-,-,,GOVERNMENT OF INDIA,18-Mar-2026,100,-,IN0020150069,-,-,18-Mar-2026,GS,Interest Payment,759GS2029
-,-,,GOVERNMENT OF INDIA,18-Mar-2026,100,-,IN0020150028,-,-,18-Mar-2026,GS,Interest Payment,788GS2030
-,-,,Banco Products (I) Limited,18-Mar-2026,2,-,INE213C01025,-,-,19-Mar-2026,EQ,Interim Dividend - Rs 8 Per Share,BANCOINDIA
-,-,,Mishra Dhatu Nigam Limited,18-Mar-2026,10,-,INE099Z01011,-,-,19-Mar-2026,EQ,Interim Dividend - Re 0.85 Per Share,MIDHANI
-,-,,GOVERNMENT OF INDIA,20-Mar-2026,100,-,IN0020070069,-,-,20-Mar-2026,GS,Interest Payment,828GS2027
-,-,,Maha Rashtra Apex Corporation Limited,20-Mar-2026,10,-,INE843B01013,-,-,20-Mar-2026,EQ,Rights 1:1 @ Premium Rs 0/-,MAHAPEXLTD
-,-,,GOVERNMENT OF INDIA,20-Mar-2026,100,-,IN0020070077,-,-,20-Mar-2026,GS,Interest Payment,833GS2032
-,-,,REC Limited,20-Mar-2026,10,-,INE020B01018,-,-,20-Mar-2026,EQ,Interim Dividend - Rs 3.20 Per Share,RECLTD
-,-,,Metropolis Healthcare Limited,20-Mar-2026,2,-,INE112L01020,-,-,20-Mar-2026,EQ,Bonus 3:1,METROPOLIS
-,-,,National Highways Infra Trust,20-Mar-2026,101,-,INE0H7R23014,-,-,20-Mar-2026,IV,Distribution - Rs 1.160 Per Unit Consists Of Re 1.157 Per Unit As Interest And Re 0.003 Per Unit As Other Income,NHIT
-,-,,India Glycols Limited,23-Mar-2026,5,-,INE560A01015,-,-,23-Mar-2026,EQ,Interim Dividend - Rs 7.50 Per Share,INDIAGLYCO
-,-,,TIL Limited,23-Mar-2026,10,-,INE806C01018,-,-,23-Mar-2026,EQ,Rights 11:64 @ Premium Rs 155/-,TIL
-,-,,Castrol India Limited,23-Mar-2026,5,-,INE172A01027,-,-,23-Mar-2026,EQ,Dividend - Rs 5.25 Per Share,CASTROLIND
-,-,,Power Finance Corporation Limited,23-Mar-2026,10,-,INE134E01011,-,-,23-Mar-2026,EQ,Interim Dividend - Rs 3.25 Per Share,PFC
-,-,,Kilitch Drugs (India) Limited,24-Mar-2026,10,-,INE729D01010,-,-,24-Mar-2026,EQ,Bonus 1:1,KILITCH
-,-,,GOVERNMENT OF INDIA,24-Mar-2026,100,-,IN0020020247,-,-,24-Mar-2026,GS,Interest Payment,601GS2028
-,-,,V2 Retail Limited,25-Mar-2026,1,-,INE945H01013,-,-,26-Mar-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,V2RETAIL
-,-,,Angel One Limited,27-Mar-2026,1,-,INE732I01013,-,-,27-Mar-2026,EQ,Interim Dividend - Rs  1.75 Per Share,ANGELONE
-,-,,Vedanta Limited,27-Mar-2026,1,-,INE205A01025,-,-,28-Mar-2026,EQ,Interim Dividend - Rs 11 Per Share,VEDL
-,-,,Samvardhana Motherson International Limited,27-Mar-2026,1,-,INE775A01035,-,-,27-Mar-2026,EQ,Interim Dividend - Re 0.35 Per Share,MOTHERSON
-,-,,Housing & Urban Development Corporation Limited,27-Mar-2026,10,-,INE031A07873,-,-,28-Mar-2026,EQ,Interim Dividend - Rs 1.25 Per Share,HUDCO
-,-,,Shrem Invit,27-Mar-2026,100,-,INE0GTI23014,-,-,28-Mar-2026,IV,Distribution - Rs 3.6078 Per Unit Consists Of Rs 3.6078 Per Unit As Dividend,SHREMINVIT
-,-,,Euro Pratik Sales Limited,27-Mar-2026,1,-,INE198501012,-,-,27-Mar-2026,EQ,Interim Dividend - Re 0.20 Per Share,EUROPRATIK
-,-,,Hind Rectifiers Limited,27-Mar-2026,2,-,INE835D01023,-,-,27-Mar-2026,EQ,Bonus 1:1,HIRECT
-,-,,GOVERNMENT OF INDIA,30-Mar-2026,100,-,IN0020130053,-,-,30-Mar-2026,GS,Interest Payment,92GS2030
-,-,,IRB Infrastructure Developers Limited,30-Mar-2026,1,-,INE821I01014,-,-,01-Apr-2026,EQ,Bonus 1:1,IRB
-,-,,TVS Motor Company Limited,30-Mar-2026,1,-,INE494B01015,-,-,31-Mar-2026,EQ,Interim Dividend - Rs 12 Per Share,TVSMOTOR
-,-,,Crisil Limited,02-Apr-2026,1,-,INE007A01017,-,-,03-Apr-2026,EQ,Dividend - Rs 28 Per Share,CRISIL
-,-,,Chennai Petroleum Corporation Limited,02-Apr-2026,10,-,INE178A01016,-,-,02-Apr-2026,EQ,Interim Dividend - Rs 8 Per Share,CHENNPETRO
-,-,,R&B Denims Limited,02-Apr-2026,1,-,INE012Q01021,-,-,03-Apr-2026,EQ,Bonus 1:2,RNBDENIMS
-,-,,R&B Denims Limited,02-Apr-2026,1,-,INE012Q01021,-,-,03-Apr-2026,EQ,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,RNBDENIMS
-,-,,Aster DM Healthcare Limited,02-Apr-2026,10,-,INE914M01019,-,-,03-Apr-2026,EQ,Interim Dividend - Rs 3 Per Share,ASTERDM
