rank,symbol,sector,close,conviction,tier,supporting_evidence,primary_risk,bull_run_score,ml_bull_run_score,prox_52w_high_pct,trend_signal,adv_20d_cr,regime,as_of_date
333,LT,INFRASTRUCTURE,4086.7,64.1,MEDIUM,strong uptrend,none flagged -- normal market risk applies,53.0,63.5,-8.0,STRONG_UPTREND,672.94,NEUTRAL,2026-08-18
334,ICICIBANK,BANKING,1415.3,63.9,MEDIUM,within 5% of 52w high (strongest measured factor); uptrend,none flagged -- normal market risk applies,50.2,60.0,-4.4,UPTREND,1617.08,NEUTRAL,2026-08-18
335,MIDHANI,DEFENCE,428.6,63.9,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.1,64.4,-6.1,STRONG_UPTREND,72.82,NEUTRAL,2026-08-18
336,APOLLOHOSP,HEALTHCARE,8825.5,63.9,MEDIUM,within 5% of 52w high (strongest measured factor); uptrend,none flagged -- normal market risk applies,51.5,60.5,-2.5,UPTREND,328.74,NEUTRAL,2026-08-18
337,MSTCLTD,METAL,653.2,63.9,MEDIUM,strong uptrend; ML bull score 80,none flagged -- normal market risk applies,53.3,79.6,-12.2,STRONG_UPTREND,16.75,NEUTRAL,2026-08-18
338,NESTLEIND,FMCG,1470.0,63.8,MEDIUM,uptrend,none flagged -- normal market risk applies,52.6,62.8,-5.3,UPTREND,383.63,NEUTRAL,2026-08-18
339,BERGEPAINT,CHEMICALS,549.35,63.8,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.3,63.2,-7.6,STRONG_UPTREND,29.0,NEUTRAL,2026-08-18
340,KOVAI,HEALTHCARE,6122.0,63.8,MEDIUM,within 5% of 52w high (strongest measured factor),none flagged -- normal market risk applies,54.5,61.5,-3.4,INSUFFICIENT_DATA,3.5,NEUTRAL,2026-08-18
341,SUMICHEM,CHEMICALS,559.8,63.7,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.2,61.2,-9.3,STRONG_UPTREND,38.08,NEUTRAL,2026-08-18
342,GRAVITA,METAL,1821.7,63.7,MEDIUM,within 5% of 52w high (strongest measured factor); strong uptrend,none flagged -- normal market risk applies,52.1,60.1,-4.8,STRONG_UPTREND,46.76,NEUTRAL,2026-08-18
343,IOLCP,PHARMA,161.28,63.6,MEDIUM,strong uptrend,none flagged -- normal market risk applies,49.9,64.1,-10.2,STRONG_UPTREND,44.8,NEUTRAL,2026-08-18
344,INDUSINDBK,BANKING,1010.6,63.6,MEDIUM,uptrend,none flagged -- normal market risk applies,50.9,60.7,-6.2,UPTREND,203.92,NEUTRAL,2026-08-18
345,GULFOILLUB,ENERGY,1174.6,63.6,MEDIUM,strong uptrend; ML bull score 71,none flagged -- normal market risk applies,52.5,71.4,-11.6,STRONG_UPTREND,14.07,NEUTRAL,2026-08-18
346,IDEAFORGE,OTHER,795.1,63.6,MEDIUM,volatility squeeze (breakout setup),none flagged -- normal market risk applies,49.6,54.1,-10.5,INSUFFICIENT_DATA,234.07,NEUTRAL,2026-08-18
347,PNB,BANKING,117.32,63.6,MEDIUM,strong uptrend,none flagged -- normal market risk applies,52.4,64.9,-13.2,STRONG_UPTREND,172.85,NEUTRAL,2026-08-18
348,VMART,RETAIL,792.3,63.4,MEDIUM,strong uptrend; ML bull score 79,none flagged -- normal market risk applies,52.2,78.7,-10.8,STRONG_UPTREND,12.57,NEUTRAL,2026-08-18
349,EMCURE,PHARMA,1873.9,63.4,MEDIUM,uptrend; ML bull score 79,none flagged -- normal market risk applies,53.3,78.9,-8.5,UPTREND,30.05,NEUTRAL,2026-08-18
350,VGUARD,FINANCIAL_SERVICES,343.95,63.4,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.2,60.4,-12.3,STRONG_UPTREND,105.67,NEUTRAL,2026-08-18
351,BECTORFOOD,FMCG,255.3,63.3,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.4,64.2,-14.6,STRONG_UPTREND,139.51,NEUTRAL,2026-08-18
352,WEL,FMCG,145.74,63.3,MEDIUM,strong uptrend; ML bull score 80,overbought (RSI 88),51.3,79.6,-20.6,STRONG_UPTREND,22.17,NEUTRAL,2026-08-18
353,SHREEJISPG,LOGISTICS,601.8,63.2,MEDIUM,uptrend,none flagged -- normal market risk applies,51.1,68.5,-11.7,UPTREND,51.45,NEUTRAL,2026-08-18
354,BALKRISIND,AUTO,2407.2,63.1,MEDIUM,strong uptrend; ML bull score 72,none flagged -- normal market risk applies,53.4,72.1,-13.2,STRONG_UPTREND,138.23,NEUTRAL,2026-08-18
355,MARICO,FMCG,852.05,63.1,MEDIUM,within 5% of 52w high (strongest measured factor); uptrend,none flagged -- normal market risk applies,50.1,60.1,-4.2,UPTREND,155.65,NEUTRAL,2026-08-18
356,STYL,FINANCIAL_SERVICES,398.3,62.9,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.9,60.4,-9.0,STRONG_UPTREND,9.34,NEUTRAL,2026-08-18
357,NATIONALUM,METAL,387.55,62.9,MEDIUM,strong uptrend,none flagged -- normal market risk applies,53.5,63.7,-12.9,STRONG_UPTREND,334.84,NEUTRAL,2026-08-18
358,OIL,ENERGY,474.65,62.9,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.2,61.2,-10.6,STRONG_UPTREND,159.36,NEUTRAL,2026-08-18
359,ORIENTELEC,FMCG,187.42,62.9,MEDIUM,strong uptrend; institutional buying (deals),none flagged -- normal market risk applies,55.0,59.9,-14.4,STRONG_UPTREND,35.12,NEUTRAL,2026-08-18
360,BELRISE,CAPITAL_GOODS,236.09,62.9,MEDIUM,ML bull score 79,none flagged -- normal market risk applies,53.0,78.9,-12.0,CONSOLIDATING,120.16,NEUTRAL,2026-08-18
361,GLENMARK,PHARMA,2329.0,62.8,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.5,60.1,-5.9,STRONG_UPTREND,118.82,NEUTRAL,2026-08-18
362,ALBERTDAVD,PHARMA,806.1,62.8,MEDIUM,strong uptrend,thin liquidity -- use TWAP slices,51.8,67.6,-10.7,STRONG_UPTREND,1.69,NEUTRAL,2026-08-18
363,PANAMAPET,ENERGY,487.1,62.7,MEDIUM,strong uptrend; ML bull score 80,none flagged -- normal market risk applies,51.7,79.8,-18.8,STRONG_UPTREND,61.4,NEUTRAL,2026-08-18
364,MAHLOG,LOGISTICS,404.95,62.7,MEDIUM,uptrend; volatility squeeze (breakout setup),none flagged -- normal market risk applies,51.0,68.4,-10.0,UPTREND,16.25,NEUTRAL,2026-08-18
365,BETA,PHARMA,2432.9,62.6,MEDIUM,ML bull score 77,none flagged -- normal market risk applies,52.4,76.7,-13.4,INSUFFICIENT_DATA,11.39,NEUTRAL,2026-08-18
366,CHOICEIN,INFRASTRUCTURE,803.8,62.6,MEDIUM,uptrend,none flagged -- normal market risk applies,52.2,60.1,-6.6,UPTREND,42.6,NEUTRAL,2026-08-18
367,NITINSPIN,TEXTILES,553.75,62.6,MEDIUM,strong uptrend; ML bull score 75,none flagged -- normal market risk applies,53.2,74.8,-7.6,STRONG_UPTREND,6.53,NEUTRAL,2026-08-18
368,GRANULES,PHARMA,861.55,62.6,MEDIUM,strong uptrend,none flagged -- normal market risk applies,49.0,60.1,-5.3,STRONG_UPTREND,73.6,NEUTRAL,2026-08-18
369,MAHLIFE,REALTY,386.65,62.6,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.6,64.2,-9.5,STRONG_UPTREND,14.43,NEUTRAL,2026-08-18
370,TATACAP,FINANCIAL_SERVICES,359.25,62.5,MEDIUM,uptrend,none flagged -- normal market risk applies,50.6,62.3,-7.9,UPTREND,79.64,NEUTRAL,2026-08-18
371,KECL,OTHER,137.5,62.5,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,49.7,59.4,-11.3,INSUFFICIENT_DATA,8.55,NEUTRAL,2026-08-18
372,RITCO,LOGISTICS,292.5,62.5,MEDIUM,uptrend,none flagged -- normal market risk applies,52.5,63.2,-8.0,UPTREND,5.93,NEUTRAL,2026-08-18
373,PDSL,TEXTILES,376.35,62.4,MEDIUM,strong uptrend,none flagged -- normal market risk applies,52.4,65.9,-10.1,STRONG_UPTREND,5.93,NEUTRAL,2026-08-18
374,IGPL,CHEMICALS,472.8,62.4,MEDIUM,strong uptrend; ML bull score 78,none flagged -- normal market risk applies,51.1,77.7,-11.2,STRONG_UPTREND,4.08,NEUTRAL,2026-08-18
375,M&M,HOSPITALITY,3390.4,62.4,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.6,60.7,-11.7,STRONG_UPTREND,859.75,NEUTRAL,2026-08-18
376,ABCAPITAL,FINANCIAL_SERVICES,398.7,62.4,MEDIUM,uptrend,none flagged -- normal market risk applies,52.0,61.0,-7.4,UPTREND,153.63,NEUTRAL,2026-08-18
377,ARE&M,AUTO,945.7,62.3,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.7,60.4,-10.6,STRONG_UPTREND,135.05,NEUTRAL,2026-08-18
378,ZYDUSLIFE,PHARMA,1131.5,62.2,MEDIUM,strong uptrend,none flagged -- normal market risk applies,53.9,63.9,-6.1,STRONG_UPTREND,174.26,NEUTRAL,2026-08-18
379,MANOMAY,TEXTILES,215.35,62.1,MEDIUM,ML bull score 79,thin liquidity -- use TWAP slices,54.1,78.8,-17.1,INSUFFICIENT_DATA,2.77,NEUTRAL,2026-08-18
380,IFCI,FINANCIAL_SERVICES,78.93,62.0,MEDIUM,strong uptrend; ML bull score 80,none flagged -- normal market risk applies,53.3,79.7,-17.6,STRONG_UPTREND,133.82,NEUTRAL,2026-08-18
381,ASTERDM,HEALTHCARE,819.75,62.0,MEDIUM,uptrend,none flagged -- normal market risk applies,51.4,61.5,-8.0,UPTREND,63.3,NEUTRAL,2026-08-18
382,DCI,OTHER,382.35,62.0,MEDIUM,ML bull score 80,thin liquidity -- use TWAP slices,53.4,79.9,-19.5,INSUFFICIENT_DATA,1.99,NEUTRAL,2026-08-18
383,RAMRAT,CAPITAL_GOODS,467.5,62.0,MEDIUM,strong uptrend,none flagged -- normal market risk applies,53.0,60.4,-10.1,STRONG_UPTREND,14.48,NEUTRAL,2026-08-18
384,DEEPAKNTR,CHEMICALS,1780.5,62.0,MEDIUM,strong uptrend,none flagged -- normal market risk applies,47.8,59.9,-6.5,STRONG_UPTREND,87.15,NEUTRAL,2026-08-18
385,MANALIPETC,CHEMICALS,67.64,61.9,MEDIUM,strong uptrend; ML bull score 74,none flagged -- normal market risk applies,50.2,73.8,-12.8,STRONG_UPTREND,4.92,NEUTRAL,2026-08-18
386,DIAMONDYD,FMCG,1190.4,61.9,MEDIUM,within 5% of 52w high (strongest measured factor); strong uptrend,none flagged -- normal market risk applies,52.3,60.2,-4.4,STRONG_UPTREND,9.05,NEUTRAL,2026-08-18
387,RATEGAIN,IT,949.5,61.9,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.8,62.1,-9.6,STRONG_UPTREND,58.69,NEUTRAL,2026-08-18
388,IKS,IT,1830.2,61.8,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.9,61.4,-5.3,STRONG_UPTREND,28.96,NEUTRAL,2026-08-18
389,STARHEALTH,FINANCIAL_SERVICES,584.25,61.8,MEDIUM,uptrend,none flagged -- normal market risk applies,51.4,64.2,-6.5,UPTREND,31.25,NEUTRAL,2026-08-18
390,INDIANB,BANKING,881.2,61.8,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.7,61.8,-12.0,STRONG_UPTREND,136.39,NEUTRAL,2026-08-18
391,TECHM,IT,1610.0,61.8,MEDIUM,uptrend,none flagged -- normal market risk applies,51.8,64.3,-13.2,UPTREND,470.08,NEUTRAL,2026-08-18
392,ELPROINTL,REALTY,175.32,61.8,MEDIUM,within 5% of 52w high (strongest measured factor),thin liquidity -- use TWAP slices,51.9,60.1,-3.1,INSUFFICIENT_DATA,1.6,NEUTRAL,2026-08-18
393,STYLEBAAZA,OTHER,383.5,61.8,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,48.6,58.7,-10.2,INSUFFICIENT_DATA,42.29,NEUTRAL,2026-08-18
394,NEPHROPLUS,HEALTHCARE,694.65,61.8,MEDIUM,ML bull score 72,none flagged -- normal market risk applies,53.4,71.7,-9.8,INSUFFICIENT_DATA,11.95,NEUTRAL,2026-08-18
395,BHARTIARTL,TELECOM,1969.3,61.8,MEDIUM,strong uptrend,none flagged -- normal market risk applies,49.7,60.4,-9.4,STRONG_UPTREND,1336.22,NEUTRAL,2026-08-18
396,JINDWORLD,TEXTILES,35.63,61.7,MEDIUM,uptrend; volatility squeeze (breakout setup),none flagged -- normal market risk applies,52.2,67.5,-16.0,UPTREND,95.41,NEUTRAL,2026-08-18
397,SUVEN,HEALTHCARE,333.05,61.7,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.2,60.0,-10.2,STRONG_UPTREND,23.43,NEUTRAL,2026-08-18
398,5PAISA,FINANCIAL_SERVICES,380.8,61.7,MEDIUM,strong uptrend,thin liquidity -- use TWAP slices,49.0,59.8,-6.8,STRONG_UPTREND,1.84,NEUTRAL,2026-08-18
399,GANESHHOU,REALTY,838.0,61.7,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.8,60.0,-6.9,STRONG_UPTREND,4.79,NEUTRAL,2026-08-18
400,BHAGCHEM,CHEMICALS,288.75,61.6,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.9,66.0,-8.9,STRONG_UPTREND,4.81,NEUTRAL,2026-08-18
401,SAKAR,PHARMA,905.35,61.5,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.6,60.2,-7.6,STRONG_UPTREND,13.75,NEUTRAL,2026-08-18
402,URBANCO,RETAIL,144.6,61.4,MEDIUM,strong uptrend; ML bull score 77; institutional buying (deals),none flagged -- normal market risk applies,56.0,77.5,-28.1,STRONG_UPTREND,147.04,NEUTRAL,2026-08-18
403,CORONA,PHARMA,2113.1,61.3,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,50.2,60.0,-6.9,INSUFFICIENT_DATA,9.75,NEUTRAL,2026-08-18
404,SGFIN,FINANCIAL_SERVICES,660.25,61.2,MEDIUM,uptrend,none flagged -- normal market risk applies,53.3,61.0,-9.2,UPTREND,24.96,NEUTRAL,2026-08-18
405,ETHOSLTD,FMCG,2788.6,61.2,MEDIUM,strong uptrend; ML bull score 76,none flagged -- normal market risk applies,51.5,75.7,-14.1,STRONG_UPTREND,35.26,NEUTRAL,2026-08-18
406,POLICYBZR,FINANCIAL_SERVICES,1728.1,61.1,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.4,60.4,-12.5,STRONG_UPTREND,195.97,NEUTRAL,2026-08-18
407,NRAIL,CHEMICALS,509.9,61.1,MEDIUM,strong uptrend,thin liquidity -- use TWAP slices,51.1,63.8,-11.2,STRONG_UPTREND,1.45,NEUTRAL,2026-08-18
408,KAYA,HEALTHCARE,336.65,61.1,MEDIUM,ML bull score 80,thin liquidity -- use TWAP slices,53.0,79.7,-21.5,INSUFFICIENT_DATA,2.26,NEUTRAL,2026-08-18
409,USHAMART,METAL,498.05,61.0,MEDIUM,uptrend,none flagged -- normal market risk applies,50.1,60.1,-5.6,UPTREND,27.6,NEUTRAL,2026-08-18
410,TORNTPHARM,PHARMA,4900.0,61.0,MEDIUM,uptrend,none flagged -- normal market risk applies,50.0,60.6,-6.7,UPTREND,251.23,NEUTRAL,2026-08-18
411,GOKULAGRO,FMCG,231.66,61.0,MEDIUM,strong uptrend,none flagged -- normal market risk applies,48.9,57.7,-7.3,STRONG_UPTREND,12.8,NEUTRAL,2026-08-18
412,TRUALT,AGRICULTURE,479.25,60.8,MEDIUM,strong uptrend,none flagged -- normal market risk applies,52.3,67.3,-12.7,STRONG_UPTREND,25.99,NEUTRAL,2026-08-18
413,CENTENKA,TEXTILES,572.6,60.8,MEDIUM,uptrend; ML bull score 77,none flagged -- normal market risk applies,52.0,77.2,-14.8,UPTREND,19.42,NEUTRAL,2026-08-18
414,ARMANFIN,FINANCIAL_SERVICES,1962.9,60.7,MEDIUM,uptrend,none flagged -- normal market risk applies,51.6,60.1,-9.1,UPTREND,11.25,NEUTRAL,2026-08-18
415,ENGINERSIN,INFRASTRUCTURE,240.18,60.5,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.8,61.1,-10.0,STRONG_UPTREND,49.28,NEUTRAL,2026-08-18
416,ATUL,CHEMICALS,6721.0,60.4,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.1,60.2,-6.4,STRONG_UPTREND,58.32,NEUTRAL,2026-08-18
417,PERSISTENT,IT,5570.0,60.3,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.7,64.0,-15.6,STRONG_UPTREND,338.75,NEUTRAL,2026-08-18
418,SOMANYCERA,CAPITAL_GOODS,518.9,60.3,MEDIUM,strong uptrend,none flagged -- normal market risk applies,51.9,60.3,-6.8,STRONG_UPTREND,12.53,NEUTRAL,2026-08-18
419,DYNAMATECH,CAPITAL_GOODS,11123.0,60.2,MEDIUM,strong uptrend; ML bull score 76,none flagged -- normal market risk applies,51.3,75.6,-13.6,STRONG_UPTREND,20.16,NEUTRAL,2026-08-18
420,ASTRAL,CAPITAL_GOODS,1538.3,60.0,MEDIUM,strong uptrend,none flagged -- normal market risk applies,49.8,60.4,-13.0,STRONG_UPTREND,162.99,NEUTRAL,2026-08-18
421,INOXINDIA,CAPITAL_GOODS,1950.8,60.0,MEDIUM,uptrend,none flagged -- normal market risk applies,50.6,60.2,-8.0,UPTREND,37.61,NEUTRAL,2026-08-18
422,KIMS,HEALTHCARE,800.4,60.0,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,50.8,60.2,-6.7,CONSOLIDATING,53.56,NEUTRAL,2026-08-18
423,GIPCL,CAPITAL_GOODS,174.44,60.0,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.3,60.4,-13.7,STRONG_UPTREND,12.03,NEUTRAL,2026-08-18
424,RAMCOIND,METAL,353.45,59.9,MEDIUM,strong uptrend,none flagged -- normal market risk applies,49.2,59.8,-11.2,STRONG_UPTREND,48.18,NEUTRAL,2026-08-18
425,OMAXAUTO,OTHER,195.24,59.8,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,46.0,57.9,-13.9,INSUFFICIENT_DATA,9.7,NEUTRAL,2026-08-18
426,HINDCOPPER,METAL,572.65,59.8,MEDIUM,strong uptrend; ML bull score 79,none flagged -- normal market risk applies,49.7,79.1,-24.7,STRONG_UPTREND,561.04,NEUTRAL,2026-08-18
427,FINEORG,CHEMICALS,5110.4,59.7,MEDIUM,strong uptrend,none flagged -- normal market risk applies,49.6,60.1,-5.5,STRONG_UPTREND,17.7,NEUTRAL,2026-08-18
428,SBIN,BANKING,1061.2,59.7,MEDIUM,strong uptrend,none flagged -- normal market risk applies,49.8,65.4,-14.0,STRONG_UPTREND,1170.18,NEUTRAL,2026-08-18
429,LTFOODS,AGRICULTURE,417.15,59.7,MEDIUM,strong uptrend,none flagged -- normal market risk applies,49.6,60.4,-13.1,STRONG_UPTREND,34.63,NEUTRAL,2026-08-18
430,ADANIENT,INFRASTRUCTURE,3007.3,59.6,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,48.4,60.5,-7.3,CONSOLIDATING,327.33,NEUTRAL,2026-08-18
431,POLYCAB,CAPITAL_GOODS,9370.0,59.5,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,50.5,60.2,-7.5,CONSOLIDATING,254.9,NEUTRAL,2026-08-18
432,GAIL,ENERGY,172.1,59.5,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,47.4,60.0,-7.9,CONSOLIDATING,212.53,NEUTRAL,2026-08-18
433,KROSS,AUTO,205.2,59.4,MEDIUM,strong uptrend; volatility squeeze (breakout setup),none flagged -- normal market risk applies,50.9,61.1,-13.6,STRONG_UPTREND,14.37,NEUTRAL,2026-08-18
434,AEROENTER,METAL,125.73,59.4,MEDIUM,strong uptrend; ML bull score 75,none flagged -- normal market risk applies,51.4,75.0,-15.9,STRONG_UPTREND,6.9,NEUTRAL,2026-08-18
435,BHARATFORG,AUTO,2093.0,59.3,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,50.1,61.3,-8.8,CONSOLIDATING,256.24,NEUTRAL,2026-08-18
436,JSWENERGY,POWER,555.5,59.3,MEDIUM,volatility squeeze (breakout setup),none flagged -- normal market risk applies,50.2,61.3,-10.0,CONSOLIDATING,94.96,NEUTRAL,2026-08-18
437,SOUTHBANK,BANKING,45.22,59.3,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,51.5,60.4,-9.4,CONSOLIDATING,46.74,NEUTRAL,2026-08-18
438,ORISSAMINE,METAL,4871.1,59.3,MEDIUM,strong uptrend; ML bull score 76,none flagged -- normal market risk applies,51.8,75.8,-20.6,STRONG_UPTREND,29.49,NEUTRAL,2026-08-18
439,CGPOWER,IT,898.8,59.3,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,48.3,60.0,-8.4,CONSOLIDATING,337.39,NEUTRAL,2026-08-18
440,GEOJITFSL,FINANCIAL_SERVICES,79.31,59.3,MEDIUM,strong uptrend,thin liquidity -- use TWAP slices,47.8,59.5,-7.1,STRONG_UPTREND,2.84,NEUTRAL,2026-08-18
441,SILVERTUC,IT,197.27,59.2,MEDIUM,uptrend,none flagged -- normal market risk applies,52.0,60.0,-9.0,UPTREND,11.68,NEUTRAL,2026-08-18
442,IGIL,FMCG,355.15,58.9,MEDIUM,strong uptrend,none flagged -- normal market risk applies,49.0,60.3,-9.4,STRONG_UPTREND,28.22,NEUTRAL,2026-08-18
443,DWARKESH,FMCG,44.94,58.9,MEDIUM,strong uptrend,none flagged -- normal market risk applies,48.4,67.0,-15.4,STRONG_UPTREND,6.22,NEUTRAL,2026-08-18
444,BUILDPRO,RETAIL,1244.2,58.9,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,48.4,58.7,-9.8,INSUFFICIENT_DATA,11.74,NEUTRAL,2026-08-18
445,MOTILALOFS,FINANCIAL_SERVICES,955.0,58.9,MEDIUM,strong uptrend,none flagged -- normal market risk applies,48.5,60.4,-13.0,STRONG_UPTREND,161.8,NEUTRAL,2026-08-18
446,CARERATING,FINANCIAL_SERVICES,1707.0,58.9,MEDIUM,uptrend,none flagged -- normal market risk applies,50.1,60.0,-7.1,UPTREND,8.72,NEUTRAL,2026-08-18
447,GMMPFAUDLR,CAPITAL_GOODS,1056.55,58.9,MEDIUM,strong uptrend,overbought (RSI 84),50.6,60.4,-19.2,STRONG_UPTREND,49.8,NEUTRAL,2026-08-18
448,JUBLINGREA,CHEMICALS,732.8,58.8,MEDIUM,uptrend,none flagged -- normal market risk applies,44.8,58.8,-7.8,UPTREND,41.09,NEUTRAL,2026-08-18
449,AEGISLOG,ENERGY,1287.2,58.8,MEDIUM,uptrend,none flagged -- normal market risk applies,48.5,60.3,-14.1,UPTREND,149.56,NEUTRAL,2026-08-18
450,ACMESOLAR,POWER,364.9,58.8,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,47.7,60.0,-8.5,CONSOLIDATING,63.91,NEUTRAL,2026-08-18
451,MAHSEAMLES,METAL,622.0,58.7,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.9,60.0,-9.9,STRONG_UPTREND,6.61,NEUTRAL,2026-08-18
452,JAGSNPHARM,PHARMA,233.53,58.7,MEDIUM,strong uptrend,none flagged -- normal market risk applies,52.6,61.6,-11.7,STRONG_UPTREND,18.76,NEUTRAL,2026-08-18
453,MRPL,CHEMICALS,177.15,58.6,MEDIUM,strong uptrend,none flagged -- normal market risk applies,48.2,60.0,-16.6,STRONG_UPTREND,214.28,NEUTRAL,2026-08-18
454,HESTERBIO,PHARMA,2417.6,58.5,MEDIUM,uptrend,none flagged -- normal market risk applies,48.8,59.9,-9.9,UPTREND,7.58,NEUTRAL,2026-08-18
455,MEESHO,RETAIL,193.82,58.5,MEDIUM,institutional buying (deals),none flagged -- normal market risk applies,54.7,61.7,-23.8,INSUFFICIENT_DATA,206.69,NEUTRAL,2026-08-18
456,GRWRHITECH,CAPITAL_GOODS,7030.0,58.5,MEDIUM,uptrend,none flagged -- normal market risk applies,51.4,62.7,-12.0,UPTREND,58.6,NEUTRAL,2026-08-18
457,VISHNU,CHEMICALS,618.25,58.5,MEDIUM,strong uptrend,none flagged -- normal market risk applies,48.2,59.8,-7.7,STRONG_UPTREND,8.9,NEUTRAL,2026-08-18
458,DMCC,CHEMICALS,293.65,58.5,MEDIUM,strong uptrend,none flagged -- normal market risk applies,48.3,59.7,-11.8,STRONG_UPTREND,4.26,NEUTRAL,2026-08-18
459,INDHOTEL,HOSPITALITY,720.0,58.5,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,47.4,59.9,-9.2,CONSOLIDATING,135.57,NEUTRAL,2026-08-18
460,ARIS,INFRASTRUCTURE,136.25,58.4,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,50.8,46.9,-14.3,INSUFFICIENT_DATA,20.56,NEUTRAL,2026-08-18
461,INDIGO,AVIATION,5275.5,58.4,MEDIUM,strong uptrend,none flagged -- normal market risk applies,49.8,60.0,-11.6,STRONG_UPTREND,419.26,NEUTRAL,2026-08-18
462,GODREJPROP,REALTY,2054.0,58.3,MEDIUM,uptrend,none flagged -- normal market risk applies,48.2,60.2,-12.7,UPTREND,143.52,NEUTRAL,2026-08-18
463,ALKYLAMINE,CHEMICALS,1920.1,58.3,MEDIUM,strong uptrend,none flagged -- normal market risk applies,47.6,59.9,-9.7,STRONG_UPTREND,27.69,NEUTRAL,2026-08-18
464,CRISIL,FINANCIAL_SERVICES,4488.3,58.3,MEDIUM,strong uptrend; volatility squeeze (breakout setup),none flagged -- normal market risk applies,51.4,60.3,-12.2,STRONG_UPTREND,33.61,NEUTRAL,2026-08-18
465,SHAREINDIA,FINANCIAL_SERVICES,174.96,58.2,MEDIUM,uptrend,none flagged -- normal market risk applies,51.1,62.2,-17.1,UPTREND,16.18,NEUTRAL,2026-08-18
466,INGERRAND,CAPITAL_GOODS,4477.2,58.2,MEDIUM,strong uptrend,none flagged -- normal market risk applies,48.4,59.2,-6.1,STRONG_UPTREND,13.39,NEUTRAL,2026-08-18
467,JSWDULUX,CHEMICALS,3139.8,58.1,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,48.9,60.0,-7.0,INSUFFICIENT_DATA,5.42,NEUTRAL,2026-08-18
468,CAMS,FINANCIAL_SERVICES,776.25,58.1,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,50.1,59.0,-8.1,CONSOLIDATING,97.9,NEUTRAL,2026-08-18
469,DIFFNKG,CAPITAL_GOODS,398.4,58.1,MEDIUM,uptrend,none flagged -- normal market risk applies,52.0,61.2,-12.2,UPTREND,9.8,NEUTRAL,2026-08-18
470,KIRLOSBROS,CAPITAL_GOODS,1942.9,58.1,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.3,61.6,-11.2,STRONG_UPTREND,16.45,NEUTRAL,2026-08-18
471,ASAHIINDIA,AUTO,931.2,58.1,MEDIUM,strong uptrend,none flagged -- normal market risk applies,49.8,60.5,-13.3,STRONG_UPTREND,18.07,NEUTRAL,2026-08-18
472,KKCL,TEXTILES,521.0,58.1,MEDIUM,strong uptrend,none flagged -- normal market risk applies,50.5,62.0,-12.4,STRONG_UPTREND,3.72,NEUTRAL,2026-08-18
473,GREENLAM,INFRASTRUCTURE,252.8,58.1,MEDIUM,broad composite strength only,none flagged -- normal market risk applies,49.9,60.0,-9.3,CONSOLIDATING,6.77,NEUTRAL,2026-08-18
474,HARSHA,CAPITAL_GOODS,425.6,58.1,MEDIUM,strong uptrend,none flagged -- normal market risk applies,48.4,59.9,-9.2,STRONG_UPTREND,7.86,NEUTRAL,2026-08-18
