symbol,close,atr_14,mp_pp,mp_r1,mp_r2,mp_r3,mp_s1,mp_s2,mp_s3,wp_pp,wp_r1,wp_r2,wp_s1,wp_s2,fib_786,fib_618,fib_500,fib_382,fib_236,swing_high_1,swing_high_2,swing_low_1,swing_low_2,vol_poc,prev_week_h,prev_week_l,prev_month_h,prev_month_l,round_res,round_sup,stop_1atr,stop_2atr,target_1atr,target_2atr,conf_res_1,conf_res_1_score,conf_res_1_tags,conf_res_2,conf_res_2_score,conf_res_2_tags,conf_sup_1,conf_sup_1_score,conf_sup_1_tags,conf_sup_2,conf_sup_2_score,conf_sup_2_tags,entry_zone_low,entry_zone_high,stop_loss,as_of_date
EVINIX,0.6,0.1,0.97,1.03,1.12,1.18,0.88,0.82,0.73,0.77,0.88,1.07,0.58,0.47,1.23,1.73,2.08,2.42,2.85,3.55,3.45,0.75,0.85,1.01,0.95,0.65,1.05,0.9,5.0,0.0,0.5,0.41,0.7,0.79,0.75,2,Swing Lo,0.77,2,W-Pivot,0.58,2,W-S1,0.47,1,W-S2,0.55,0.63,0.57,2011-08-25
EXCEL,1.02,0.07,1.05,1.16,1.37,1.48,0.84,0.73,0.52,0.98,1.02,1.07,0.93,0.89,1.06,1.19,1.28,1.38,1.49,1.68,1.37,0.35,0.5,1.19,1.04,0.95,1.25,0.93,5.0,0.0,0.95,0.87,1.09,1.17,1.04,5,20 DMA|Prev-Wk Hi|M-Pivot,1.16,3,M-R1,0.93,3,W-S1|Prev-Mo Lo,0.89,3,W-S2|52W Low,0.98,1.04,0.92,2026-04-01
EXCELCROP,3194.2,120.54,2844.23,3026.47,3332.23,3514.47,2538.47,2356.23,2050.47,2581.2,2672.4,2783.65,2469.95,2378.75,2962.94,3334.22,3595.0,3855.78,4178.44,4397.0,4040.0,2490.0,2662.0,3697.39,2692.45,2490.0,3150.0,2662.0,3250.0,3000.0,3073.66,2953.13,3314.74,3435.27,3333.22,5,M-R2|Fib 61.8%,3595.0,2,Fib 50%,3026.47,3,M-R1,2844.23,3,M-Pivot,3133.93,3230.36,2981.07,2019-08-28
EXCELIND,117.1,6.69,112.18,124.27,133.08,145.17,103.37,91.28,82.47,109.98,114.62,122.38,102.22,97.58,70.03,83.55,93.05,102.55,114.3,133.3,124.75,52.8,60.1,111.25,117.75,105.35,121.0,100.1,125.0,100.0,110.41,103.72,123.79,130.48,124.67,6,M-R1|Swing Hi|Round,133.23,6,M-R2|Swing Hi|52W High,111.14,8,W-Pivot|Vol POC|M-Pivot,102.71,7,W-S1|Fib 38.2%|M-S1,113.76,119.11,109.47,2003-09-26
EXCELINDUS,909.75,23.91,967.93,1016.22,1104.33,1152.62,879.82,831.53,743.42,910.32,932.63,958.77,884.18,861.87,937.0,1044.51,1120.03,1195.54,1288.97,1440.0,1405.9,800.05,864.05,971.22,936.45,888.0,1056.05,919.65,950.0,900.0,885.84,861.92,933.66,957.58,966.32,10,W-R2|200 DMA|M-Pivot|Vol POC,940.62,6,W-R1|Prev-Wk Hi|Fib 78.6%|50 DMA|Round,884.0,6,M-S1|W-S1|Prev-Wk Lo,862.96,3,W-S2|Swing Lo,897.79,916.92,870.74,2026-06-30
EXCELINFO,17.9,1.55,18.2,19.95,22.65,24.4,15.5,13.75,11.05,17.3,18.05,18.85,16.5,15.75,17.68,19.87,21.4,22.93,24.83,26.8,26.5,14.9,16.0,17.62,18.1,16.55,20.9,16.45,20.0,15.0,16.35,14.81,19.45,20.99,19.94,7,Fib 61.8%|M-R1|Round,18.12,6,W-R1|Prev-Wk Hi|M-Pivot,17.65,4,Vol POC|Fib 78.6%,16.5,4,Prev-Mo Lo|W-S1|Prev-Wk Lo,17.13,18.36,17.39,2015-05-04
EXCELSOFT,74.67,2.98,91.59,99.18,108.59,116.18,82.18,74.59,65.18,76.97,79.45,84.02,72.4,69.92,82.7,95.5,104.5,113.49,124.61,103.0,101.0,66.4,68.0,95.33,81.55,74.5,101.0,84.0,80.0,70.0,71.69,68.71,77.65,80.63,82.14,5,Prev-Wk Hi|M-S1|Fib 78.6%,80.0,4,W-R1|Round|20 DMA,72.4,2,W-S1,69.96,2,W-S2|Round,73.18,75.56,71.31,2026-06-30
EXICOM,170.83,11.57,146.79,185.61,211.81,250.63,120.59,81.77,55.57,166.01,174.96,191.86,149.11,140.16,99.86,118.9,132.27,145.65,162.2,182.9,177.99,75.6,83.1,146.1,182.9,157.05,173.0,107.98,175.0,150.0,159.26,147.69,182.4,193.97,183.8,6,Swing Hi|Prev-Wk Hi|M-R1,174.32,4,Prev-Mo Hi|W-R1|Round,149.56,3,W-S1|Round,166.01,2,W-Pivot,165.05,174.3,147.69,2026-06-30
EXIDEIND,387.6,10.41,372.52,411.53,436.57,475.58,347.48,308.47,283.43,392.67,407.63,425.47,374.83,359.87,317.82,342.01,359.0,375.99,397.02,431.0,409.8,287.0,308.45,387.01,410.5,377.7,397.55,333.5,400.0,375.0,377.19,366.79,398.01,408.41,409.87,8,W-R1|Swing Hi|Prev-Wk Hi|M-R1,395.57,6,20 DMA|W-Pivot|Fib 23.6%|Prev-Mo Hi|Round,374.39,10,50 DMA|M-Pivot|W-S1|Round|Fib 38.2%|Prev-Wk Lo,358.59,6,200 DMA|Fib 50%|W-S2,382.4,390.72,368.77,2026-06-30
EXPLEOSOL,799.35,26.93,892.77,980.48,1086.72,1174.43,786.53,698.82,592.58,823.83,841.57,856.73,808.67,790.93,788.45,904.99,986.85,1068.71,1169.99,1245.0,1175.1,640.0,725.0,901.76,839.0,806.1,999.0,805.05,800.0,750.0,772.42,745.5,826.28,853.2,806.61,4,Prev-Mo Lo|Prev-Wk Lo|W-S1,842.89,4,Prev-Wk Hi|W-R1|50 DMA,788.64,5,M-S1|Fib 78.6%|W-S2,725.0,2,Swing Lo,785.89,807.43,776.81,2026-06-30
EXXARO,6.69,0.57,6.72,7.11,7.53,7.92,6.3,5.91,5.49,6.96,7.24,7.64,6.56,6.28,6.93,7.65,8.16,8.68,9.31,10.95,10.33,5.45,5.78,9.57,7.35,6.67,7.15,6.34,10.0,5.0,6.12,5.55,7.26,7.83,6.74,5,M-Pivot|20 DMA|50 DMA,7.13,4,M-R1|Prev-Mo Hi,6.31,5,W-S2|M-S1|Prev-Mo Lo,6.56,2,W-S1,6.41,6.86,6.22,2026-06-30
FABTECH,156.29,6.73,158.76,172.62,189.86,203.72,141.52,127.66,110.42,158.67,163.25,169.57,152.35,147.77,160.54,182.4,197.75,213.1,232.1,258.0,256.95,132.7,134.42,152.06,165.0,154.1,176.0,144.9,175.0,150.0,149.56,142.82,163.02,169.76,158.04,6,50 DMA|W-Pivot|M-Pivot,164.12,3,W-R1|Prev-Wk Hi,151.71,7,Round|Vol POC|W-S1|20 DMA,154.1,1,Prev-Wk Lo,152.92,158.31,149.43,2026-06-30
FABWORTH,4.0,0.8,4.32,5.53,7.22,8.43,2.63,1.42,-0.27,4.57,6.03,7.97,2.63,1.17,3.53,4.38,4.97,5.57,6.31,7.5,7.2,2.45,2.5,6.14,6.5,3.1,6.0,3.1,5.0,0.0,3.2,2.4,4.8,5.6,4.35,6,M-Pivot|Fib 61.8%,5.55,5,M-R1|Fib 38.2%,2.63,5,M-S1|W-S1,3.1,2,Prev-Mo Lo|Prev-Wk Lo,3.6,4.24,2.59,2000-02-22
FACT,872.8,45.05,886.68,927.37,979.08,1019.77,834.97,794.28,742.57,896.67,925.33,960.67,861.33,832.67,739.09,807.38,855.35,903.32,962.67,1058.6,1033.0,652.1,738.0,873.29,932.0,868.0,938.4,846.0,900.0,850.0,827.75,782.69,917.85,962.91,896.66,10,M-Pivot|50 DMA|W-Pivot|20 DMA|Round|Fib 38.2%,930.77,7,W-R1|M-R1|Prev-Wk Hi|Prev-Mo Hi,860.52,8,Fib 50%|200 DMA|W-S1|Prev-Wk Lo,840.91,6,W-S2|M-S1|Prev-Mo Lo|Round,850.27,886.32,847.61,2026-06-30
FAGBEARING,4540.05,100.85,4559.03,4704.02,4959.98,5104.97,4303.07,4158.08,3902.12,4629.78,4727.57,4798.78,4558.57,4460.78,4071.87,4305.94,4470.35,4634.76,4838.18,5167.0,4983.9,3773.7,3775.15,4578.92,4701.0,4532.0,4815.0,4414.05,4750.0,4500.0,4439.2,4338.36,4640.9,4741.74,4592.21,12,W-S1|M-Pivot|Vol POC|W-Pivot|Fib 38.2%,4720.65,7,Prev-Wk Hi|M-R1|W-R1|Round,4304.5,6,M-S1|Fib 61.8%,4461.3,5,Prev-Mo Lo|W-S2|Fib 50%|Round,4489.63,4570.3,4338.36,2017-07-31
FAGPRECISN,38.1,1.5,34.47,37.28,39.07,41.88,32.68,29.87,28.08,37.35,38.2,39.35,36.2,35.35,33.53,35.44,36.78,38.11,39.77,42.45,41.75,31.1,31.35,37.67,38.5,36.5,36.25,31.65,40.0,35.0,36.6,35.11,39.6,41.09,39.4,4,M-R2|W-R2|Fib 23.6%,38.35,3,W-R1|Prev-Wk Hi,37.43,8,M-R1|W-Pivot|Vol POC,36.43,6,W-S1|Prev-Mo Hi|Prev-Wk Lo|Fib 50%,37.35,38.55,36.87,2001-08-17
FAIRCHEM,551.9,16.81,562.27,604.48,650.22,692.43,516.53,474.32,428.58,565.08,575.17,591.08,549.17,539.08,440.86,508.23,555.55,602.87,661.41,756.05,748.05,355.05,402.0,574.0,581.0,555.0,608.0,520.05,600.0,550.0,535.09,518.28,568.71,585.52,559.48,8,Prev-Wk Lo|Fib 50%|M-Pivot|W-Pivot,603.84,7,Round|Fib 38.2%|M-R1|Prev-Mo Hi,518.29,4,M-S1|Prev-Mo Lo,549.59,3,W-S1|Round,543.49,556.94,518.28,2020-10-13
FAIRCHEMOR,670.25,28.34,612.45,667.7,719.25,774.5,560.9,505.65,454.1,636.62,667.78,701.17,603.23,572.07,549.78,645.35,712.48,779.6,862.65,827.9,825.95,428.05,541.55,634.48,670.0,605.45,664.0,557.2,700.0,650.0,641.91,613.56,698.59,726.94,715.87,4,Fib 50%|M-R2,826.92,4,Swing Hi|Swing Hi,639.37,11,Vol POC|W-Pivot|200 DMA|Fib 61.8%,606.31,8,50 DMA|W-S1|Prev-Wk Lo|20 DMA|M-Pivot,656.08,678.75,629.78,2026-06-30
FALCONTYRE,17.0,1.42,14.08,16.12,17.13,19.17,13.07,11.03,10.02,13.0,13.0,13.0,13.0,13.0,18.7,24.16,28.0,31.84,36.58,44.25,32.4,11.75,12.05,24.5,13.0,13.0,15.1,12.05,20.0,15.0,15.58,14.16,18.42,19.84,17.13,2,M-R2,18.7,1,Fib 78.6%,13.01,13,W-Pivot|W-R1|W-R2|W-S1|W-S2|Prev-Wk Hi|Prev-Wk Lo|M-S1,16.12,3,M-R1,16.29,17.43,14.16,2000-12-14
FAME,35.6,1.11,36.85,39.4,43.8,46.35,32.45,29.9,25.5,35.42,36.33,37.42,34.33,33.42,42.02,49.03,53.95,58.87,64.96,74.8,62.4,33.1,33.3,55.1,36.5,34.5,41.25,34.3,40.0,35.0,34.49,33.37,36.71,37.83,36.56,6,W-R1|Prev-Wk Hi|M-Pivot,39.4,3,M-R1,33.23,7,Swing Lo|52W Low|Swing Lo|W-S2,34.38,4,Prev-Mo Lo|W-S1|Prev-Wk Lo,35.04,35.93,33.37,2013-06-26
FARMAXIND,0.1,0.03,0.12,0.13,0.17,0.18,0.08,0.07,0.03,0.1,0.15,0.2,0.05,0.0,0.11,0.16,0.2,0.24,0.28,0.35,0.3,0.05,0.1,0.1,0.15,0.05,0.15,0.1,5.0,0.0,0.07,0.04,0.13,0.16,0.15,4,W-R1|Prev-Mo Hi|Prev-Wk Hi,0.12,3,M-Pivot,0.05,7,W-S1|Swing Lo|52W Low|Prev-Wk Lo,0.08,3,M-S1,0.09,0.11,0.05,2017-03-06
FASTCAP,37.9,1.92,40.0,44.0,47.0,51.0,37.0,33.0,30.0,38.4,38.4,38.4,38.4,38.4,21.66,26.34,29.62,32.91,36.98,43.55,43.0,15.7,20.1,27.07,38.4,38.4,43.0,36.0,40.0,35.0,35.98,34.06,39.82,41.74,38.4,10,W-Pivot|W-R1|W-R2|W-S1|W-S2|Prev-Wk Hi|Prev-Wk Lo,43.28,7,Swing Hi|Prev-Mo Hi|Swing Hi|52W High,36.99,4,Fib 23.6%|M-S1,32.95,4,Fib 38.2%|M-S2,36.94,38.48,36.44,1997-09-25
FAZE3Q,598.95,28.7,509.93,585.62,625.43,701.12,470.12,394.43,354.62,615.97,655.93,690.02,581.88,541.92,413.23,484.77,535.03,585.28,647.45,747.95,746.7,322.1,350.2,520.57,650.05,576.0,549.75,434.25,600.0,550.0,570.25,541.54,627.65,656.36,651.14,4,Fib 23.6%|Prev-Wk Hi|W-R1,615.97,2,W-Pivot,582.2,8,Prev-Wk Lo|W-S1|Fib 38.2%|M-R1,547.22,3,W-S2|Prev-Mo Hi|Round,584.6,607.56,573.47,2026-06-30
FAZETHREE,17.9,1.91,15.1,15.1,15.1,15.1,15.1,15.1,15.1,16.0,16.0,16.0,16.0,16.0,23.2,31.6,37.5,43.4,50.7,62.5,61.5,12.55,13.75,29.91,16.0,16.0,15.1,15.1,20.0,15.0,15.99,14.08,19.81,21.72,29.91,3,Vol POC,31.6,3,Fib 61.8%,15.09,18,Round|M-Pivot|M-R1|M-R2|M-R3|M-S1|M-S2|M-S3|Prev-Mo Hi|Prev-Mo Lo,16.0,10,W-Pivot|W-R1|W-R2|W-S1|W-S2|Prev-Wk Hi|Prev-Wk Lo,16.94,18.47,14.86,2000-11-24
FCEL,23.05,0.93,20.38,22.22,24.18,26.02,18.42,16.58,14.62,21.55,24.25,26.1,19.7,17.0,18.84,20.64,21.9,23.16,24.72,27.25,25.5,16.55,18.0,21.61,23.4,18.85,22.35,18.55,25.0,20.0,22.12,21.19,23.98,24.91,24.21,4,M-R2|W-R1,23.28,3,Fib 38.2%|Prev-Wk Hi,21.69,7,W-Pivot|Vol POC|Fib 50%,20.51,6,M-Pivot|Fib 61.8%,22.58,23.33,21.36,2016-10-24
FCH,221.7,15.43,202.28,253.42,286.08,337.22,169.62,118.48,85.82,209.9,245.8,270.85,184.85,148.95,121.81,145.99,162.97,179.96,200.98,190.95,185.8,91.0,114.5,150.77,234.95,174.0,234.95,151.15,225.0,200.0,206.27,190.84,237.13,252.56,234.95,4,52W High|Prev-Mo Hi|Prev-Wk Hi,253.42,3,M-R1,201.09,5,Round|Fib 23.6%|M-Pivot,185.32,4,W-S1|Swing Hi,213.99,226.33,198.07,2012-12-05
FCL,38.8,2.85,34.61,46.63,53.26,65.28,27.98,15.96,9.33,42.89,45.19,49.47,38.61,36.31,25.11,29.83,33.14,36.45,40.55,44.44,35.79,19.1,20.95,32.63,47.18,40.6,41.25,22.6,40.0,35.0,35.95,33.11,41.65,44.49,40.38,3,Round|Fib 23.6%|Prev-Wk Lo,41.28,2,Prev-Mo Hi|20 DMA,36.18,5,Swing Hi|W-S2|Fib 38.2%,34.8,4,M-Pivot|Round,37.38,39.65,35.64,2026-06-30
FCONSUMER,1.1,0.06,0.92,0.93,0.97,0.98,0.88,0.87,0.83,1.13,1.27,1.38,1.02,0.88,1.83,2.96,3.75,4.54,5.52,5.5,2.55,0.4,0.9,0.61,1.25,1.0,0.95,0.9,5.0,0.0,1.04,0.99,1.16,1.21,1.13,2,W-Pivot,1.27,2,W-R1,0.97,3,M-R2|M-R3,1.02,2,W-S1,1.07,1.12,0.99,2024-05-15
FCSSOFT,1.75,0.15,1.27,1.49,1.81,2.03,0.95,0.73,0.41,1.68,2.01,2.21,1.48,1.15,1.44,1.75,1.96,2.17,2.44,3.05,3.0,1.05,1.46,2.4,1.87,1.34,1.59,1.05,5.0,0.0,1.6,1.44,1.9,2.06,2.02,6,W-R1|200 DMA|M-R3,1.81,2,M-R2,1.49,6,W-S1|M-R1|20 DMA,1.68,2,W-Pivot,1.67,1.8,1.47,2026-04-16
FDC,423.85,13.41,399.42,445.03,485.07,530.68,359.38,313.77,273.73,405.65,424.15,440.0,389.8,371.3,358.93,395.02,420.38,445.73,477.1,527.8,511.95,312.95,349.25,422.97,421.5,387.15,439.45,353.8,425.0,400.0,410.44,397.02,437.26,450.68,442.55,7,Prev-Mo Hi|W-R2|M-R1|Fib 38.2%,485.07,2,M-R2,396.64,11,200 DMA|20 DMA|Fib 61.8%|M-Pivot|Round,421.62,6,Fib 50%|Prev-Wk Hi|Vol POC,417.14,427.87,397.02,2026-06-30
FEDDERELEC,18.85,1.18,22.2,25.1,30.85,33.75,16.45,13.55,7.8,20.18,21.27,22.73,18.72,17.63,34.39,47.69,57.02,66.36,77.92,96.6,93.25,17.45,18.5,29.83,21.65,19.1,27.95,19.3,20.0,15.0,17.67,16.49,20.03,21.21,20.09,3,Round|W-Pivot,19.2,2,Prev-Wk Lo|Prev-Mo Lo,17.51,5,Swing Lo|52W Low|W-S2,18.61,4,Swing Lo|W-S1,18.26,19.2,17.25,2018-09-24
FEDDERLOYD,70.85,2.22,75.98,81.47,89.98,95.47,67.47,61.98,53.47,72.25,73.4,75.0,70.65,69.5,63.89,69.3,73.1,76.9,81.6,89.2,88.35,57.0,64.15,85.16,73.85,71.1,84.5,70.5,80.0,70.0,68.63,66.41,73.07,75.29,73.15,7,W-Pivot|Fib 50%|W-R1|Prev-Wk Hi,75.49,4,W-R2|M-Pivot,69.99,8,Fib 61.8%|W-S2|Round|Prev-Mo Lo|W-S1,67.47,3,M-S1,69.74,71.52,68.94,2017-06-12
FEDDERSHOL,40.27,2.12,34.75,37.45,40.49,43.19,31.71,29.01,25.97,41.95,44.89,48.05,38.79,35.85,34.85,37.04,38.58,40.12,42.02,38.3,37.8,32.06,32.65,41.95,45.1,39.0,37.8,32.06,45.0,40.0,38.15,36.04,42.39,44.5,41.97,6,W-Pivot|Vol POC|Fib 23.6%,45.02,6,W-R1|Round|52W High|Prev-Wk Hi,37.17,7,20 DMA|Fib 61.8%|M-R1,38.79,5,Fib 50%|W-S1|Prev-Wk Lo,39.21,40.91,36.61,2026-06-30
FEDERALBNK,330.05,5.73,288.17,299.23,309.52,320.58,277.88,266.82,256.53,323.08,327.97,331.88,319.17,314.28,216.5,241.15,258.46,275.76,297.18,302.0,301.7,185.11,188.4,288.58,327.0,318.2,298.45,277.1,350.0,325.0,324.32,318.6,335.78,341.5,331.84,3,52W High|W-R2,350.0,1,Round,299.7,10,Fib 23.6%|Prev-Mo Hi|M-R1|50 DMA|Swing Hi|Swing Hi,325.76,6,W-Pivot|Round|Prev-Wk Hi|W-R1,327.19,331.77,318.6,2026-06-30
FEDFINA,148.71,5.86,157.21,170.92,180.15,193.86,147.98,134.27,125.04,150.6,155.2,162.02,143.78,139.18,127.39,138.31,145.98,153.65,163.14,178.48,167.1,119.07,122.25,160.56,157.43,146.01,166.44,143.5,150.0,125.0,142.85,136.98,154.57,160.44,154.36,6,Fib 38.2%|50 DMA|20 DMA|W-R1,161.91,5,Vol POC|W-R2|Fib 23.6%,146.6,9,Fib 50%|Prev-Wk Lo|200 DMA|M-S1,138.75,4,Fib 61.8%|W-S2,145.78,150.47,144.4,2026-06-30
FEL,1.65,0.1,1.62,1.83,2.02,2.23,1.43,1.22,1.03,1.78,1.92,2.08,1.62,1.48,3.65,5.41,6.65,7.89,9.42,11.9,11.0,1.4,1.5,1.62,1.95,1.65,1.8,1.4,5.0,0.0,1.55,1.46,1.75,1.84,1.79,3,W-Pivot|Prev-Mo Hi,1.83,3,M-R1,1.62,8,M-Pivot|W-S1|Vol POC,1.4,5,Swing Lo|52W Low|Prev-Mo Lo,1.6,1.68,1.6,2023-01-20
FELDVR,6.55,0.39,7.55,8.25,9.3,10.0,6.5,5.8,4.75,6.85,7.35,7.85,6.35,5.85,10.42,13.65,15.93,18.2,21.01,25.55,16.65,6.35,6.6,20.78,7.35,6.35,8.6,6.85,10.0,5.0,6.16,5.78,6.94,7.32,6.85,3,W-Pivot|Prev-Mo Lo,7.35,3,W-R1|Prev-Wk Hi,6.34,7,52W Low|W-S1|Swing Lo|Prev-Wk Lo,6.5,3,M-S1,6.36,6.67,6.24,2023-02-21
FEMNORMIN,8.05,1.16,9.12,11.13,14.02,16.03,6.23,4.22,1.33,8.38,10.77,12.48,6.67,4.28,9.87,13.53,16.1,18.67,21.86,27.0,24.8,5.2,5.55,9.18,10.1,6.0,12.0,7.1,10.0,5.0,6.89,5.74,9.21,10.36,9.15,6,M-Pivot|Vol POC,8.38,2,W-Pivot,6.23,3,M-S1,6.67,2,W-S1,7.47,8.4,6.14,1999-03-16
FERMENTA,355.8,19.16,286.52,324.18,352.67,390.33,258.03,220.37,191.88,358.78,383.52,400.68,341.62,316.88,276.05,297.4,312.4,327.4,345.95,356.85,314.85,248.85,285.0,327.39,375.95,334.05,315.0,248.85,375.0,350.0,336.64,317.48,374.96,394.12,357.81,4,Swing Hi|W-Pivot,375.63,4,Round|52W High|Prev-Wk Hi,326.32,8,M-R1|Vol POC|Fib 38.2%,351.34,3,Round|M-R2,346.22,361.55,321.43,2026-06-30
FERROALLOY,3.95,1.08,5.28,7.32,9.53,11.57,3.07,1.03,-1.18,5.3,6.0,6.9,4.4,3.7,3.22,4.18,4.85,5.52,6.35,7.7,7.5,2.0,2.05,4.7,6.2,4.6,7.5,3.25,5.0,0.0,2.88,1.8,5.03,6.1,4.18,3,Fib 61.8%,4.7,3,Vol POC,3.07,3,M-S1,3.24,2,Fib 78.6%|Prev-Mo Lo,3.41,4.27,3.02,1999-11-02
FGPIND,3.0,0.47,4.2,5.4,6.15,7.35,3.45,2.25,1.5,3.1,4.15,4.8,2.45,1.4,4.61,6.61,8.03,9.44,11.18,14.0,11.0,2.05,3.0,6.26,3.75,2.05,4.95,3.0,5.0,0.0,2.53,2.06,3.47,3.94,4.18,5,W-R1|M-Pivot,3.45,3,M-S1,2.05,5,Swing Lo|52W Low|Prev-Wk Lo,2.45,2,W-S1,2.76,3.14,2.06,2000-05-30
FIBERWEB,30.36,1.31,29.86,31.9,35.72,37.76,26.04,24.0,20.18,30.05,30.86,31.62,29.29,28.48,32.38,36.72,39.78,42.83,46.6,59.26,57.65,26.85,27.5,44.23,30.8,29.23,33.67,27.81,35.0,30.0,29.05,27.75,31.67,32.97,31.76,4,W-R2|M-R1,30.83,3,Prev-Wk Hi|W-R1,29.97,6,M-Pivot|Round|W-Pivot,29.18,4,20 DMA|Prev-Wk Lo|W-S1,29.71,30.75,29.52,2026-06-30
FICOMORGAN,6.55,0.53,8.62,9.23,10.37,10.98,7.48,6.87,5.73,6.5,6.5,6.5,6.5,6.5,9.53,12.14,13.97,15.81,18.08,21.75,21.6,8.1,8.6,10.45,6.5,6.5,9.75,8.0,10.0,5.0,6.02,5.49,7.08,7.61,8.61,5,Swing Lo|M-Pivot,7.48,3,M-S1,6.5,10,W-Pivot|W-R1|W-R2|W-S1|W-S2|Prev-Wk Hi|Prev-Wk Lo,6.2,2,52W Low,6.29,6.71,6.4,2000-05-26
FIEMIND,2261.3,59.08,2216.0,2352.0,2461.0,2597.0,2107.0,1971.0,1862.0,2254.5,2297.4,2365.7,2186.2,2143.3,1956.92,2084.82,2174.65,2264.48,2375.63,2555.3,2445.0,1794.0,1868.5,2293.39,2322.8,2211.6,2325.0,2080.0,2500.0,2250.0,2202.22,2143.14,2320.38,2379.46,2305.71,8,20 DMA|Vol POC|W-R1|Prev-Wk Hi|Prev-Mo Hi,2364.44,5,M-R1|W-R2|Fib 23.6%,2172.21,8,W-S2|Fib 50%|200 DMA|W-S1,2090.61,7,Prev-Mo Lo|Fib 61.8%|M-S1,2231.76,2279.02,2143.14,2026-06-30
FILATEX,51.91,1.99,45.08,49.86,53.97,58.75,40.97,36.19,32.08,53.68,54.84,56.97,51.55,50.39,42.65,47.66,51.18,54.7,59.06,66.1,63.5,36.26,38.19,46.46,55.8,52.51,49.2,40.31,60.0,50.0,49.92,47.94,53.9,55.88,53.83,4,W-Pivot|M-R2,54.77,4,Fib 38.2%|W-R1,50.08,5,M-R1|Round|W-S2,51.36,4,Fib 50%|W-S1,50.92,52.51,49.33,2026-06-30
FILATFASH,0.24,0.01,0.17,0.2,0.26,0.29,0.11,0.08,0.02,0.2,0.22,0.24,0.18,0.16,0.27,0.37,0.44,0.51,0.6,1.7,1.63,0.14,0.18,0.3,0.21,0.17,0.23,0.14,5.0,0.0,0.23,0.22,0.25,0.26,0.3,3,Vol POC,0.26,2,M-R2,0.2,5,M-R1|W-Pivot,0.22,2,W-R1,0.23,0.24,0.22,2026-04-16
FINANTECH,78.95,3.31,72.83,76.82,81.78,85.77,67.87,63.88,58.92,78.63,84.87,90.73,72.77,66.53,79.4,87.68,93.5,99.32,106.52,110.9,96.0,68.85,69.05,87.63,84.5,72.4,77.8,68.85,80.0,70.0,75.64,72.33,82.26,85.57,87.66,6,Vol POC|Fib 61.8%,85.05,4,Prev-Wk Hi|W-R1|M-R3,72.67,6,Prev-Wk Lo|W-S1|M-Pivot,77.31,4,M-R1|Prev-Mo Hi,77.29,79.94,72.33,2017-01-18
FINCABLES,1169.4,50.48,1096.22,1224.88,1313.47,1442.13,1007.63,878.97,790.38,1143.27,1177.13,1237.77,1082.63,1048.77,808.46,892.98,952.35,1011.72,1085.17,1203.9,1184.8,700.8,707.3,908.96,1203.9,1109.4,1184.8,967.55,1200.0,1100.0,1118.92,1068.44,1219.88,1270.36,1202.93,6,Round|Swing Hi|52W High|Prev-Wk Hi,1182.24,5,W-R1|Swing Hi|Prev-Mo Hi,1089.42,8,W-S1|20 DMA|Fib 23.6%|M-Pivot|Round,1143.27,2,W-Pivot,1144.16,1184.54,1073.08,2026-06-30
FINEORG,5295.8,181.58,4627.57,4825.33,5025.27,5223.03,4427.63,4229.87,4029.93,5229.03,5406.07,5576.03,5059.07,4882.03,4206.53,4481.72,4675.0,4868.28,5107.43,5494.0,5144.9,3856.0,3890.5,4819.61,5399.0,5052.0,4827.5,4429.8,5500.0,5000.0,5114.22,4932.64,5477.38,5658.96,5516.01,6,Swing Hi|52W High|Round|W-R2,5402.53,3,Prev-Wk Hi|W-R1,4835.38,11,50 DMA|Vol POC|M-R1|Prev-Mo Hi|Fib 38.2%|W-S2,5017.69,7,20 DMA|Round|M-R2|Prev-Wk Lo|W-S1,5205.01,5350.27,4932.64,2026-06-30
FINIETF,32.31,0.87,32.28,33.41,34.94,36.07,30.75,29.62,28.09,32.49,33.05,33.86,31.68,31.12,28.77,29.85,30.61,31.37,32.3,33.82,33.69,27.4,28.75,32.19,33.3,31.93,33.82,31.16,35.0,30.0,31.44,30.56,33.18,34.06,33.6,14,W-R1|Prev-Wk Hi|M-R1|Swing Hi|Swing Hi|52W High|Prev-Mo Hi|W-R2,34.97,3,M-R2|Round,31.0,9,Fib 50%|M-S1|W-S2|Prev-Mo Lo|Fib 38.2%,31.7,8,20 DMA|200 DMA|W-S1|50 DMA|Prev-Wk Lo,31.87,32.57,30.56,2026-06-30
FINKURVE,65.26,4.1,63.59,71.18,82.59,90.18,52.18,44.59,33.18,67.5,69.68,73.29,63.89,61.71,66.61,81.21,91.46,101.71,114.4,125.0,119.7,48.02,56.0,61.71,71.1,65.31,75.0,56.0,70.0,60.0,61.16,57.05,69.36,73.47,67.09,4,Fib 78.6%|50 DMA|W-Pivot,71.14,4,Prev-Wk Hi|M-R1,63.74,5,M-Pivot|W-S1,61.71,4,W-S2|Vol POC,63.21,66.49,62.78,2026-06-30
