symbol,price,so9_degree,so9_nearest,so9_r1,so9_s1,all_resistance,all_support,computed_date
DCW,49.11,316.41,Southeast,56.37,42.35,56.37|64.13|72.38|81.14|90.4,42.35|36.09|30.34|25.08|20.32,2026-07-15
DCXINDIA,196.21,136.35,Northwest,210.47,182.45,210.47|225.22|240.48|256.24|272.5,182.45|169.2|156.44|144.18|132.42,2026-07-15
DDEVPLSTIK,294.15,342.14,East,294.15,277.25,294.15|311.55|329.45|347.85|366.75,277.25|260.85|244.95|229.55|214.65,2026-07-15
DECCANCE,577.55,140.81,Northwest,601.83,553.77,601.83|626.61|651.9|677.68|703.96,553.77|530.49|507.7|485.42|463.64,2026-07-15
DECNGOLD,199.32,156.25,Northwest,213.69,185.45,213.69|228.56|243.92|259.79|276.16,185.45|172.08|159.22|146.85|134.98,2026-07-15
DEEPAKFERT,1513.4,297.44,Southeast,1552.55,1513.4,1552.55|1592.2|1632.36|1673.01|1714.16,1513.4|1474.75|1436.6|1398.94|1361.79,2026-07-15
DEEPAKNTR,1667.2,284.64,South,1708.28,1626.62,1708.28|1749.86|1791.94|1834.53|1877.61,1626.62|1586.54|1546.96|1507.87|1469.29,2026-07-15
DEEPINDS,462.7,46.88,Northeast,462.7,441.44,462.7|484.46|506.72|529.48|552.74,441.44|420.68|400.42|380.66|361.4,2026-07-15
DELHIVERY,512.3,249.13,South,535.18,512.3,535.18|558.57|582.45|606.84|631.72,512.3|489.92|468.03|446.65|425.76,2026-07-15
DELTACORP,64.74,143.3,Northwest,73.04,64.74,73.04|81.83|91.13|100.92|111.22,64.74|56.94|49.65|42.85|36.56,2026-07-15
DELTAMAGNT,59.56,84.15,North,67.53,59.56,67.53|76.0|84.96|94.43|104.4,59.56|52.09|45.12|38.66|32.69,2026-07-15
DEN,30.1,42.54,Northeast,35.84,24.86,35.84|42.07|48.81|56.05|63.78,24.86|20.13|16.11|15.89|12.35,2026-07-15
DENORA,883.2,84.36,North,913.17,853.73,913.17|943.64|974.61|1006.07|1038.04,853.73|824.76|796.29|768.33|740.86,2026-07-15
DENTA,345.95,242.95,Southwest,345.95,327.6,345.95|364.8|384.15|404.0|424.35,327.6|309.75|292.4|275.55|259.2,2026-07-15
DEVIT,28.08,8.83,East,33.63,23.03,33.63|39.68|46.23|53.28|60.83,23.03|18.48|17.65|14.43|13.7,2026-07-15
DEVX,34.9,118.37,Northwest,41.06,29.24,41.06|47.72|54.87|62.53|70.69,29.24|24.08|19.43|15.27|12.91,2026-07-15
DEVYANI,113.94,256.37,South,124.86,113.94,124.86|136.29|148.21|160.64|173.56,113.94|103.52|93.59|84.17|75.24,2026-07-15
DGCONTENT,26.0,332.82,Southeast,31.35,26.0,31.35|37.2|43.55|50.4|57.75,26.0|21.15|19.37|16.8|15.22,2026-07-15
DHAMPURSUG,143.97,134.77,Northwest,156.22,143.97,156.22|168.97|182.22|195.96|210.21,143.97|132.22|120.97|110.22|99.98,2026-07-15
DHANBANK,34.85,117.61,Northwest,41.0,29.2,41.0|47.66|54.81|62.46|70.62,29.2|24.04|19.39|15.24|12.94,2026-07-15
DHANUKA,1043.6,189.86,West,1076.15,1011.55,1076.15|1109.21|1142.76|1176.82|1211.37,1011.55|979.99|948.94|918.38|888.33,2026-07-15
DHARMAJ,256.2,136.12,Northwest,272.46,240.44,272.46|289.21|306.47|324.22|342.48,240.44|225.19|210.43|196.18|182.42,2026-07-15
DHUNINV,996.75,57.84,Northeast,996.75,965.43,996.75|1028.57|1060.89|1093.71|1127.04,965.43|934.61|904.29|874.46|845.14,2026-07-15
DIACABS,227.46,329.72,Southeast,242.79,212.63,242.79|258.62|274.96|291.79|309.12,212.63|198.3|184.46|171.13|158.3,2026-07-15
DIAMINESQ,270.61,216.04,Southwest,270.61,254.41,270.61|287.31|304.51|322.21|340.41,254.41|238.71|223.51|208.81|194.61,2026-07-15
DIAMONDYD,1197.1,242.84,Southwest,1231.95,1162.75,1231.95|1267.3|1303.15|1339.5|1376.35,1162.75|1128.9|1095.55|1062.7|1030.35,2026-07-15
DICIND,524.15,295.98,Southeast,547.29,501.51,547.29|570.94|595.08|619.73|644.87,501.51|479.36|457.72|436.57|415.93,2026-07-15
DIFFNKG,396.05,117.18,Northwest,416.2,376.4,416.2|436.85|458.0|479.65|501.81,376.4|357.25|338.6|320.45|302.79,2026-07-15
DIGIDRIVE,18.98,199.19,West,23.59,17.17,23.59|28.69|34.3|40.41|47.01,17.17|14.87|13.27|11.27|9.88,2026-07-15
DIGITIDE,106.71,194.41,West,117.29,96.63,117.29|128.37|139.95|152.03|164.61,96.63|87.05|77.97|69.39|61.31,2026-07-15
DIGJAMLMTD,44.09,250.21,South,50.98,37.7,50.98|58.37|66.26|74.65|83.54,37.7|31.81|26.42|21.53|17.14,2026-07-15
DISAQ,12264.0,268.73,South,12264.0,12153.51,12264.0|12374.99|12486.49|12598.48|12710.97,12153.51|12043.51|11934.02|11825.03|11716.54,2026-07-15
DIVGIITTS,959.35,310.21,Southeast,990.57,959.35,990.57|1022.3|1054.52|1087.24|1120.47,959.35|928.63|898.4|868.68|839.46,2026-07-15
DIVISLAB,6938.5,8.58,East,7022.05,6938.5,7022.05|7106.1|7190.64|7275.69|7361.24,6938.5|6855.45|6772.9|6690.86|6609.31,2026-07-15
DIXON,13490.0,161.36,West,13606.4,13490.0,13606.4|13723.29|13840.69|13958.59|14076.98,13490.0|13374.1|13258.71|13143.81|13029.41,2026-07-15
DJML,111.8,238.24,Southwest,122.62,101.48,122.62|133.95|145.77|158.09|170.92,101.48|91.65|82.33|73.51|65.18,2026-07-15
DLF,682.35,156.93,Northwest,682.35,656.48,682.35|708.72|735.59|762.97|790.84,656.48|631.11|606.23|581.86|557.99,2026-07-15
DLINKINDIA,488.75,154.38,Northwest,488.75,466.89,488.75|511.11|533.97|557.32|581.18,466.89|445.53|424.68|404.32|384.46,2026-07-15
DMART,3994.1,350.8,East,4057.55,3931.15,4057.55|4121.5|4185.95|4250.9|4316.34,3931.15|3868.7|3806.75|3745.3|3684.36,2026-07-15
DMCC,263.15,174.94,West,279.62,247.18,279.62|296.59|314.07|332.04|350.51,247.18|231.71|216.73|202.26|188.29,2026-07-15
DNAMEDIA,2.83,77.81,North,4.76,2.83,4.76|7.19|10.13|13.56|17.49,2.83|1.74|1.4|0.67|0.47,2026-07-15
DODLA,1110.6,13.62,East,1110.6,1077.52,1110.6|1144.18|1178.25|1212.83|1247.9,1077.52|1044.95|1012.87|981.3|950.22,2026-07-15
DOLATALGO,73.27,235.76,Southwest,82.08,64.96,82.08|91.39|101.2|111.51|122.32,64.96|57.15|49.84|43.03|36.72,2026-07-15
DOLLAR,268.9,206.67,Southwest,285.55,252.75,285.55|302.7|320.34|338.49|357.14,252.75|237.1|221.96|207.31|193.16,2026-07-15
DOLPHIN,393.95,107.67,North,414.05,393.95,414.05|434.65|455.74|477.34|499.44,393.95|374.35|355.25|336.66|318.56,2026-07-15
DOMS,2359.5,238.44,Southwest,2408.32,2311.18,2408.32|2457.65|2507.47|2557.8|2608.62,2311.18|2263.35|2216.03|2169.2|2122.88,2026-07-15
DONEAR,85.71,1.43,East,95.22,76.7,95.22|105.23|115.73|126.74|138.25,76.7|68.19|60.19|52.68|45.67,2026-07-15
DPABHUSHAN,1161.45,149.41,Northwest,1195.78,1127.62,1195.78|1230.61|1265.94|1301.77|1338.1,1127.62|1094.29|1061.46|1029.13|997.3,2026-07-15
DRAGARWQ,4997.0,259.1,South,5067.94,4926.56,5067.94|5139.38|5211.32|5283.76|5356.7,4926.56|4856.62|4787.18|4718.24|4649.8,2026-07-15
DRCSYSTEMS,13.81,83.91,North,13.81,10.78,13.81|17.78|22.24|27.21|32.67,10.78|10.34|7.75|7.38|5.22,2026-07-15
DREAMFOLKS,69.95,200.45,West,69.95,61.84,69.95|78.56|87.68|97.29|107.4,61.84|54.22|47.11|40.5|34.38,2026-07-15
DREDGECORP,1042.8,187.63,West,1075.34,1042.8,1075.34|1108.38|1141.93|1175.97|1210.51,1042.8|1010.76|979.22|948.17|917.63,2026-07-15
DRREDDY,1234.5,339.38,East,1269.89,1199.61,1269.89|1305.77|1342.16|1379.04|1416.43,1199.61|1165.23|1131.34|1097.96|1065.07,2026-07-15
DSSL,1287.2,112.96,Northwest,1323.33,1287.2,1323.33|1359.96|1397.08|1434.71|1472.84,1287.2|1251.57|1216.44|1181.82|1147.69,2026-07-15
DTIL,136.96,81.54,North,136.96,125.51,136.96|148.91|161.37|174.32|187.77,125.51|114.55|104.1|94.15|84.7,2026-07-15
DUCON,3.07,90.39,North,5.07,3.07,5.07|7.57|10.58|14.08|18.08,3.07|3.06|1.57|1.56|0.57,2026-07-15
DVL,243.78,65.42,Northeast,259.64,228.42,259.64|276.01|292.87|310.23|328.1,228.42|213.55|199.19|185.33|171.96,2026-07-15
DWARKESH,43.84,246.81,Southwest,50.71,37.47,50.71|58.08|65.95|74.32|83.2,37.47|31.6|26.23|21.36|16.98,2026-07-15
DYCL,369.65,355.73,East,389.13,350.67,389.13|409.1|429.58|450.56|472.03,350.67|332.2|314.22|296.74|279.77,2026-07-15
DYNAMATECH,10408.0,138.53,Northwest,10408.0,10306.23,10408.0|10510.27|10613.04|10716.31|10820.08,10306.23|10204.96|10104.19|10003.92|9904.15,2026-07-15
DYNPRO,233.88,7.76,East,249.42,218.84,249.42|265.47|282.01|299.05|316.6,218.84|204.29|190.25|176.71|163.66,2026-07-15
E2E,386.95,75.79,North,406.87,386.95,406.87|427.29|448.21|469.63|491.56,386.95|367.53|348.61|330.19|312.27,2026-07-15
EASEMYTRIP,7.04,252.59,South,9.94,7.04,9.94|13.35|17.25|21.65|26.56,7.04|5.51|4.64|3.41|2.73,2026-07-15
EBGNG,608.55,255.39,South,633.47,584.13,633.47|658.89|684.81|711.23|738.14,584.13|560.21|536.79|513.87|491.46,2026-07-15
ECLERX,1662.9,275.16,South,1662.9,1622.37,1662.9|1703.93|1745.46|1787.49|1830.01,1622.37|1582.34|1542.81|1503.79|1465.26,2026-07-15
EDELWEISS,123.93,338.83,East,135.31,113.05,135.31|147.19|159.58|172.46|185.84,113.05|102.67|92.78|83.4|74.52,2026-07-15
EFCIL,195.34,130.75,Northwest,209.57,181.61,209.57|224.29|239.52|255.25|271.47,181.61|168.39|155.66|143.43|131.71,2026-07-15
EICHERMOT,7296.5,30.52,Northeast,7382.17,7296.5,7382.17|7468.34|7555.01|7642.18|7729.85,7296.5|7211.33|7126.66|7042.49|6958.82,2026-07-15
EIDPARRY,784.7,137.25,Northwest,812.96,756.94,812.96|841.72|870.99|900.75|931.01,756.94|729.68|702.91|676.65|650.89,2026-07-15
EIEL,235.89,19.57,East,251.5,220.78,251.5|267.61|284.22|301.32|318.93,220.78|206.17|192.06|178.46|165.35,2026-07-15
EIHAHOTELS,326.25,146.23,Northwest,344.56,326.25,344.56|363.37|382.69|402.5|422.81,326.25|308.44|291.13|274.31|258.0,2026-07-15
EIHOTEL,337.05,199.61,West,355.66,318.94,355.66|374.77|394.38|414.49|435.09,318.94|301.33|284.22|267.61|251.51,2026-07-15
EIMCOELECO,1792.0,194.76,West,1792.0,1749.92,1792.0|1834.58|1877.66|1921.25|1965.33,1749.92|1708.34|1667.25|1626.67|1586.59,2026-07-15
EKC,115.53,269.73,South,126.53,115.53,126.53|138.03|150.03|162.52|175.52,115.53|105.03|95.03|85.53|76.54,2026-07-15
ELANTAS,9461.0,3.18,East,9558.52,9363.98,9558.52|9656.54|9755.05|9854.07|9953.59,9363.98|9267.46|9171.45|9075.93|8980.91,2026-07-15
ELCIDIN,113985.0,66.0,Northeast,114322.87,113647.63,114322.87|114661.23|115000.1|115339.47|115679.33,113647.63|113310.77|112974.4|112638.53|112303.17,2026-07-15
ELDEHSG,788.05,148.0,Northwest,816.37,788.05,816.37|845.19|874.52|904.34|934.66,788.05|760.23|732.91|706.08|679.76,2026-07-15
ELECON,502.0,207.96,Southwest,524.66,479.84,524.66|547.81|571.47|595.62|620.28,479.84|458.19|437.03|416.38|396.22,2026-07-15
ELECTCAST,77.81,282.78,South,86.88,77.81,86.88|96.45|106.52|117.09|128.16,77.81|69.24|61.17|53.6|46.53,2026-07-15
ELECTHERM,1099.6,343.84,East,1133.01,1066.69,1133.01|1166.92|1201.33|1236.24|1271.65,1066.69|1034.28|1002.37|970.96|940.05,2026-07-15
ELGIEQUIP,573.2,124.49,Northwest,597.39,549.51,597.39|622.08|647.27|672.97|699.16,549.51|526.32|503.63|481.43|459.74,2026-07-15
ELGIRUBCO,57.34,58.02,Northeast,65.16,57.34,65.16|73.48|82.31|91.63|101.45,57.34|50.02|43.2|36.87|31.05,2026-07-15
ELIN,99.35,129.14,Northwest,109.57,89.63,109.57|120.28|131.5|143.22|155.44,89.63|80.42|71.7|63.48|55.76,2026-07-15
ELITECON,19.98,219.58,Southwest,19.98,16.24,19.98|24.7|29.92|35.64|41.86,16.24|15.76|12.46|12.04|9.18,2026-07-15
ELLEN,296.05,352.1,East,313.51,296.05,313.51|331.46|349.92|368.87|388.33,296.05|279.09|262.64|246.68|231.23,2026-07-15
ELPROINTL,173.81,348.07,East,173.81,160.88,173.81|187.24|201.18|215.61|230.54,160.88|148.44|136.51|125.08|114.14,2026-07-15
EMAMILTD,427.25,255.6,South,448.17,406.83,448.17|469.59|491.51|513.93|536.85,406.83|386.91|367.49|348.57|330.15,2026-07-15
EMAMIPAP,88.44,27.77,Northeast,98.09,79.29,98.09|108.25|118.9|130.06|141.71,79.29|70.63|62.48|54.82|47.67,2026-07-15
EMBDL,66.93,167.59,West,75.36,66.93,75.36|84.29|93.72|103.65|114.09,66.93|59.0|51.57|44.64|38.21,2026-07-15
EMCURE,1793.3,197.53,West,1835.9,1793.3,1835.9|1878.99|1922.59|1966.69|2011.29,1793.3|1751.2|1709.61|1668.51|1627.91,2026-07-15
EMIL,131.82,41.63,Northeast,131.82,120.59,131.82|143.55|155.78|168.51|181.75,120.59|109.86|99.63|89.89|80.66,2026-07-15
EMKAY,264.75,183.81,West,281.27,248.73,281.27|298.29|315.81|333.83|352.36,248.73|233.21|218.19|203.67|189.64,2026-07-15
EMMVEE,339.2,210.13,Southwest,357.87,339.2,357.87|377.03|396.7|416.87|437.54,339.2|321.03|303.37|286.2|269.53,2026-07-15
EMSLIMITED,441.15,315.64,Southeast,441.15,420.4,441.15|462.4|484.16|506.41|529.16,420.4|400.14|380.39|361.14|342.38,2026-07-15
EMUDHRA,456.15,19.38,East,477.76,435.04,477.76|499.87|522.47|545.58|569.19,435.04|414.43|394.33|374.72|355.61,2026-07-15
ENDURANCE,2698.2,124.96,Northwest,2750.39,2646.51,2750.39|2803.09|2856.28|2909.98|2964.17,2646.51|2595.31|2544.62|2494.42|2444.73,2026-07-15
ENERGYDEV,17.2,161.51,West,21.6,17.2,21.6|26.49|31.89|37.79|44.19,17.2|14.84|13.3|11.24|9.91,2026-07-15
ENGINERSIN,236.66,24.08,Northeast,252.29,221.53,252.29|268.43|285.06|302.2|319.83,221.53|206.89|192.76|179.12|165.99,2026-07-15
ENIL,105.98,188.04,West,105.98,95.94,105.98|116.52|127.57|139.11|151.16,95.94|86.39|77.35|68.8|60.76,2026-07-15
ENRIN,3404.3,197.35,West,3462.9,3346.2,3462.9|3521.99|3581.59|3641.69|3702.28,3346.2|3288.61|3231.51|3174.91|3118.82,2026-07-15
ENTERO,1241.8,358.05,East,1277.29,1206.81,1277.29|1313.28|1349.77|1386.76|1424.25,1206.81|1172.32|1138.33|1104.84|1071.85,2026-07-15
EPACK,241.8,53.99,Northeast,257.6,226.5,257.6|273.9|290.7|308.0|325.8,226.5|211.7|197.4|183.6|170.3,2026-07-15
EPACKPEB,278.32,257.93,South,295.25,261.89,295.25|312.69|330.62|349.05|367.98,261.89|245.95|230.52|215.59|201.16,2026-07-15
EPIGRAL,1068.5,258.83,South,1101.44,1036.06,1101.44|1134.88|1168.81|1203.25|1238.19,1036.06|1004.12|972.69|941.75|911.31,2026-07-15
EPL,236.83,25.07,Northeast,236.83,221.69,236.83|252.47|268.61|285.25|302.39,221.69|207.05|192.91|179.27|166.13,2026-07-15
EQUITASBNK,83.07,335.57,Southeast,83.07,74.21,83.07|92.43|102.3|112.66|123.53,74.21|65.84|57.98|50.61|43.75,2026-07-15
ERIS,1449.9,148.96,Northwest,1449.9,1412.07,1449.9|1488.23|1527.06|1566.38|1606.21,1412.07|1374.74|1337.92|1301.59|1265.76,2026-07-15
ESABINDIA,5687.5,29.79,Northeast,5687.5,5612.33,5687.5|5763.17|5839.33|5916.0|5993.16,5612.33|5537.67|5463.5|5389.84|5316.67,2026-07-15
ESAFSFB,35.43,126.42,Northwest,35.43,29.73,35.43|41.63|48.33|55.54|63.24,29.73|24.53|19.82|15.62|12.59,2026-07-15
ESCORTS,2969.7,224.09,Southwest,3024.44,2969.7,3024.44|3079.69|3135.43|3191.68|3248.42,2969.7|2915.46|2861.71|2808.47|2755.72,2026-07-15
ESSARSHPNG,22.24,263.87,South,22.24,18.35,22.24|27.21|32.67|38.64|45.1,18.35|17.77|14.32|13.81|10.79,2026-07-15
ESTER,89.92,41.87,Northeast,99.65,80.69,99.65|109.89|120.62|131.85|143.58,80.69|71.95|63.72|55.99|48.76,2026-07-15
ETERNAL,285.2,294.82,Southeast,285.2,268.56,285.2|302.34|319.98|338.11|356.75,268.56|252.42|236.79|221.65|207.01,2026-07-15
ETHOSLTD,2649.0,39.32,Northeast,2649.0,2597.78,2649.0|2700.72|2752.94|2805.66|2858.87,2597.78|2547.06|2496.84|2447.13|2397.91,2026-07-15
EUREKAFORB,459.8,34.73,Northeast,481.49,438.61,481.49|503.69|526.38|549.57|573.26,438.61|417.91|397.72|378.03|358.84,2026-07-15
EUROBOND,168.16,309.18,Southeast,181.38,155.44,181.38|195.1|209.31|224.03|239.25,155.44|143.22|131.51|120.29|109.57,2026-07-15
EUROPRATIK,312.4,76.47,North,312.4,294.98,312.4|330.32|348.75|367.67|387.1,294.98|278.05|261.63|245.7|230.28,2026-07-15
EVEREADY,354.25,282.88,South,373.32,354.25,373.32|392.89|412.96|433.54|454.61,354.25|335.68|317.61|300.04|282.96,2026-07-15
EXCELINDUS,911.4,169.09,West,941.84,881.46,941.84|972.78|1004.22|1036.16|1068.6,881.46|852.02|823.08|794.64|766.7,2026-07-15
EXCELSOFT,79.93,304.26,Southeast,89.12,71.24,89.12|98.81|109.0|119.69|130.88,71.24|63.05|55.36|48.17|41.48,2026-07-15
EXICOM,168.35,310.5,Southeast,181.57,168.35,181.57|195.3|209.52|224.25|239.47,168.35|155.63|143.4|131.68|120.45,2026-07-15
EXIDEIND,423.4,238.8,Southwest,423.4,403.07,423.4|444.23|465.55|487.38|509.71,403.07|383.25|363.92|345.09|326.77,2026-07-15
EXPLEOSOL,823.05,258.99,South,823.05,794.61,823.05|851.99|881.43|911.37|941.81,794.61|766.67|739.23|712.29|685.86,2026-07-15
EXXARO,6.55,235.67,Southwest,9.36,5.96,9.36|12.67|16.48|20.79|25.6,5.96|4.24|3.77|2.43|2.08,2026-07-15
FABTECH,158.27,239.5,Southwest,158.27,145.94,158.27|171.1|184.43|198.26|212.59,145.94|134.11|122.78|111.95|101.62,2026-07-15
FACT,855.85,0.88,East,885.35,826.85,885.35|915.36|945.86|976.87|1008.37,826.85|798.34|770.34|742.83|715.83,2026-07-15
FAZE3Q,593.9,201.61,West,618.52,569.78,618.52|643.64|669.26|695.38|722.0,569.78|546.16|523.04|500.42|478.3,2026-07-15
FCL,36.18,137.7,Northwest,36.18,30.42,36.18|42.44|49.21|56.47|64.24,30.42|25.15|20.39|16.12|12.36,2026-07-15
FDC,428.0,258.87,South,428.0,407.56,428.0|448.94|470.38|492.31|514.75,407.56|387.62|368.19|349.25|330.81,2026-07-15
FEDDERSHOL,44.21,251.83,South,51.11,37.81,51.11|58.51|66.41|74.81|83.71,37.81|31.91|26.51|21.61|17.21,2026-07-15
FEDERALBNK,332.5,177.22,West,332.5,314.52,332.5|350.98|369.97|389.45|409.44,314.52|297.03|280.05|263.56|247.58,2026-07-15
FEDFINA,157.25,232.19,Southwest,157.25,144.96,157.25|170.04|183.33|197.12|211.41,144.96|133.17|121.88|111.09|100.8,2026-07-15
FERMENTA,445.05,332.32,Southeast,445.05,424.2,445.05|466.4|488.24|510.59|533.43,424.2|403.86|384.01|364.67|345.82,2026-07-15
FIBERWEB,31.23,60.91,Northeast,37.07,31.23,37.07|43.41|50.25|57.58|65.42,31.23|25.89|21.05|16.71|15.3,2026-07-15
FIEMIND,2236.8,8.07,East,2284.34,2189.76,2284.34|2332.39|2380.93|2429.98|2479.52,2189.76|2143.21|2097.17|2051.62|2006.58,2026-07-15
FILATEX,64.38,139.27,Northwest,72.65,64.38,72.65|81.43|90.7|100.47|110.75,64.38|56.61|49.33|42.56|36.29,2026-07-15
FINCABLES,1058.4,230.95,Southwest,1091.18,1058.4,1091.18|1124.47|1158.25|1192.53|1227.32,1058.4|1026.12|994.33|963.05|932.27,2026-07-15
FINEORG,5024.0,293.43,Southeast,5095.13,5024.0,5095.13|5166.76|5238.89|5311.52|5384.65,5024.0|4953.37|4883.24|4813.61|4744.48,2026-07-15
FINKURVE,65.73,154.33,Northwest,74.09,65.73,74.09|82.94|92.3|102.16|112.52,65.73|57.87|50.52|43.66|37.3,2026-07-15
FINOPB,161.33,261.28,South,174.28,148.88,174.28|187.73|201.68|216.14|231.09,148.88|136.93|125.48|114.52|104.07,2026-07-15
FINPIPE,168.56,311.95,Southeast,168.56,155.83,168.56|181.79|195.53|209.76|224.49,155.83|143.59|131.86|120.63|109.89,2026-07-15
FIRSTCRY,215.89,259.78,South,215.89,201.45,215.89|230.83|246.28|262.22|278.66,201.45|187.5|174.06|161.12|148.67,2026-07-15
FISCHER,38.27,168.53,West,44.71,32.33,44.71|51.64|59.08|67.02|75.45,32.33|26.9|21.96|17.52|13.59,2026-07-15
FIVESTAR,544.1,13.67,East,567.68,521.02,567.68|591.75|616.33|641.4|666.98,521.02|498.45|476.37|454.8|433.72,2026-07-15
FLAIR,264.15,180.48,West,280.65,248.15,280.65|297.66|315.16|333.16|351.66,248.15|232.64|217.64|203.14|189.14,2026-07-15
FLUOROCHEM,3899.3,214.99,Southwest,3899.3,3837.11,3899.3|3961.99|4025.19|4088.88|4153.08,3837.11|3775.41|3714.22|3653.52|3593.33,2026-07-15
FMGOETZE,471.25,82.49,North,471.25,449.79,471.25|493.21|515.67|538.62|562.08,449.79|428.83|408.38|388.42|368.96,2026-07-15
FOODSIN,61.1,102.0,North,69.17,53.53,69.17|77.73|86.8|96.37|106.43,53.53|46.47|39.9|33.83|28.27,2026-07-15
FORCEMOT,17963.0,139.7,Northwest,17963.0,17829.22,17963.0|18097.28|18232.05|18367.33|18503.1,17829.22|17695.95|17563.17|17430.9|17299.12,2026-07-15
FORTIS,963.5,322.25,Southeast,994.79,932.71,994.79|1026.58|1058.87|1091.66|1124.95,932.71|902.42|872.63|843.34|814.55,2026-07-15
FOSECOIND,5189.0,141.25,Northwest,5261.28,5117.22,5261.28|5334.07|5407.35|5481.14|5555.42,5117.22|5045.93|4975.15|4904.86|4835.08,2026-07-15
FRACTAL,854.0,355.19,East,883.47,825.03,883.47|913.45|943.92|974.89|1006.37,825.03|796.55|768.58|741.11|714.13,2026-07-15
FRONTSP,1429.5,100.57,North,1467.56,1391.94,1467.56|1506.12|1545.18|1584.73|1624.79,1391.94|1354.88|1318.32|1282.27|1246.71,2026-07-15
FSL,265.06,185.52,West,281.59,249.03,281.59|298.62|316.15|334.18|352.71,249.03|233.5|218.47|203.94|189.91,2026-07-15
FUSION,237.14,26.88,Northeast,237.14,221.99,237.14|252.79|268.94|285.59|302.74,221.99|207.34|193.19|179.54|166.39,2026-07-15
GABRIEL,1265.0,57.03,Northeast,1300.82,1265.0,1300.82|1337.13|1373.95|1411.27|1449.08,1265.0|1229.68|1194.87|1160.55|1126.73,2026-07-15
GAEL,149.09,172.84,West,149.09,137.13,149.09|161.55|174.51|187.97|201.93,137.13|125.67|114.71|104.25|94.29,2026-07-15
GAIL,173.12,343.35,East,186.53,173.12,186.53|200.44|214.84|229.75|245.16,173.12|160.21|147.8|135.9|124.49,2026-07-15
GALAPREC,1156.8,137.12,Northwest,1156.8,1123.04,1156.8|1191.06|1225.82|1261.09|1296.85,1123.04|1089.78|1057.01|1024.75|992.99,2026-07-15
GALAXYSURF,1981.3,227.12,Southwest,2026.06,1981.3,2026.06|2071.32|2117.09|2163.35|2210.11,1981.3|1937.04|1893.28|1850.01|1807.25,2026-07-15
GALLANTT,700.95,220.58,Southwest,727.68,674.72,727.68|754.9|782.63|810.85|839.58,674.72|649.0|623.77|599.05|574.82,2026-07-15
GANDHAR,206.12,199.24,West,206.12,192.01,206.12|220.73|235.83|251.44|267.55,192.01|178.41|165.3|152.69|140.59,2026-07-15
GANDHITUBE,860.8,16.09,East,890.39,831.71,890.39|920.48|951.07|982.16|1013.75,831.71|803.12|775.03|747.44|720.35,2026-07-15
GANECOS,1122.65,46.07,Northeast,1156.41,1089.39,1156.41|1190.66|1225.42|1260.67|1296.43,1089.39|1056.64|1024.38|992.63|961.37,2026-07-15
GANESHBE,98.17,118.45,Northwest,98.17,88.51,98.17|108.33|118.99|130.14|141.8,88.51|79.35|70.7|62.54|54.88,2026-07-15
GANESHCP,189.23,91.1,North,203.24,175.72,203.24|217.74|232.75|248.25|264.26,175.72|162.72|150.21|138.21|126.7,2026-07-15
GANESHHOU,872.9,53.08,Northeast,902.69,872.9,902.69|932.99|963.78|995.08|1026.87,872.9|843.61|814.81|786.52|758.72,2026-07-15
GANGESSECU,117.26,284.16,South,128.34,117.26,128.34|139.92|152.0|164.57|177.65,117.26|106.68|96.6|87.02|77.95,2026-07-15
GARFIBRES,739.4,349.54,East,766.84,739.4,766.84|794.78|823.23|852.17|881.61,739.4|712.46|686.02|660.07|634.63,2026-07-15
GARUDA,183.04,50.26,Northeast,183.04,169.76,183.04|196.82|211.1|225.88|241.16,169.76|156.98|144.7|132.92|121.64,2026-07-15
GATECH,0.48,259.71,South,1.42,0.09,1.42|2.87|4.81|7.25|10.19,0.09|0.04,2026-07-15
GATECHDVR,0.44,254.4,South,1.35,0.44,1.35|2.77|4.68|7.09|10.01,0.44|0.11|0.03,2026-07-15
GATEWAY,59.95,88.69,North,67.94,59.95,67.94|76.44|85.43|94.92|104.91,59.95|52.46|45.46|38.97|32.98,2026-07-15
GAYAHWS,1.87,21.15,East,1.87,1.28,1.87|3.49|5.6|8.22|11.34,1.28|0.75|0.4|0.14|0.02,2026-07-15
GCSL,511.4,245.55,Southwest,534.26,489.04,534.26|557.63|581.49|605.86|630.72,489.04|467.17|445.81|424.94|404.58,2026-07-15
GEEKAYWIRE,24.76,310.67,Southeast,24.76,20.47,24.76|29.99|35.71|41.94|48.66,20.47|20.03|16.19|15.81|12.42,2026-07-15
GEMAROMA,197.28,143.22,Northwest,211.58,183.48,211.58|226.37|241.67|257.46|273.76,183.48|170.19|157.39|145.1|133.3,2026-07-15
GENCON,41.35,212.47,Southwest,48.03,35.17,48.03|55.21|62.89|71.07|79.75,35.17|29.49|24.31|19.63|15.45,2026-07-15
GENESYS,343.75,232.29,Southwest,362.54,325.46,362.54|381.83|401.62|421.91|442.7,325.46|307.67|290.38|273.59|257.3,2026-07-15
GENUSPAPER,11.83,34.11,Northeast,15.52,11.83,15.52|19.71|24.4|29.59|35.28,11.83|9.37|8.64|6.56|5.95,2026-07-15
GENUSPOWER,317.65,103.09,North,335.72,317.65,335.72|354.3|373.37|392.94|413.01,317.65|300.08|283.0|266.43|250.36,2026-07-15
GEOJITFSL,82.03,325.27,Southeast,91.34,73.22,91.34|101.14|111.45|122.26|133.57,73.22|64.92|57.11|49.8|42.99,2026-07-15
