symbol,latest_date,dominant_type,score_30d,count_30d,count_90d,high_signal_30d
CGPOWER,2026-08-17,ANALYST_MEET,875,16,36,5
IXIGO,2026-08-13,PRESS_RELEASE,875,14,31,7
MAHLIFE,2026-08-10,OTHER,874,18,39,5
ASTERDM,2026-08-14,ANALYST_MEET,872,13,42,7
WELENT,2026-08-11,PRESS_RELEASE,870,15,24,5
TATACONSUM,2026-08-11,PRESS_RELEASE,870,13,26,6
PACEDIGITK,2026-08-14,PRESS_RELEASE,870,15,47,5
MAYURUNIQ,2026-08-11,PRESS_RELEASE,870,15,23,4
DOMS,2026-08-13,PRESS_RELEASE,870,15,27,5
PNCINFRA,2026-08-14,ANALYST_MEET,870,15,32,7
RKFORGE,2026-08-13,PRESS_RELEASE,870,15,25,4
BEL,2026-08-13,PRESS_RELEASE,869,14,25,6
NUVOCO,2026-08-08,ANALYST_MEET,865,13,38,6
CMPDI,2026-08-17,PRESS_RELEASE,865,16,32,6
KUSUMGAR,2026-08-14,ANALYST_MEET,865,13,14,6
EQUITASBNK,2026-08-11,PRESS_RELEASE,860,14,36,5
OFSS,2026-08-10,MANAGEMENT_CHANGE,860,17,31,2
KPIGREEN,2026-08-17,PRESS_RELEASE,860,14,28,6
KARURVYSYA,2026-08-14,ANALYST_MEET,860,14,47,7
RECLTD,2026-08-14,PRESS_RELEASE,860,17,31,1
GUJTHEM,2026-08-14,ANALYST_MEET,857,13,43,7
SHOPERSTOP,2026-07-31,ANALYST_MEET,855,14,33,6
BHAGYANGR,2026-08-13,ANALYST_MEET,855,13,23,8
DCW,2026-08-17,PRESS_RELEASE,852,14,28,5
VIVIANA,2026-08-17,ANALYST_MEET,852,12,33,7
TARIL,2026-08-17,ANALYST_MEET,852,12,21,8
MGL,2026-08-07,ANALYST_MEET,850,13,24,7
LALPATHLAB,2026-08-06,ANALYST_MEET,850,15,25,6
SEAMECLTD,2026-08-17,OTHER,847,19,53,6
TBOTEK,2026-08-10,PRESS_RELEASE,845,14,34,4
LGEINDIA,2026-08-14,PRESS_RELEASE,845,14,37,6
ADFFOODS,2026-08-14,ANALYST_MEET,844,14,28,6
MEDANTA,2026-08-12,ANALYST_MEET,842,13,37,7
KRITI,2026-08-14,PRESS_RELEASE,840,15,19,4
BAJAJHFL,2026-08-17,ANALYST_MEET,840,13,28,7
NIMBSPROJ,2026-08-14,PRESS_RELEASE,840,15,46,1
ARE&M,2026-08-14,ANALYST_MEET,840,15,41,6
RPTECH,2026-08-17,PRESS_RELEASE,840,15,30,5
ALKEM,2026-08-17,PRESS_RELEASE,840,15,41,4
WAKEFIT,2026-08-17,ANALYST_MEET,836,13,29,7
TRANSWORLD,2026-08-17,PRESS_RELEASE,836,14,23,4
IDEA,2026-08-12,PRESS_RELEASE,835,16,37,4
GATEWAY,2026-08-12,ANALYST_MEET,835,13,21,7
AARTIDRUGS,2026-08-14,ANALYST_MEET,835,13,23,8
NEUEON,2026-08-09,PRESS_RELEASE,835,16,21,4
ITC,2026-08-14,PRESS_RELEASE,834,14,29,4
NEULANDLAB,2026-08-14,ANALYST_MEET,832,14,26,7
EMBDL,2026-08-17,PRESS_RELEASE,830,14,35,5
FSL,2026-08-12,ANALYST_MEET,830,13,32,7
DATAMATICS,2026-08-12,ANALYST_MEET,830,11,33,8
SPECIALITY,2026-08-13,PRESS_RELEASE,830,14,25,5
IIFL,2026-08-17,ANALYST_MEET,826,14,53,4
BLUEJET,2026-08-12,ANALYST_MEET,825,12,33,8
GOPAL,2026-08-17,ANALYST_MEET,825,12,21,7
BIKAJI,2026-08-12,ANALYST_MEET,825,13,45,7
ASHIANA,2026-08-17,ANALYST_MEET,825,12,28,6
AKUMS,2026-08-13,ANALYST_MEET,825,12,29,7
MOBIKWIK,2026-08-10,ANALYST_MEET,825,12,30,7
CEMPRO,2026-08-17,OTHER,825,18,38,6
DEEPAKNTR,2026-08-11,PRESS_RELEASE,825,15,23,4
AUBANK,2026-08-14,PRESS_RELEASE,825,14,27,5
AMAGI,2026-08-14,PRESS_RELEASE,825,14,35,5
DMART,2026-08-11,PRESS_RELEASE,822,14,37,4
TARC,2026-08-13,BOARD_OUTCOME,821,13,25,7
TENNIND,2026-08-12,PRESS_RELEASE,820,13,28,5
PAYTM,2026-08-17,PRESS_RELEASE,820,15,33,5
SANSERA,2026-08-14,ANALYST_MEET,820,13,31,5
WONDERLA,2026-08-11,ANALYST_MEET,820,13,21,6
MEIL,2026-08-10,PRESS_RELEASE,820,17,25,3
CEATLTD,2026-08-17,PRESS_RELEASE,820,18,49,3
STYL,2026-08-13,ANALYST_MEET,820,13,20,6
PIRAMALFIN,2026-08-14,ANALYST_MEET,820,10,41,9
ARVIND,2026-08-14,ANALYST_MEET,820,12,33,7
CROMPTON,2026-08-13,ANALYST_MEET,820,14,52,6
PROTEAN,2026-08-17,ANALYST_MEET,817,13,40,6
SPLPETRO,2026-08-12,ANALYST_MEET,817,11,24,8
GMRAIRPORT,2026-08-17,ANALYST_MEET,817,11,31,8
CUMMINSIND,2026-08-13,PRESS_RELEASE,815,14,44,5
VERANDA,2026-08-17,PRESS_RELEASE,815,14,41,5
DCBBANK,2026-08-13,ANALYST_MEET,815,12,31,7
HONDAPOWER,2026-08-07,MANAGEMENT_CHANGE,815,15,33,2
GANESHCP,2026-08-17,ANALYST_MEET,815,14,29,6
UNIMECH,2026-08-08,ANALYST_MEET,815,13,32,7
MUTHOOTFIN,2026-08-11,PRESS_RELEASE,815,14,18,4
BAJEL,2026-08-12,PRESS_RELEASE,813,14,43,4
LUMAXIND,2026-08-09,PRESS_RELEASE,810,15,41,2
SUNDROP,2026-08-10,PRESS_RELEASE,810,13,20,5
CMRGREEN,2026-08-17,ANALYST_MEET,810,12,22,8
INDIASHLTR,2026-08-14,ANALYST_MEET,810,11,33,8
SOUTHBANK,2026-08-17,ANALYST_MEET,809,12,35,7
VSTTILLERS,2026-08-14,ANALYST_MEET,807,12,24,5
ADANIPORTS,2026-08-17,PRESS_RELEASE,805,13,42,5
KAYA,2026-08-13,MANAGEMENT_CHANGE,805,15,32,4
SPORTKING,2026-08-17,ANALYST_MEET,805,13,23,6
CENTUM,2026-08-15,PRESS_RELEASE,805,16,24,4
KABRAEXTRU,2026-08-14,REGULATORY,805,16,27,4
ANANTRAJ,2026-08-11,ACQUISITION,805,13,25,7
WELCORP,2026-08-07,ANALYST_MEET,804,11,41,7
CIEINDIA,2026-08-14,ANALYST_MEET,800,11,22,7
CEIGALL,2026-08-17,PRESS_RELEASE,800,14,42,5
ALLCARGO,2026-08-17,ANALYST_MEET,800,12,25,6
MARATHON,2026-08-14,ANALYST_MEET,800,14,35,6
AETHER,2026-08-11,ANALYST_MEET,800,11,18,7
GUJALKALI,2026-08-14,PRESS_RELEASE,799,14,32,2
RUPA,2026-08-11,MANAGEMENT_CHANGE,797,13,31,4
VIKRAMSOLR,2026-08-13,ANALYST_MEET,797,13,31,6
JAGSNPHARM,2026-08-12,ANALYST_MEET,795,12,29,6
ZYDUSWELL,2026-08-10,ANALYST_MEET,795,12,36,6
PPAP,2026-08-14,PRESS_RELEASE,795,12,18,6
REPCOHOME,2026-08-17,ANALYST_MEET,795,12,37,5
IEX,2026-08-17,ANALYST_MEET,795,12,24,6
MSUMI,2026-08-07,ANALYST_MEET,795,12,26,7
CELLO,2026-08-14,PRESS_RELEASE,795,15,32,5
RSYSTEMS,2026-08-12,ANALYST_MEET,795,12,36,6
STLNETWORK,2026-08-17,MANAGEMENT_CHANGE,795,17,40,1
FORCEMOT,2026-08-07,MANAGEMENT_CHANGE,795,15,28,3
BSOFT,2026-08-13,ANALYST_MEET,795,12,26,7
KRYSTAL,2026-08-12,PRESS_RELEASE,794,14,27,4
HILINFRA,2026-08-17,PRESS_RELEASE,793,12,36,6
OSWALPUMPS,2026-08-17,ANALYST_MEET,792,12,27,6
ROHLTD,2026-08-14,PRESS_RELEASE,790,13,33,4
CANTABIL,2026-08-15,ANALYST_MEET,790,13,19,5
TRITURBINE,2026-08-17,PRESS_RELEASE,790,13,19,6
SANDUMA,2026-08-14,PRESS_RELEASE,790,13,24,4
FISCHER,2026-08-17,PRESS_RELEASE,790,14,20,2
MUFIN,2026-08-13,ANALYST_MEET,790,11,27,8
DHANUKA,2026-08-13,PRESS_RELEASE,790,13,32,5
COLPAL,2026-08-17,PRESS_RELEASE,790,13,37,5
HAPPYFORGE,2026-08-11,ANALYST_MEET,790,13,37,7
LODHA,2026-08-14,ANALYST_MEET,790,11,28,8
TORNTPHARM,2026-08-11,PRESS_RELEASE,790,13,41,4
INDOSTAR,2026-08-12,ANALYST_MEET,790,11,30,7
VIKRAN,2026-08-14,PRESS_RELEASE,790,12,51,5
SATIN,2026-08-07,PRESS_RELEASE,790,13,31,5
GICHSGFIN,2026-08-13,MANAGEMENT_CHANGE,789,14,32,3
SANATHAN,2026-08-07,ANALYST_MEET,785,11,18,7
NDRAUTO,2026-08-17,ANALYST_MEET,785,14,23,5
BAJFINANCE,2026-08-17,ANALYST_MEET,785,12,27,7
STLTECH,2026-08-15,ANALYST_MEET,784,14,43,6
COHANCE,2026-08-13,ANALYST_MEET,782,11,21,6
SETL,2026-08-10,PRESS_RELEASE,780,15,29,5
STYLEBAAZA,2026-08-17,PRESS_RELEASE,780,15,42,2
OIL,2026-08-14,PRESS_RELEASE,780,12,26,6
POONAWALLA,2026-08-17,ANALYST_MEET,780,12,54,6
VOEPL,2026-08-17,ANALYST_MEET,780,12,21,7
SENCO,2026-08-14,PRESS_RELEASE,780,13,30,5
SONACOMS,2026-08-14,PRESS_RELEASE,780,12,33,5
ARIHANTSUP,2026-08-17,ANALYST_MEET,780,12,19,6
AMJLAND,2026-08-10,MANAGEMENT_CHANGE,780,15,21,1
UFBL,2026-08-12,ANALYST_MEET,780,11,27,7
SOUTHWEST,2026-08-13,PRESS_RELEASE,777,12,24,6
RAYMONDREL,2026-08-17,ANALYST_MEET,777,11,29,6
SHRADHA,2026-08-14,PRESS_RELEASE,776,14,38,6
EMUDHRA,2026-08-06,ANALYST_MEET,775,10,27,8
BATAINDIA,2026-08-17,ANALYST_MEET,775,13,40,6
ASIANPAINT,2026-08-12,PRESS_RELEASE,775,13,51,5
VGUARD,2026-08-12,PRESS_RELEASE,775,13,25,5
CLSEL,2026-08-13,ANALYST_MEET,775,10,24,8
HITECHGEAR,2026-08-12,PRESS_RELEASE,775,14,24,4
BLUEDART,2026-08-11,PRESS_RELEASE,775,13,25,5
JKLAKSHMI,2026-08-13,ANALYST_MEET,775,13,31,6
UFLEX,2026-08-17,ANALYST_MEET,774,15,40,5
MTARTECH,2026-08-17,ANALYST_MEET,772,10,25,8
AMBUJACEM,2026-08-12,PRESS_RELEASE,772,12,29,5
360ONE,2026-08-12,ANALYST_MEET,772,12,32,7
USHAMART,2026-08-03,PRESS_RELEASE,772,12,27,5
SHALBY,2026-08-14,PRESS_RELEASE,772,12,27,4
BPCL,2026-08-07,ANALYST_MEET,772,12,35,5
EXPLEOSOL,2026-08-15,PRESS_RELEASE,770,14,24,3
MAPMYINDIA,2026-08-11,ANALYST_MEET,770,12,28,6
AWL,2026-08-11,ANALYST_MEET,770,11,32,6
GODAVARIB,2026-08-13,ANALYST_MEET,770,11,27,7
AURIONPRO,2026-08-13,ANALYST_MEET,770,11,20,6
PTC,2026-08-10,ANALYST_MEET,770,14,27,6
VIPIND,2026-08-14,PRESS_RELEASE,770,14,25,2
RALLIS,2026-08-10,ANALYST_MEET,770,11,29,6
KALPATARU,2026-08-05,ANALYST_MEET,770,14,33,6
RHETAN,2026-08-13,PRESS_RELEASE,770,14,19,2
UNITDSPR,2026-08-13,ANALYST_MEET,767,14,29,6
ABSLAMC,2026-08-11,ANALYST_MEET,767,11,29,7
UFO,2026-08-07,PRESS_RELEASE,765,12,25,5
AMANTA,2026-08-12,PRESS_RELEASE,765,12,26,5
SYNGENE,2026-08-10,ANALYST_MEET,765,12,31,6
ENIL,2026-08-15,PRESS_RELEASE,765,12,19,5
ADANIGREEN,2026-08-11,PRESS_RELEASE,765,12,34,5
PARAS,2026-08-17,PRESS_RELEASE,765,12,21,5
ICIL,2026-08-13,ANALYST_MEET,765,14,32,5
MANBA,2026-07-30,ANALYST_MEET,765,12,22,7
BLACKBUCK,2026-08-12,ANALYST_MEET,765,13,26,6
HEXT,2026-08-17,PRESS_RELEASE,765,12,35,4
SUTLEJTEX,2026-08-11,ANALYST_MEET,765,12,25,6
ORKLAINDIA,2026-08-17,PRESS_RELEASE,765,12,19,5
ATLANTAELE,2026-08-17,ANALYST_MEET,765,12,20,6
ASKAUTOLTD,2026-08-10,ANALYST_MEET,765,12,27,6
FOCUS,2026-08-17,BOARD_OUTCOME,765,12,29,6
THYROCARE,2026-08-17,PRESS_RELEASE,765,12,27,4
MAXIND,2026-08-12,PRESS_RELEASE,765,15,46,5
EMIL,2026-08-11,ANALYST_MEET,762,10,25,8
MATRIMONY,2026-08-17,PRESS_RELEASE,760,13,22,4
DEVYANI,2026-08-14,ANALYST_MEET,760,12,20,6
KECL,2026-08-14,PRESS_RELEASE,760,16,29,1
TRACXN,2026-08-17,ANALYST_MEET,760,12,27,6
IRISDOREME,2026-08-03,ANALYST_MEET,760,13,27,6
BERGEPAINT,2026-08-12,ANALYST_MEET,760,13,22,5
DOLLAR,2026-08-17,ANALYST_MEET,760,13,32,6
KSHINTL,2026-08-14,ANALYST_MEET,757,11,26,7
CHALET,2026-08-05,ANALYST_MEET,757,11,18,6
YASHO,2026-08-10,ANALYST_MEET,757,12,24,6
FCL,2026-08-17,ANALYST_MEET,755,11,20,7
VMM,2026-08-17,PRESS_RELEASE,755,12,30,4
BRIGHOTEL,2026-08-11,REGULATORY,755,14,26,5
PNB,2026-08-17,ANALYST_MEET,755,11,43,8
PROSTARM,2026-08-17,ANALYST_MEET,755,13,38,6
ASHOKLEY,2026-08-17,PRESS_RELEASE,755,13,42,5
TVSSCS,2026-08-17,ANALYST_MEET,755,12,47,6
ZUARIIND,2026-08-17,ANALYST_MEET,754,11,31,5
PCBL,2026-08-06,ANALYST_MEET,750,12,32,6
UTKARSHBNK,2026-08-17,ANALYST_MEET,750,12,33,6
VEDPOWER,2026-08-04,ANALYST_MEET,750,11,20,7
PREMEXPLN,2026-08-14,PRESS_RELEASE,750,12,30,5
GSLSU,2026-08-14,ANALYST_MEET,750,12,28,5
SUMIT,2026-08-14,PRESS_RELEASE,745,16,24,1
SENORES,2026-08-04,ANALYST_MEET,745,13,26,6
IONEXCHANG,2026-08-17,ANALYST_MEET,745,10,24,7
JUNIPER,2026-08-17,PRESS_RELEASE,745,13,36,4
PWL,2026-08-15,MANAGEMENT_CHANGE,745,13,37,4
SUPREMEIND,2026-08-07,ANALYST_MEET,745,10,20,7
IRFC,2026-08-13,PRESS_RELEASE,745,13,30,4
WELSPUNLIV,2026-08-17,ANALYST_MEET,740,12,21,6
VSSL,2026-08-14,ANALYST_MEET,740,11,25,6
LAURUSLABS,2026-08-12,PRESS_RELEASE,740,11,29,5
LUMAXTECH,2026-08-11,PRESS_RELEASE,740,14,45,3
TINNARUBR,2026-08-17,PRESS_RELEASE,740,11,27,5
VIJIFIN,2026-08-14,PRESS_RELEASE,740,15,41,2
KIRLOSBROS,2026-08-14,ANALYST_MEET,740,11,24,7
DSFCL,2026-08-15,ACQUISITION,740,11,33,5
RPPL,2026-08-11,ANALYST_MEET,739,10,32,7
PVP,2026-08-14,PRESS_RELEASE,739,13,21,4
NCC,2026-08-11,ANALYST_MEET,737,11,21,6
STYLAMIND,2026-08-05,PRESS_RELEASE,735,12,30,4
GOODLUCK,2026-08-17,PRESS_RELEASE,735,12,36,5
AFFLE,2026-08-17,ANALYST_MEET,735,11,31,6
TANLA,2026-08-09,PRESS_RELEASE,735,13,22,4
PETRONET,2026-08-13,PRESS_RELEASE,735,12,24,3
BELRISE,2026-08-17,ANALYST_MEET,735,12,47,6
UBL,2026-08-13,ANALYST_MEET,735,12,24,6
VIYASH,2026-08-16,PRESS_RELEASE,735,12,33,5
CEWATER,2026-08-17,ANALYST_MEET,735,12,33,5
AUTOAXLES,2026-08-14,PRESS_RELEASE,735,12,27,5
ABLBL,2026-08-07,PRESS_RELEASE,735,12,16,4
LLOYDSME,2026-08-17,ANALYST_MEET,735,11,34,8
AVG,2026-08-17,BOARD_OUTCOME,735,15,36,6
HONASA,2026-08-14,PRESS_RELEASE,735,12,32,5
IFGLEXPOR,2026-08-17,ANALYST_MEET,735,12,43,5
PTCIL,2026-08-17,PRESS_RELEASE,734,14,28,4
KUANTUM,2026-08-17,ANALYST_MEET,732,11,34,6
MOTILALOFS,2026-08-12,PRESS_RELEASE,732,11,30,5
BECTORFOOD,2026-08-13,ANALYST_MEET,731,10,25,7
SHRIRAMPPS,2026-08-14,ANALYST_MEET,730,10,28,7
ESTER,2026-08-14,PRESS_RELEASE,730,13,20,4
VIDYAWIRES,2026-08-13,PRESS_RELEASE,730,13,19,1
BBOX,2026-08-14,PRESS_RELEASE,730,13,41,4
JTLIND,2026-08-10,ANALYST_MEET,730,10,17,7
STANLEY,2026-08-17,PRESS_RELEASE,730,13,37,4
ADVANCE,2026-08-07,VOLUME_ALERT,729,12,16,6
TRIDENT,2026-08-17,PRESS_RELEASE,727,12,31,5
SPIC,2026-08-14,MANAGEMENT_CHANGE,725,14,24,1
STEELXIND,2026-08-07,PRESS_RELEASE,725,13,31,4
PICCADIL,2026-08-17,ANALYST_MEET,725,11,20,6
RITES,2026-08-11,ANALYST_MEET,725,11,36,6
ARIS,2026-08-07,ANALYST_MEET,725,12,30,6
GODFRYPHLP,2026-08-07,PRESS_RELEASE,725,14,22,1
MARINE,2026-08-17,PRESS_RELEASE,722,12,32,5
DSSL,2026-08-15,PRESS_RELEASE,722,11,27,6
INDOTHAI,2026-08-17,REGULATORY,720,18,40,2
TECHM,2026-08-17,ANALYST_MEET,720,10,36,6
ASTRAL,2026-08-13,PRESS_RELEASE,720,12,27,5
AXISCADES,2026-08-15,ANALYST_MEET,720,12,42,5
TCS,2026-08-17,PRESS_RELEASE,720,12,47,2
ERIS,2026-08-12,ANALYST_MEET,720,10,24,8
KALAMANDIR,2026-08-15,PRESS_RELEASE,720,12,28,4
LMW,2026-08-12,PRESS_RELEASE,717,14,38,3
BLS,2026-08-11,PRESS_RELEASE,717,11,26,4
JKIL,2026-08-10,PRESS_RELEASE,717,12,19,5
SALZERELEC,2026-08-13,ANALYST_MEET,717,11,30,5
KKCL,2026-08-10,ANALYST_MEET,715,10,13,6
JYOTHYLAB,2026-08-14,ANALYST_MEET,715,10,38,6
ACC,2026-08-12,ANALYST_MEET,715,10,24,6
CMSINFO,2026-08-13,ANALYST_MEET,715,10,18,6
NORTHARC,2026-08-14,ANALYST_MEET,715,13,21,6
EIEL,2026-08-17,ANALYST_MEET,715,10,26,7
NAM-INDIA,2026-08-12,ANALYST_MEET,714,11,30,6
AVL,2026-08-14,ANALYST_MEET,712,12,18,4
RUSTOMJEE,2026-08-13,ANALYST_MEET,712,10,19,6
FERMENTA,2026-08-17,PRESS_RELEASE,712,12,12,4
TURTLEMINT,2026-08-17,PRESS_RELEASE,710,11,20,5
AAKASH,2026-08-14,PRESS_RELEASE,710,11,15,4
ALLDIGI,2026-08-14,PRESS_RELEASE,710,14,27,2
HARSHA,2026-08-17,ANALYST_MEET,710,11,17,6
SAILIFE,2026-08-12,ANALYST_MEET,710,10,18,7
PVRINOX,2026-08-07,PRESS_RELEASE,710,11,21,4
NITCO,2026-08-14,PRESS_RELEASE,710,14,28,1
SAKSOFT,2026-08-17,ANALYST_MEET,710,11,30,6
GANESHHOU,2026-08-12,PRESS_RELEASE,710,11,30,5
GEMAROMA,2026-08-14,PRESS_RELEASE,710,11,32,5
PRICOLLTD,2026-08-06,ANALYST_MEET,710,11,23,6
HIMATSEIDE,2026-08-17,PRESS_RELEASE,710,11,32,4
GROBTEA,2026-08-13,PRESS_RELEASE,710,14,25,2
SMSPHARMA,2026-08-06,PRESS_RELEASE,710,12,30,3
BIRLANU,2026-08-17,ANALYST_MEET,707,12,28,6
MODINATUR,2026-08-17,PRESS_RELEASE,705,13,32,3
DIFFNKG,2026-08-17,PRESS_RELEASE,705,12,25,4
HCC,2026-08-11,PRESS_RELEASE,705,12,21,4
EXICOM,2026-08-12,ANALYST_MEET,705,11,21,6
KOLTEPATIL,2026-08-12,PRESS_RELEASE,705,14,34,3
MHRIL,2026-08-17,PRESS_RELEASE,705,12,28,4
KAMOPAINTS,2026-08-14,MANAGEMENT_CHANGE,705,12,25,2
SUDARSCHEM,2026-08-13,PRESS_RELEASE,705,12,35,4
EPACKPEB,2026-08-06,ANALYST_MEET,702,10,29,7
ALICON,2026-08-17,ANALYST_MEET,702,11,15,5
TATATECH,2026-08-13,ANALYST_MEET,701,10,37,7
INOXWIND,2026-08-14,REGULATORY,700,13,28,5
BALAXI,2026-08-14,PRESS_RELEASE,700,13,27,3
CARRARO,2026-08-13,ANALYST_MEET,700,10,27,7
IDEAFORGE,2026-08-14,ANALYST_MEET,700,11,34,6
AJANTPHARM,2026-08-05,ANALYST_MEET,700,10,20,7
JUBLPHARMA,2026-08-17,PRESS_RELEASE,700,13,40,2
CARYSIL,2026-08-17,ANALYST_MEET,695,11,30,6
STYRENIX,2026-08-12,ANALYST_MEET,695,11,20,6
NIVABUPA,2026-08-13,ANALYST_MEET,695,11,26,6
KRSNAA,2026-08-15,PRESS_RELEASE,695,11,31,5
ASALCBR,2026-08-17,PRESS_RELEASE,695,11,27,5
PFOCUS,2026-08-07,MANAGEMENT_CHANGE,695,15,27,3
BORORENEW,2026-08-14,PRESS_RELEASE,695,12,35,4
OPTIEMUS,2026-08-11,FUNDRAISE,695,11,26,5
GLOBUSSPR,2026-08-14,PRESS_RELEASE,695,10,18,5
ICRA,2026-08-07,ANALYST_MEET,695,11,36,6
WABAG,2026-08-14,ANALYST_MEET,692,12,41,5
ARSSINFRA,2026-08-14,MANAGEMENT_CHANGE,692,14,27,5
ELGIEQUIP,2026-08-14,PRESS_RELEASE,692,12,36,5
MINDACORP,2026-08-14,PRESS_RELEASE,690,12,27,4
IRCTC,2026-08-14,ANALYST_MEET,690,10,37,5
JAGRAN,2026-08-12,PRESS_RELEASE,690,12,32,2
TCI,2026-08-07,ANALYST_MEET,690,12,40,5
QMSMEDI,2026-08-17,ANALYST_MEET,690,9,26,7
RAYMONDLSL,2026-08-07,ANALYST_MEET,690,9,21,7
JSWCEMENT,2026-08-14,ANALYST_MEET,690,12,39,7
IRB,2026-08-14,PRESS_RELEASE,690,12,34,5
SUBROS,2026-08-14,ANALYST_MEET,685,10,14,5
CHOICEIN,2026-08-17,ANALYST_MEET,685,10,21,5
SIGACHI,2026-08-14,ANALYST_MEET,685,10,19,6
CSM,2026-08-17,PRESS_RELEASE,685,10,15,6
KNACK,2026-08-13,ANALYST_MEET,685,10,14,5
MALLCOM,2026-08-13,ANALYST_MEET,685,10,22,5
DREAMFOLKS,2026-08-14,ANALYST_MEET,685,10,27,6
ICICIPRULI,2026-08-13,ESOP,685,14,52,3
RUSHIL,2026-08-17,ANALYST_MEET,685,10,25,5
DBL,2026-08-12,ANALYST_MEET,682,10,20,6
SHALPAINTS,2026-08-13,PRESS_RELEASE,681,12,24,5
JMFINANCIL,2026-08-11,ANALYST_MEET,680,11,30,5
BOSCHLTD,2026-08-14,PRESS_RELEASE,680,11,41,4
IPL,2026-08-13,PRESS_RELEASE,680,11,30,4
MSTCLTD,2026-08-14,ANALYST_MEET,680,11,26,4
APOLLOPIPE,2026-08-04,ANALYST_MEET,680,11,22,5
SUYOG,2026-08-13,MANAGEMENT_CHANGE,680,11,29,4
BESTAGRO,2026-08-05,ANALYST_MEET,680,11,29,5
IFBIND,2026-08-14,ANALYST_MEET,680,11,31,5
QPOWER,2026-08-14,ANALYST_MEET,680,11,20,6
DLF,2026-08-07,ANALYST_MEET,680,11,28,5
DATAPATTNS,2026-08-13,ANALYST_MEET,680,11,23,6
RADIOCITY,2026-08-06,PRESS_RELEASE,680,11,23,4
GMMPFAUDLR,2026-08-14,ANALYST_MEET,680,11,28,5
GAUDIUMIVF,2026-08-14,ANALYST_MEET,680,11,28,5
MARKSANS,2026-08-13,PRESS_RELEASE,680,11,36,4
SOLEX,2026-08-17,ANALYST_MEET,679,10,22,6
WSTCSTPAPR,2026-08-17,PRESS_RELEASE,676,12,27,4
KALYANKJIL,2026-08-17,ANALYST_MEET,675,10,15,6
SURYODAY,2026-08-13,ANALYST_MEET,675,13,30,4
SHEMAROO,2026-08-17,PRESS_RELEASE,675,12,19,4
RAMCOCEM,2026-08-12,PRESS_RELEASE,675,12,30,3
SJVN,2026-08-12,MANAGEMENT_CHANGE,670,13,26,1
ROLEXRINGS,2026-08-12,ANALYST_MEET,670,9,25,7
TAJGVK,2026-08-15,BOARD_OUTCOME,670,13,24,5
RKSWAMY,2026-08-17,PRESS_RELEASE,670,13,20,3
MONEYBOXX,2026-08-13,ANALYST_MEET,670,10,27,5
PRINCEPIPE,2026-08-11,ANALYST_MEET,667,9,17,6
EMSLIMITED,2026-08-17,PRESS_RELEASE,667,10,29,5
CCL,2026-08-17,ANALYST_MEET,667,11,22,5
SRF,2026-07-29,ANALYST_MEET,667,11,22,6
SAPPHIRE,2026-08-14,ANALYST_MEET,665,11,25,6
NEPHROPLUS,2026-08-17,ANALYST_MEET,665,14,45,6
INFOBEAN,2026-08-11,ANALYST_MEET,665,12,25,5
SCHNEIDER,2026-08-17,ANALYST_MEET,665,11,36,4
SURYAROSNI,2026-08-12,PRESS_RELEASE,665,11,26,5
PATELENG,2026-08-17,ANALYST_MEET,665,11,26,5
MUFTI,2026-08-17,PRESS_RELEASE,665,11,23,5
KOTAKBANK,2026-08-17,ANALYST_MEET,662,11,48,4
OSWALAGRO,2026-08-12,MANAGEMENT_CHANGE,660,12,30,2
JIOFIN,2026-08-17,PRESS_RELEASE,660,12,32,2
LAXMIINDIA,2026-08-17,ANALYST_MEET,660,9,13,6
ONEPOINT,2026-08-17,ANALYST_MEET,660,9,27,6
RRKABEL,2026-08-11,ANALYST_MEET,660,9,19,6
TARSONS,2026-08-17,ANALYST_MEET,660,9,27,6
CORONA,2026-08-10,ANALYST_MEET,660,9,28,6
MUKKA,2026-08-14,PRESS_RELEASE,660,12,31,3
RAYMOND,2026-08-14,ANALYST_MEET,660,9,39,6
INNOVISION,2026-08-13,PRESS_RELEASE,659,12,47,4
IOB,2026-08-13,PRESS_RELEASE,657,11,28,4
SPMLINFRA,2026-08-17,ANALYST_MEET,657,11,30,4
SUDEEPPHRM,2026-08-11,ANALYST_MEET,655,10,26,6
UTLSOLAR,2026-08-14,ANALYST_MEET,655,10,20,5
MAHSEAMLES,2026-08-12,ANALYST_MEET,655,10,30,5
AARTIPHARM,2026-08-17,ANALYST_MEET,655,10,27,5
GULFOILLUB,2026-08-13,ANALYST_MEET,655,10,27,5
ELLEN,2026-08-13,ANALYST_MEET,655,10,20,5
MINDTECK,2026-08-13,PRESS_RELEASE,655,13,28,2
OAL,2026-08-04,ANALYST_MEET,655,10,29,5
BAIDFIN,2026-08-14,PRESS_RELEASE,655,13,19,1
TRAVELFOOD,2026-08-14,ANALYST_MEET,655,10,27,5
EXCELSOFT,2026-08-13,ANALYST_MEET,655,10,22,5
GPTINFRA,2026-08-10,ANALYST_MEET,652,10,30,6
HITECH,2026-08-17,ANALYST_MEET,650,10,31,6
THEMISMED,2026-08-17,MANAGEMENT_CHANGE,650,11,18,2
GOCOLORS,2026-08-17,ANALYST_MEET,650,11,23,5
TATACHEM,2026-08-03,ANALYST_MEET,650,11,31,5
SANGHVIMOV,2026-08-07,ANALYST_MEET,650,11,25,5
SHARDACROP,2026-08-14,ANALYST_MEET,650,11,18,5
