event_date,symbol,company,purpose_raw,purpose_type,bm_desc,sector
2023-05-30,XELPMOC,Xelpmoc Design And Tech Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended March 31, 2023 and other business matters",IT
2023-05-30,ZODIACLOTH,Zodiac Clothing Company Limited,Financial Results/Dividend,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended March 31, 2023 and dividend",TEXTILES
2023-05-30,ZOTA,Zota Health Care LImited,Financial Results/Dividend/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended March 31, 2023, dividend and other business matters",PHARMA
2023-05-31,FEDDERELEC,Fedders Electric and Engineering Limited,Fund Raising,OTHER,To consider Fund Raising,OTHER
2023-06-01,ABCAPITAL,Aditya Birla Capital Limited,Fund Raising,OTHER,"To consider Fund Raising by way of issuance of equity shares of the Company on a preferential basis, in accordance with the Companies Act, 2013 read with the rules notified thereunder and the Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2018",FINANCIAL_SERVICES
2023-06-01,ESTER,Ester Industries Limited,Dividend,DIVIDEND,"Pursuant to the requirement of Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that the meeting of the Board of Directors of the Company is scheduled to be held on Thursday, 1st June, 2023 inter alia, to consider and recommend the final dividend for the financial year 2022-23. Further, in compliance with the SEBI (Prohibition of Insider Trading) Regulations, 2015 and the Company's Code of Conduct to Regulate, Monitor and Report Trading by Insiders, the trading window for dealing in the securities of the Company will be closed from today i.e. 29th May, 2023 till end of 48 hours after the outcome of aforesaid board meeting becomes generally available. The Trading Window closed period shall be intimated to the designated persons in accordance with the abovementioned Code.",CHEMICALS
2023-06-01,SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,Dividend,DIVIDEND,To consider and recommend the final dividend on Equity Shares of the Company for the Financial Year 2022-23.,FMCG
2023-06-01,WEWIN,WE WIN LIMITED,Other business matters,OTHER,To consider other business matters,OTHER
2023-06-02,ANMOL,Anmol India Limited,Bonus/Other business matters,BONUS,To consider bonus and other business matters,FINANCIAL_SERVICES
2023-06-02,BANKBARODA,Bank of Baroda,Fund Raising,OTHER,To consider Fund Raising,BANKING
2023-06-02,KICL,Kalyani Investment Company Limited,Financial Results,FINANCIAL_RESULTS,"Pursuant to the Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that the meeting of the Board of Directors of the Company is scheduled to be held on Friday, June 2, 2023, inter alia, to consider and approve the Audited Financial Results (Consolidated) for the quarter and year ended March 31, 2023.",FINANCIAL_SERVICES
2023-06-02,MINDACORP,Minda Corporation Limited,Fund Raising,OTHER,To consider Fund Raising,AUTO
2023-06-02,OPTOCIRCUI,Opto Circuits (India) Limited,Other business matters,OTHER,To consider other business matters,OTHER
2023-06-02,SETCO,Setco Automotive Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended March 31, 2023",OTHER
2023-06-02,SPANDANA,Spandana Sphoorty Financial Limited,Fund Raising,OTHER,To consider Fund Raising by way of issuance of Non-Convertible Debentures on private placement basis.,FINANCIAL_SERVICES
2023-06-03,AVG,AVG Logistics Limited,Financial Results/Dividend/Fund Raising,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended March 31, 2023, dividend and Fund Raising",LOGISTICS
2023-06-03,MANAKSIA,Manaksia Limited,Dividend,DIVIDEND,To consider dividend,METAL
2023-06-03,SHAH,Shah Metacorp Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"GAL : 19-Jun-2023 :  The Company has informed the Exchange that a Board meeting to be held on Jun 03, 2023 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 19, 2023, To consider and approve the financial results for the period ended March 31, 2023 and other business matters",METAL
2023-06-03,SHIVALIK,Shivalik Rasayan Limited,Fund Raising,OTHER,To consider Fund Raising by way of issue of one or more instruments including equity shares/ convertible securities or warrants on preferential basis,OTHER
2023-06-05,INTENTECH,Intense Technologies Limited,Dividend,DIVIDEND,To consider final dividend for FY 2022-23,IT
2023-06-05,OSIAHYPER,Osia Hyper Retail Limited,Other business matters,OTHER,To consider other business matters,OTHER
2023-06-05,SBICARD,SBI Cards and Payment Services Limited,Fund Raising,OTHER,"To  inter alia, consider and approve the proposal, for raising of funds through issuance of Non-Convertible Debentures (NCDs) aggregating to Rs. 3,000 Crore through private placement, in one or more tranches over a period of time.",FINANCIAL_SERVICES
2023-06-05,SEJALLTD,Sejal Glass Limited,Other business matters,OTHER,To discuss and decide the way forward on the ongoing Qualified Institutions Placement (QIP) issue of the Company.,OTHER
2023-06-06,GANGAFORGE,Ganga Forging Limited,Fund Raising,OTHER,To consider Fund Raising,CAPITAL_GOODS
2023-06-06,GTECJAINX,G-TEC JAINX EDUCATION LIMITED,Other business matters,OTHER,To consider other business matters,IT
2023-06-06,VIPULLTD,Vipul Limited,Financial Results/Dividend,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended March 31, 2023 and dividend",REALTY
2023-06-07,DEVIT,Dev Information Technology Limited,Board meeting Rescheduled,OTHER,"Dev Information Technology Limited has informed the Exchange that the meeting of the Board of Directors of the Company scheduled to be held on Jun 07, 2023 To consider Fund Raising has been postponed",IT
2023-06-07,DHARAN,DHARAN INFRA-EPC LIMITED,Other business matters,OTHER,To consider other business matters,OTHER
2023-06-07,LASA,Lasa Supergenerics Limited,Financial Results,FINANCIAL_RESULTS,"LASA : 09-Jun-2023 :  The Company has informed the Exchange that a Board meeting to be held on Jun 07, 2023 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 09, 2023,  To consider and approve the financial results for the period ended March 31, 2023",PHARMA
2023-06-07,VCL,Vaxtex Cotfab Limited,Other business matters,OTHER,"To discuss, consider and approve the alteration in issue of Equity Shares on Rights (Rights Issue)",TEXTILES
2023-06-08,ARCOTECH,Arcotech Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended March 31, 2023 and other business matters",OTHER
2023-06-08,CAPACITE,Capacit'e Infraprojects Limited,Fund Raising,OTHER,To consider Fund Raising,INFRASTRUCTURE
2023-06-08,LTF,L&T Finance Limited,Dividend,DIVIDEND,To consider recommendation of final dividend on the equity shares forthe financial year 2022-23.,FINANCIAL_SERVICES
2023-06-08,VIDEOIND,Videocon Industries Limited,Financial Results,FINANCIAL_RESULTS,"Intimation under Regulation 29 of the SEBI (Listing Obligations & Disclosure Requirements) Regulations, 2015 regarding declaration of Unaudited Financial Results of Videocon Industries Limited ( the Company ) for the quarter ended on June 30, 2021, September 30, 2021, December 31, 2021 and the Audited Financial Results for the quarter and year ended on March 31, 2022",OTHER
2023-06-09,ASMS,Avio Smart Market Stack Limited,Fund Raising,OTHER,To consider issue of preferential shares,IT
2023-06-09,MAANALU,Maan Aluminium Limited,Stock Split,SPLIT,To consider stock split of equity shares,METAL
2023-06-09,MAANALU,Maan Aluminium Limited,Bonus/Other business matters,BONUS,To consider bonus and other business matters,METAL
2023-06-09,WANBURY,Wanbury Limited,Financial Results,FINANCIAL_RESULTS,"WANBURY : 26-Jun-2023 :  The Company has informed the Exchange that a Board meeting to be held on Jun 09, 2023 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 26, 2023,  To consider and approve the financial results for the period ended March 31, 2023",PHARMA
2023-06-10,SPANDANA,Spandana Sphoorty Financial Limited,Fund Raising,OTHER,To consider Fund Raising by way of Issue Of Debentures On Private Placement Basis,FINANCIAL_SERVICES
2023-06-10,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Fund Raising,OTHER,To consider Fund Raising,INFRASTRUCTURE
2023-06-12,BALKRISHNA,Balkrishna Paper Mills Limited,Fund Raising/Other business matters,OTHER,"To consider Fund Raising and other business matters:Notice is hereby given that pursuant to Regulation 29 of Securities and Exchange Board of India (Listing Obligations and Discolsure Requirements) Regulations, 2015, a meeting of the Board of Directors of the Company will be held on Monday, the 12th June, 2023 at the Registered Office of the Company at A/7, Trade World, Kamala City, S.B. Marg, Lower Parel (w), Mumbai   400 013, interalia to consider and approve (1) impact of qualified oberservation of auditor in the matter of going concern & (2) proposal for right issue/Funds Raising. Letter is attached.Further, pursuant to Regulations 46 of SEBI (LODR) Regulations, 2015, Notice of the above meeting is available on the company's website: www.bpml.in & stock exchanges website at www.bseindia.com and www.nseindia.com. Kindly take the above on record and acknowledge.",CHEMICALS
2023-06-12,PSB,Punjab & Sind Bank,Fund Raising,OTHER,To consider Fund Raising,BANKING
2023-06-12,SATIN,Satin Creditcare Network Limited,Fund Raising,OTHER,To consider Fund Raising,FINANCIAL_SERVICES
2023-06-13,SECURCRED,SecUR Credentials Limited,Fund Raising/Other business matters,OTHER,To consider Fund Raising and other business matters,OTHER
2023-06-13,SHRIPISTON,Shriram Pistons & Rings Limited,Bonus/Other business matters,BONUS,To consider the proposal for issuance of Bonus Equity Shares to the Members of the Company and rescheduling the date of 59th Annual General Meeting,AUTO
2023-06-13,SPMLINFRA,SPML Infra Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended March 31, 2023",INFRASTRUCTURE
2023-06-14,GLOBAL,Global Education Limited,Other business matters,OTHER,To consider other business matters,HEALTHCARE
2023-06-14,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Fund Raising,OTHER,To consider Fund Raising,CAPITAL_GOODS
2023-06-15,ARIHANTCAP,Arihant Capital Markets Limited,Fund Raising,OTHER,To issue secured unlisted redeemable non-convertible debentures (NCD) of the company on a private placement basis.,FINANCIAL_SERVICES
2023-06-15,MWL,Mangalam Worldwide Limited,Dividend/Other business matters,DIVIDEND,To consider dividend and other business matters,METAL
2023-06-15,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,Financial Results,FINANCIAL_RESULTS,"NAGAFERT : 22-Jun-2023 :  The Company has informed the Exchange that a Board meeting to be held on Jun 15, 2023 has been adjourned. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 22, 2023,  To consider and approve the financial results for the period ended March 31, 2023",OTHER
2023-06-15,SATIN,Satin Creditcare Network Limited,Fund Raising,OTHER,To consider Fund Raising,FINANCIAL_SERVICES
2023-06-15,ZOTA,Zota Health Care LImited,Fund Raising/Other business matters,OTHER,To consider Fund Raising and other business matters,PHARMA
2023-06-16,BCONCEPTS,Brand Concepts Limited,Fund Raising,OTHER,To consider Fund Raising by way of issuance of equity shares of the Company on a preferential basis and closure of trading window.,RETAIL
2023-06-16,DEVIT,Dev Information Technology Limited,Fund Raising/Other business matters,OTHER,To consider Fund Raising and other business matters,IT
2023-06-16,KOTAKBANK,Kotak Mahindra Bank Limited,Fund Raising,OTHER,"We wish to inform you that a meeting of the Board of Directors of Kotak Mahindra Bank Limited will be held on Friday, June 16, 2023 to, inter alia, consider raising of funds by way of issuance of Unsecured, Redeemable, Non-Convertible Debentures / Bonds, in one or more tranches / series, on a private placement basis, during the FY 2023-24 under the prevailing Members  approval.",BANKING
2023-06-17,GOLDENTOBC,Golden Tobacco Limited,Other business matters,OTHER,"5th Meeting of Committee of Creditors of Golden Tobacco Limited (the Company is under Corporate Insolvancy Resolution Process (CIRP) is scheduled to be held on Saturday, 17th June  , 2023 at 3.00 P.M. through Video Conferencing to trasact interalia following businesses;  A CHAIR, ROLL CALL AND QUORUM1  Resolution Professional (RP) to take the Chair 2 To take Roll Call3 To ascertain presence of Quorum in the Meeting B LIST OF MATTERS TO BE DISCUSSED AND NOTED 1 To take note of the Minutes of the  Fourth (4th)   Meeting of Committee of Creditors held on  02.06.20232 To take note of updated list of claims received and admitted as on 11.06.20233 To take note of the members of the  Committee of Creditors (COC) and their voting share4 To  discuss the developments in CIRP of CD since last Meeting 5 To open the Resolution Plans received from the eligible Resolution Applicants (bidders)  in presence of COC members and  Resolution Applicants (bidders) . 6 To discuss and note bill received , paid / payable relating to CIRP Cost  from  initiation of the CIRP since  07.06.2022 to 11.06.2023  C LIST OF ISSUES TO BE VOTED UPON AFTER DISCUSSION1 To ratify and approve Corporate Insolvency Resolution Process Cost (CIRP cost) incurred  from  29.05.2023  to  11.06.20232 To approve the extension of  time period of CIRP  u/s 12(2)  by another 90 days period from 24.06.2023 to  22.09.2023 (from 181 days to 270 days) D Any other matter with the permission of the ChairE Vote of Thanks",OTHER
2023-06-17,LIBAS,Libas Consumer Products Limited,Other business matters,OTHER,"This is to inform you that a meeting of the Board of Directors of the company is scheduled to be held on Saturday, June 17, 2023 inter alia to:1. Convene an Extraordinary General Meeting (EGM) of the Shareholders of the Company; 2. consider and approve draft Notice of Extraordinary General Meeting pursuant to requisitions and special notice dated June 8, 2023 received from Mr. Riyaz Ganji;3. any other business matter as may be approved by the Chairman.",TEXTILES
2023-06-19,CANFINHOME,Can Fin Homes Limited,Other business matters,OTHER,"Intimation of Board meeting for consideration of proposals being placed before the members at the ensuing Annual General meeting of the Company, which is scheduled to be held on Wednesday, July 19, 2023;(1) Fund raising by way of issue of equity shares, subject to such approvals as may be required.(2) Borrowing/raising funds by issue of Secured and/or unsecured non-convertible debentures and/or non-convertible subordinated debt Tier-II debentures, in terms of Section 42 of the Companies Act, 2013 read with relevant rules and the Listing Regulations, as amended.",FINANCIAL_SERVICES
2023-06-19,CNL,Creative Newtech Limited,Fund Raising/Other business matters,OTHER,To consider Fund Raising and other business matters,RETAIL
2023-06-19,CUBEXTUB,Cubex Tubings Limited,Other business matters,OTHER,To consider other business matters as detailed in the Intimation Letter,METAL
2023-06-19,GANESHBE,Ganesh Benzoplast Limited,Other business matters,OTHER,"To consider other business mattersi. To consider and approve the appointment of Mr Girdhari Lal Kundalwal, as independent Director for a period of five years who was appointed as additional Director wef April 21, 2023ii. To consider and approve the appointment of Mr Shyam Nihate, as Executive Director- Terminal Operations for a period of five years, who was appointed as additional Director wef April 21, 2023iii. To Approve the draft of Postal Ballot Notice to be sent to the shareholders for their approval.iv. To appoint the Scrutinizer for the Postal Ballot Process and consider any other matter in respect of the above.",ENERGY
2023-06-19,NINSYS,NINtec Systems Limited,Bonus,BONUS,To consider bonus,OTHER
2023-06-19,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,Stock Split/Other business matters,SPLIT,To consider stock split of equity shares and other business matters,AGRICULTURE
2023-06-19,PARSVNATH,Parsvnath Developers Limited,Financial Results/Dividend,FINANCIAL_RESULTS,"a) Consider and approve the Audited Financial Results of the Company (both Standalone and Consolidated) for the Quarter and Financial Year ended March 31, 2023, and b)  Recommend dividend, if any, for the Financial Year 2022-23.",OTHER
2023-06-20,AURIONPRO,Aurionpro Solutions Limited,Fund Raising,OTHER,To consider Fund Raising,IT
2023-06-20,MANAPPURAM,Manappuram Finance Limited,Other business matters,OTHER,To consider other business matters,FINANCIAL_SERVICES
2023-06-20,SATIN,Satin Creditcare Network Limited,Fund Raising,OTHER,To consider Fund Raising,FINANCIAL_SERVICES
2023-06-21,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Fund Raising,OTHER,To consider Fund Raising,OTHER
2023-06-21,BFUTILITIE,BF Utilities Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the Audited financial results for the period ended March 31, 2023",INFRASTRUCTURE
2023-06-21,DHARAN,DHARAN INFRA-EPC LIMITED,Other business matters,OTHER,To consider other business matters,OTHER
2023-06-21,IRISDOREME,Iris Clothings Limited,Stock Split/Other business matters,SPLIT,To consider stock split of equity shares and other business matters,TEXTILES
2023-06-21,MADRASFERT,Madras Fertilizers Limited,Board meeting Rescheduled,OTHER,"Madras Fertilizers Limited has informed the Exchange that the meeting of the Board of Directors of the Company scheduled to be held on Jun 21, 2023 To consider other business matters has been postponed",CHEMICALS
2023-06-21,MASFIN,MAS Financial Services Limited,Other business matters,OTHER,To consider other business matters,FINANCIAL_SERVICES
2023-06-21,SRPL,Shree Ram Proteins Limited,Fund Raising/Other business matters,OTHER,To consider Fund Raising and other business matters,OTHER
2023-06-22,ASIL,Amit Spinning Industries Limited,Other business matters,OTHER,"Pursuant to Regulation 29(1)(a) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that meeting of the Board of Directors of the Company will be held on Thursday, June 22, 2023 at 11.00 a.m. inter alia, to consider and approve following transactions1. Appointment of Ms. Bhakti Kapratwar as a Company Secretary and Compliance Officer of the company2. Appointment of M/s. Shrenik Nagaonkar & Associates as Secretarial Auditor of the company3. Appointment of M/s Nilesh Ashok Chalke, Cost Accountants a Cost Auditor of the company.",OTHER
2023-06-22,JYOTISTRUC,Jyoti Structures Limited,Other business matters,OTHER,"Pursuant to Regulation 29, 30 and 47 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 (hereinafter referred to as  the Listing Regulations, 2015 ), it is hereby informed that a meeting of the Board of Directors of the Company is scheduled to be held on Thursday, June 22, 2023 at 06.00 PM through MS Team (Video Conferencing) to inter alia consider, approve and take on record the following matters:1) Appointment of M/s. G. P. Sharma & Co., LLP, Chartered Accountants (FRN 100957W/W100247) as the Statutory Auditor of the Company, for a term of one year.2) Appointment of Internal Auditor for the financial year 2023-2024.3) Appointment of Cost Auditor.4) Reclassification of Authorized Share Capital and Consequent Amendment to Memorandum.5) Directors  Report for the financial year 2022-2023.6) Calendar of events for 48th Annual General Meeting of the Company.7) Notice for convening 48th Annual General Meeting of the Company.8) Any other matter with the permission of the Chairperson.",CAPITAL_GOODS
2023-06-22,MASKINVEST,Mask Investments Limited,Other business matters,OTHER,To consider other business matters,OTHER
2023-06-22,PNBHOUSING,PNB Housing Finance Limited,Fund Raising,OTHER,"Pursuant to Regulation 29 and 50 of Listing Regulations, we hereby inform you that a Meeting of theBoard of Directors of the Company is scheduled to be held on Thursday, June 22, 2023 inter alia toconsider and approve issuance of Non   Convertible Debentures aggregating up to INR 5,000 Crore(Rupees Five Thousand Crore Only) on Private Placement Basis.",FINANCIAL_SERVICES
2023-06-22,PRAXIS,Praxis Home Retail Limited,Fund Raising,OTHER,"Meeting of Board of Directors of the Company to be held on June 22, 2023 to consider Fund Raising",OTHER
2023-06-22,RCF,Rashtriya Chemicals and Fertilizers Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended March 31, 2023consider and approve revised Consolidated Audited Financial statements for the financial year ended March 31, 2023 on account consolidation of audited financial statements of Joint Venture companies",CHEMICALS
2023-06-22,SWANCORP,SWAN CORP LIMITED,Fund Raising,OTHER,To consider Fund Raising,CHEMICALS
2023-06-22,TFL,Transwarranty Finance Limited,Fund Raising,OTHER,To consider approve the raising of funds by issue of Unsecured Redeemable Non-Convertible Debentures ( NCDs ) on private placement basis of NCDs Type B (Investment of Rs. 1 crore or more per investor) upto Rs. 5 crores.,FINANCIAL_SERVICES
2023-06-23,HIMATSEIDE,Himatsingka Seide Limited,Fund Raising,OTHER,"To consider and approve opening the issue of Unrated, Unlisted, Secured, Redeemable, Non-Convertible Debentures (NCDs) to the extent of Rs. 21 crores to IFC, terms and conditions of the NCD s, and other connected matters.",TEXTILES
2023-06-23,SHILPAMED,Shilpa Medicare Limited,Fund Raising,OTHER,"To inter alia consider the proposal of fund raising by way of Rights issue of Equity Shares,",PHARMA
2023-06-23,SREEL,Sreeleathers Limited,Other business matters,OTHER,To consider other business matters,FMCG
2023-06-23,YESBANK,Yes Bank Limited,Fund Raising,OTHER,"Intimation of the date of the Board Meeting under Reg. 29, 50 and other applicable provisions of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BANKING
2023-06-24,KRISHIVAL,Krishival Foods Limited,Other business matters,OTHER,To consider other business matters,FMCG
2023-06-24,KSOLVES,Ksolves India Limited,Dividend/Other business matters,DIVIDEND,To consider the record date for final dividend for FY 2022-23 and other business matters.,IT
2023-06-24,NTPC,NTPC Limited,Fund Raising,OTHER,"In terms of Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations, 2015 ), it is hereby intimated that a meeting of the Board of Directors of the Company is scheduled to be held at New Delhi on Saturday, 24th June, 2023 to, inter-alia, consider for issue of secured/ unsecured, redeemable, taxable/tax-free, cumulative/non-cumulative, non-convertible debentures ( Bonds/NCDs ) up to Rs.12,000 Crore, subject to approval of shareholders in the ensuing Annual General Meeting.",POWER
2023-06-24,RECLTD,REC Limited,Dividend,DIVIDEND,"In terms of Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements)Regulations, 2015, this is to inform that a meeting of the Board of Directors of RECLimited is scheduled to be held on Saturday, June 24, 2023 inter-alia to consider theproposal for recommending the final dividend, if any, for the financial year 2022-23.Further, it is informed that as per Company's code of conduct for regulating, monitoringand reporting of trading by Designated Persons and their immediate relatives; the tradingwindow shall remain closed from Wednesday, June 14, 2023 to Monday, June 26, 2023 ,for trading in equity shares and listed debt securities (tax free bonds etc.) of the Company,for all designated persons and their immediate relatives.",FINANCIAL_SERVICES
2023-06-26,BAFNAPH,Bafna Pharmaceuticals Limited,Other business matters,OTHER,"To consider and approve the appointment of 1. Mr. Vinayak Dinesh Dendukuri (DIN: 07601309) as Additional Director designated as Whole-time Director   Operation.2. Mr. Upendar Mekala Reddy (DIN: 08898174) as Additional Director designated as Non-Executive Non-independent Director;3. Mr. Krishna Yeachuri (DIN: 00066898) as Additional Director designated as Non-Executive Independent Director, and any other business with the permission of the Chair.",PHARMA
2023-06-26,CIGNITITEC,Cigniti Technologies Limited,Other business matters,OTHER,To consider other business matters,OTHER
2023-06-26,CUB,City Union Bank Limited,Fund Raising/Other business matters,OTHER,To consider Fund Raising and other business matters,BANKING
2023-06-26,WANBURY,Wanbury Limited,Financial Results,FINANCIAL_RESULTS,"WANBURY : 07-Jul-2023 :  The Company has informed the Exchange that a Board meeting to be held on Jun 26, 2023 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on July 07, 2023,  to consider and approve the financial results for the period ended March 31, 2023",PHARMA
2023-06-27,CSLFINANCE,CSL Finance Limited,Fund Raising,OTHER,To consider Fund Raising,FINANCIAL_SERVICES
2023-06-27,HAL,Hindustan Aeronautics Limited,Dividend,DIVIDEND,To consider dividend,DEFENCE
2023-06-27,HAL,Hindustan Aeronautics Limited,Stock Split,SPLIT,Intimation of Board Meeting date for considering sub-division of the equity shares of the Company,DEFENCE
2023-06-27,HINDNATGLS,Hindusthan National Glass & Industries Limited,Other business matters,OTHER,To consider other business matters,OTHER
2023-06-27,WEWIN,WE WIN LIMITED,Other business matters,OTHER,To consider other business matters,OTHER
2023-06-28,AAVAS,Aavas Financiers Limited,Fund Raising,OTHER,Aavas Financiers Limited has informed the exchange about meeting of the Executive Committee of the Board of Directors to be held on 28-June-2023 to consider Fund raising.,FINANCIAL_SERVICES
2023-06-28,BPCL,Bharat Petroleum Corporation Limited,Fund Raising,OTHER,To consider Fund Raising,CHEMICALS
2023-06-28,CANBK,Canara Bank,Fund Raising,OTHER,To consider Fund Raising,BANKING
2023-06-28,HBLENGINE,HBL Engineering Limited,Other business matters,OTHER,"To inter-alia to consider a proposal of slump sale of two product lines viz. Power Electronics (PE) and Integrated Power Supplies (IPS) for the railways, to Moebius Power Electronics Private Limited, Hyderabad wherein HBL remain as a shareholder.",CAPITAL_GOODS
2023-06-28,KAMOPAINTS,Kamdhenu Ventures Limited,Bonus,BONUS,To consider bonus,CHEMICALS
2023-06-28,SHRADHA,Shradha Realty Limited,Other business matters,OTHER,To consider other business matters,REALTY
2023-06-28,YUKEN,Yuken India Limited,Other business matters,OTHER,To consider other business matters,CAPITAL_GOODS
2023-06-29,AUBANK,AU Small Finance Bank Limited,Fund Raising/Other business matters,OTHER,To consider Fund Raising and other business matters,BANKING
2023-06-29,HARDWYN,Hardwyn India Limited,Other business matters,OTHER,To consider other business matters,REALTY
2023-06-29,ISEC,ICICI Securities Limited,Other business matters,OTHER,Intimation of Board Meeting,OTHER
2023-06-29,SIGACHI,Sigachi Industries Limited,Fund Raising,OTHER,"The Company has informed the Exchange that a Board meeting to be held on Jun 29, 2023 has been re-scheduled to be held at 1:30 PM on the same day. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 29, 2023,  To consider Fund Raising",OTHER
2023-06-30,AMRUTANJAN,Amrutanjan Health Care Limited,Buyback,BUYBACK,To consider buyback for equity shares,PHARMA
2023-06-30,ASIANENE,Asian Energy Services Limited,Fund Raising,OTHER,"To consider Fund Raising by way of issue of Equity Shares or Securities or Convertible Warrants on a Preferential Basis to the Prompters and the Non-Promoter Category of Investor, including determination of price subject to such regulatory/statutory approvals as may be required, including the approval of Shareholders of the Company.",ENERGY
2023-06-30,HYBRIDFIN,Hybrid Financial Services Limited,Other business matters,OTHER,To Consider certain General Business Discussions and Amalgamation subject to such other Regulatory / Statutory approvals as may be required.,FINANCIAL_SERVICES
2023-06-30,NAVINFLUOR,Navin Fluorine International Limited,Fund Raising,OTHER,"Pursuant to Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, as amended, this is to inform you that a Meeting of the Board of Directors of the Company is scheduled to be held on Friday, June 30, 2023, to, inter-alia, discuss and consider a proposal for raising funds by way of issuance of equity shares or any other instruments or securities through qualified institutional placement/private placement/public issue/preferential issue or through any other permissible mode or combination thereof, as may be considered appropriate, in accordance with SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018, as amended, and all other applicable laws, and subject to such governmental/statutory/regulatory and other approvals as may be required including the approval of the Members of the Company at a general meeting or through postal ballot.",CHEMICALS
2023-06-30,NIBL,NRB Industrial Bearings Limited,Other business matters,OTHER,"Pursuant to Regulations 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that a meeting of the Board of Directors of the Company is scheduled to be held on Friday, 30th June, 2023, inter alia, to consider and approve Availment of loan from Bank/Financial Institution and to consider any other business with the permission of chair",CAPITAL_GOODS
2023-06-30,OBCL,Orissa Bengal Carrier Limited,Other business matters,OTHER,To consider other business matters,LOGISTICS
2023-06-30,SIRCA,Sirca Paints India Limited,Other business matters,OTHER,To consider other business matters,CHEMICALS
2023-06-30,SUPERHOUSE,Superhouse Limited,Other business matters,OTHER,"Annual Financial Statement including Consolidated Annual Financial Statement and annexure thereof  for the year ended 31st March,2023 and to decide book closure and record date for the payment of dividend.",TEXTILES
2023-07-01,LANDSMILL,Landsmill Green Limited,Other business matters,OTHER,To consider other business matters,OTHER
2023-07-01,ROML,Raj Oil Mills Limited,Other business matters,OTHER,To consider other business matters,FMCG
2023-07-01,SPECTRUM,Spectrum Electrical Industries Limited,Other business matters,OTHER,To consider other business matters,CAPITAL_GOODS
2023-07-02,SHIVAMAUTO,Shivam Autotech Limited,Fund Raising/Other business matters,OTHER,To consider Fund Raising and other business matters,OTHER
2023-07-03,CHALET,Chalet Hotels Limited,Financial Results/Fund Raising,FINANCIAL_RESULTS,"To consider and approve the revised financial results for the period ended March 31, 2023 pursuant to amalgamation and Fund Raising",HOSPITALITY
2023-07-03,JTLIND,JTL INDUSTRIES LIMITED,Other business matters,OTHER,To consider other business matters,METAL
2023-07-03,TPHQ,Teamo Productions HQ Limited,Other business matters,OTHER,To consider other business matters relating to alteration in main objects of MoA and other matters.,INFRASTRUCTURE
2023-07-04,GENUSPOWER,Genus Power Infrastructures Limited,Dividend/Fund Raising,DIVIDEND,To consider dividend and Fund Raising,INFRASTRUCTURE
2023-07-04,PREMIERPOL,Premier Polyfilm Limited,Other business matters,OTHER,To consider & approve Standalone Un-audited Financial Results for the quarter ending on 30-06-2023,OTHER
2023-07-05,DHARAN,DHARAN INFRA-EPC LIMITED,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended March 31, 2023 and other business matters",OTHER
