symbol,date,announcement_type,governance_risk,governance_score,dividend_signal,capex_confirm,management_change,sentiment,sentiment_score,key_decision,processed_at,as_of_date
KECL,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,POSITIVE,1,"Appointment of Ms. Irene J. Pereira as VP Human Resources Transformation effective July 01, 2026.",2026-07-03 05:25,2026-07-03
VIMTALABS,2026-07-01,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board approved allotment of 17,549 securities under ESOP/ESPS.",2026-07-03 05:25,2026-07-03
CANBK,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding a change in management.,2026-07-03 05:25,2026-07-03
ARSSINFRA,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding a change in its management.,2026-07-03 05:24,2026-07-03
LTF,2026-07-01,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,Board approved the allotment of 380 Non Convertible Debentures.,2026-07-03 05:24,2026-07-03
WALCHANNAG,2026-07-01,BOARD_OUTCOME,LOW,70,INCREASE,NO,NO,POSITIVE,1,Board declared interim dividend of Rs 5 per share.,2026-07-03 05:23,2026-07-03
ARIHANTCAP,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Arihant Capital Markets Limited has informed the Exchange about update on Scheme of Arrangement.,2026-07-03 05:23,2026-07-03
ROUTE,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Director resignation at ROUTE MOBILE LIMITED.,2026-07-03 05:23,2026-07-03
ARVSMART,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Director resignation announced.,2026-07-03 05:23,2026-07-03
PSB,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Management,2026-07-03 05:23,2026-07-03
RHL,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,RHL has made an acquisition in reliance on SEBI Takeover Regulations.,2026-07-03 05:23,2026-07-03
INDIANB,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Senior Management Personnel of the Bank,2026-07-03 05:23,2026-07-03
NURECA,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Director resignation announced.,2026-07-03 05:23,2026-07-03
ASTERDM,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Director(s) of the company.,2026-07-03 05:23,2026-07-03
WAAREEINDO,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Waaree Energies Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:33,2026-07-03
M&M,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Incorporation of Mahindra Kandivali Developers Limited.,2026-07-03 05:38,2026-07-03
AMBER,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,POSITIVE,1,Company provided an update on the timeline for the second tranche of MoMagic Wireless acquisition.,2026-07-03 05:19,2026-07-03
RHIM,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Director(s) of the company.,2026-07-03 05:37,2026-07-03
TIL,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,TIL Limited has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:37,2026-07-03
NAGAFERT,2026-06-30,BOARD_OUTCOME,LOW,70,MAINTAIN,NO,NO,NEUTRAL,0,Board approved Q4 results and declared interim dividend of Rs 5 per share.,2026-07-03 05:37,2026-07-03
GUJAPOLLO,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Asit A. Patel has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:37,2026-07-03
AEGISLOG,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Aegis Logistics has submitted disclosure under SEBI Takeover Regulations for acquisition of shares.,2026-07-03 05:37,2026-07-03
UNIVCABLES,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,The Punjab Produce & Trading Co. Pvt. Ltd. has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:37,2026-07-03
GFSTEELS,2026-06-30,MANAGEMENT_CHANGE,HIGH,20,NONE,NO,YES,NEUTRAL,0,Change in Auditors of GFSTEELS.,2026-07-03 05:38,2026-07-03
ACC,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Ms Madhavi Isanaka resigned as Chief Digital Officer w.e.f. Jun 30, 2026.",2026-07-03 05:38,2026-07-03
NLCINDIA,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Mr Prasanna Kumar Motupalli will cease as Chairman & Managing Director effective June 30, 2026.",2026-07-03 05:40,2026-07-03
BLUESTONE,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Mr Paras Shah resigned as Company Secretary & Compliance Officer w.e.f. Jun 30, 2026.",2026-07-03 05:38,2026-07-03
SALONA,2026-06-30,MANAGEMENT_CHANGE,HIGH,20,NONE,NO,YES,NEUTRAL,0,Change in Auditors,2026-07-03 05:38,2026-07-03
ZYDUSWELL,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,Appointment of Dr. Shyam Ramakrishnan as Other of the company.,2026-07-03 05:38,2026-07-03
FMNL,2026-06-30,ACQUISITION,MEDIUM,50,NONE,NO,NO,NEUTRAL,0,Withdrawal of Scheme of amalgamation amongst FMNL and Metawear Limited.,2026-07-03 05:38,2026-07-03
DIXON,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Senior Management,2026-07-03 05:39,2026-07-03
GPPL,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,POSITIVE,1,Appointment of Mrs. Harjeet Kaur Joshi as Non-Executive Independent Director.,2026-07-03 05:39,2026-07-03
HGINFRA,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,POSITIVE,1,Company announced the acquisition of a business entity.,2026-07-03 05:39,2026-07-03
ZEEMEDIA,2026-06-30,FUNDRAISE,LOW,70,NONE,NO,NO,POSITIVE,1,Allotment of 3 crore equity shares following conversion of fully convertible warrants.,2026-07-03 05:39,2026-07-03
SKFINDIA,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Submission of disclosure under SEBI Takeover Regulations.,2026-07-03 05:37,2026-07-03
AMNPLST,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure of acquisition of shares under SEBI Takeover Regulations.,2026-07-03 05:37,2026-07-03
RML,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Board approved acquisition of Hindustan Composites Limited through Business Transfer Agreement.,2026-07-03 05:37,2026-07-03
SBIN,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,Change in Senior Management,2026-07-03 05:37,2026-07-03
LANDSMILL,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Landsmill Green Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:36,2026-07-03
SIKKO,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Jayantibhai Mohanbhai Kumbhani has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:36,2026-07-03
BOMDYEING,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Nowrosjee Wadia and Sons Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:36,2026-07-03
DCI,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure under SEBI Takeover Regulations submitted by Chetankumar Timbadia.,2026-07-03 05:36,2026-07-03
SOLARWORLD,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure under SEBI Takeover Regulations submitted by Kartik Teltia.,2026-07-03 05:36,2026-07-03
SIRCA,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Sirca Paints India Limited has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:36,2026-07-03
GSLSU,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure under SEBI Takeover Regulations submitted by Mayank Shah.,2026-07-03 05:36,2026-07-03
CORONA,2026-06-30,CAPEX_EXPANSION,LOW,70,NONE,YES,NO,POSITIVE,1,Commencement of commercial production/operations.,2026-07-03 05:36,2026-07-03
DISHTV,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Resignation of Veerender Gupta as Chief Technology Officer.,2026-07-03 05:36,2026-07-03
INA,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Resignation of Director/KMP/SMP,2026-07-03 05:36,2026-07-03
EMMBI,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Director resigned.,2026-07-03 05:36,2026-07-03
HINDCOMPOS,2026-06-30,BOARD_OUTCOME,LOW,70,INCREASE,NO,NO,POSITIVE,1,Board declared interim dividend of Rs 5 per share.,2026-07-03 05:37,2026-07-03
AMBUJACEM,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Ms Madhavi Isanaka resigned as Chief Digital Officer w.e.f. Jun 30, 2026.",2026-07-03 05:37,2026-07-03
SENCO,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Senco Gold Limited has informed about Update on Acquisition of August Jewellery Private Limited.,2026-07-03 05:37,2026-07-03
VPRPL,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Director resignation at Vishnu Prakash R Punglia Limited.,2026-07-03 05:37,2026-07-03
WEALTH,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Wealth First Portfolio Managers Limited has informed the Exchange about Acquisition.,2026-07-03 05:37,2026-07-03
JETFREIGHT,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Management,2026-07-03 05:37,2026-07-03
THYROCARE,2026-06-30,MANAGEMENT_CHANGE,HIGH,20,NONE,NO,YES,NEGATIVE,-1,The company has informed the exchange regarding a change in its statutory auditors.,2026-07-03 05:40,2026-07-03
MUTHOOTMF,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company has informed the exchange regarding a change in its Director(s).,2026-07-03 05:40,2026-07-03
APOLLOTYRE,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Onkar Kanwar has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:36,2026-07-03
AYE,2026-06-30,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,"Allotment of 52,885 securities pursuant to ESOP/ESPS.",2026-07-03 05:49,2026-07-03
DICIND,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Mr. Ashutosh Bishnoi has resigned as Head-Legal effective June 30, 2026.",2026-07-03 05:48,2026-07-03
SGFIN,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company has informed the exchange regarding a change in its Director(s).,2026-07-03 05:48,2026-07-03
TATACOMM,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Resignation of a Director/KMP/SMP from the company.,2026-07-03 05:49,2026-07-03
NDLVENTURE,2026-06-30,BOARD_OUTCOME,MEDIUM,50,NONE,NO,NO,NEUTRAL,0,Board discussed updates regarding the proposed merger by absorption of Hinduja Leyland Finance Ltd.,2026-07-03 05:49,2026-07-03
DCMSHRIRAM,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Company provided an update regarding a previously intimated acquisition.,2026-07-03 05:49,2026-07-03
MATRIMONY,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,Director retirement announced.,2026-07-03 05:49,2026-07-03
MGL,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Appointment of Mr Sanket Dhotre as Vice President, Human Resources & Corporate Social Responsibility.",2026-07-03 05:49,2026-07-03
KRISHNADEF,2026-06-30,ACQUISITION,MEDIUM,50,NONE,NO,NO,NEUTRAL,0,Company submitted disclosures under SEBI (SAST) Regulations regarding shareholding changes.,2026-07-03 05:49,2026-07-03
GCSL,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Mr. Deepak N. Shah has ceased to be a director of the company effective June 30, 2026.",2026-07-03 05:50,2026-07-03
IDEA,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,POSITIVE,1,Company completed the acquisition of MTK Quantum Green Energy Private Limited.,2026-07-03 05:41,2026-07-03
IMFA,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,POSITIVE,1,Appointment of Dr Deepak Kumar Mohanty as Non-Executive Independent Director.,2026-07-03 05:50,2026-07-03
TATACHEM,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company announced a change in its senior management personnel.,2026-07-03 05:50,2026-07-03
CHENNPETRO,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Mr. P Shankar will cease to be Company Secretary & Compliance Officer effective June 30, 2026.",2026-07-03 05:50,2026-07-03
TEJASNET,2026-06-30,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,"Allotment of 1,23,042 securities under ESOP/RSU and grant of 2,12,527 RSUs.",2026-07-03 05:50,2026-07-03
MOREPENLAB,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,Board approved the elevation and change in designation of Mr. Sanjay Suri.,2026-07-03 05:51,2026-07-03
DALMIASUG,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding the retirement of a director/official.,2026-07-03 05:51,2026-07-03
ULTRACEMCO,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,Senior management personnel retired from the company due to superannuation.,2026-07-03 05:51,2026-07-03
MHRIL,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding the cessation of its Internal Auditor.,2026-07-03 05:51,2026-07-03
THERMAX,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Mr. Kirtiraj Jilkar will cease to be Senior Management Personnel effective June 30, 2026.",2026-07-03 05:48,2026-07-03
MAHSEAMLES,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding a change in its management.,2026-07-03 05:47,2026-07-03
INDIGO,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding a change in its management.,2026-07-03 05:47,2026-07-03
KITEX,2026-06-30,MANAGEMENT_CHANGE,HIGH,20,NONE,NO,YES,NEGATIVE,-1,The company has informed the exchange regarding a change in its statutory auditors.,2026-07-03 05:47,2026-07-03
ZFCVINDIA,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Resignation of a Director/KMP/SMP from the company.,2026-07-03 05:41,2026-07-03
SUVIDHAA,2026-06-30,FUNDRAISE,LOW,70,NONE,NO,NO,POSITIVE,1,Board approved a Rights Issue for an amount not exceeding Rs. 1200 lakhs.,2026-07-03 05:41,2026-07-03
QPOWER,2026-06-30,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board meeting held on June 30, 2026; no specific outcomes disclosed in the text.",2026-07-03 05:41,2026-07-03
EQUITASBNK,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The bank informed the exchange regarding changes in Key Managerial and Senior Management Personnel.,2026-07-03 05:41,2026-07-03
REPCOHOME,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,Company informed the exchange regarding the retirement of a management official.,2026-07-03 05:42,2026-07-03
GLOBALE,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,Appointment of CS Kinnari Gosaliya as Company Secretary and Compliance Officer.,2026-07-03 05:42,2026-07-03
HMT,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding a change in its management.,2026-07-03 05:42,2026-07-03
EMCURE,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding a change in management.,2026-07-03 05:43,2026-07-03
SAKHTISUG,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding a change in management.,2026-07-03 05:43,2026-07-03
GRSE,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company announced a change in its management team.,2026-07-03 05:44,2026-07-03
UCAL,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEGATIVE,-1,Director resignation,2026-07-03 05:44,2026-07-03
ATLANTAA,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Director resignation announced.,2026-07-03 05:44,2026-07-03
DEVIT,2026-06-30,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board meeting held on June 30, 2026; no specific outcomes disclosed in the text.",2026-07-03 05:45,2026-07-03
HEXAGON,2026-06-30,MANAGEMENT_CHANGE,HIGH,20,NONE,NO,NO,NEGATIVE,-1,The company has informed the exchange regarding a change in its statutory auditors.,2026-07-03 05:45,2026-07-03
NHPC,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding a change in senior management personnel.,2026-07-03 05:46,2026-07-03
JKPAPER,2026-06-30,CAPEX_EXPANSION,LOW,70,NONE,YES,NO,POSITIVE,1,Company has commenced commercial production/operations.,2026-07-03 05:46,2026-07-03
RVTH,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEGATIVE,-1,Resignation of a Director/KMP/SMP from the company.,2026-07-03 05:47,2026-07-03
GNA,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,GNA has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:36,2026-07-03
KAYA,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Kaya Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:36,2026-07-03
VERTOZ,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Vertoz Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:33,2026-07-03
MUKKA,2026-06-30,ACQUISITION,MEDIUM,50,NONE,NO,NO,NEGATIVE,-1,"Further delay in acquisition of Mukka Proteins Vietnam Co., Ltd.",2026-07-03 05:31,2026-07-03
CMRGREEN,2026-06-30,BOARD_OUTCOME,LOW,70,MAINTAIN,NO,NO,NEUTRAL,0,Board approved Q2 results and declared interim dividend of Rs 5 per share.,2026-07-03 05:33,2026-07-03
SHARDAMOTR,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure under SEBI Takeover Regulations submitted by Sharda Relan.,2026-07-03 05:31,2026-07-03
GANESHHOU,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Management,2026-07-03 05:31,2026-07-03
TREEHOUSE,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure of acquisition of shares under SEBI Takeover Regulations.,2026-07-03 05:31,2026-07-03
SHRENIK,2026-06-30,BOARD_OUTCOME,LOW,70,MAINTAIN,NO,NO,NEUTRAL,0,Board approved Q2 results and declared interim dividend of Rs 5 per share.,2026-07-03 05:31,2026-07-03
NDGL,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,NDGL has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:31,2026-07-03
LICI,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Superannuation of Senior Management Personnel.,2026-07-03 05:31,2026-07-03
IDBI,2026-06-30,BOARD_OUTCOME,LOW,70,MAINTAIN,NO,NO,NEUTRAL,0,IDBI Bank Limited has declared interim dividend of Rs 5 per share.,2026-07-03 05:31,2026-07-03
BHAGYANGR,2026-06-30,BOARD_OUTCOME,LOW,70,INCREASE,NO,NO,POSITIVE,1,Board declared interim dividend of Rs 5 per share.,2026-07-03 05:31,2026-07-03
GICHSGFIN,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Cessation of Mrs Varsha Godbole as Chief Financial Officer w.e.f. Jun 30, 2026.",2026-07-03 05:30,2026-07-03
AUTOIND,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Autoline Industries Limited has approved the Amalgamation/Merger of Autoline Design Software Limited with Autoline Indus,2026-07-03 05:31,2026-07-03
HPIL,2026-06-30,BOARD_OUTCOME,LOW,70,MAINTAIN,NO,NO,NEUTRAL,0,Board approved Q2 results and declared interim dividend of Rs 5 per share.,2026-07-03 05:31,2026-07-03
SHANTIGOLD,2026-06-30,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,Board approved rights issue to raise funds.,2026-07-03 05:31,2026-07-03
BAJAJELEC,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Management,2026-07-03 05:31,2026-07-03
JAGSNPHARM,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Jagsonpal Pharmaceuticals Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:31,2026-07-03
GOCOLORS,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Gautam Saraogi has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:31,2026-07-03
GODAVARIB,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Director(s),2026-07-03 05:31,2026-07-03
BEML,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Management,2026-07-03 05:30,2026-07-03
FIRSTCRY,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,"Extension in timeline for remittance of initial subscription amount in Swara Corp., USA.",2026-07-03 05:32,2026-07-03
ABLBL,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,Board approved the superannuation of senior management personnel.,2026-07-03 05:32,2026-07-03
TOKYOPLAST,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Incorporation of a wholly owned subsidiary.,2026-07-03 05:32,2026-07-03
SRF,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Appointment of Mr. Kartik Bharat Ram as Joint Managing Director w.e.f. Jun 01, 2026.",2026-07-03 05:32,2026-07-03
ELDEHSG,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Eldeco Housing And Industries Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:33,2026-07-03
MOL,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Meghmani Organics Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:33,2026-07-03
VRAJ,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Vraj Iron and Steel Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:33,2026-07-03
GKENERGY,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,GK Energy Limited has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:33,2026-07-03
YATHARTH,2026-06-30,ACQUISITION,MEDIUM,50,NONE,NO,NO,NEUTRAL,0,Yatharth has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:33,2026-07-03
ANSALAPI,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Pranav Ansal has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:33,2026-07-03
CENTENKA,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Aditya Birla Real Estate Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:33,2026-07-03
EPL,2026-06-30,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,Board approved allotment of 18000 securities under ESOP/ESPS.,2026-07-03 05:32,2026-07-03
CORALFINAC,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Coral Laboratories Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:32,2026-07-03
COHANCE,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Jusmiral Holdings Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:32,2026-07-03
LGEINDIA,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,LG Electronics Inc has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:32,2026-07-03
USHAMART,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Usha Martin Ventures Ltd has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:32,2026-07-03
UMESLTD,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Usha Martin Education & Solutions Limited submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:32,2026-07-03
NRL,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Nupur Recyclers Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:32,2026-07-03
NATCOPHARM,2026-06-30,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Mr. Nadella Malleswara Rao has superannuated as Vice President - Operations, Pharma Division Kothur.",2026-07-03 05:32,2026-07-03
POONAWALLA,2026-06-30,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,Poonawalla Fincorp Limited has issued securities.,2026-07-03 05:32,2026-07-03
CHAMBLFERT,2026-06-30,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,CM Airtime Promotion LLP has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:30,2026-07-03
DPSCLTD,2026-06-30,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Board approved Cessation of Mr. Debasish Bose as Executive Director.,2026-07-03 05:30,2026-07-03
