symbol,rsi_14,rsi_zone_enc,macd_hist,macd_signal_enc,bb_pct_b,bb_squeeze,adx_14,adx_trending,as_of_date
BBTCL,59.08,1,-0.957,1,0.6738,12.84,23.71,0,2026-06-30
BCG,41.19,1,-0.0809,1,0.1829,21.84,10.65,0,2026-06-30
BCLIND,41.4,1,-0.466,0,0.2848,24.13,22.52,0,2026-06-30
BCONCEPTS,43.28,1,1.8519,2,0.5183,18.47,42.18,1,2026-06-30
BCPL,42.67,1,-0.5039,1,0.0948,8.82,15.48,0,2026-06-30
BDL,59.75,1,15.6294,1,0.7849,25.99,26.23,1,2026-06-30
BEARDSELL,52.39,1,-0.0147,0,0.4515,15.1,19.31,0,2026-06-30
BECTORFOOD,45.51,1,0.2511,1,0.4758,14.98,17.66,0,2026-06-30
BEDMUTHA,41.05,1,0.284,1,0.2287,7.29,18.71,0,2026-06-30
BEEKAY,51.2,1,0.7233,2,0.6339,8.12,31.01,1,2026-06-30
BEL,46.07,1,0.2175,1,0.4573,7.6,24.43,0,2026-06-30
BELLACASA,66.16,1,4.2076,2,1.2269,18.59,18.17,0,2026-06-30
BELRISE,57.72,1,0.1434,1,0.6404,18.68,24.89,0,2026-06-30
BEML,49.38,1,-2.1325,1,0.5544,5.03,13.03,0,2026-06-30
BENGALASM,44.25,1,-31.9954,1,0.2957,17.56,17.66,0,2026-06-30
BEPL,51.14,1,-0.2529,0,0.5117,14.88,23.47,0,2026-06-30
BERGEPAINT,47.89,1,-1.179,0,0.4191,14.09,24.25,0,2026-06-30
BESTAGRO,39.03,1,0.1038,2,0.2408,9.41,15.52,0,2026-06-30
BETA,77.19,0,33.4212,1,0.837,64.45,44.62,1,2026-06-30
BFINVEST,54.8,1,-0.6274,0,0.5488,10.47,33.87,1,2026-06-30
BFSI,61.1,1,0.0867,1,0.7339,11.61,25.03,1,2026-06-30
BFUTILITIE,48.01,1,-2.0799,0,0.3162,13.62,26.0,1,2026-06-30
BHAGCHEM,64.57,1,2.3634,2,0.88,26.51,37.82,1,2026-06-30
BHAGERIA,78.13,0,4.3889,1,0.8343,63.31,38.71,1,2026-06-30
BHAGYANGR,83.45,0,7.5205,2,0.9882,72.59,46.9,1,2026-06-30
BHANDARI,66.24,1,0.0499,2,0.9944,25.6,23.33,0,2026-06-30
BHARATCOAL,50.59,1,-0.2082,0,0.4215,17.12,33.47,1,2026-06-30
BHARATFORG,68.24,1,14.7874,1,0.8494,18.11,25.59,1,2026-06-30
BHARATGEAR,60.61,1,0.6611,1,0.7637,32.94,24.94,0,2026-06-30
BHARATRAS,38.73,1,-8.0569,0,0.0893,9.6,14.7,0,2026-06-30
BHARATSE,55.27,1,0.5279,2,0.8245,8.79,15.22,0,2026-06-30
BHARATWIRE,39.75,1,-1.1486,0,0.1114,11.55,15.68,0,2026-06-30
BHARTIARTL,49.93,1,0.697,1,0.5614,8.71,15.79,0,2026-06-30
BHARTIHEXA,49.02,1,1.2894,2,0.6011,4.97,12.78,0,2026-06-30
BHEL,60.38,1,0.9778,2,0.8314,13.51,26.04,1,2026-06-30
BI,56.28,1,0.083,2,0.6925,20.55,31.5,1,2026-06-30
BIGBLOC,45.15,1,0.0655,1,0.3708,8.72,13.02,0,2026-06-30
BIKAJI,46.55,1,-2.0895,1,0.3078,6.03,13.88,0,2026-06-30
BIL,58.71,1,10.6795,1,0.8522,20.18,20.7,0,2026-06-30
BILVYAPAR,25.2,2,-0.0637,0,-0.3001,16.14,37.65,1,2026-06-30
BIMETAL,56.39,1,-1.3458,1,0.6033,4.3,35.38,1,2026-06-30
BIOCON,54.18,1,-1.0338,1,0.6727,3.12,15.38,0,2026-06-30
BIOFILCHEM,48.98,1,-0.1597,0,0.2604,6.82,46.25,1,2026-06-30
BIRLACABLE,60.96,1,1.4423,1,0.7047,48.53,32.5,1,2026-06-30
BIRLACORPN,48.81,1,-0.0715,0,0.5129,11.83,18.53,0,2026-06-30
BIRLAMONEY,53.93,1,0.39,1,0.6607,17.23,13.8,0,2026-06-30
BIRLANU,50.65,1,4.4382,1,0.5957,16.24,22.75,0,2026-06-30
BIRLAPREC,46.68,1,-0.1012,0,0.4608,7.74,15.67,0,2026-06-30
BLACKBUCK,44.31,1,0.7252,1,0.402,15.79,21.62,0,2026-06-30
BLAL,39.84,1,-0.1797,0,0.0642,3.6,25.69,1,2026-06-30
BLBLIMITED,47.55,1,-0.2028,1,0.3064,17.29,20.92,0,2026-06-30
BLIL,44.8,1,0.0851,1,0.4762,3.53,30.8,1,2026-06-30
BLISSGVS,79.13,0,2.5035,2,1.105,28.41,60.4,1,2026-06-30
BLKASHYAP,49.88,1,0.0928,1,0.5783,8.73,13.76,0,2026-06-30
BLS,35.41,1,-0.7312,0,-0.0113,8.42,9.73,0,2026-06-30
BLSE,65.95,1,-1.0266,1,0.9536,5.29,45.93,1,2026-06-30
BLUECOAST,78.0,0,0.6481,1,0.8454,54.3,53.05,1,2026-06-30
BLUEDART,46.84,1,23.8494,1,0.5835,9.58,21.37,0,2026-06-30
BLUEJET,63.29,1,1.0057,1,0.7829,21.36,39.81,1,2026-06-30
BLUESTARCO,47.27,1,5.2605,1,0.5528,10.99,14.59,0,2026-06-30
BLUESTONE,63.37,1,1.5972,2,0.8501,11.3,23.73,0,2026-06-30
BLUSPRING,68.0,1,0.6008,1,0.7776,48.87,53.83,1,2026-06-30
BMWVENTLTD,38.87,1,-0.1297,0,0.0342,7.0,14.51,0,2026-06-30
BODALCHEM,62.54,1,0.27,2,0.9309,18.9,43.27,1,2026-06-30
BOHRAIND,28.22,2,-0.3878,0,0.0362,44.6,17.54,0,2026-06-30
BOMDYEING,55.85,1,-0.2322,0,0.6658,15.32,27.51,1,2026-06-30
BONLON,41.08,1,-0.0935,0,0.257,16.38,15.06,0,2026-06-30
BORANA,40.0,1,-2.4859,0,-0.0111,10.01,18.88,0,2026-06-30
BOROLTD,54.55,1,1.824,1,0.8095,10.43,17.39,0,2026-06-30
BORORENEW,65.46,1,3.8152,1,0.7615,26.91,43.03,1,2026-06-30
BOROSCI,82.08,0,0.7348,2,1.2291,15.81,56.1,1,2026-06-30
BOSCH-HCIL,49.32,1,1.1457,1,0.4937,8.67,8.42,0,2026-06-30
BOSCHLTD,63.49,1,56.4346,1,0.7068,13.25,31.67,1,2026-06-30
BPCL,50.09,1,-0.0208,0,0.5398,13.7,14.28,0,2026-06-30
BPL,51.95,1,0.2223,1,0.643,17.4,29.37,1,2026-06-30
BRIGADE,43.41,1,-0.5054,0,0.3849,20.45,29.83,1,2026-06-30
BRIGHOTEL,47.89,1,-0.0493,0,0.4309,8.29,16.43,0,2026-06-30
BRITANNIA,41.8,1,10.9611,1,0.4209,4.8,21.13,0,2026-06-30
BRNL,36.03,1,0.0003,1,0.1089,6.31,16.44,0,2026-06-30
BROOKS,61.16,1,2.3427,1,0.736,90.98,39.23,1,2026-06-30
BSE,43.79,1,-31.1003,1,0.1949,8.48,18.53,0,2026-06-30
BSE500IETF,56.84,1,0.0496,1,0.6945,6.37,14.89,0,2026-06-30
BSHSL,51.31,1,-1.0275,1,0.2968,8.64,21.74,0,2026-06-30
BSL,64.35,1,0.6967,2,1.3166,9.97,25.79,1,2026-06-30
BSLGOLDETF,32.87,1,-0.8308,1,0.1196,13.33,21.55,0,2026-06-30
BSLNIFTY,56.22,1,0.0503,1,0.7058,6.27,32.89,1,2026-06-30
BSLSENETFG,53.92,1,0.1355,1,0.6514,7.72,22.5,0,2026-06-30
BSOFT,27.12,2,-2.3127,0,-0.126,15.79,14.8,0,2026-06-30
BTML,40.36,1,-0.0422,1,0.1402,11.93,28.5,1,2026-06-30
BTTL,66.84,1,1.3595,1,0.9521,49.88,23.75,0,2026-06-30
BUILDPRO,41.29,1,-2.9864,1,0.2941,18.92,10.48,0,2026-06-30
BUTTERFLY,46.48,1,-0.2307,0,0.3548,8.61,23.81,0,2026-06-30
BVCL,45.98,1,0.0186,1,0.3239,6.01,12.66,0,2026-06-30
BYKE,50.12,1,0.1333,2,0.5969,10.09,13.51,0,2026-06-30
CALSOFT,93.33,0,1.2876,2,1.1119,107.74,42.17,1,2026-06-30
CAMLINFINE,51.82,1,-0.6403,0,0.5271,22.63,29.1,1,2026-06-30
CAMPUS,46.13,1,-0.2103,1,0.3737,10.65,19.96,0,2026-06-30
CAMS,54.18,1,0.5967,1,0.6382,15.59,16.16,0,2026-06-30
CANBK,37.06,1,-0.825,0,-0.0376,9.17,13.21,0,2026-06-30
CANFINHOME,52.61,1,0.2368,1,0.6113,12.9,23.91,0,2026-06-30
CANHLIFE,51.4,1,-0.0536,1,0.6047,6.2,12.57,0,2026-06-30
CANTABIL,63.18,1,2.6511,1,0.8971,16.59,27.15,1,2026-06-30
CAPACITE,59.28,1,3.7082,1,0.7577,30.78,28.45,1,2026-06-30
CAPILLARY,54.43,1,2.5909,2,0.9945,4.35,19.03,0,2026-06-30
CAPITALSFB,47.3,1,-1.0238,0,0.4338,12.35,20.72,0,2026-06-30
CAPLIPOINT,79.01,0,13.3019,2,0.8699,34.3,62.77,1,2026-06-30
CAPTRUST,33.89,1,-0.1292,1,0.154,25.45,28.19,1,2026-06-30
CARBORUNIV,61.48,1,5.0132,1,0.738,28.64,46.7,1,2026-06-30
CARERATING,48.86,1,1.1977,1,0.5184,8.7,13.27,0,2026-06-30
CARRARO,45.28,1,1.736,1,0.4543,17.38,19.49,0,2026-06-30
CARTRADE,74.21,0,17.3137,1,0.785,47.88,57.28,1,2026-06-30
CARYSIL,60.23,1,-6.4528,1,0.7052,14.93,36.79,1,2026-06-30
CASHIETF,100.0,0,0.0337,1,0.9256,0.46,43.69,1,2026-06-30
CASTROLIND,50.03,1,0.02,1,0.5066,3.13,21.24,0,2026-06-30
CCAVENUE,75.52,0,0.2845,1,0.979,27.76,32.07,1,2026-06-30
CCCL,60.8,1,0.3483,1,0.8559,33.18,25.6,1,2026-06-30
CCHHL,42.74,1,-0.0031,0,0.1191,6.26,16.52,0,2026-06-30
CCL,62.57,1,4.4758,2,0.8192,12.8,37.12,1,2026-06-30
CDSL,55.93,1,3.7124,1,0.6415,19.17,25.51,1,2026-06-30
CEATLTD,57.69,1,15.3913,1,0.7393,17.81,13.75,0,2026-06-30
CEIGALL,66.02,1,1.1884,2,0.9289,13.09,36.26,1,2026-06-30
CEINSYS,40.42,1,0.8294,1,0.0927,6.36,16.07,0,2026-06-30
CELEBRITY,49.38,1,0.0167,1,0.5285,12.35,20.1,0,2026-06-30
CELLO,38.15,1,-0.2044,0,0.0005,5.89,22.35,0,2026-06-30
CEMPRO,69.13,1,-2.8682,1,0.9168,24.32,48.68,1,2026-06-30
CENTENKA,57.43,1,-1.2685,0,0.6947,10.15,46.79,1,2026-06-30
CENTEXT,39.16,1,-0.0487,0,0.1486,7.77,24.39,0,2026-06-30
CENTRALBK,50.79,1,0.2473,1,0.6641,15.83,25.24,1,2026-06-30
CENTRUM,43.35,1,0.0536,1,0.3739,11.34,19.75,0,2026-06-30
CENTUM,65.76,1,0.9037,2,0.9504,14.66,30.94,1,2026-06-30
CENTURYPLY,46.78,1,0.0736,2,0.4358,5.35,9.72,0,2026-06-30
CERA,64.87,1,20.6232,1,0.7628,24.2,41.48,1,2026-06-30
CESC,44.26,1,-0.2926,1,0.3334,9.94,16.3,0,2026-06-30
CEWATER,58.04,1,5.8107,1,0.6841,64.06,32.53,1,2026-06-30
CGCL,74.04,0,0.4924,2,0.964,16.92,47.14,1,2026-06-30
CGPOWER,59.21,1,-2.7876,0,0.7145,9.32,26.14,1,2026-06-30
CHALET,59.35,1,5.9978,1,0.7866,15.81,22.74,0,2026-06-30
CHAMBLFERT,48.74,1,-1.6787,0,0.3928,9.0,15.58,0,2026-06-30
CHEMBOND,66.9,1,4.0,1,0.8507,44.11,35.34,1,2026-06-30
CHEMBONDCH,61.87,1,3.3488,1,0.7989,40.71,35.95,1,2026-06-30
CHEMCON,49.23,1,-0.9774,0,0.3393,15.05,41.72,1,2026-06-30
CHEMFAB,55.98,1,0.552,1,0.6234,19.14,36.07,1,2026-06-30
CHEMICAL,54.18,1,-0.0256,0,0.66,4.97,13.4,0,2026-06-30
CHEMPLASTS,38.13,1,-0.0133,0,0.2501,15.99,14.37,0,2026-06-30
CHENNPETRO,55.37,1,-5.6964,1,0.4984,12.54,16.32,0,2026-06-30
CHEVIOT,47.43,1,3.6292,1,0.5687,6.11,9.23,0,2026-06-30
CHOICEGOLD,32.76,1,-0.92,1,0.1205,13.16,21.56,0,2026-06-30
CHOICEIN,69.92,1,6.362,2,0.9553,18.88,21.27,0,2026-06-30
CHOLAFIN,70.7,0,21.2165,1,0.8366,31.28,31.42,1,2026-06-30
CHOLAHLDNG,62.96,1,18.4384,1,0.8562,21.61,20.99,0,2026-06-30
CIEINDIA,48.89,1,1.1883,1,0.5404,10.41,15.37,0,2026-06-30
CIFL,37.98,1,0.0492,1,0.2529,14.64,20.95,0,2026-06-30
CIGNITITEC,52.67,1,8.0492,1,0.5826,21.4,20.74,0,2026-06-30
CINELINE,52.11,1,0.1283,2,0.7578,6.78,19.29,0,2026-06-30
CINEVISTA,63.82,1,0.2488,2,1.0327,20.02,21.08,0,2026-06-30
CIPLA,70.21,0,7.4866,2,1.0228,9.45,24.01,0,2026-06-30
CLEAN,44.27,1,-1.3945,0,0.2236,8.91,22.88,0,2026-06-30
CLEANMAX,57.43,1,-2.202,0,0.6663,29.82,36.57,1,2026-06-30
CLEDUCATE,46.3,1,0.7882,2,0.5529,26.6,34.4,1,2026-06-30
CLSEL,50.66,1,-0.4926,0,0.5107,14.69,24.55,0,2026-06-30
CMPDI,55.11,1,-1.2774,0,0.6169,16.64,34.31,1,2026-06-30
CMSINFO,33.38,1,-1.2161,0,-0.1627,8.37,14.67,0,2026-06-30
CNL,61.16,1,0.4137,1,0.6676,22.47,32.97,1,2026-06-30
COALINDIA,39.78,1,-1.5215,1,0.2085,11.27,18.13,0,2026-06-30
COASTCORP,40.77,1,0.1539,1,0.427,14.63,19.03,0,2026-06-30
COCHINSHIP,53.77,1,9.1397,2,0.9381,9.02,17.43,0,2026-06-30
COCKERILL,61.53,1,-183.6004,1,0.5108,23.44,38.6,1,2026-06-30
COFFEEDAY,84.26,0,1.7677,1,0.9844,84.27,35.47,1,2026-06-30
COFORGE,56.22,1,-1.2705,0,0.5964,11.17,17.91,0,2026-06-30
COHANCE,60.09,1,3.485,2,0.8718,15.0,34.59,1,2026-06-30
COLPAL,43.63,1,-2.0241,1,0.3531,6.55,13.25,0,2026-06-30
COMFINTE,37.42,1,0.0288,1,0.1473,7.01,10.1,0,2026-06-30
COMMOIETF,38.35,1,-0.196,0,0.1861,5.52,16.05,0,2026-06-30
COMPUSOFT,42.78,1,-0.039,0,0.1169,5.9,27.98,1,2026-06-30
COMSYN,49.96,1,-0.5658,0,0.4548,15.54,33.65,1,2026-06-30
CONCOR,52.63,1,3.2683,1,0.8119,9.83,22.62,0,2026-06-30
CONCORDBIO,53.45,1,-11.6749,0,0.451,19.01,27.32,1,2026-06-30
CONFIPET,59.38,1,-0.4169,1,0.571,16.99,26.58,1,2026-06-30
CONS,46.74,1,0.0791,1,0.6733,7.2,19.86,0,2026-06-30
CONSOFINVT,46.61,1,-1.1353,1,0.3075,11.35,27.28,1,2026-06-30
CONSUMBEES,55.58,1,0.1924,1,0.6953,6.95,13.73,0,2026-06-30
CONSUMER,61.9,1,0.0252,1,0.773,9.84,20.04,0,2026-06-30
CONSUMIETF,57.51,1,0.228,1,0.7353,7.38,32.09,1,2026-06-30
CONTROLPR,48.93,1,1.7429,1,0.5556,8.85,19.1,0,2026-06-30
CORALFINAC,41.44,1,-0.006,0,0.14,4.67,9.86,0,2026-06-30
CORDSCABLE,69.02,1,3.0021,1,0.9027,32.06,40.28,1,2026-06-30
COROMANDEL,56.73,1,5.3893,2,0.7024,22.76,23.7,0,2026-06-30
CORONA,69.12,1,19.654,1,0.9426,20.96,45.17,1,2026-06-30
COSMOFIRST,57.04,1,4.4901,1,0.7409,16.39,23.36,0,2026-06-30
COUNCODOS,45.16,1,-0.0022,1,0.328,6.17,26.45,1,2026-06-30
CPCAP,55.16,1,0.0623,1,0.5981,19.07,23.83,0,2026-06-30
CPEDU,58.1,1,3.2051,1,0.725,32.23,23.37,0,2026-06-30
CPPLUS,69.01,1,-15.2139,0,0.8216,14.65,53.39,1,2026-06-30
CPSEETF,34.01,1,0.0317,1,0.2255,5.96,36.69,1,2026-06-30
CRAFTSMAN,59.8,1,-28.2866,0,0.7095,11.27,40.43,1,2026-06-30
CRAMC,47.13,1,-0.3561,0,0.3748,7.17,19.02,0,2026-06-30
CREATIVE,63.46,1,1.28,2,1.2251,8.86,30.11,1,2026-06-30
CREATIVEYE,36.01,1,-0.0284,0,0.0574,11.34,21.19,0,2026-06-30
CREDITACC,66.64,1,12.9347,2,0.9141,23.49,24.86,0,2026-06-30
CREST,50.37,1,-0.8557,0,0.4975,20.6,41.57,1,2026-06-30
CRISIL,52.21,1,13.7682,1,0.6554,12.03,20.42,0,2026-06-30
CRIZAC,43.02,1,-1.462,1,0.2075,11.35,12.81,0,2026-06-30
CROMPTON,52.42,1,1.0558,1,0.6977,11.8,17.27,0,2026-06-30
CROWN,44.19,1,0.6109,1,0.5183,7.1,13.04,0,2026-06-30
CSBBANK,40.42,1,-3.2246,1,0.1668,14.68,17.44,0,2026-06-30
CSLFINANCE,50.96,1,0.4695,2,0.7624,4.23,16.05,0,2026-06-30
CTE,51.63,1,-0.2257,1,0.331,8.42,29.29,1,2026-06-30
CUB,63.46,1,1.0092,2,0.9432,14.86,25.31,1,2026-06-30
CUBEXTUB,32.34,1,-0.0965,0,-0.1284,8.6,14.97,0,2026-06-30
CUMMINSIND,51.47,1,-34.3822,1,0.4061,6.89,19.73,0,2026-06-30
CUPID,89.07,0,1.8022,1,0.8645,48.85,37.41,1,2026-06-30
CYBERMEDIA,55.64,1,0.0119,1,0.5918,23.7,50.78,1,2026-06-30
CYBERTECH,54.17,1,0.5372,1,0.669,17.77,25.76,1,2026-06-30
CYIENT,45.98,1,0.4521,1,0.3887,8.79,12.75,0,2026-06-30
CYIENTDLM,56.04,1,-2.3259,0,0.5313,11.7,41.72,1,2026-06-30
DABUR,41.85,1,0.6266,1,0.3264,3.69,10.95,0,2026-06-30
DALBHARAT,45.24,1,7.5563,1,0.5215,8.31,21.18,0,2026-06-30
DALMIASUG,37.83,1,-0.0575,0,0.174,7.28,14.95,0,2026-06-30
DAMCAPITAL,44.48,1,-0.1334,0,0.3527,10.32,18.31,0,2026-06-30
DAMODARIND,46.71,1,-0.1065,0,0.2228,7.99,29.64,1,2026-06-30
DANGEE,53.36,1,0.0176,2,0.811,8.19,11.98,0,2026-06-30
DATAMATICS,55.88,1,-0.8308,1,0.6779,9.25,12.21,0,2026-06-30
DATAPATTNS,53.64,1,-27.0626,0,0.5337,23.82,23.31,0,2026-06-30
DAVANGERE,39.36,1,-0.0016,1,0.1887,4.26,12.37,0,2026-06-30
DBCORP,26.91,2,-0.9171,0,-0.2002,7.95,17.79,0,2026-06-30
DBEIL,57.25,1,0.035,2,0.6649,19.19,26.68,1,2026-06-30
DBL,53.53,1,3.4491,1,0.6989,12.97,20.43,0,2026-06-30
DBOL,65.74,1,0.5129,1,0.7282,31.89,39.98,1,2026-06-30
DBREALTY,47.59,1,-1.1646,0,0.4237,45.49,28.71,1,2026-06-30
DBSTOCKBRO,62.56,1,0.0363,2,0.8847,17.93,40.02,1,2026-06-30
DCAL,46.15,1,-0.7488,1,0.3868,20.39,12.99,0,2026-06-30
DCBBANK,55.06,1,0.6799,1,0.6992,11.6,14.49,0,2026-06-30
DCI,81.1,0,10.0894,2,1.0072,54.29,46.55,1,2026-06-30
DCM,59.21,1,-0.2372,0,0.6622,22.35,46.25,1,2026-06-30
DCMFINSERV,86.98,0,0.4245,2,1.2156,93.4,27.55,1,2026-06-30
DCMNVL,55.49,1,-1.0122,0,0.5291,37.48,55.22,1,2026-06-30
DCMSHRIRAM,34.46,1,2.5798,1,0.0025,5.27,20.79,0,2026-06-30
DCMSRIND,43.22,1,-0.0077,1,0.2935,8.81,8.78,0,2026-06-30
DCW,47.71,1,-0.1259,0,0.4141,12.96,18.56,0,2026-06-30
DCXINDIA,52.73,1,0.7634,2,0.6884,16.24,13.38,0,2026-06-30
DDEVPLSTIK,61.29,1,1.2722,1,0.7575,18.52,37.98,1,2026-06-30
DECCANCE,52.42,1,4.1253,2,0.7183,9.42,17.76,0,2026-06-30
DECNGOLD,58.1,1,-1.2014,0,0.6181,48.2,54.25,1,2026-06-30
DEEDEV,66.59,1,0.3169,1,0.7141,29.34,46.76,1,2026-06-30
DEEPAKFERT,60.13,1,-5.6876,0,0.6705,16.28,36.38,1,2026-06-30
DEEPAKNTR,33.65,1,-9.3408,0,-0.1569,9.32,23.0,0,2026-06-30
DEEPINDS,36.7,1,-6.1354,0,-0.0399,15.74,19.55,0,2026-06-30
DEFENCE,59.11,1,0.0335,1,0.7395,10.86,27.16,1,2026-06-30
DELHIVERY,57.79,1,2.618,1,0.7957,14.2,19.28,0,2026-06-30
DELPHIFX,34.98,1,0.0335,2,0.238,22.86,16.01,0,2026-06-30
DELTACORP,41.29,1,-0.1021,0,0.2172,8.5,17.64,0,2026-06-30
DELTAMAGNT,49.45,1,0.1162,1,0.5028,10.57,29.82,1,2026-06-30
DEN,50.22,1,0.0125,1,0.5196,31.65,37.58,1,2026-06-30
DENORA,67.21,1,12.1046,1,0.7838,38.45,39.56,1,2026-06-30
DENTA,69.95,1,8.274,1,0.8737,52.8,34.8,1,2026-06-30
DEVIT,52.68,1,-0.029,1,0.7021,12.87,15.38,0,2026-06-30
DEVX,36.7,1,0.0465,2,0.1954,5.66,17.18,0,2026-06-30
DEVYANI,44.51,1,-0.0864,0,0.3756,9.53,18.33,0,2026-06-30
DGCONTENT,49.91,1,0.1507,1,0.588,12.94,17.25,0,2026-06-30
DHAMPURSUG,44.45,1,-0.3226,1,0.299,6.58,11.57,0,2026-06-30
DHANBANK,43.81,1,-0.2793,0,0.1898,13.62,21.94,0,2026-06-30
DHANI,30.19,1,-0.5164,0,-0.0331,24.1,31.35,1,2026-06-30
DHANUKA,42.01,1,-2.5063,1,0.1897,5.46,13.17,0,2026-06-30
DHARMAJ,43.73,1,-1.5088,1,0.2617,10.53,20.81,0,2026-06-30
DHRUV,43.66,1,-0.4126,0,-0.006,11.82,16.04,0,2026-06-30
DHUNINV,56.63,1,7.4686,1,0.8175,16.24,20.71,0,2026-06-30
DIACABS,58.81,1,-0.6841,1,0.7659,12.76,44.25,1,2026-06-30
DIAMINESQ,42.99,1,-0.1014,0,0.1983,6.82,19.34,0,2026-06-30
DIAMONDYD,59.8,1,-3.9234,1,0.7357,8.17,39.67,1,2026-06-30
DICIND,50.68,1,1.128,1,0.6474,9.4,19.83,0,2026-06-30
DIFFNKG,84.15,0,4.6524,2,1.0133,32.53,51.65,1,2026-06-30
DIGIDRIVE,47.21,1,0.1374,2,0.7517,6.97,17.21,0,2026-06-30
DIGISPICE,77.56,0,0.4116,1,0.8832,39.36,37.51,1,2026-06-30
DIGITIDE,45.48,1,0.1202,1,0.3567,11.67,13.34,0,2026-06-30
DIGJAMLMTD,52.37,1,0.2746,1,0.7376,9.13,27.18,1,2026-06-30
DIL,41.96,1,0.0059,1,0.3608,8.22,40.04,1,2026-06-30
DISAQ,49.94,1,64.5652,1,0.5757,16.89,22.26,0,2026-06-30
DISHTV,67.8,1,0.1403,1,0.8148,92.7,49.16,1,2026-06-30
DIVGIITTS,77.04,0,7.9862,2,1.2823,23.58,28.48,1,2026-06-30
DIVIDEND,36.84,1,-0.0526,0,0.1248,5.59,13.12,0,2026-06-30
DIVISLAB,44.46,1,-15.4379,0,0.2572,4.91,23.3,0,2026-06-30
DIVOPPBEES,36.36,1,-0.0893,0,0.0296,4.13,11.58,0,2026-06-30
DIXON,52.17,1,-48.5347,0,0.5262,15.13,17.81,0,2026-06-30
DJML,62.61,1,-0.7138,0,0.7138,16.38,38.95,1,2026-06-30
DLF,56.78,1,1.1745,1,0.6873,16.68,21.1,0,2026-06-30
DLINKINDIA,62.31,1,-0.5772,0,0.6687,13.42,37.76,1,2026-06-30
DMART,61.34,1,29.9421,1,0.8467,12.55,25.85,1,2026-06-30
DMCC,46.21,1,1.6905,1,0.5515,10.24,15.74,0,2026-06-30
DNAMEDIA,32.42,1,-0.0173,0,-0.0127,10.16,17.18,0,2026-06-30
DODLA,56.82,1,2.4871,1,0.8345,6.37,11.12,0,2026-06-30
DOLATALGO,40.19,1,-0.2505,0,0.2169,9.22,13.87,0,2026-06-30
DOLLAR,54.06,1,2.7276,1,0.8379,12.33,21.52,0,2026-06-30
DOLPHIN,28.0,2,-1.5869,1,0.0404,9.13,19.22,0,2026-06-30
DOMS,56.92,1,6.4707,2,0.7364,15.26,14.33,0,2026-06-30
DONEAR,37.57,1,-0.3408,0,-0.1047,7.39,17.44,0,2026-06-30
DPABHUSHAN,48.96,1,7.7207,1,0.7042,7.76,14.1,0,2026-06-30
DPSCLTD,43.89,1,-0.1155,0,-0.1564,9.2,23.25,0,2026-06-30
DPWIRES,60.18,1,2.7591,1,0.781,27.17,36.04,1,2026-06-30
DRAGARWQ,55.08,1,7.3513,2,0.7759,5.36,37.89,1,2026-06-30
DRCSYSTEMS,46.88,1,0.0219,2,0.4995,6.57,14.9,0,2026-06-30
DREAMFOLKS,38.09,1,-0.2134,1,0.2209,13.76,12.06,0,2026-06-30
DREDGECORP,49.19,1,-11.7714,0,0.3354,20.27,18.55,0,2026-06-30
DRREDDY,66.55,1,10.8092,2,1.0024,10.2,23.73,0,2026-06-30
DSFCL,35.64,1,-0.1413,1,0.1689,15.6,22.64,0,2026-06-30
DSSL,48.12,1,-6.1182,1,0.5053,20.48,21.08,0,2026-06-30
DTIL,54.29,1,0.5169,1,0.7616,9.45,22.06,0,2026-06-30
DUCON,62.99,1,0.1284,1,0.8875,50.83,31.74,1,2026-06-30
DVL,41.31,1,-0.6474,0,0.1017,5.41,11.57,0,2026-06-30
DWARKESH,45.48,1,-0.1015,1,0.2538,7.32,9.52,0,2026-06-30
DYCL,61.13,1,4.8319,1,0.8103,28.61,26.88,1,2026-06-30
DYNAMATECH,47.34,1,-12.3623,1,0.4775,12.13,14.0,0,2026-06-30
DYNPRO,52.43,1,-0.3236,1,0.4784,16.22,18.7,0,2026-06-30
E2E,52.5,1,-5.928,0,0.3619,23.1,33.78,1,2026-06-30
EASEMYTRIP,36.04,1,-0.1246,0,0.2283,35.15,23.11,0,2026-06-30
EBANKNIFTY,64.99,1,0.1374,1,0.7394,11.27,21.76,0,2026-06-30
EBBETF0430,79.05,0,1.0004,1,0.8341,2.9,28.68,1,2026-06-30
EBBETF0431,77.81,0,1.0816,1,0.8073,3.27,58.83,1,2026-06-30
EBBETF0433,79.47,0,1.5974,1,0.8806,3.74,47.34,1,2026-06-30
EBGNG,80.42,0,16.4744,2,1.0918,53.92,36.07,1,2026-06-30
ECAPINSURE,51.08,1,0.0377,1,0.6149,9.74,14.3,0,2026-06-30
ECLERX,37.25,1,-4.6994,0,0.0499,12.71,15.65,0,2026-06-30
ECOSMOBLTY,48.89,1,1.2191,1,0.4555,24.73,19.3,0,2026-06-30
EDELWEISS,54.56,1,0.5787,1,0.6355,24.67,22.83,0,2026-06-30
EFCIL,51.45,1,0.1267,2,0.6216,9.81,16.16,0,2026-06-30
EGOLD,32.4,1,-0.9253,1,0.1306,13.49,30.88,1,2026-06-30
EICHERMOT,38.96,1,-27.4416,0,0.1775,12.09,16.22,0,2026-06-30
EIDPARRY,39.02,1,2.0868,2,0.3101,8.44,43.35,1,2026-06-30
EIEL,66.57,1,3.6705,1,0.8769,34.29,27.32,1,2026-06-30
