symbol,sector,close_now,as_of_date,price_score,ath_proximity_score,sector_flow_score,deal_score,corporate_score,base_score,market_regime,regime_multiplier,bull_run_score,label,trend_signal,driving_participant,ret_30d,ret_90d,ret_365d,vol_ratio
INDORAMA,TEXTILES,54.76,2026-08-17,74.65,46.02,38.69,50.0,50.0,53.1,NEUTRAL,0.9,47.79,WATCHLIST,UPTREND,RETAIL,7.08,51.82,,0.225
NMDC,METAL,85.5,2026-08-17,56.78,75.4,39.98,50.0,38.89,53.1,NEUTRAL,0.9,47.79,WATCHLIST,CONSOLIDATING,DII,1.69,-6.47,22.35,2.272
MOGOLD,OTHER,150.85,2026-08-17,68.61,50.0,42.21,50.0,50.0,53.09,NEUTRAL,0.9,47.78,WATCHLIST,UNKNOWN,RETAIL,8.29,-2.49,49.36,0.557
PNGJL,FMCG,610.4,2026-08-17,62.1,65.78,34.44,50.0,50.0,53.07,NEUTRAL,0.9,47.76,WATCHLIST,UPTREND,RETAIL,2.58,6.36,7.46,0.303
WOCKPHARMA,PHARMA,1898.8,2026-08-17,69.61,56.78,34.05,50.0,50.0,53.07,NEUTRAL,0.9,47.76,WATCHLIST,CONSOLIDATING,RETAIL,1.19,22.83,29.15,0.51
CUMMINSIND,CAPITAL_GOODS,5450.0,2026-08-17,52.91,78.68,37.1,50.0,44.44,53.05,NEUTRAL,0.9,47.74,WATCHLIST,CONSOLIDATING,RETAIL,-2.54,1.08,42.06,1.075
INDNIPPON,CAPITAL_GOODS,1138.5,2026-08-17,56.6,78.14,37.1,50.0,38.89,53.03,NEUTRAL,0.9,47.73,WATCHLIST,UPTREND,RETAIL,-5.6,51.68,45.45,0.499
ACMESOLAR,POWER,364.9,2026-08-17,53.02,83.06,36.59,50.0,38.89,53.02,NEUTRAL,0.9,47.72,WATCHLIST,CONSOLIDATING,DII,-7.39,32.21,27.72,0.568
SIRCA,CHEMICALS,439.45,2026-08-17,68.77,63.06,32.75,50.0,44.44,53.02,NEUTRAL,0.9,47.72,WATCHLIST,DOWNTREND,RETAIL,11.72,0.72,-3.8,1.27
MOALPHA50,OTHER,56.24,2026-08-17,68.19,50.0,42.21,50.0,50.0,52.99,NEUTRAL,0.9,47.69,WATCHLIST,UNKNOWN,RETAIL,4.42,8.66,11.9,0.645
ALKYLAMINE,CHEMICALS,1920.1,2026-08-17,57.81,80.54,32.75,50.0,38.89,52.94,NEUTRAL,0.9,47.65,WATCHLIST,STRONG_UPTREND,RETAIL,1.64,11.47,-7.14,0.442
ZFCVINDIA,FINANCIAL_SERVICES,2623.7,2026-08-17,46.64,72.38,38.17,50.0,61.11,52.94,NEUTRAL,0.9,47.65,WATCHLIST,STRONG_UPTREND,RETAIL,12.58,-81.93,-81.61,0.563
GPTHEALTH,HEALTHCARE,153.32,2026-08-17,52.19,75.22,40.84,50.0,44.44,52.93,NEUTRAL,0.9,47.64,WATCHLIST,CONSOLIDATING,RETAIL,-0.3,8.32,1.36,0.385
OBCL,LOGISTICS,53.99,2026-08-17,53.87,74.16,35.49,50.0,50.0,52.9,NEUTRAL,0.9,47.61,WATCHLIST,DOWNTREND,RETAIL,2.51,-0.24,-4.17,0.311
GOKEX,TEXTILES,804.1,2026-08-17,55.8,68.42,38.69,50.0,50.0,52.87,NEUTRAL,0.9,47.58,WATCHLIST,UPTREND,RETAIL,-3.91,16.93,16.73,1.338
YESBANK,BANKING,22.92,2026-08-17,48.61,77.82,38.23,50.0,50.0,52.86,NEUTRAL,0.9,47.57,WATCHLIST,CONSOLIDATING,DII,-3.49,3.85,20.95,0.98
BBNPPGOLD,OTHER,147.8,2026-08-17,67.65,50.0,42.21,50.0,50.0,52.85,NEUTRAL,0.9,47.57,WATCHLIST,UNKNOWN,RETAIL,8.24,-2.15,50.28,0.23
ICICIAMC,AMC,3136.0,2026-08-17,49.86,73.7,44.87,50.0,44.44,52.84,NEUTRAL,0.9,47.56,WATCHLIST,INSUFFICIENT_DATA,DII,0.84,-1.99,,1.342
AEGISVOPAK,ENERGY,269.5,2026-08-17,61.04,73.04,35.62,50.0,38.89,52.83,NEUTRAL,0.9,47.55,WATCHLIST,UPTREND,DII,0.09,36.3,5.61,0.419
JUNIORBEES,OTHER,808.27,2026-08-17,67.55,50.0,42.21,50.0,50.0,52.83,NEUTRAL,0.9,47.55,WATCHLIST,UNKNOWN,RETAIL,4.03,8.08,12.48,0.79
PVSL,AUTO,115.9,2026-08-17,77.51,42.2,37.52,50.0,50.0,52.82,NEUTRAL,0.9,47.54,WATCHLIST,STRONG_UPTREND,RETAIL,16.63,14.3,2.85,0.29
NEXT50IETF,OTHER,78.92,2026-08-17,67.49,50.0,42.21,50.0,50.0,52.81,NEUTRAL,0.9,47.53,WATCHLIST,UNKNOWN,RETAIL,4.27,8.14,12.36,0.637
PRESTIGE,REALTY,1591.9,2026-08-17,53.99,76.36,40.96,50.0,38.89,52.8,NEUTRAL,0.9,47.52,WATCHLIST,UPTREND,DII,-3.03,18.6,-1.06,1.695
ORIENTCER,CAPITAL_GOODS,44.08,2026-08-17,73.62,55.64,37.1,50.0,38.89,52.79,NEUTRAL,0.9,47.51,WATCHLIST,STRONG_UPTREND,RETAIL,4.6,8.01,17.23,2.215
HDFCPSUBK,OTHER,87.93,2026-08-17,67.28,50.0,42.21,50.0,50.0,52.76,NEUTRAL,0.9,47.48,WATCHLIST,UNKNOWN,RETAIL,4.26,7.88,27.31,0.181
ESILVER,OTHER,233.54,2026-08-17,67.22,50.0,42.21,50.0,50.0,52.75,NEUTRAL,0.9,47.48,WATCHLIST,UNKNOWN,RETAIL,7.84,-10.62,99.97,2.843
METAL,OTHER,13.26,2026-08-17,67.26,50.0,42.21,50.0,50.0,52.76,NEUTRAL,0.9,47.48,WATCHLIST,UNKNOWN,RETAIL,4.99,-1.19,42.12,1.426
PARKHOSPS,HEALTHCARE,276.65,2026-08-17,43.17,81.4,40.84,50.0,50.0,52.74,NEUTRAL,0.9,47.47,WATCHLIST,INSUFFICIENT_DATA,RETAIL,-4.8,13.17,,0.483
IMFA,METAL,1398.7,2026-08-17,59.09,66.52,39.98,50.0,44.44,52.74,NEUTRAL,0.9,47.47,WATCHLIST,UPTREND,DII,2.71,-5.27,62.22,0.398
UNIONGOLD,OTHER,149.25,2026-08-17,67.13,50.0,42.21,50.0,50.0,52.72,NEUTRAL,0.9,47.45,WATCHLIST,UNKNOWN,RETAIL,7.92,-1.58,50.61,0.054
INDHOTEL,HOSPITALITY,720.0,2026-08-17,50.56,81.7,39.46,50.0,38.89,52.71,NEUTRAL,0.9,47.44,WATCHLIST,CONSOLIDATING,MIXED,-1.57,9.71,-6.38,0.366
GULPOLY,AGRICULTURE,192.06,2026-08-17,62.72,68.74,40.11,47.09,38.89,52.7,NEUTRAL,0.9,47.43,WATCHLIST,CONSOLIDATING,DII,6.12,0.97,16.78,0.235
SANGAMIND,TEXTILES,592.45,2026-08-17,52.18,76.2,38.69,50.0,44.44,52.69,NEUTRAL,0.9,47.42,WATCHLIST,UPTREND,RETAIL,-5.71,19.37,71.58,0.175
MIDSELIETF,OTHER,19.95,2026-08-17,67.01,50.0,42.21,50.0,50.0,52.69,NEUTRAL,0.9,47.42,WATCHLIST,UNKNOWN,RETAIL,2.99,11.2,15.45,0.621
MEDICO,PHARMA,44.27,2026-08-17,71.3,55.66,34.05,47.09,50.0,52.68,NEUTRAL,0.9,47.41,WATCHLIST,DOWNTREND,RETAIL,13.89,0.0,11.32,0.484
NEXT50,OTHER,770.26,2026-08-17,66.94,50.0,42.21,50.0,50.0,52.68,NEUTRAL,0.9,47.41,WATCHLIST,UNKNOWN,RETAIL,4.08,7.89,12.54,0.642
TPHQ,INFRASTRUCTURE,0.58,2026-08-17,80.71,34.88,40.08,50.0,50.0,52.67,NEUTRAL,0.9,47.4,WATCHLIST,STRONG_UPTREND,DII,31.82,9.43,,2.874
GAIL,ENERGY,172.1,2026-08-17,51.39,84.2,35.62,50.0,38.89,52.64,NEUTRAL,0.9,47.38,WATCHLIST,CONSOLIDATING,DII,0.23,6.15,0.27,0.348
BATLIBOI,CAPITAL_GOODS,87.85,2026-08-17,65.6,64.98,37.1,50.0,38.89,52.65,NEUTRAL,0.9,47.38,WATCHLIST,INSUFFICIENT_DATA,RETAIL,6.16,7.57,,0.248
METALIETF,OTHER,13.24,2026-08-17,66.83,50.0,42.21,50.0,50.0,52.65,NEUTRAL,0.9,47.38,WATCHLIST,UNKNOWN,RETAIL,5.41,-1.05,42.37,0.821
MUNJALSHOW,AUTO,136.62,2026-08-17,52.31,81.08,37.52,50.0,38.89,52.63,NEUTRAL,0.9,47.37,WATCHLIST,UPTREND,RETAIL,0.81,4.37,-0.61,0.72
SHRINGARMS,FMCG,227.24,2026-08-17,56.4,70.54,34.44,50.0,50.0,52.6,NEUTRAL,0.9,47.34,WATCHLIST,STRONG_UPTREND,RETAIL,0.54,10.0,,0.685
MAMATA,CAPITAL_GOODS,405.6,2026-08-17,68.03,57.52,37.1,50.0,44.44,52.6,NEUTRAL,0.9,47.34,WATCHLIST,UPTREND,RETAIL,7.19,1.31,0.83,2.284
SAIL,METAL,173.6,2026-08-17,62.6,65.56,39.98,50.0,38.89,52.59,NEUTRAL,0.9,47.33,WATCHLIST,STRONG_UPTREND,DII,6.09,-9.77,44.74,0.651
JUBLFOOD,HOSPITALITY,511.5,2026-08-17,72.87,53.2,39.46,50.0,38.89,52.58,NEUTRAL,0.9,47.32,WATCHLIST,STRONG_UPTREND,MIXED,20.88,10.87,-20.18,0.56
ONEPOINT,IT,57.21,2026-08-17,53.52,73.76,37.5,47.09,50.0,52.55,NEUTRAL,0.9,47.3,WATCHLIST,STRONG_UPTREND,RETAIL,4.32,-7.11,,0.436
SHYAMMETL,METAL,986.9,2026-08-17,46.72,81.08,39.98,50.0,44.44,52.56,NEUTRAL,0.9,47.3,WATCHLIST,CONSOLIDATING,DII,-5.15,12.5,4.83,0.787
HDFCNEXT50,OTHER,76.35,2026-08-17,66.42,50.0,42.21,50.0,50.0,52.55,NEUTRAL,0.9,47.3,WATCHLIST,UNKNOWN,RETAIL,4.3,7.81,12.26,0.428
SBIETFIT,OTHER,341.85,2026-08-17,66.32,50.0,42.21,50.0,50.0,52.52,NEUTRAL,0.9,47.27,WATCHLIST,UNKNOWN,RETAIL,7.08,11.83,-13.02,0.578
SBISILVER,OTHER,229.2,2026-08-17,66.24,50.0,42.21,50.0,50.0,52.5,NEUTRAL,0.9,47.25,WATCHLIST,UNKNOWN,RETAIL,8.07,-10.07,100.07,0.852
ITBEES,OTHER,34.24,2026-08-17,66.19,50.0,42.21,50.0,50.0,52.49,NEUTRAL,0.9,47.24,WATCHLIST,UNKNOWN,RETAIL,7.44,11.6,-12.79,0.459
PINELABS,FINANCIAL_SERVICES,162.63,2026-08-17,62.88,14.52,38.17,93.63,50.0,52.48,NEUTRAL,0.9,47.23,WATCHLIST,INSUFFICIENT_DATA,RETAIL,4.54,6.66,,0.349
ABSLNN50ET,OTHER,78.38,2026-08-17,66.04,50.0,42.21,50.0,50.0,52.45,NEUTRAL,0.9,47.21,WATCHLIST,UNKNOWN,RETAIL,3.95,7.38,11.99,0.602
TATSILV,OTHER,22.7,2026-08-17,66.06,50.0,42.21,50.0,50.0,52.46,NEUTRAL,0.9,47.21,WATCHLIST,UNKNOWN,RETAIL,8.04,-10.13,100.53,0.824
SILVERCASE,OTHER,23.71,2026-08-17,65.91,50.0,42.21,50.0,50.0,52.42,NEUTRAL,0.9,47.18,WATCHLIST,UNKNOWN,RETAIL,8.17,-10.9,99.92,0.872
HDFCSILVER,OTHER,223.64,2026-08-17,65.91,50.0,42.21,50.0,50.0,52.42,NEUTRAL,0.9,47.18,WATCHLIST,UNKNOWN,RETAIL,8.05,-10.16,99.55,0.815
MONEXT50,OTHER,74.99,2026-08-17,65.88,50.0,42.21,50.0,50.0,52.41,NEUTRAL,0.9,47.17,WATCHLIST,UNKNOWN,RETAIL,4.41,8.29,12.65,0.034
SELECTIPO,OTHER,48.42,2026-08-17,65.87,50.0,42.21,50.0,50.0,52.41,NEUTRAL,0.9,47.17,WATCHLIST,UNKNOWN,RETAIL,3.99,13.85,-1.71,0.695
ITIETF,OTHER,34.27,2026-08-17,65.89,50.0,42.21,50.0,50.0,52.41,NEUTRAL,0.9,47.17,WATCHLIST,UNKNOWN,RETAIL,7.56,11.85,-12.58,0.303
ITETF,OTHER,32.66,2026-08-17,65.85,50.0,42.21,50.0,50.0,52.4,NEUTRAL,0.9,47.16,WATCHLIST,UNKNOWN,RETAIL,7.61,11.81,-12.84,0.322
PRINCEPIPE,CAPITAL_GOODS,284.25,2026-08-17,67.81,60.86,37.1,50.0,38.89,52.38,NEUTRAL,0.9,47.14,WATCHLIST,STRONG_UPTREND,RETAIL,5.91,12.89,-15.05,0.915
SHBAJRG,METAL,181.14,2026-08-17,52.67,68.54,39.98,50.0,50.0,52.37,NEUTRAL,0.9,47.13,WATCHLIST,INSUFFICIENT_DATA,DII,0.49,5.32,,0.441
CARYSIL,FMCG,1155.8,2026-08-17,54.24,80.46,34.44,50.0,38.89,52.37,NEUTRAL,0.9,47.13,WATCHLIST,CONSOLIDATING,RETAIL,-5.8,25.84,35.94,1.125
ASIANPAINT,CHEMICALS,2687.5,2026-08-17,52.61,80.02,32.75,50.0,44.44,52.37,NEUTRAL,0.9,47.13,WATCHLIST,CONSOLIDATING,RETAIL,0.48,3.14,8.31,0.321
SILVERBEES,OTHER,223.61,2026-08-17,65.62,50.0,42.21,50.0,50.0,52.35,NEUTRAL,0.9,47.12,WATCHLIST,UNKNOWN,RETAIL,8.11,-10.5,99.81,0.758
ZEEMEDIA,MEDIA,9.7,2026-08-17,69.4,46.3,41.2,50.0,50.0,52.35,NEUTRAL,0.9,47.12,WATCHLIST,INSUFFICIENT_DATA,RETAIL,18.58,,-22.65,2.924
PARACABLES,CAPITAL_GOODS,63.55,2026-08-17,55.43,67.9,37.1,50.0,50.0,52.36,NEUTRAL,0.9,47.12,WATCHLIST,CONSOLIDATING,RETAIL,-4.65,12.96,37.26,1.541
IT,OTHER,34.26,2026-08-17,65.66,50.0,42.21,50.0,50.0,52.36,NEUTRAL,0.9,47.12,WATCHLIST,UNKNOWN,RETAIL,7.47,11.49,-12.6,0.336
NAHARSPING,OTHER,296.7,2026-08-17,56.22,70.02,42.21,50.0,38.89,52.33,NEUTRAL,0.9,47.1,WATCHLIST,INSUFFICIENT_DATA,RETAIL,,,41.49,0.395
MOL,CHEMICALS,62.97,2026-08-17,78.31,43.52,32.75,50.0,50.0,52.33,NEUTRAL,0.9,47.1,WATCHLIST,STRONG_UPTREND,RETAIL,34.44,20.93,-25.64,1.031
BRITANNIA,FMCG,5521.0,2026-08-17,59.01,74.28,34.44,50.0,38.89,52.33,NEUTRAL,0.9,47.1,WATCHLIST,DOWNTREND,RETAIL,3.96,2.13,-4.24,0.596
SAMBHV,METAL,119.88,2026-08-17,51.61,69.66,39.98,50.0,50.0,52.33,NEUTRAL,0.9,47.1,WATCHLIST,STRONG_UPTREND,DII,-0.61,7.93,-1.7,0.552
HDFCNIFIT,OTHER,32.99,2026-08-17,65.46,50.0,42.21,50.0,50.0,52.31,NEUTRAL,0.9,47.08,WATCHLIST,UNKNOWN,RETAIL,7.53,11.64,-12.77,0.258
HDFCGROWTH,OTHER,121.37,2026-08-17,65.39,50.0,42.21,50.0,50.0,52.29,NEUTRAL,0.9,47.06,WATCHLIST,UNKNOWN,RETAIL,5.14,7.58,-1.02,0.743
EXPLEOSOL,IT,923.05,2026-08-17,72.43,57.1,37.5,47.09,38.89,52.28,NEUTRAL,0.9,47.05,WATCHLIST,STRONG_UPTREND,RETAIL,15.56,4.22,-11.55,15.481
SILVERADD,OTHER,225.65,2026-08-17,65.37,50.0,42.21,50.0,50.0,52.28,NEUTRAL,0.9,47.05,WATCHLIST,UNKNOWN,RETAIL,8.42,-10.16,100.92,0.478
SILVERIETF,OTHER,233.36,2026-08-17,65.28,50.0,42.21,50.0,50.0,52.26,NEUTRAL,0.9,47.03,WATCHLIST,UNKNOWN,RETAIL,8.08,-10.38,100.6,0.639
AIIL,CAPITAL_GOODS,551.5,2026-08-17,56.74,61.5,37.1,50.0,55.56,52.24,NEUTRAL,0.9,47.02,WATCHLIST,UPTREND,RETAIL,6.13,9.1,-82.36,0.23
MNC,OTHER,34.76,2026-08-17,65.16,50.0,42.21,50.0,50.0,52.23,NEUTRAL,0.9,47.01,WATCHLIST,UNKNOWN,RETAIL,3.79,6.56,15.56,0.413
MOIPO,OTHER,48.43,2026-08-17,65.13,50.0,42.21,50.0,50.0,52.22,NEUTRAL,0.9,47.0,WATCHLIST,UNKNOWN,RETAIL,3.22,12.18,,1.835
CANHLIFE,FINANCIAL_SERVICES,148.9,2026-08-17,45.35,78.66,38.17,50.0,50.0,52.2,NEUTRAL,0.9,46.98,WATCHLIST,UPTREND,RETAIL,-3.03,9.95,,0.078
KISSHT,IT,304.6,2026-08-17,50.16,73.32,37.5,50.0,50.0,52.2,NEUTRAL,0.9,46.98,WATCHLIST,INSUFFICIENT_DATA,RETAIL,-5.15,55.35,,0.572
NAHARINDUS,CHEMICALS,117.38,2026-08-17,53.93,73.32,32.75,50.0,50.0,52.2,NEUTRAL,0.9,46.98,WATCHLIST,CONSOLIDATING,RETAIL,0.26,5.65,,3.097
GOLDAXIS,OTHER,127.41,2026-08-17,64.98,50.0,42.21,50.0,50.0,52.19,NEUTRAL,0.9,46.97,WATCHLIST,UNKNOWN,RETAIL,8.54,,,0.54
SILVER,OTHER,233.39,2026-08-17,64.99,50.0,42.21,50.0,50.0,52.19,NEUTRAL,0.9,46.97,WATCHLIST,UNKNOWN,RETAIL,8.01,-10.56,100.37,0.637
NIFTY100EW,OTHER,35.74,2026-08-17,64.97,50.0,42.21,50.0,50.0,52.18,NEUTRAL,0.9,46.96,WATCHLIST,UNKNOWN,RETAIL,3.03,5.46,6.91,3.244
SECMARK,IT,127.66,2026-08-17,49.91,73.36,37.5,50.0,50.0,52.15,NEUTRAL,0.9,46.94,WATCHLIST,STRONG_UPTREND,RETAIL,0.24,,,0.128
DCBBANK,BANKING,184.09,2026-08-17,51.58,78.82,38.23,50.0,38.89,52.14,NEUTRAL,0.9,46.93,WATCHLIST,CONSOLIDATING,DII,-1.22,0.29,50.75,0.361
NIFTYQLITY,OTHER,21.86,2026-08-17,64.66,50.0,42.21,50.0,50.0,52.11,NEUTRAL,0.9,46.9,WATCHLIST,UNKNOWN,RETAIL,4.34,4.34,2.68,1.563
TECH,OTHER,33.75,2026-08-17,64.68,50.0,42.21,50.0,50.0,52.11,NEUTRAL,0.9,46.9,WATCHLIST,UNKNOWN,RETAIL,7.24,11.57,-12.2,0.091
SILVER360,OTHER,229.72,2026-08-17,64.67,50.0,42.21,50.0,50.0,52.11,NEUTRAL,0.9,46.9,WATCHLIST,UNKNOWN,RETAIL,7.82,-11.92,101.42,0.804
TIPSMUSIC,MEDIA,656.25,2026-08-17,47.09,77.12,41.2,50.0,44.44,52.1,NEUTRAL,0.9,46.89,WATCHLIST,CONSOLIDATING,RETAIL,-2.66,1.48,15.09,0.167
UMIYA-MRO,TELECOM,89.01,2026-08-17,59.23,60.52,38.32,50.0,50.0,52.08,NEUTRAL,0.9,46.87,WATCHLIST,CONSOLIDATING,DII,0.37,5.95,9.98,0.468
AFSL,FINANCIAL_SERVICES,201.2,2026-08-17,47.15,75.72,38.17,50.0,50.0,52.07,NEUTRAL,0.9,46.86,WATCHLIST,DOWNTREND,RETAIL,-0.23,-0.13,-8.56,0.721
VOLTAMP,CAPITAL_GOODS,10001.0,2026-08-17,70.87,55.5,37.1,50.0,38.89,52.07,NEUTRAL,0.9,46.86,WATCHLIST,STRONG_UPTREND,RETAIL,6.42,5.26,26.68,0.211
SONAL,FINANCIAL_SERVICES,89.62,2026-08-17,50.82,71.12,38.17,50.0,50.0,52.06,NEUTRAL,0.9,46.85,WATCHLIST,INSUFFICIENT_DATA,RETAIL,0.7,,,0.144
KRYSTAL,OTHER,620.4,2026-08-17,57.34,70.08,42.21,47.09,38.89,52.04,NEUTRAL,0.9,46.84,WATCHLIST,STRONG_UPTREND,RETAIL,3.36,4.32,-7.22,0.497
MOSILVER,OTHER,230.87,2026-08-17,64.44,50.0,42.21,50.0,50.0,52.05,NEUTRAL,0.9,46.84,WATCHLIST,UNKNOWN,RETAIL,7.86,-10.79,100.41,0.577
BASF,CHEMICALS,4041.2,2026-08-17,64.8,67.34,32.75,50.0,38.89,52.05,NEUTRAL,0.9,46.84,WATCHLIST,STRONG_UPTREND,RETAIL,6.56,4.82,-9.79,1.054
GOLDBND,OTHER,152.83,2026-08-17,64.33,50.0,42.21,50.0,50.0,52.02,NEUTRAL,0.9,46.82,WATCHLIST,UNKNOWN,RETAIL,8.4,-1.81,,4.377
ATULAUTO,AUTO,498.0,2026-08-17,54.51,66.96,37.52,50.0,50.0,52.02,NEUTRAL,0.9,46.82,WATCHLIST,UPTREND,RETAIL,2.59,-3.84,15.95,0.328
CANBK,BANKING,131.1,2026-08-17,65.35,60.96,38.23,50.0,38.89,52.01,NEUTRAL,0.9,46.81,WATCHLIST,DOWNTREND,DII,4.13,2.37,23.67,0.516
PREMEXPLN,CHEMICALS,672.65,2026-08-17,71.09,62.12,32.75,47.09,38.89,52.0,NEUTRAL,0.9,46.8,WATCHLIST,CONSOLIDATING,RETAIL,1.04,28.54,34.07,1.841
SMALLCAP,OTHER,48.5,2026-08-17,64.23,50.0,42.21,50.0,50.0,52.0,NEUTRAL,0.9,46.8,WATCHLIST,UNKNOWN,RETAIL,2.15,8.65,8.67,1.073
SUNFLAG,METAL,360.75,2026-08-17,57.83,68.58,39.98,50.0,38.89,52.0,NEUTRAL,0.9,46.8,WATCHLIST,UPTREND,DII,2.2,-3.4,30.9,0.45
NEXT50ETF,OTHER,75.97,2026-08-17,64.2,50.0,42.21,50.0,50.0,51.99,NEUTRAL,0.9,46.79,WATCHLIST,UNKNOWN,RETAIL,5.15,9.26,,0.401
NEXT30ADD,OTHER,43.75,2026-08-17,64.15,50.0,42.21,50.0,50.0,51.98,NEUTRAL,0.9,46.78,WATCHLIST,UNKNOWN,RETAIL,4.44,3.53,13.31,0.476
QUALITY30,OTHER,21.23,2026-08-17,64.04,50.0,42.21,50.0,50.0,51.95,NEUTRAL,0.9,46.76,WATCHLIST,UNKNOWN,RETAIL,4.38,4.38,1.58,1.143
JKPAPER,CHEMICALS,380.75,2026-08-17,54.66,71.2,32.75,50.0,50.0,51.96,NEUTRAL,0.9,46.76,WATCHLIST,UPTREND,RETAIL,2.99,-0.24,0.65,0.198
QUAL30IETF,OTHER,21.65,2026-08-17,64.06,50.0,42.21,50.0,50.0,51.96,NEUTRAL,0.9,46.76,WATCHLIST,UNKNOWN,RETAIL,4.39,4.84,2.51,0.954
VOGL,OTHER,37.66,2026-08-17,57.38,58.24,42.21,50.0,50.0,51.94,NEUTRAL,0.9,46.75,WATCHLIST,INSUFFICIENT_DATA,RETAIL,3.4,,,0.618
KOTAKBANK,BANKING,392.7,2026-08-17,48.52,73.3,38.23,50.0,50.0,51.94,NEUTRAL,0.9,46.75,WATCHLIST,DOWNTREND,DII,4.12,1.46,-80.02,0.424
HATSUN,FMCG,968.8,2026-08-17,65.33,64.34,34.44,50.0,38.89,51.92,NEUTRAL,0.9,46.73,WATCHLIST,STRONG_UPTREND,RETAIL,4.51,2.87,9.64,0.851
BLIL,FINANCIAL_SERVICES,70.59,2026-08-17,45.09,77.58,38.17,50.0,50.0,51.92,NEUTRAL,0.9,46.73,WATCHLIST,INSUFFICIENT_DATA,RETAIL,0.26,-7.37,,0.805
PLAZACABLE,OTHER,53.57,2026-08-17,52.05,64.84,42.21,50.0,50.0,51.92,NEUTRAL,0.9,46.73,WATCHLIST,INSUFFICIENT_DATA,RETAIL,,,-4.29,1.996
SML100CASE,OTHER,11.28,2026-08-17,63.86,50.0,42.21,50.0,50.0,51.91,NEUTRAL,0.9,46.72,WATCHLIST,UNKNOWN,RETAIL,2.83,11.46,,1.812
63MOONS,IT,780.25,2026-08-17,72.65,54.86,37.5,47.09,38.89,51.89,NEUTRAL,0.9,46.7,WATCHLIST,UPTREND,RETAIL,12.49,20.79,-16.05,0.173
FLEXIADD,OTHER,10.3,2026-08-17,63.75,50.0,42.21,50.0,50.0,51.88,NEUTRAL,0.9,46.69,WATCHLIST,UNKNOWN,RETAIL,4.15,7.63,,1.084
MANUFGBEES,OTHER,167.28,2026-08-17,63.77,50.0,42.21,50.0,50.0,51.88,NEUTRAL,0.9,46.69,WATCHLIST,UNKNOWN,RETAIL,4.27,5.95,,2.023
SUNPHARMA,PHARMA,1882.0,2026-08-17,46.48,83.88,34.05,50.0,44.44,51.87,NEUTRAL,0.9,46.68,WATCHLIST,CONSOLIDATING,RETAIL,-3.49,0.2,17.6,0.801
GCSL,FINANCIAL_SERVICES,492.4,2026-08-17,50.75,81.42,38.17,47.09,38.89,51.86,NEUTRAL,0.9,46.67,WATCHLIST,INSUFFICIENT_DATA,RETAIL,-4.05,26.53,,0.822
SNXT50BETA,OTHER,96.62,2026-08-17,63.66,50.0,42.21,50.0,50.0,51.86,NEUTRAL,0.9,46.67,WATCHLIST,UNKNOWN,RETAIL,3.75,8.2,,1.29
PAISALO,FINANCIAL_SERVICES,67.59,2026-08-17,53.78,74.68,38.17,50.0,38.89,51.85,NEUTRAL,0.9,46.66,WATCHLIST,UPTREND,RETAIL,-8.39,44.64,122.41,0.726
SKIPPER,CAPITAL_GOODS,530.7,2026-08-17,47.85,78.98,37.1,50.0,44.44,51.84,NEUTRAL,0.9,46.66,WATCHLIST,CONSOLIDATING,RETAIL,-4.9,15.32,1.22,0.633
TVSHLTD,FINANCIAL_SERVICES,14072.0,2026-08-17,55.29,72.7,38.17,50.0,38.89,51.83,NEUTRAL,0.9,46.65,WATCHLIST,DOWNTREND,RETAIL,0.42,1.65,18.49,0.271
TEXINFRA,CAPITAL_GOODS,107.85,2026-08-17,48.03,82.8,37.1,50.0,38.89,51.82,NEUTRAL,0.9,46.64,WATCHLIST,CONSOLIDATING,RETAIL,-5.38,9.87,12.46,0.794
ULTRACEMCO,CEMENT,11681.0,2026-08-17,49.45,78.2,39.87,50.0,38.89,51.81,NEUTRAL,0.9,46.63,WATCHLIST,DOWNTREND,DII,-0.76,1.69,-7.37,0.676
HAPPSTMNDS,IT,426.8,2026-08-17,73.47,46.32,37.5,50.0,44.44,51.8,NEUTRAL,0.9,46.62,WATCHLIST,STRONG_UPTREND,RETAIL,11.9,18.15,-26.62,2.048
GOLDBETA,OTHER,128.75,2026-08-17,63.43,50.0,42.21,50.0,50.0,51.8,NEUTRAL,0.9,46.62,WATCHLIST,UNKNOWN,RETAIL,8.47,-2.31,,1.5
CONSUMBEES,OTHER,135.23,2026-08-17,63.39,50.0,42.21,50.0,50.0,51.79,NEUTRAL,0.9,46.61,WATCHLIST,UNKNOWN,RETAIL,4.3,7.12,-0.1,0.613
A2ZINFRA,INFRASTRUCTURE,14.49,2026-08-17,65.48,49.46,40.08,50.0,50.0,51.78,NEUTRAL,0.9,46.6,WATCHLIST,INSUFFICIENT_DATA,DII,8.46,,,0.36
KALYANIFRG,CAPITAL_GOODS,651.7,2026-08-17,64.71,53.4,37.1,50.0,50.0,51.78,NEUTRAL,0.9,46.6,WATCHLIST,STRONG_UPTREND,RETAIL,6.11,5.17,-6.58,0.53
TWCGOLDETF,OTHER,152.33,2026-08-17,63.36,50.0,42.21,50.0,50.0,51.78,NEUTRAL,0.9,46.6,WATCHLIST,UNKNOWN,RETAIL,8.2,-2.37,,2.559
